"Popolazione per età, vista per singola area - Comune: 001122 - Inverso Pinasca"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Inverso Pinasca"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1;4;5;9;5;8;7;9;5;3;3;7;3;6;3;2;3;6
1;4;1;4;7;9;7;8;7;11;5;4;3;5;5;6;3;2;2
2;3;5;1;4;8;10;8;6;7;11;5;5;3;5;4;6;3;2
3;3;2;5;2;4;8;13;8;6;7;11;7;5;2;6;4;6;4
4;3;4;2;5;3;3;9;13;7;5;7;11;6;4;1;6;4;8
5;8;3;2;2;5;3;3;9;14;7;4;9;10;5;4;1;6;3
6;7;8;3;1;2;4;3;3;9;13;7;4;11;10;5;3;1;5
7;3;6;7;4;4;2;4;2;3;10;12;7;3;9;11;5;3;1
8;8;3;6;8;5;4;5;4;1;3;11;13;7;3;9;10;5;3
9;4;8;3;6;8;5;5;5;4;2;3;11;12;8;3;7;11;5
10;1;4;8;3;6;8;5;5;5;5;3;5;10;12;7;3;7;11
11;2;1;4;8;4;6;8;5;5;6;5;3;5;10;12;7;2;7
12;7;2;1;4;8;4;6;8;4;5;6;5;3;5;10;12;7;3
13;4;8;2;1;5;8;5;7;7;4;5;7;5;3;5;9;12;7
14;6;4;8;2;1;5;8;5;7;7;4;6;7;6;3;5;9;13
15;5;4;5;8;2;2;6;8;5;6;7;4;6;5;6;3;5;8
16;7;5;4;4;8;2;2;6;8;5;6;7;4;4;7;7;3;4
17;7;7;5;6;4;8;2;3;6;8;5;6;9;4;5;7;7;2
18;4;6;8;5;7;4;8;2;3;6;8;6;6;9;4;3;5;7
19;6;3;6;8;5;8;5;8;0;3;5;7;6;6;9;4;3;5
20;7;5;3;6;8;5;8;7;8;1;3;4;7;6;5;7;4;4
21;3;6;7;3;6;9;5;6;6;7;0;3;4;7;5;6;7;4
22;10;3;6;9;3;7;6;6;6;6;8;0;2;5;7;4;6;5
23;11;9;3;4;7;2;6;7;6;7;7;8;0;3;4;7;4;7
24;10;13;10;3;4;8;1;6;7;5;8;9;8;5;3;4;6;3
25;13;7;13;9;3;3;9;1;6;9;5;7;8;8;3;4;5;7
26;6;13;5;17;10;3;3;8;4;6;9;5;5;5;8;3;5;6
27;14;8;11;10;17;7;4;3;6;3;6;10;5;6;4;8;3;5
28;8;14;7;11;11;18;10;6;3;7;3;7;13;4;5;5;8;2
29;6;7;12;10;11;10;18;9;6;5;5;4;5;14;4;5;6;8
30;10;5;7;10;11;13;12;19;12;6;6;6;4;5;14;4;4;4
31;8;10;5;7;9;12;12;12;19;11;7;4;5;3;4;13;4;5
32;9;6;9;4;7;11;12;12;11;17;8;6;3;4;3;4;14;5
33;8;8;9;7;5;8;11;10;15;11;17;11;6;3;4;3;2;11
34;11;6;9;4;6;5;8;10;8;15;10;17;7;5;5;5;3;2
35;14;13;5;8;6;5;8;10;12;9;14;12;17;8;4;4;4;3
36;18;14;13;5;10;6;6;8;10;13;10;14;11;15;9;4;5;5
37;14;17;13;14;7;13;9;6;9;10;12;11;14;9;15;10;4;5
38;4;14;20;13;14;7;13;9;6;9;10;13;10;15;10;14;8;5
39;14;5;14;20;13;14;6;13;8;12;10;9;15;9;14;10;13;10
40;6;15;5;16;18;12;16;6;11;8;12;11;11;14;8;13;10;13
41;12;6;16;5;17;20;14;19;6;12;8;14;10;9;12;8;13;10
42;6;11;6;15;7;18;20;13;19;7;12;8;14;10;8;12;8;13
43;10;6;11;6;15;7;17;20;13;18;8;12;10;14;10;8;12;8
44;7;11;7;12;6;15;7;17;18;13;18;9;13;11;17;10;7;11
45;6;7;12;8;14;7;16;7;16;20;15;19;10;13;12;17;10;7
46;5;6;7;13;6;15;8;15;5;16;20;15;19;9;12;12;15;11
47;8;5;6;4;15;9;16;8;14;5;15;23;15;18;8;18;11;14
