"Popolazione per età, vista per singola area - Comune: 001142 - Macello"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Macello"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;9;13;14;6;8;10;13;12;19;11;13;13;6;11;6;8;7;2
1;10;9;13;13;7;6;10;15;17;17;11;12;12;8;11;6;8;8
2;7;8;10;13;12;8;8;10;14;15;15;11;13;12;8;9;6;9
3;21;7;10;10;13;11;7;8;9;16;17;13;11;12;12;8;8;5
4;3;21;6;10;10;13;12;7;7;9;14;18;12;13;12;10;8;9
5;10;3;23;6;13;12;13;12;7;7;9;13;17;11;13;12;10;8
6;13;10;3;20;6;10;12;13;11;7;6;9;13;15;11;13;12;10
7;13;13;10;4;20;6;10;10;15;12;7;6;9;14;15;11;13;10
8;4;16;14;10;3;21;7;10;9;14;13;7;6;9;14;14;11;13
9;11;4;16;14;10;4;20;7;10;9;14;12;7;6;10;14;14;11
10;10;11;5;16;14;11;6;20;10;10;9;14;13;7;6;10;15;14
11;9;10;11;6;16;14;12;8;17;10;10;9;15;14;9;7;10;15
12;12;9;10;12;5;16;14;10;9;17;10;10;9;15;16;8;7;10
13;13;11;8;10;12;4;16;12;11;8;16;10;11;9;15;16;8;9
14;8;13;12;8;9;12;5;16;12;12;8;17;8;11;9;15;16;8
15;15;8;13;9;8;10;12;5;16;12;12;7;16;8;10;9;12;16
16;5;18;8;12;9;8;11;11;9;15;11;11;7;16;8;10;8;13
17;9;5;18;8;12;9;10;12;11;7;15;11;11;7;17;8;9;8
18;14;9;6;17;10;12;9;8;10;9;6;16;11;11;7;16;8;10
19;14;15;9;7;16;10;13;9;9;6;9;7;16;11;11;6;16;8
20;14;14;13;8;7;17;12;15;7;10;6;9;7;15;12;13;7;16
21;7;14;14;12;6;7;17;11;16;7;10;6;10;7;16;12;12;6
22;9;9;14;15;10;6;8;18;14;15;9;10;6;10;6;15;11;13
23;16;9;10;16;14;13;7;10;17;14;17;10;12;7;12;6;15;10
24;17;15;9;8;17;16;15;7;8;18;13;16;9;11;9;10;6;11
25;9;16;15;9;7;15;19;13;10;8;16;14;17;10;11;9;11;11
26;27;8;16;12;12;10;15;23;13;11;8;17;12;14;9;12;9;10
27;15;25;10;16;13;11;11;19;26;13;12;7;20;11;14;7;12;10
28;17;16;25;11;16;12;13;14;16;23;14;14;7;17;11;14;8;13
29;19;17;17;25;10;16;15;16;12;11;22;13;12;9;17;12;13;8
30;23;19;22;20;25;10;15;15;16;9;12;24;12;9;9;16;12;12
31;12;21;20;21;20;26;13;15;17;17;10;12;23;11;9;7;12;11
32;18;12;21;19;23;17;28;12;17;17;18;12;13;18;10;8;6;10
33;21;16;13;21;19;20;21;28;13;17;16;19;10;16;19;10;10;7
34;12;20;15;12;22;15;23;24;27;13;16;15;18;12;18;19;9;10
35;12;13;21;15;12;21;14;22;21;27;15;15;16;17;12;18;18;10
36;17;13;11;22;15;14;24;16;23;21;26;16;18;16;18;11;17;18
37;17;19;14;11;22;15;19;23;17;24;19;23;16;20;14;20;12;16
38;19;18;18;13;9;19;17;22;23;18;23;18;23;13;22;18;18;11
39;13;19;21;16;13;12;19;17;20;24;20;22;19;22;14;22;18;19
40;20;12;22;19;16;14;12;16;19;18;22;21;22;20;21;14;22;17
41;17;20;13;20;17;16;16;13;14;17;16;22;20;21;19;19;15;19
42;19;16;23;14;20;19;16;16;15;16;17;18;22;19;21;19;20;14
43;21;17;17;23;15;20;21;14;16;15;15;17;16;18;20;19;17;20
44;14;20;18;17;23;15;19;23;14;15;16;16;16;16;22;20;20;18
45;16;14;19;18;16;22;14;20;21;15;15;16;16;16;15;22;22;20
46;11;16;14;19;17;16;23;15;19;22;14;15;16;17;18;16;23;21
47;13;11;16;14;19;16;19;22;15;18;22;15;11;17;16;18;14;23
48;21;13;12;16;16;20;15;20;22;15;18;22;15;13;17;16;17;13
49;13;21;12;12;18;20;22;14;20;22;17;18;22;15;13;17;15;18
