"Popolazione per età, vista per singola area - Comune: 001174 - Osasio"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Osasio"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;5;5;11;5;6;7;15;10;5;9;4;11;14;6;8;10;2;6
1;7;4;5;12;5;6;9;16;11;7;9;7;10;14;6;8;11;2
2;8;8;4;5;14;5;4;9;17;11;7;11;5;10;14;7;7;10
3;6;8;7;5;5;14;5;4;11;16;12;7;11;4;10;12;9;7
4;11;6;7;8;5;5;13;6;5;11;16;13;8;11;4;10;13;9
5;10;10;6;9;8;5;6;14;6;5;12;15;11;8;12;3;12;13
6;8;9;10;6;10;8;4;6;15;6;5;12;14;10;8;12;4;11
7;6;8;9;11;6;11;9;4;8;15;6;5;10;15;12;8;12;3
8;5;6;8;9;10;6;11;9;6;8;18;7;4;10;14;11;8;12
9;6;5;4;9;9;11;7;11;9;6;8;17;9;4;11;14;13;8
10;6;7;5;4;8;9;10;8;9;8;8;7;17;9;2;11;14;13
11;11;6;7;5;4;8;9;9;8;9;8;9;7;18;6;2;11;15
12;9;11;5;7;6;4;9;9;9;8;9;7;9;7;17;6;2;12
13;9;9;11;4;7;6;6;9;9;9;7;10;7;10;6;15;7;3
14;3;9;8;11;4;7;5;6;9;9;9;9;10;7;10;6;14;7
15;2;3;10;8;11;4;8;5;6;9;9;10;7;10;7;10;5;14
16;9;1;3;10;8;13;6;8;5;5;10;9;10;6;10;7;10;5
17;13;9;1;6;10;8;11;6;8;6;6;11;9;12;6;11;7;10
18;7;12;8;2;6;9;7;11;6;8;5;6;11;10;11;6;10;7
19;5;6;12;8;2;7;10;7;13;5;7;5;6;12;10;11;7;10
20;12;6;7;12;7;2;8;10;6;13;5;7;7;6;13;10;10;7
21;6;10;5;7;12;6;2;8;12;6;13;5;7;7;6;11;10;10
22;7;5;10;5;8;12;7;2;6;10;6;12;6;7;8;7;11;10
23;5;6;6;9;5;8;11;7;6;6;10;6;12;5;7;7;7;11
24;6;3;8;6;10;6;6;10;8;5;5;12;6;12;6;7;6;7
25;13;9;3;10;6;10;5;8;11;8;5;6;11;7;12;7;7;5
26;11;16;10;3;11;6;11;5;8;12;12;6;5;10;8;10;6;9
27;7;12;15;11;7;10;9;11;7;7;13;15;6;6;10;8;9;5
28;10;9;15;14;9;7;11;8;12;8;8;16;15;4;6;9;7;10
29;12;6;10;14;14;9;7;9;9;15;8;10;12;14;3;7;8;7
30;11;17;6;13;17;14;10;7;12;11;18;11;11;11;13;5;8;10
31;11;14;17;6;14;16;14;10;10;11;14;21;13;10;11;13;6;8
32;8;10;13;19;7;14;20;14;11;9;13;13;16;15;10;14;14;7
33;16;7;8;16;16;6;11;18;14;10;9;13;9;16;14;10;15;14
34;14;16;5;7;15;17;9;13;20;13;11;8;13;10;17;13;10;16
35;14;14;14;8;8;16;16;10;14;19;14;12;9;12;8;15;13;10
36;9;17;17;13;11;10;17;18;10;14;19;14;10;9;11;8;17;13
37;13;9;13;18;14;10;10;16;18;11;14;21;13;10;11;10;7;16
38;10;13;9;13;19;19;10;11;16;18;12;12;21;13;10;11;9;7
39;11;11;13;8;13;17;18;10;14;18;18;13;14;20;13;10;12;9
40;8;11;10;11;10;13;15;18;14;14;18;19;13;16;19;13;10;12
41;8;7;11;11;11;12;16;15;21;16;15;18;19;17;16;17;15;10
42;14;8;8;14;10;14;10;16;16;21;15;14;15;19;14;17;18;14
43;17;14;9;9;13;10;14;11;17;16;20;16;12;16;18;12;18;17
44;5;16;15;9;10;13;11;14;12;14;16;21;15;15;16;18;14;19
45;11;5;15;17;9;10;14;11;14;11;14;16;23;16;15;16;17;12
46;15;11;5;16;17;9;11;14;11;15;12;14;16;23;16;15;16;15
47;8;17;11;7;18;16;8;11;14;11;15;12;13;16;24;16;17;17
48;5;8;18;15;8;18;17;8;15;14;12;15;11;14;17;19;16;19
49;20;5;8;18;15;8;16;16;8;14;13;12;14;11;14;17;18;16
50;14;20;5;7;19;17;8;16;17;8;14;12;12;15;11;14;16;16
51;8;14;19;5;7;19;17;8;16;17;9;13;12;12;15;13;13;16
52;11;8;14;19;6;7;21;16;8;15;18;8;14;13;11;14;11;13
53;11;11;8;14;21;6;7;21;17;8;16;18;8;14;13;11;15;9
54;14;11;11;8;16;21;6;9;20;15;7;14;18;8;14;13;11;16
55;13;14;11;11;8;16;21;5;9;20;16;8;14;18;7;14;13;11
56;12;12;12;13;11;8;17;19;5;9;18;17;10;15;17;7;14;13
57;11;12;12;12;14;11;9;17;18;6;8;18;17;11;16;17;7;13
58;9;12;12;12;13;13;10;9;18;18;7;8;18;16;11;15;17;7
59;6;9;12;12;13;11;12;10;10;17;19;7;9;18;16;11;15;17
60;10;6;11;12;12;13;11;12;11;10;17;18;7;9;19;16;11;15
61;7;10;6;11;12;12;16;11;12;12;9;16;18;7;9;19;15;11
62;14;7;10;6;11;12;12;15;11;12;12;9;17;19;6;9;19;15
63;6;14;9;9;6;12;12;12;13;10;12;13;9;17;19;6;9;19
64;5;6;14;9;9;6;14;12;12;13;11;12;13;9;17;19;5;9
65;13;5;6;14;9;9;6;13;12;12;13;12;12;13;9;18;19;5
66;5;12;5;6;15;10;9;6;13;12;12;13;11;12;13;9;17;19
67;7;5;12;5;5;16;10;10;7;12;12;12;14;11;12;14;9;17
68;9;7;5;13;5;5;14;8;10;7;11;13;12;14;11;12;14;9
69;7;10;7;5;13;5;4;14;8;10;6;10;13;12;13;11;12;14
70;7;7;10;7;5;13;5;4;14;8;10;6;10;13;12;15;11;11
71;7;6;7;10;7;5;12;6;4;14;8;9;6;10;13;10;15;11
72;8;7;6;7;11;7;4;12;6;4;13;8;9;6;10;12;10;13
73;7;8;7;6;7;10;6;4;11;6;3;13;8;9;6;11;12;9
74;3;7;8;6;6;7;10;7;5;11;6;3;13;8;9;6;11;11
75;7;3;7;5;6;6;7;10;5;5;10;5;4;13;6;8;6;11
