"Popolazione per età, vista per singola area - Comune: 001175 - Oulx"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Oulx"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;30;13;21;19;30;26;32;25;29;29;28;33;30;24;34;35;28;22
1;24;30;13;22;18;31;29;29;23;29;26;23;30;29;26;37;36;27
2;20;19;29;15;22;23;34;25;26;26;21;27;21;34;31;24;35;36
3;24;24;21;26;17;20;25;37;22;25;25;22;24;22;33;30;21;33
4;20;24;22;21;30;16;22;22;39;22;26;29;22;25;20;33;28;22
5;25;17;25;24;23;30;18;21;24;40;24;31;31;22;27;23;35;23
6;17;27;17;25;26;22;29;16;20;24;38;24;31;32;20;26;24;34
7;18;19;28;16;26;24;22;29;15;22;27;39;28;31;33;20;27;24
8;16;21;18;29;17;27;21;23;31;17;22;28;38;25;29;30;19;22
9;16;17;21;18;34;19;26;23;26;34;18;23;32;35;27;24;34;21
10;22;16;19;19;19;32;23;26;22;24;32;21;22;34;34;26;28;33
11;18;23;17;21;22;20;31;22;30;24;25;31;22;22;32;35;30;31
12;23;19;24;18;23;23;20;33;23;31;23;25;28;20;22;29;37;31
13;14;25;20;24;19;21;24;20;33;24;34;23;25;29;23;23;26;36
14;15;16;26;20;26;19;22;25;22;32;21;35;24;27;25;26;23;28
15;25;16;19;24;21;25;19;22;26;21;33;23;36;22;28;25;27;25
16;33;26;16;17;24;23;27;19;22;23;21;34;24;34;30;29;28;28
17;25;33;26;16;16;23;24;27;19;21;25;20;33;24;37;32;28;30
18;29;23;34;26;14;19;24;25;27;20;21;25;21;34;24;36;33;30
19;22;31;25;33;26;14;22;25;27;28;20;23;25;21;32;27;39;36
20;19;21;30;24;34;23;15;24;24;28;27;24;25;21;19;34;27;39
21;29;21;23;31;25;31;27;15;26;23;34;30;30;25;25;22;34;28
22;29;29;24;27;31;23;36;33;14;30;25;37;33;30;28;27;25;34
23;29;33;31;24;26;31;30;36;35;17;37;24;37;33;32;30;29;29
24;24;34;36;38;22;31;35;33;38;35;25;37;24;39;32;32;34;27
25;32;21;37;34;39;31;39;39;37;37;42;30;35;26;38;32;33;33
26;33;29;22;37;35;42;34;45;40;39;38;42;33;40;30;37;37;37
27;49;35;30;26;40;40;45;37;48;47;41;42;45;32;41;33;36;38
28;51;50;38;32;28;42;43;42;37;42;49;44;45;44;32;41;39;41
29;55;53;53;40;37;30;45;47;41;35;51;52;45;43;40;36;44;43
30;46;58;56;48;47;42;36;52;50;45;36;57;59;38;43;43;33;46
31;49;50;60;61;47;47;51;38;52;43;45;34;56;56;34;39;46;32
32;41;47;51;55;61;46;53;51;34;47;46;46;30;53;53;39;40;44
33;52;43;51;47;61;61;49;53;48;29;42;50;46;31;53;52;39;39
34;49;55;43;53;48;61;61;45;50;53;31;48;55;47;37;51;51;40
35;45;51;51;41;53;49;64;55;44;49;52;30;48;54;50;38;46;47
36;53;47;49;51;47;55;57;64;55;46;50;49;33;48;55;52;39;42
37;48;54;51;57;52;46;57;57;59;54;45;54;52;33;52;44;49;37
38;52;40;59;54;55;53;47;59;57;62;56;49;48;50;35;48;42;45
39;44;50;48;58;56;54;60;49;58;57;62;60;51;46;49;34;48;39
40;30;46;56;52;59;58;57;63;48;61;54;66;64;49;47;50;34;46
41;46;29;47;59;58;61;57;56;62;49;61;56;65;65;46;51;50;32
42;37;44;31;49;60;56;67;59;60;65;48;58;57;65;63;46;49;51
43;51;37;42;36;55;60;60;68;58;60;65;46;61;54;62;60;51;48
44;45;49;34;46;43;52;64;61;64;55;64;67;49;60;53;61;61;51
45;41;43;50;36;55;46;53;64;62;62;52;65;66;47;52;56;60;61
46;43;44;45;52;38;53;46;60;70;59;61;46;65;61;48;53;58;62
47;29;45;45;44;56;36;53;46;64;68;59;59;41;64;60;48;54;60
48;37;30;46;44;47;54;36;55;47;62;69;62;63;44;63;58;51;55
49;46;37;31;44;43;44;52;40;56;46;60;67;61;64;43;68;58;53
50;43;46;36;31;41;43;44;51;39;58;47;61;70;58;65;46;71;63
51;43;38;49;39;33;40;47;43;48;39;53;48;61;69;55;64;48;67
52;48;44;34;53;41;34;42;50;44;51;37;55;49;61;67;57;60;51
53;53;50;41;37;53;41;39;45;48;45;49;39;60;49;60;68;61;59
54;53;55;48;43;41;55;40;41;46;49;42;49;41;61;47;62;69;61
55;41;56;56;48;44;39;54;39;36;46;44;42;48;40;58;48;61;71
56;28;40;54;55;49;43;41;54;42;33;43;45;42;47;38;59;46;63
57;34;27;42;53;53;50;47;38;54;41;33;46;44;40;46;35;58;45
58;34;35;26;42;53;52;52;45;37;54;41;34;46;42;39;44;38;57
59;31;33;36;25;43;55;49;49;44;36;54;41;38;47;44;45;45;40
60;36;29;33;35;27;43;55;50;47;38;37;55;40;38;47;44;47;45
61;33;35;30;33;34;31;45;55;46;48;39;41;50;41;38;48;42;48
62;31;34;35;29;32;36;34;46;53;45;49;42;40;50;39;37;47;42
63;36;31;33;35;31;34;39;33;49;52;45;47;43;41;50;40;39;49
64;36;35;29;32;36;31;34;38;34;48;51;43;46;43;39;48;41;42
65;27;37;35;29;30;35;34;36;38;35;47;48;42;47;44;37;49;41
66;25;25;37;35;32;29;33;35;32;37;35;48;47;42;47;46;37;47
67;26;27;26;40;34;32;30;32;36;32;36;35;45;43;41;47;45;37
68;26;26;25;22;39;31;32;31;33;33;32;35;33;44;42;39;46;43
69;23;27;27;28;22;39;31;30;32;32;33;31;36;33;44;41;41;45
70;23;22;26;26;27;22;34;30;30;28;29;32;31;36;32;41;39;41
71;20;23;22;26;23;24;22;34;31;30;30;28;32;31;35;31;38;37
72;17;21;20;23;26;20;24;22;31;29;29;31;28;31;31;34;31;38
73;21;18;22;19;22;27;22;24;22;31;29;27;29;29;31;31;32;33
74;16;19;18;22;23;19;28;22;25;24;30;30;26;30;29;31;31;32
75;24;16;18;17;22;23;20;28;21;25;23;27;27;25;29;27;30;31
76;16;23;16;17;14;21;23;22;29;19;23;22;28;27;25;29;26;29
77;17;16;23;15;17;14;20;23;23;26;19;20;22;27;26;26;29;25
78;10;16;17;21;16;16;12;21;24;22;23;18;23;24;28;25;25;29
79;19;9;15;17;19;16;15;13;22;23;22;23;20;18;22;27;26;25
80;14;17;9;11;19;19;16;16;13;23;20;23;22;18;17;21;27;26
81;12;11;16;9;11;17;17;15;14;13;23;19;21;19;15;17;21;28
82;12;11;10;16;8;11;16;17;13;15;13;24;17;20;21;13;16;20
83;8;11;10;11;14;7;11;13;16;13;14;14;22;16;20;21;13;14
84;7;8;11;10;9;14;6;11;12;15;11;12;14;20;17;19;19;9
85;15;7;8;11;9;11;11;6;9;11;14;12;11;14;18;16;15;19
86;11;15;7;4;9;9;11;10;6;9;11;13;12;10;13;18;10;12
87;7;12;11;6;6;8;7;9;9;5;8;8;11;11;9;10;18;10
88;5;6;9;10;5;6;9;7;9;8;4;8;8;11;9;9;8;17
89;5;4;3;10;8;5;4;6;6;8;8;4;6;7;11;8;10;6
90;4;2;3;2;9;7;5;4;4;6;6;6;2;4;6;10;9;10
91;6;4;2;3;2;8;7;4;4;3;5;5;5;1;2;4;8;5
92;3;5;1;3;4;2;7;6;1;4;2;4;5;5;1;1;3;6
93;4;1;3;1;3;3;2;3;6;1;3;2;3;4;5;1;1;3
94;3;5;0;2;1;4;3;2;3;6;1;2;2;3;3;5;1;1
95;0;3;5;0;3;1;4;2;2;1;5;1;0;2;3;2;4;0
96;0;0;1;4;0;3;1;3;1;0;0;3;1;0;2;3;1;3
97;0;0;0;0;2;0;3;1;3;0;0;0;2;0;0;2;2;0
98;0;0;0;0;0;1;0;3;1;1;0;0;0;0;0;0;1;2
99;0;0;0;0;0;0;1;0;3;1;0;0;0;0;0;0;0;0
100 e oltre;0;0;0;0;0;0;0;1;1;2;3;2;1;0;0;1;0;0
Totale;2676;2699;2749;2793;2910;2946;3106;3159;3176;3175;3192;3275;3321;3287;3292;3323;3368;3378
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;15;9;11;10;18;16;21;11;14;18;19;16;13;10;20;21;14;8
1;11;17;10;11;10;20;17;21;10;14;16;17;13;13;10;22;23;13
2;12;9;15;12;11;12;22;14;20;11;11;17;14;15;14;10;23;21
3;15;12;11;15;14;10;14;25;12;16;11;10;16;13;16;15;8;21
4;12;14;11;10;20;13;11;14;25;12;16;13;10;15;11;16;13;9
5;13;10;14;12;10;19;13;11;16;24;14;18;13;10;17;12;17;10
6;8;16;10;15;13;9;19;13;10;17;23;15;19;14;10;16;12;17
7;8;10;17;10;16;10;9;21;12;10;19;24;19;19;14;10;16;14
8;4;9;9;17;11;16;7;9;22;13;10;20;23;18;18;13;10;14
9;6;5;9;9;20;11;15;7;11;24;13;10;22;20;18;13;17;12
10;13;6;5;7;9;19;14;15;7;11;23;15;10;24;20;17;14;15
11;6;15;6;7;7;9;19;13;18;10;11;21;15;10;22;22;17;15
12;13;7;15;8;8;8;10;18;13;19;10;11;20;14;10;20;24;17
13;7;13;7;15;9;8;9;10;17;15;21;11;12;20;16;11;17;21
14;8;7;13;7;15;9;7;9;10;15;12;21;12;14;18;19;11;19
15;18;8;8;13;8;14;10;7;12;9;16;14;21;11;14;18;19;12
16;23;18;8;7;13;10;15;10;7;11;9;16;14;19;20;14;18;19
17;16;23;18;8;7;13;9;15;11;6;11;9;14;14;23;20;14;19
18;19;16;23;19;8;8;13;10;17;11;7;12;9;15;14;22;22;14
19;12;19;17;22;19;7;11;15;11;17;10;8;12;9;15;16;23;22
20;9;12;19;17;23;18;7;12;17;11;17;12;9;11;8;16;15;23
21;19;10;14;20;18;19;19;8;12;15;14;19;13;9;13;8;16;15
22;13;18;13;18;20;17;18;23;8;12;17;16;19;12;12;13;10;16
23;16;15;20;14;17;21;25;18;22;11;16;16;17;19;12;14;13;14
24;14;18;17;25;11;19;23;26;19;20;14;17;15;18;20;10;15;13
25;14;12;18;15;25;18;20;26;27;19;25;18;18;17;17;22;10;15
26;20;12;13;18;16;29;20;25;26;27;18;24;22;19;18;16;25;13
27;24;21;12;16;18;19;28;22;27;28;29;20;26;20;20;20;16;23
28;26;25;20;13;13;18;21;28;22;24;30;32;22;25;20;18;21;17
29;24;26;26;20;14;15;20;23;30;23;32;30;33;21;20;22;21;24
30;25;28;26;22;22;15;17;25;23;29;24;32;32;27;20;23;19;24
31;20;26;29;27;23;24;18;18;26;23;29;23;31;31;24;18;24;17
32;15;20;25;25;26;25;23;20;15;22;25;28;20;32;30;25;17;26
33;23;17;24;24;30;27;28;27;18;14;19;24;27;20;29;29;25;17
34;32;26;17;25;26;29;29;24;27;21;14;23;29;26;25;28;28;27
35;27;33;24;16;28;25;29;27;24;28;22;16;22;28;27;24;26;26
36;31;30;32;24;18;30;30;27;25;25;27;22;18;23;28;30;26;23
37;25;30;31;36;28;18;29;30;26;27;24;29;25;19;23;23;30;25
