"Popolazione per età, vista per singola area - Comune: 001206 - Prascorsano"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Prascorsano"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;6;4;3;7;8;4;6;10;8;4;9;8;4;6;6;2;5;6
1;6;5;5;3;5;8;5;6;9;7;4;9;6;4;5;7;2;4
2;9;5;6;7;5;6;8;6;6;9;7;5;9;6;4;4;7;2
3;4;9;8;8;7;5;8;8;6;6;8;7;4;7;6;3;4;7
4;3;4;9;9;10;7;4;9;7;6;6;8;7;4;7;7;3;4
5;5;4;4;11;10;9;6;4;9;8;5;6;6;7;4;8;7;3
6;6;5;6;4;12;10;8;6;4;11;8;3;6;8;7;4;8;8
7;4;5;7;7;4;12;10;8;6;4;11;8;3;6;8;7;4;8
8;7;4;5;7;9;4;12;10;8;6;4;10;8;4;6;9;7;4
9;4;7;4;5;7;11;4;12;9;9;7;4;10;9;4;6;8;7
10;8;4;7;6;6;7;10;4;10;9;9;5;4;8;9;3;6;8
11;4;6;4;7;7;6;7;9;3;10;9;9;5;4;8;9;3;6
12;5;4;6;5;7;7;6;7;9;3;10;8;9;5;4;8;8;4
13;6;5;4;7;5;7;7;5;7;9;3;9;10;9;4;5;8;8
14;10;6;5;4;7;6;7;6;4;7;8;3;9;11;9;6;5;9
15;7;10;6;5;3;7;6;7;6;4;7;8;3;9;11;8;6;6
16;4;7;10;8;5;3;6;6;7;6;4;6;8;3;9;11;8;6
17;12;5;7;10;8;6;3;6;6;7;5;4;6;8;3;10;10;8
18;3;13;5;6;8;8;6;3;6;5;7;5;4;6;8;3;10;11
19;5;3;13;5;5;8;8;6;3;6;5;7;6;4;3;9;4;10
20;8;5;5;13;4;6;11;8;5;3;8;5;7;6;3;3;9;4
21;10;9;5;6;11;4;6;9;8;5;3;6;5;7;6;4;4;9
22;6;11;9;6;4;10;4;6;9;8;4;3;6;5;8;7;3;4
23;10;6;12;9;6;5;9;4;6;11;8;5;3;6;6;10;5;3
24;12;10;6;14;7;6;4;11;6;8;10;9;5;3;6;4;10;6
25;7;12;9;4;14;9;8;7;11;5;8;10;8;3;3;5;5;10
26;11;8;13;8;4;14;8;7;7;10;5;8;10;9;3;4;6;5
27;13;11;8;13;7;4;14;8;9;10;11;6;8;11;8;3;6;6
28;9;12;11;8;13;8;3;13;7;8;10;11;7;8;11;7;2;9
29;8;9;13;11;11;14;10;5;11;7;8;9;11;8;9;11;7;2
30;9;10;7;15;10;11;14;13;5;11;6;8;7;11;5;9;12;8
31;8;10;13;9;15;11;11;15;13;6;12;6;8;6;13;4;9;8
32;13;8;10;13;11;13;11;12;13;11;6;11;6;8;6;13;4;9
33;9;13;9;10;12;10;14;10;11;11;10;7;11;6;7;6;12;4
34;13;12;12;11;11;10;10;12;9;12;11;9;7;12;7;6;6;14
35;12;11;13;13;13;11;10;9;11;10;9;11;11;8;12;8;6;5
36;10;13;12;15;13;14;11;12;8;11;11;10;10;11;8;13;7;6
37;16;9;12;14;13;14;14;11;12;6;11;11;8;10;10;6;14;8
38;10;17;11;13;15;12;12;14;11;11;6;12;12;7;9;12;6;13
39;10;9;17;9;14;15;12;13;12;11;10;6;13;10;7;10;11;6
40;19;10;9;19;8;12;17;12;15;11;11;10;6;13;10;7;11;12
41;7;20;10;9;18;9;11;17;10;16;10;11;8;6;13;11;8;11
42;10;8;20;11;9;20;9;12;19;12;17;10;11;8;6;13;12;8
43;13;9;9;20;9;9;18;8;12;20;13;16;10;11;8;6;13;12
44;9;13;9;9;17;9;9;17;7;11;19;11;17;11;11;8;6;13
45;22;9;15;9;8;17;9;9;16;7;12;18;11;17;11;12;10;7
46;4;23;9;16;10;8;17;9;9;17;7;11;18;12;16;12;12;10
47;14;4;23;9;15;10;8;16;9;9;17;7;11;16;11;17;10;13
48;8;15;5;24;9;15;10;8;15;9;9;16;8;11;16;10;16;12
49;3;7;15;7;23;9;15;10;8;15;9;9;15;8;11;18;9;15
50;7;4;8;16;7;23;8;15;10;8;15;10;9;15;8;13;18;9
51;7;7;4;8;16;7;23;8;15;10;9;14;10;9;15;10;12;19
52;6;7;8;4;8;16;7;23;8;15;10;10;14;10;9;15;11;12
53;11;6;7;8;4;8;15;8;23;8;15;10;10;14;10;10;14;11
54;12;12;6;7;8;4;9;13;8;22;8;15;11;10;14;11;10;15
55;13;12;12;7;7;8;4;9;13;8;23;8;15;11;9;13;10;10
56;9;13;12;14;6;7;9;4;9;13;7;23;9;15;12;9;12;8
57;5;8;13;11;13;6;8;9;4;9;14;7;23;10;15;12;9;12
