"Popolazione per età, vista per singola area - Comune: 001216 - Rivara"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Rivara"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;24;18;24;24;17;20;34;23;32;27;23;25;17;19;24;14;15;22
1;27;27;17;26;22;20;18;33;23;29;31;25;25;17;19;23;15;15
2;22;29;24;16;26;22;21;18;32;25;29;33;25;22;17;18;24;16
3;31;22;27;25;20;27;24;19;19;32;22;31;35;28;24;17;20;25
4;26;30;23;26;21;17;31;25;22;19;30;22;33;32;26;25;18;21
5;23;23;30;20;26;21;14;30;24;24;20;30;20;33;29;31;25;18
6;18;21;21;28;22;27;21;15;29;20;26;22;29;22;32;28;31;22
7;28;18;21;21;30;21;29;22;17;30;20;26;21;31;21;31;26;28
8;24;27;20;21;20;33;20;32;22;17;31;22;28;23;31;22;30;29
9;31;24;24;20;21;20;35;20;33;22;17;29;22;27;23;33;22;28
10;18;30;23;24;21;21;19;34;21;29;24;16;29;23;24;24;32;23
11;23;19;30;23;21;22;24;19;33;20;29;25;15;28;24;23;24;32
12;19;23;19;30;22;22;21;25;20;33;21;29;25;14;26;24;21;23
13;25;19;23;19;31;24;23;21;24;19;34;21;30;26;14;28;24;18
14;19;24;19;23;22;32;28;23;20;25;20;37;21;29;22;17;28;24
15;16;18;27;19;23;23;33;30;25;19;25;21;38;21;27;22;16;28
16;23;16;17;28;20;23;23;34;30;24;19;25;20;38;20;26;23;15
17;24;24;16;16;29;21;25;22;34;29;23;20;25;20;37;19;25;22
18;20;22;22;16;17;32;24;24;24;34;29;24;20;26;22;36;19;24
19;35;22;20;21;19;16;34;26;25;23;32;31;25;20;23;19;34;18
20;30;38;22;19;22;22;21;37;24;23;24;33;32;29;17;24;19;34
21;31;32;39;20;21;23;25;24;42;21;23;26;35;29;30;18;22;19
22;33;30;31;37;20;26;25;23;25;38;22;23;25;29;29;30;19;22
23;31;32;26;28;39;23;28;26;23;24;35;22;23;28;27;27;28;20
24;37;33;33;25;29;38;23;29;27;28;24;34;20;21;29;26;26;30
25;39;40;36;32;26;30;32;22;29;31;30;25;35;22;25;23;27;27
26;34;38;40;30;31;27;34;31;24;31;27;27;28;38;22;22;28;28
27;35;34;37;37;30;32;26;32;32;25;28;28;31;24;37;18;23;29
28;37;31;34;36;31;29;34;19;34;31;24;28;26;27;24;37;18;21
29;31;33;32;38;40;32;32;31;24;34;27;23;26;30;23;27;34;17
30;44;31;33;38;38;45;38;33;30;22;32;29;24;25;27;26;28;35
31;44;44;32;33;42;40;48;43;39;32;20;34;29;24;25;24;25;27
32;33;43;47;28;30;44;38;44;41;35;30;20;34;27;21;26;24;28
33;42;32;42;41;30;30;47;40;46;38;31;31;22;32;26;24;27;23
34;47;39;31;38;37;30;33;40;43;44;37;27;32;21;34;22;24;26
35;52;46;33;32;43;38;31;33;36;42;45;36;28;37;20;36;25;23
36;40;46;47;36;33;43;47;34;35;40;42;49;34;31;36;21;34;25
37;30;40;40;46;37;36;43;45;36;34;40;45;48;38;31;37;21;33
38;50;30;40;41;43;39;40;40;43;34;34;41;45;49;37;32;35;20
39;44;48;30;43;41;43;42;39;38;43;34;36;40;44;47;35;32;35
40;42;44;45;30;43;43;42;43;38;39;42;34;37;42;42;47;34;30
41;44;43;44;44;34;40;41;44;40;39;40;42;31;37;43;42;50;33
42;34;45;42;44;45;35;40;40;46;41;41;39;42;36;35;42;40;49
43;40;35;42;43;47;46;34;43;39;47;40;41;38;41;34;35;39;39
44;37;41;34;42;45;45;48;39;43;42;47;40;39;41;39;35;33;38
45;39;38;43;34;42;45;48;49;39;39;45;47;42;40;40;39;33;36
46;40;39;39;43;37;45;43;47;51;39;40;44;45;41;40;39;39;31
47;34;42;38;39;46;38;42;43;46;50;38;39;41;46;42;42;37;37
48;38;33;40;38;41;48;40;39;43;47;51;40;36;43;47;40;43;31
49;46;38;32;39;38;41;46;40;40;36;44;48;38;37;42;48;40;40
50;50;47;38;32;37;37;44;46;38;39;35;44;47;39;39;40;47;39
51;35;49;45;37;35;37;38;42;47;35;39;37;41;48;40;37;40;48
52;37;35;49;45;37;35;40;40;40;44;33;37;38;41;49;39;38;39
53;30;38;34;49;43;38;34;40;40;40;43;32;38;41;39;48;40;39
54;37;30;35;34;49;45;39;33;40;42;39;42;32;37;40;39;47;40
55;28;38;30;36;32;45;47;39;30;40;38;37;43;32;36;40;37;48
