"Popolazione per età, vista per singola area - Comune: 001228 - Rosta"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Rosta"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;30;46;43;36;33;27;53;56;32;62;56;47;42;40;34;35;35;31
1;27;29;47;44;37;34;39;57;57;36;55;56;55;42;49;35;42;37
2;30;30;29;50;51;41;43;43;61;56;40;58;59;50;44;48;33;41
3;30;33;31;30;55;54;51;47;41;61;58;39;56;57;49;47;53;33
4;35;29;36;32;29;56;67;49;45;42;58;60;41;59;59;53;50;51
5;24;37;28;36;33;30;66;63;53;46;45;59;61;44;63;59;52;49
6;26;24;34;32;38;37;35;65;60;54;47;42;62;60;47;63;64;51
7;38;24;26;33;33;37;47;36;66;61;55;47;46;63;63;50;66;65
8;29;38;25;28;34;35;39;48;36;68;63;56;46;50;60;62;50;65
9;40;33;39;26;28;33;37;42;52;35;73;62;55;46;48;61;62;51
10;27;42;33;40;26;32;37;41;45;50;36;72;61;55;49;47;64;64
11;30;27;40;33;39;27;38;39;41;45;51;36;76;62;58;50;50;62
12;23;30;27;40;32;40;33;40;39;41;45;49;37;73;64;57;50;51
13;32;22;32;25;40;32;40;33;41;37;43;42;49;38;73;60;53;51
14;24;29;27;30;24;41;38;43;36;40;40;45;46;48;37;70;57;57
15;27;25;30;30;33;25;43;36;43;37;39;37;47;47;46;39;68;56
16;29;26;25;30;30;38;28;46;35;45;37;37;37;49;46;44;38;66
17;33;29;24;23;31;35;36;29;46;36;46;36;36;36;48;41;38;37
18;19;34;31;28;21;33;35;36;32;49;37;45;35;38;37;45;41;41
19;36;19;32;32;29;18;37;34;32;29;52;37;45;37;39;40;47;41
20;44;36;21;31;30;29;19;34;31;33;29;49;37;47;36;38;40;44
21;34;43;38;20;33;30;34;19;35;32;35;28;50;35;51;36;38;44
22;33;32;41;37;17;39;28;35;27;34;33;36;33;52;39;50;37;35
23;44;34;31;40;37;16;40;35;32;27;34;36;37;37;48;39;50;36
24;45;46;35;32;39;39;20;39;32;36;30;32;35;37;37;42;38;44
25;44;41;46;33;38;39;39;23;34;32;36;34;36;41;38;32;39;35
26;41;43;40;46;32;41;36;44;25;33;33;39;30;38;41;38;34;33
27;59;39;43;42;41;34;46;40;44;27;31;35;36;35;36;45;37;34
28;55;61;44;45;47;49;43;48;43;37;24;33;36;36;35;39;47;35
29;65;52;59;43;46;52;52;49;39;45;36;29;32;38;37;31;34;39
30;56;66;52;62;48;46;63;57;42;46;47;43;34;31;39;34;30;32
31;71;51;68;55;63;49;55;67;58;41;50;52;40;32;42;38;36;30
32;60;67;52;71;54;66;56;63;68;54;42;59;55;42;33;50;42;41
33;52;58;66;63;76;63;79;64;67;71;57;41;56;50;41;31;57;40
34;59;56;52;67;63;83;65;81;65;69;68;56;39;51;55;49;37;53
35;68;69;57;52;68;63;103;71;84;66;71;70;56;36;47;55;49;41
36;67;71;66;65;64;73;80;102;69;81;71;70;69;63;44;45;58;47
37;67;69;69;68;62;69;93;86;104;73;84;76;74;73;64;55;44;63
38;58;67;69;73;71;61;80;97;89;104;76;86;72;72;75;61;55;46
39;41;56;67;72;76;82;73;79;100;90;102;80;85;78;79;74;60;54
40;42;42;60;73;74;76;94;79;77;93;97;98;81;85;75;78;67;61
41;39;47;42;61;74;77;82;96;82;78;92;98;98;88;89;75;83;70
42;49;34;49;44;64;79;82;81;91;87;80;90;100;98;88;89;78;79
43;39;49;36;54;45;71;85;83;88;89;85;82;93;101;98;89;92;79
44;54;37;52;39;53;48;73;87;87;88;85;86;82;91;104;99;91;95
45;56;54;40;51;37;51;53;79;89;85;88;86;91;81;96;103;99;92
46;34;58;54;42;51;41;57;54;79;84;83;88;88;96;86;97;106;96
47;55;31;61;50;41;53;47;60;53;78;85;81;90;88;92;85;94;104
48;59;49;31;58;48;42;61;50;58;53;78;81;82;86;87;88;87;94
49;44;57;50;32;57;49;50;60;52;55;55;71;78;79;85;87;86;87
