"Popolazione per età, vista per singola area - Comune: 001254 - San Secondo di Pinerolo"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: San Secondo di Pinerolo"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;35;26;28;31;30;34;28;25;21;24;39;33;22;26;23;36;25;19
1;31;37;27;28;29;30;33;27;25;28;28;35;32;26;26;23;38;27
2;36;36;40;28;31;31;30;32;29;26;33;26;36;31;29;27;25;37
3;32;39;39;38;29;33;30;33;31;32;23;35;26;35;29;30;29;25
4;15;33;39;36;36;30;36;32;33;33;31;22;33;27;37;29;29;30
5;28;15;33;37;36;37;32;42;30;35;33;30;25;35;30;34;31;30
6;20;27;18;33;37;39;40;32;41;30;37;36;28;26;37;31;37;32
7;23;22;26;20;34;37;40;41;35;40;33;38;40;30;26;39;33;39
8;31;21;21;25;19;35;38;43;43;33;39;34;37;38;27;26;40;36
9;24;32;22;20;24;19;38;37;44;43;33;38;35;39;38;27;28;42
10;21;24;33;24;20;27;19;40;38;46;42;33;38;33;37;38;26;30
11;32;24;26;29;25;21;25;17;40;39;45;42;33;40;35;34;38;26
12;31;32;24;26;32;25;20;30;21;38;38;45;44;33;37;36;32;42
13;23;32;28;23;26;33;24;20;30;24;37;41;42;47;31;39;36;32
14;26;26;34;29;22;27;34;25;21;30;26;35;43;39;45;30;38;34
15;31;25;26;34;30;22;30;33;23;21;30;22;35;43;39;41;31;36
16;24;30;27;26;36;27;23;33;33;24;20;29;22;36;42;39;41;31
17;28;23;30;27;26;35;30;24;32;33;23;21;29;21;36;43;37;42
18;20;27;24;32;27;28;35;28;28;29;32;22;23;31;23;38;43;42
19;36;22;27;27;33;27;27;34;28;25;30;30;21;22;30;26;38;43
20;26;35;23;24;27;32;30;28;32;30;23;31;29;21;20;30;25;37
21;30;26;34;22;26;26;32;30;27;29;29;23;29;28;21;19;26;25
22;34;26;27;35;23;28;23;32;35;26;31;27;22;29;28;22;20;26
23;26;31;28;29;37;24;29;27;37;33;23;27;28;20;27;33;25;19
24;19;29;29;31;27;35;24;30;29;37;33;20;27;28;19;27;34;25
25;35;19;30;23;32;27;33;29;30;34;36;35;20;30;33;18;29;29
26;46;37;17;27;25;32;27;34;33;31;34;35;29;17;29;34;23;32
27;39;43;41;18;28;25;35;24;34;26;33;32;38;27;21;36;33;22
28;56;39;44;43;18;28;33;41;25;41;31;34;35;35;27;20;33;30
29;44;52;42;45;39;15;29;34;40;28;39;33;25;43;38;27;22;30
30;42;48;51;39;44;42;23;29;31;42;31;41;29;26;44;39;30;21
31;45;46;50;50;44;47;39;30;33;29;43;29;34;28;28;42;34;32
32;62;48;46;45;45;49;45;41;37;35;30;45;30;32;28;28;46;35
33;58;58;48;41;44;42;52;44;37;42;33;28;46;33;36;31;33;47
34;67;56;59;44;40;44;43;56;50;40;45;33;27;48;35;38;34;32
35;49;65;58;59;45;44;44;49;52;54;40;43;32;30;54;40;39;34
36;58;49;70;57;65;46;38;44;51;53;49;37;40;35;27;54;44;39
37;54;61;52;65;50;69;45;46;47;55;53;46;35;41;35;28;54;40
38;50;50;65;51;64;49;69;48;44;47;54;54;47;35;39;31;32;57
39;41;54;51;65;56;62;52;69;49;45;50;48;52;48;33;39;30;36
40;42;44;54;52;59;57;63;56;67;52;44;51;51;48;49;34;43;32
41;42;41;46;58;58;58;59;63;55;71;56;45;53;54;50;49;33;43
42;47;44;44;46;58;61;58;58;64;55;71;60;49;53;55;51;49;36
43;41;43;45;44;44;60;67;61;58;64;53;73;62;46;51;56;54;47
44;45;39;45;51;47;45;61;63;62;60;62;55;73;63;44;53;56;57
45;49;43;41;42;51;44;46;62;66;62;60;65;57;75;60;46;58;59
46;33;50;43;43;39;49;45;46;61;70;61;59;66;57;75;58;49;58
47;48;32;49;47;44;41;49;48;51;59;69;58;60;66;58;76;55;46
48;47;47;31;49;47;44;41;48;54;50;58;64;58;62;66;56;75;53
49;51;47;51;30;51;47;46;40;52;54;49;54;64;59;61;68;53;76
50;45;52;45;51;34;52;50;44;41;51;53;49;57;64;59;60;69;57
51;44;45;52;47;49;33;56;49;47;44;50;53;45;54;64;60;60;69
52;59;46;44;52;47;47;36;53;52;46;42;51;51;47;57;70;63;58
53;51;58;47;42;54;47;48;38;53;51;47;41;50;51;48;58;68;68
54;56;52;63;48;43;55;50;50;39;54;49;46;41;53;47;49;62;69
55;41;53;53;64;46;45;56;51;47;39;54;49;44;39;56;47;47;63
56;38;41;50;52;67;46;46;54;51;47;39;56;52;46;42;54;46;47
57;47;40;40;46;51;65;46;44;52;52;50;41;55;52;45;44;54;46
58;50;47;40;41;45;50;66;46;46;53;52;48;39;53;52;46;45;52
59;58;49;48;39;40;45;51;68;47;45;55;53;50;40;53;53;47;46
60;62;57;49;52;39;40;46;48;66;45;46;54;52;48;41;54;53;46
61;47;62;55;50;52;39;42;42;49;64;45;44;53;53;49;40;54;51
62;72;49;61;52;48;52;40;40;44;49;64;45;43;53;50;50;42;51
63;46;72;49;58;53;44;50;40;40;44;52;65;44;45;53;46;52;43
64;49;46;69;47;56;51;43;51;39;41;45;52;64;44;44;51;49;49
65;61;50;46;68;47;53;55;44;51;39;43;45;52;65;43;45;51;47
66;48;59;50;45;67;46;53;55;44;51;40;44;44;49;63;43;46;51
67;40;49;61;50;42;63;47;50;55;44;49;40;43;43;49;65;45;46
68;31;40;49;56;51;39;63;46;49;57;46;49;40;43;45;52;62;45
69;34;31;39;49;57;49;39;62;44;52;56;45;48;39;43;41;49;59
70;40;31;32;39;48;58;46;42;61;44;52;56;43;48;39;43;42;47
71;42;40;30;33;38;47;58;46;43;62;43;52;55;44;47;39;43;41
72;33;42;40;30;31;39;45;55;45;42;61;42;52;54;43;46;39;43
73;34;32;39;39;31;31;38;44;57;47;42;60;42;51;56;42;45;38
74;29;33;31;38;40;31;31;38;43;53;47;42;58;41;51;53;39;44
75;30;27;32;32;34;40;30;29;38;38;53;47;41;55;41;50;51;41
76;29;31;27;29;28;34;41;29;28;35;37;48;46;40;55;42;49;50
77;32;29;35;27;30;28;36;39;29;25;33;38;47;43;41;53;41;46
78;26;30;26;35;28;27;27;33;38;29;25;34;36;45;43;43;50;40
79;28;29;29;27;34;25;24;26;33;34;30;24;32;34;44;43;38;46
80;21;29;27;28;26;31;24;24;26;29;32;29;23;30;31;43;41;40
81;24;20;30;27;28;24;31;25;21;26;27;31;27;24;28;30;42;42
82;16;21;17;30;24;26;22;29;23;21;25;23;30;27;23;29;28;36
83;11;15;18;17;31;24;21;22;25;22;19;25;23;28;26;21;27;27
84;8;10;12;22;16;31;21;21;18;25;21;17;24;22;22;25;19;25
85;15;7;10;10;20;14;30;21;20;19;23;20;16;20;20;26;21;16
