"Popolazione per età, vista per singola area - Comune: 001263 - Sestriere"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Sestriere"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;10;5;9;10;10;7;6;11;6;9;7;5;10;7;8;3;6;6
1;8;8;4;10;10;10;7;8;12;5;9;8;5;9;8;5;5;6
2;12;8;8;5;9;12;9;9;6;11;4;9;6;6;8;7;4;3
3;6;12;9;10;6;8;12;10;8;6;11;7;9;9;7;5;9;6
4;7;5;10;8;9;5;7;11;9;8;6;11;10;9;9;7;3;8
5;9;7;5;11;10;7;4;6;7;9;9;6;12;11;9;9;5;3
6;8;8;9;5;12;11;6;4;6;7;9;9;7;11;10;9;8;8
7;5;8;9;10;5;12;11;7;5;6;7;9;8;8;12;9;11;7
8;12;5;8;8;10;7;10;12;8;4;6;8;10;7;7;15;8;11
9;9;12;5;9;8;8;6;9;12;7;4;7;8;10;6;7;15;8
10;6;9;11;5;11;5;6;7;9;11;7;5;9;8;11;6;7;16
11;8;6;10;14;5;13;5;7;5;12;11;6;5;9;8;11;5;7
12;10;8;6;10;13;5;13;6;7;5;13;11;6;4;11;9;11;5
13;8;9;7;6;10;13;6;13;6;6;5;13;11;8;5;10;9;10
14;9;8;10;7;7;11;11;4;12;6;6;6;13;12;8;5;10;9
15;4;9;8;9;7;7;10;11;3;12;6;6;6;13;13;8;4;8
16;6;4;7;9;9;7;7;11;11;3;12;6;6;6;10;13;8;4
17;5;6;4;7;8;9;7;6;11;11;3;12;8;5;6;10;13;7
18;11;5;6;8;9;9;7;7;7;10;11;4;12;7;5;7;11;11
19;7;11;5;6;7;7;12;10;6;8;11;11;5;12;6;5;8;11
20;10;9;13;5;10;6;7;11;10;6;8;12;13;7;13;6;5;8
21;6;11;10;14;7;12;8;7;11;11;7;9;13;12;5;12;6;7
22;5;4;12;9;14;8;9;9;9;11;12;9;7;13;11;5;11;8
23;14;7;7;12;10;13;10;9;9;12;10;12;10;7;16;10;5;14
24;14;13;8;6;13;11;12;10;10;9;12;13;11;11;6;18;12;5
25;18;17;12;8;9;12;10;14;11;9;9;11;13;12;11;7;17;12
26;11;19;16;13;10;10;10;10;15;12;9;11;11;13;12;12;7;17
27;16;13;17;18;11;8;10;11;13;14;12;8;13;11;13;12;12;8
28;14;15;13;16;19;15;10;9;10;12;16;14;9;13;11;14;12;11
29;21;10;19;13;16;18;12;12;8;10;12;16;16;10;13;10;13;12
30;12;20;9;19;15;16;14;14;10;9;10;13;16;17;10;13;10;13
31;15;15;26;11;16;16;13;12;12;10;10;12;13;17;17;14;13;9
32;18;16;16;27;11;15;16;15;14;13;11;10;12;14;18;18;11;13
33;11;17;16;15;26;14;14;14;14;15;14;11;9;13;13;16;17;11
34;14;10;23;13;16;21;11;13;14;15;13;13;10;10;12;14;15;15
35;20;14;9;23;16;15;17;11;13;15;15;13;14;10;10;13;11;14
36;17;19;16;9;23;19;13;16;12;14;14;15;16;14;9;9;14;12
37;16;16;19;14;9;21;21;14;15;14;14;16;21;14;14;9;9;15
38;17;17;15;22;14;11;20;21;18;16;14;14;17;21;14;14;9;6
39;14;18;15;16;22;14;12;24;23;16;15;15;12;16;18;16;14;10
40;15;11;21;21;17;22;15;8;25;21;15;15;16;10;16;18;17;16
41;23;15;11;20;20;18;20;17;6;26;20;14;13;14;10;16;18;21
42;14;22;15;12;19;18;21;24;18;8;26;21;13;13;15;10;16;19
43;15;13;20;13;13;17;16;22;23;17;9;24;20;16;13;16;11;16
44;20;13;14;20;15;13;17;14;24;21;15;7;24;21;17;13;15;10
45;12;19;11;14;21;17;13;17;13;24;23;14;7;23;22;16;15;16
46;16;11;19;14;15;21;17;13;17;11;23;23;13;7;23;22;16;14
47;14;17;12;18;12;13;23;18;9;17;11;24;23;16;9;25;21;19
48;17;12;16;12;18;12;14;25;15;9;16;12;23;24;19;13;25;21
49;11;17;13;14;11;16;13;14;26;15;11;17;11;22;25;19;15;24
50;10;11;16;12;14;12;17;14;15;27;14;11;18;11;23;22;20;15
51;17;10;11;16;13;14;11;17;14;13;28;17;12;18;10;23;20;21
52;11;16;10;10;20;12;16;11;17;14;14;29;19;11;21;12;24;20
53;10;10;16;10;10;20;13;18;9;17;14;14;29;17;11;19;13;25
54;21;9;9;15;11;10;19;14;19;9;17;13;15;30;17;13;17;14
55;8;20;10;9;15;12;9;16;12;18;9;15;14;14;28;15;16;18
56;8;6;18;10;9;15;12;10;17;13;18;9;18;15;14;28;14;16
57;7;8;6;17;10;8;15;11;9;16;16;17;10;18;16;14;29;14
58;8;7;7;6;17;8;8;14;11;8;16;14;17;10;18;15;11;27
59;10;7;6;8;7;16;8;8;14;11;8;15;14;17;10;18;14;10
60;11;9;7;5;8;6;17;7;8;12;11;8;15;15;16;9;17;14
61;8;11;9;7;4;6;7;15;5;8;9;10;6;15;16;15;9;16
62;8;8;12;9;8;4;7;6;15;4;8;8;9;7;15;14;15;9
63;15;5;8;11;9;7;4;7;5;16;4;8;7;9;8;15;14;14
64;5;17;5;8;11;9;6;4;6;5;15;4;8;9;9;8;14;14
65;6;5;17;5;8;11;7;7;4;6;5;16;4;8;8;9;8;14
66;4;6;5;17;5;8;10;7;6;4;6;5;17;4;8;7;8;8
67;5;3;4;5;17;4;8;9;6;5;4;7;5;16;4;8;9;7
68;4;5;3;5;6;16;3;8;8;7;5;5;6;5;16;6;8;9
69;5;4;5;3;5;7;14;4;9;8;7;4;5;6;5;16;6;8
70;7;5;3;6;3;5;7;14;4;8;8;7;4;3;5;5;15;6
71;7;7;5;3;6;3;5;7;12;4;7;8;7;4;2;5;5;15
72;7;8;8;5;3;5;3;5;6;12;3;7;8;7;4;2;7;5
73;3;7;10;7;5;3;5;3;5;6;12;3;6;6;7;4;2;7
74;2;3;7;8;7;5;3;4;2;5;6;11;3;6;6;6;4;2
75;8;2;3;7;7;6;5;3;4;2;5;6;12;3;6;5;7;3
76;4;7;2;3;7;7;6;5;3;4;2;5;7;10;3;5;5;7
77;4;3;7;2;2;7;7;5;5;3;3;1;5;7;11;3;4;6
78;1;4;3;7;2;2;7;7;5;5;3;3;1;5;7;10;3;5
79;4;1;4;3;7;1;2;6;7;5;4;1;3;1;5;7;10;3
80;2;4;1;2;3;7;1;2;6;5;4;2;1;3;1;4;6;9
81;1;2;4;1;1;4;7;1;2;5;4;4;1;1;3;1;4;5
82;1;1;2;5;1;1;4;7;2;2;4;3;3;1;1;3;1;4
83;0;1;1;2;5;1;1;4;7;2;2;4;3;2;1;1;3;1
84;0;0;1;1;2;5;1;1;3;6;1;2;4;3;2;1;1;1
85;0;0;0;1;1;2;3;1;1;3;6;1;2;4;3;2;0;1
86;3;0;0;0;1;1;1;3;1;1;3;4;1;1;3;3;2;0
87;2;2;0;0;0;1;1;0;3;1;1;3;4;1;1;3;3;2
88;0;1;2;0;1;0;1;1;0;3;1;1;3;4;1;1;2;3
89;1;0;1;2;0;1;0;0;1;0;2;1;1;3;4;1;1;2
90;1;1;0;1;2;0;1;0;0;1;0;2;1;1;3;3;2;1
91;0;0;1;0;1;0;0;1;0;0;1;0;2;1;1;2;3;2
92;0;0;0;1;0;1;0;0;1;0;0;1;0;2;1;1;2;3
93;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;2
94;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1
95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100 e oltre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Totale;839;819;842;863;898;888;862;884;872;872;873;886;916;927;939;936;932;939
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;4;2;3;4;6;5;6;6;4;0;4;3;4;4;4;2;4;4
1;4;2;2;4;4;6;5;6;6;3;2;5;3;5;5;3;2;4
2;7;4;1;2;4;4;5;4;5;6;3;1;4;3;5;3;2;2
3;2;6;4;3;2;3;4;6;4;5;6;5;2;6;4;3;5;2
4;4;2;5;4;3;2;3;4;6;4;5;6;5;2;6;4;1;5
5;4;4;2;5;4;3;2;3;3;6;4;5;6;6;2;6;3;1
6;7;4;6;2;5;5;2;2;3;3;6;4;5;6;6;2;5;4
7;3;7;4;7;2;5;5;2;3;3;3;6;4;6;6;5;2;4
8;4;3;7;5;7;4;4;6;3;3;3;3;7;4;6;9;5;2
9;4;4;4;8;5;5;4;3;5;3;3;4;3;7;4;6;9;5
10;3;4;3;4;9;2;4;4;3;4;3;4;4;3;7;4;6;10
11;5;3;4;4;4;11;2;4;3;5;4;2;4;4;5;7;4;6
12;7;5;3;4;4;4;11;2;4;3;6;4;2;4;5;6;7;4
13;4;7;5;3;4;4;5;11;2;4;3;5;4;4;4;4;6;7
14;4;4;7;6;4;4;4;3;11;2;4;3;5;4;4;4;4;6
15;1;4;4;7;6;4;4;4;3;11;2;4;3;6;3;4;3;3
16;2;1;3;5;7;6;4;4;4;3;11;2;4;3;4;3;4;3
17;2;2;1;3;5;7;6;4;4;4;3;11;4;3;3;4;3;3
18;8;2;2;2;3;5;6;6;4;3;4;3;11;3;3;4;4;3
19;4;8;2;2;2;2;6;7;5;4;3;5;4;11;3;3;5;4
