"Popolazione per età, vista per singola area - Comune: 001294 - Verrua Savoia"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Verrua Savoia"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;9;14;13;12;10;8;12;10;11;9;9;10;7;11;9;6;7;7
1;13;7;11;11;12;10;8;13;10;14;8;9;11;7;8;10;6;8
2;13;14;7;11;9;11;11;7;12;8;14;8;9;9;7;9;10;6
3;12;10;14;7;11;11;13;13;5;14;10;17;7;12;8;7;8;10
4;20;11;9;13;9;13;13;11;15;5;15;10;18;6;10;5;7;10
5;15;20;9;10;13;9;11;14;12;12;6;16;10;15;5;10;7;7
6;11;14;19;9;9;12;10;10;13;12;11;6;16;12;13;5;12;7
7;18;11;14;19;15;13;15;10;10;16;14;13;7;13;13;14;5;12
8;7;19;10;14;21;16;14;13;10;14;14;13;15;7;12;12;12;8
9;13;6;18;10;13;21;16;12;13;9;14;15;13;15;7;12;12;12
10;14;14;5;18;10;15;21;18;13;15;10;13;13;12;15;7;12;12
11;9;14;15;5;20;10;16;18;18;13;15;11;11;13;11;14;7;13
12;22;8;14;13;7;20;10;15;18;18;12;16;10;12;13;12;15;7
13;8;21;6;13;12;7;19;10;17;19;17;11;17;10;11;13;11;14
14;8;8;20;6;13;13;6;19;11;17;18;17;11;15;10;11;12;12
15;13;8;7;20;6;13;12;6;19;11;18;18;18;10;15;8;11;13
16;9;15;9;7;21;6;13;14;6;19;13;18;18;18;13;15;8;11
17;10;9;14;9;7;19;6;13;14;6;20;11;18;18;19;10;12;9
18;10;11;8;13;8;8;19;8;14;15;6;20;12;19;18;21;11;13
19;11;8;12;9;12;8;8;17;8;14;12;6;22;10;19;19;20;9
20;7;11;7;12;9;13;8;6;18;8;15;12;5;21;9;22;20;15
21;16;7;11;8;14;7;12;7;6;18;8;16;11;5;20;10;18;20
22;12;13;10;11;8;11;6;12;6;7;22;7;17;11;6;18;11;17
23;11;14;13;9;8;7;10;9;11;7;6;19;9;17;11;7;21;11
24;12;12;13;11;10;6;7;9;9;10;10;7;21;7;17;15;7;19
25;20;11;11;11;12;10;8;7;9;9;10;11;6;23;9;17;10;5
26;10;19;8;13;11;10;14;9;11;9;10;10;10;7;24;11;18;9
27;23;9;15;7;13;13;13;14;8;11;11;11;9;9;7;23;12;18
28;15;21;10;19;10;14;10;11;14;7;13;12;11;9;8;4;23;13
29;12;15;19;11;18;9;15;13;11;13;6;13;11;9;10;7;4;21
30;17;13;12;19;10;18;12;18;9;10;15;5;11;10;8;10;7;4
31;24;19;14;13;20;14;19;13;13;14;9;21;7;13;9;9;7;6
32;24;26;18;13;15;21;17;16;15;16;18;10;18;8;11;9;8;8
33;19;25;27;17;10;18;21;18;14;15;19;20;8;18;8;9;9;8
34;16;20;26;29;15;9;19;21;17;16;15;18;21;7;15;9;9;8
35;28;17;21;21;25;15;16;15;20;19;17;14;18;19;7;15;7;10
36;32;29;16;15;26;26;14;15;15;19;22;16;15;19;20;8;16;6
37;31;33;29;17;25;28;25;14;18;14;19;20;19;17;17;17;8;15
38;10;31;33;27;17;25;29;27;20;16;14;17;23;20;18;17;17;8
39;28;12;32;33;26;20;29;28;27;23;14;17;17;22;22;20;16;14
40;21;27;12;33;32;26;18;24;24;27;23;14;17;18;26;23;19;16
41;21;17;27;13;33;30;27;19;27;25;27;24;17;18;18;25;23;20
42;27;24;16;28;17;32;27;25;20;26;27;27;25;18;18;18;24;24
43;31;28;24;16;27;17;29;25;26;27;29;25;28;25;19;15;21;25
44;25;26;27;27;18;27;18;27;24;24;27;25;25;27;25;17;15;21
45;25;27;28;28;31;18;30;18;26;26;24;27;25;24;28;26;13;16
46;21;27;28;30;28;30;18;30;19;26;24;23;26;24;25;26;25;13
47;21;21;28;30;28;30;28;18;29;19;28;27;21;25;22;24;26;26
48;13;22;20;28;27;27;32;28;17;30;19;25;31;20;26;24;23;25
49;14;14;22;20;25;27;29;30;28;15;32;21;25;30;21;24;24;25
50;18;14;15;23;20;23;27;30;29;30;16;31;23;24;31;21;25;25
51;21;18;13;14;24;21;23;25;27;27;32;17;30;22;26;30;20;28
52;20;21;18;12;12;26;21;22;25;26;26;30;17;29;22;26;29;21
53;19;20;19;18;17;12;26;20;22;26;25;25;30;17;29;22;27;29
54;21;19;20;19;19;18;13;27;21;24;25;24;25;27;18;29;21;26
55;15;21;20;20;18;19;17;12;25;22;24;26;25;28;27;19;29;21
56;14;17;20;19;19;19;20;18;13;29;21;24;24;26;28;27;18;29
57;22;14;17;23;21;19;19;22;17;16;29;22;24;24;24;28;27;17
58;17;22;14;19;22;21;17;19;20;16;16;28;22;24;25;27;27;27
59;17;17;22;11;19;21;21;20;19;19;18;15;27;22;25;25;27;27
60;23;18;19;21;10;19;19;21;20;21;20;18;15;27;22;25;26;27
61;19;24;16;21;22;11;20;18;23;20;22;24;17;15;27;21;25;26
62;20;19;24;16;21;23;10;20;16;20;21;22;23;18;14;26;21;25
63;25;22;19;26;19;20;24;10;21;18;20;23;21;23;16;14;26;22
64;11;24;22;18;25;19;20;22;10;20;19;21;21;20;25;16;15;27
65;22;11;22;22;18;25;17;20;22;11;19;19;18;21;20;25;15;15
66;20;22;13;20;21;17;23;16;19;23;10;18;18;17;21;20;24;15
67;15;20;22;13;17;21;16;23;16;18;23;8;18;19;18;24;22;24
68;17;15;20;21;13;17;19;17;23;16;16;23;8;16;19;18;21;23
69;27;16;13;17;19;13;20;19;16;21;14;16;23;7;15;19;17;21
70;20;26;16;12;17;19;14;20;19;16;20;14;15;22;7;17;19;17
71;16;22;26;16;10;16;19;14;19;20;16;20;14;15;22;8;16;18
72;21;16;22;24;13;10;13;19;12;19;21;16;20;14;14;20;8;16
73;15;21;16;22;24;12;12;11;17;12;18;18;16;19;14;14;18;9
74;18;15;21;15;22;24;12;12;11;20;12;18;18;15;18;13;14;18
75;8;17;17;21;15;21;23;11;10;11;19;11;17;18;13;20;13;14
76;17;9;16;17;19;15;18;23;11;10;8;18;11;16;18;12;18;12
77;7;16;11;16;17;19;14;18;23;11;9;9;18;12;15;18;13;18
78;13;6;16;11;17;15;15;13;17;24;11;9;12;17;11;15;15;12
79;16;11;7;16;11;19;15;12;9;17;23;10;9;11;17;10;13;15
80;9;14;11;6;14;10;18;13;12;9;16;23;10;9;11;17;10;13
81;13;6;16;11;5;14;10;14;13;10;9;16;21;10;8;11;14;10
82;5;15;5;16;10;5;15;11;15;10;9;10;16;20;9;7;11;13
83;10;4;13;5;12;9;8;12;11;12;9;9;10;14;19;10;7;9
84;5;9;5;10;4;12;8;9;11;9;11;8;8;11;14;17;8;5
85;11;4;8;5;10;5;13;8;5;7;9;7;7;8;11;14;13;8
86;9;9;4;4;5;8;8;13;7;5;7;9;7;6;7;10;12;12
