"Popolazione per età, vista per singola area - Comune: 002091 - Pertengo"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Pertengo"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1;1;0;3;1;1;3;5;3;2;0;4;3;1;8;1;1;1
1;2;1;1;0;3;1;1;4;4;3;2;0;3;2;2;6;1;3
2;2;2;0;1;1;3;1;1;4;4;3;2;1;3;2;2;6;1
3;1;2;2;1;1;1;2;2;1;4;4;3;2;1;3;2;2;4
4;2;1;3;2;1;1;1;2;2;1;4;4;4;2;1;2;2;3
5;1;1;0;3;2;1;1;0;2;2;1;4;4;4;2;1;3;2
6;3;2;1;0;3;1;1;1;0;2;2;2;4;4;4;2;1;2
7;3;2;2;1;0;2;1;1;1;0;2;2;2;4;2;4;2;1
8;1;3;2;2;1;0;1;1;1;1;0;2;2;2;4;1;4;2
9;1;2;3;2;2;1;0;1;1;1;1;0;3;2;2;4;1;3
10;1;1;2;3;2;2;1;0;2;1;1;1;0;3;3;1;3;1
11;2;1;1;2;4;2;2;1;1;2;1;2;4;0;3;3;1;3
12;3;2;1;1;2;3;2;2;1;1;1;1;2;4;0;2;3;2
13;2;3;2;1;2;2;3;2;2;1;1;2;1;2;4;0;2;3
14;2;3;3;2;2;2;2;3;2;2;1;1;2;1;2;2;0;2
15;5;2;3;3;2;2;2;2;3;2;2;1;1;2;1;2;2;0
16;6;5;2;3;2;3;2;1;0;3;3;2;1;1;2;1;2;1
17;6;6;5;2;3;2;3;2;1;0;3;2;2;1;1;2;1;2
18;6;5;5;5;2;3;2;3;2;1;0;2;1;2;1;0;2;1
19;1;6;5;5;4;2;3;2;4;3;1;0;3;2;3;1;0;2
20;4;1;6;5;5;4;2;3;2;4;2;2;0;4;2;3;1;0
21;3;4;2;6;5;5;4;4;3;2;3;2;2;0;4;2;1;0
22;4;3;4;2;4;5;5;4;2;4;2;3;2;2;0;4;1;1
23;4;3;3;2;1;4;5;4;4;2;4;2;3;2;2;0;4;1
24;4;4;3;2;2;2;3;6;2;4;2;4;2;3;2;2;0;5
25;3;3;6;3;1;3;3;3;6;2;4;2;5;3;3;3;2;0
26;6;2;5;7;3;4;3;3;2;6;1;5;2;4;3;2;3;2
27;4;6;2;4;6;2;4;4;4;2;7;2;6;2;3;4;2;2
28;5;3;7;1;5;6;2;6;3;4;2;7;1;7;1;3;2;2
29;4;5;3;8;1;5;6;4;6;3;4;3;5;1;7;1;3;2
30;6;4;4;3;7;1;5;7;6;6;3;4;3;6;1;6;1;3
31;3;6;4;4;2;6;1;4;7;6;6;3;5;3;4;1;6;2
32;1;3;4;3;4;3;7;2;4;5;5;7;3;4;3;4;1;5
33;3;0;2;4;4;4;3;10;2;4;5;5;10;3;3;3;4;1
34;1;4;0;2;4;3;4;5;12;2;3;5;5;10;3;3;1;4
35;2;1;3;0;2;3;3;3;6;13;2;3;5;5;10;3;3;0
36;5;5;1;3;0;3;3;2;4;5;12;3;3;5;5;9;3;3
37;6;6;5;4;6;1;3;2;3;4;5;11;4;3;5;4;9;2
38;7;6;6;4;3;6;1;3;4;3;5;5;10;4;4;6;4;8
39;5;7;6;6;4;3;3;1;3;4;3;5;6;10;4;4;7;1
40;6;5;7;6;6;4;3;3;1;3;3;1;6;5;10;4;4;8
41;5;6;4;7;6;7;4;3;3;2;3;2;1;6;5;7;4;3
42;5;4;6;4;8;6;7;5;3;4;1;3;2;1;6;6;6;4
43;10;5;4;6;5;7;6;7;2;3;4;1;3;3;1;6;6;6
44;6;9;6;4;6;5;7;6;6;3;3;4;1;3;3;1;6;6
45;3;6;9;6;3;6;5;7;5;6;3;3;4;1;4;3;1;6
46;8;3;5;9;7;3;7;7;7;5;5;3;4;4;1;4;3;1
47;5;8;3;5;6;6;3;7;8;7;5;5;3;4;4;1;4;4
48;5;5;6;4;5;6;6;3;6;8;7;5;6;3;4;3;1;5
49;3;5;5;6;4;5;6;6;3;6;8;6;6;6;3;4;2;2
50;5;3;5;5;6;2;5;6;6;5;6;8;6;6;6;3;4;2
51;7;5;5;5;4;6;2;5;7;6;5;6;8;7;6;6;4;4
52;8;6;5;5;6;4;6;2;5;7;6;5;6;8;7;7;6;4
53;7;8;7;5;5;6;4;6;2;5;7;6;6;7;8;7;7;6
54;7;7;8;6;4;5;5;4;7;2;5;7;6;6;6;8;7;6
55;5;7;7;9;6;5;5;5;4;7;2;4;7;6;6;7;8;8
56;3;5;9;5;10;6;5;5;5;4;7;2;4;7;6;6;6;7
57;2;3;5;9;6;8;6;5;5;5;4;7;2;4;7;6;6;5
58;2;2;3;7;9;7;9;6;7;5;5;4;7;3;4;7;6;6
59;7;2;2;3;7;9;7;10;6;7;5;5;4;7;3;4;7;6
60;2;7;2;2;3;6;9;8;9;6;7;5;5;4;7;3;4;7
61;3;2;7;2;2;3;5;9;7;8;6;7;5;5;4;7;3;4
62;3;3;1;7;2;2;3;5;9;7;8;5;7;6;5;4;7;3
63;2;3;3;1;7;2;2;3;5;9;7;8;5;6;6;5;4;7
64;5;2;3;3;3;7;2;2;3;5;8;5;9;5;4;5;5;4
65;3;5;2;3;2;3;7;2;2;3;5;7;5;9;5;5;4;5
66;3;3;5;3;3;2;3;7;2;2;3;5;5;6;7;5;4;4
67;5;3;3;5;3;3;2;3;7;2;2;3;5;5;6;7;5;4
68;2;5;3;3;5;3;3;3;3;7;2;2;3;5;5;6;7;3
69;8;2;4;3;4;4;3;3;3;3;7;2;2;3;4;5;6;6
70;7;6;2;4;3;3;4;4;3;3;3;6;2;2;3;4;5;6
71;9;7;6;2;4;3;3;4;4;3;3;4;6;2;2;3;4;5
72;4;9;7;6;2;4;3;3;4;4;3;3;3;6;2;2;3;4
73;3;3;9;7;6;1;4;3;3;4;4;3;3;3;6;2;2;3
74;4;3;3;9;6;6;1;4;3;2;4;4;2;3;3;5;2;2
75;2;4;2;3;9;6;6;1;4;3;1;4;4;2;3;3;5;2
76;3;2;2;2;3;7;6;6;1;4;3;1;4;4;2;3;2;5
77;3;3;2;2;2;3;6;6;6;1;4;3;1;4;4;2;3;2
78;2;3;3;2;2;2;3;6;6;6;1;4;3;2;4;2;2;3
79;3;2;3;3;2;1;2;3;6;6;6;1;4;3;2;4;2;2
80;5;3;2;3;3;2;1;2;3;6;6;5;1;3;3;1;4;2
81;5;4;2;2;3;3;2;1;2;4;6;5;5;1;3;2;1;3
82;2;4;4;2;2;3;3;3;0;2;4;6;5;5;1;3;2;1
83;1;2;4;4;2;2;2;3;3;0;2;4;6;4;4;0;3;2
84;0;1;2;5;5;2;2;3;3;3;0;2;3;6;4;4;0;3
85;2;0;1;2;5;4;2;1;2;3;3;0;2;3;6;3;4;0
86;0;1;0;1;2;3;4;1;1;0;3;3;0;2;2;6;2;4
87;3;0;1;0;1;2;3;4;0;1;0;2;2;0;2;1;5;2
88;1;3;0;0;0;0;2;3;4;0;1;0;2;2;0;2;1;4
89;1;1;3;0;0;0;0;2;2;4;0;0;0;1;1;0;2;2
90;0;1;1;3;0;0;0;0;2;2;2;0;0;0;1;1;0;2
91;0;0;1;0;3;0;0;0;0;2;1;2;0;0;0;1;1;0
92;1;0;0;1;0;2;0;0;0;0;1;1;2;0;0;0;1;0
93;0;1;0;0;1;0;1;0;0;0;0;1;1;2;0;0;0;1
94;2;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0
95;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0
