"Popolazione per età, vista per singola area - Comune: 002102 - Postua"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Postua"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;0;3;1;2;2;2;4;3;7;4;4;1;5;4;5;1;4;4
1;7;0;2;1;2;2;4;4;4;8;5;4;3;6;3;5;1;3
2;6;7;0;2;0;2;2;4;5;2;8;5;4;2;5;3;6;2
3;3;6;5;0;2;0;2;2;4;4;3;8;5;5;2;5;4;7
4;5;3;5;5;0;2;0;2;2;4;4;3;8;5;5;2;5;4
5;7;5;2;5;5;0;2;0;2;2;4;4;3;8;5;5;2;5
6;5;7;5;2;6;5;0;2;0;2;2;4;4;3;8;5;5;2
7;5;5;8;5;2;6;6;0;2;1;3;2;4;4;3;8;5;5
8;2;5;5;8;4;2;6;7;1;3;1;3;2;4;4;3;8;5
9;2;2;3;5;8;4;2;6;7;1;3;1;2;3;4;4;3;8
10;3;2;2;3;5;8;4;3;6;7;1;3;1;2;3;4;4;3
11;4;3;2;2;3;5;8;5;3;6;7;1;3;0;2;3;4;4
12;3;4;2;2;2;3;5;8;5;3;6;7;1;3;0;2;3;4
13;1;3;4;2;2;2;3;5;9;6;3;6;7;1;3;1;2;3
14;4;1;3;4;2;2;2;3;5;9;6;2;6;7;1;3;1;2
15;7;4;2;3;4;3;3;2;3;5;10;6;2;6;7;1;3;2
16;6;7;4;2;3;4;3;4;3;4;5;9;6;2;6;7;1;3
17;2;5;7;3;2;3;5;3;3;3;4;5;8;5;2;6;7;1
18;6;1;7;7;2;1;3;5;4;3;4;4;5;8;5;2;6;7
19;4;6;1;7;7;2;4;3;5;4;3;4;3;5;8;5;3;6
20;6;4;5;3;7;7;2;3;3;5;4;3;4;4;5;8;5;3
21;5;6;4;5;3;6;7;2;3;3;5;4;3;4;4;5;12;6
22;10;5;6;4;5;3;7;7;2;3;3;5;4;3;4;4;5;13
23;10;10;5;6;6;5;3;6;7;3;3;3;5;4;3;5;6;5
