"Popolazione per età, vista per singola area - Comune: 002142 - Stroppiana"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Stroppiana"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;6;11;10;6;8;8;12;8;10;16;7;10;10;9;6;11;9;10
1;7;6;11;10;8;8;9;11;8;8;17;6;11;12;8;4;10;9
2;11;7;8;12;11;8;7;9;9;8;10;16;6;11;12;7;4;11
3;6;12;10;8;12;11;7;7;10;9;9;8;16;6;12;13;7;6
4;6;6;12;10;7;13;9;8;7;11;9;8;8;14;4;15;13;5
5;10;5;8;12;12;8;13;8;6;7;12;10;8;8;14;5;15;13
6;7;11;7;8;13;13;8;10;8;6;7;12;9;7;6;12;5;16
7;10;9;11;7;8;13;13;8;10;8;6;7;8;8;7;6;13;6
8;12;10;8;11;5;8;13;12;8;10;8;6;8;7;9;8;6;13
9;9;12;10;8;11;5;7;12;12;8;11;9;6;7;9;9;8;6
10;11;8;12;9;8;11;6;7;12;12;8;12;9;8;7;11;10;8
11;15;11;8;11;10;9;12;6;6;11;12;8;12;10;8;6;12;10
12;9;15;11;8;12;10;9;11;6;6;11;14;8;11;10;7;6;12
13;10;8;15;10;8;12;10;9;10;6;6;12;16;7;11;9;6;6
14;5;10;9;13;11;9;12;10;8;11;6;6;12;12;7;11;9;6
15;4;5;10;9;13;12;8;12;8;8;11;6;6;12;14;7;11;9
16;13;4;5;10;7;13;11;9;14;10;8;11;5;7;13;13;7;11
17;11;13;4;5;11;7;14;11;10;12;10;8;12;5;6;13;13;7
18;17;10;14;3;7;11;8;15;12;10;11;11;7;10;5;6;13;13
19;8;15;10;12;4;7;13;8;13;9;9;11;11;7;10;5;5;13
20;12;13;17;10;13;4;5;13;10;13;9;8;9;11;7;9;5;5
21;12;13;12;16;9;16;4;6;14;7;13;9;8;10;11;7;9;5
22;10;11;13;11;17;10;16;6;8;15;6;12;10;9;10;10;7;9
23;12;8;10;14;12;17;11;16;6;7;15;6;12;10;11;11;10;7
24;11;12;9;10;14;13;17;11;15;4;6;15;6;12;10;12;13;10
25;15;13;15;8;10;14;14;18;11;14;4;3;14;8;12;10;11;14
26;11;15;13;14;8;9;15;18;15;11;16;4;6;14;9;7;9;10
27;17;11;17;13;17;10;9;19;19;14;11;16;4;4;17;8;10;14
28;16;19;12;19;16;17;11;14;18;18;14;9;15;5;4;19;8;11
29;19;15;18;14;18;17;15;9;13;15;20;13;12;14;9;6;18;9
30;12;20;19;19;15;19;16;16;9;13;14;19;12;11;14;8;6;16
31;19;16;21;19;19;15;22;19;16;13;16;13;21;12;11;17;9;8
32;16;21;17;20;19;19;19;20;20;17;11;16;13;21;13;9;16;9
33;11;16;20;18;21;23;17;19;18;20;18;12;16;13;19;13;8;17
34;19;12;16;17;15;20;24;21;16;20;21;16;10;12;13;19;11;8
35;16;19;11;17;19;17;16;22;19;15;22;21;19;8;9;12;19;15
36;20;17;21;11;17;19;17;18;22;19;16;21;21;17;8;8;10;17
37;13;19;22;22;13;17;19;17;18;24;17;16;21;21;18;10;7;11
38;24;13;20;22;22;8;17;20;16;19;24;16;16;22;22;19;11;7
39;18;22;12;18;21;23;8;18;20;16;20;23;14;15;21;20;18;14
40;17;18;23;12;17;22;23;9;20;20;18;21;22;14;18;18;20;17
41;17;17;19;25;15;17;23;23;10;22;20;19;21;24;16;19;17;18
42;19;16;18;18;25;16;18;24;24;10;24;21;20;21;24;16;19;17
43;14;19;16;17;19;28;16;19;22;24;9;23;21;19;16;23;18;15
44;16;14;20;16;16;19;28;15;20;22;26;10;23;20;19;16;24;18
45;16;17;14;19;16;18;18;28;14;19;22;28;8;22;20;19;15;25
46;22;16;17;15;20;17;17;18;26;18;19;23;27;8;23;21;18;15
47;16;23;16;16;15;20;18;17;19;25;19;19;21;27;10;21;21;19
48;20;17;24;16;15;16;20;17;17;20;25;20;21;21;25;9;21;22
49;17;23;17;24;16;17;17;19;17;16;20;25;20;21;21;25;9;21
50;18;17;22;17;24;17;17;18;20;18;16;19;25;20;21;21;26;9
51;21;18;17;20;17;27;17;17;18;20;18;16;17;26;20;21;21;26
52;14;21;18;16;19;17;28;15;16;17;19;18;16;16;26;20;22;20
53;13;14;21;17;16;19;17;29;13;16;18;19;18;16;17;26;20;22
54;17;13;14;22;17;18;18;16;28;13;18;18;20;17;17;17;26;20
55;16;16;12;13;22;18;18;17;15;26;13;18;21;21;18;16;18;24
56;16;15;16;12;13;22;19;18;17;17;25;14;18;21;21;18;16;18
57;15;17;15;17;12;13;23;18;18;17;16;26;14;18;21;21;17;16
58;10;15;15;15;17;13;14;23;19;18;17;16;25;14;19;21;21;16
59;17;9;15;15;15;17;14;15;20;19;18;18;16;23;13;19;21;20
60;10;16;9;15;15;15;16;15;15;20;19;18;18;16;24;14;18;21
61;14;8;16;9;15;14;15;14;15;14;20;19;20;18;16;24;14;16
62;20;15;8;15;9;16;14;16;14;15;14;21;19;20;18;16;22;13
63;23;19;15;8;15;9;15;15;17;15;15;14;21;19;21;18;15;24
64;22;23;19;15;8;15;10;14;15;19;15;16;15;21;19;21;17;15
65;15;22;23;19;16;7;15;10;14;16;16;15;15;18;21;19;20;13
66;13;14;22;23;18;16;7;16;10;15;16;16;14;15;18;22;19;19
67;14;12;15;21;23;17;16;7;16;10;15;15;16;14;14;18;22;19
68;13;14;12;14;21;22;15;18;7;16;10;14;15;16;14;14;18;20
69;22;13;16;14;14;21;21;14;18;7;15;10;14;14;14;15;14;18
70;12;22;13;16;13;14;21;21;14;17;7;15;10;14;14;11;15;14
71;18;12;22;14;15;13;14;21;21;14;17;7;14;10;14;14;11;15
72;21;19;12;20;14;13;12;14;19;21;13;16;7;14;9;13;13;11
73;17;21;22;12;20;12;13;11;15;19;21;12;16;8;14;9;13;13
74;15;15;20;20;12;20;12;14;11;16;19;21;13;15;8;13;9;12
75;8;14;16;21;19;12;20;12;14;10;16;19;20;13;16;8;13;9
76;17;7;13;15;21;18;10;20;13;14;10;16;18;18;12;16;8;11
77;17;16;7;12;15;21;17;8;20;13;14;10;15;17;16;10;15;7
78;14;17;16;7;12;15;19;16;7;20;12;16;9;15;17;14;9;14
79;9;14;15;14;6;11;15;18;16;7;20;13;16;9;15;17;12;9
80;10;6;15;16;14;5;12;13;17;15;6;19;13;15;9;13;17;12
81;13;8;6;13;15;14;4;13;9;17;13;6;20;12;15;9;13;15
82;0;11;7;5;12;11;13;4;13;10;17;11;5;19;11;14;8;11
