"Popolazione per età, vista per singola area - Comune: 003120 - Pogno"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Pogno"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;13;14;22;18;8;14;25;15;15;13;10;19;12;10;5;7;8;7
1;18;9;16;24;19;8;17;22;17;13;16;10;16;8;8;6;7;9
2;6;18;11;14;22;17;8;16;21;18;13;18;9;16;7;8;6;10
3;13;8;18;12;14;23;16;10;16;23;21;14;19;10;18;8;4;6
4;6;12;9;19;12;14;22;15;7;17;20;22;13;12;10;16;8;5
5;15;6;12;10;19;11;17;23;12;9;19;21;21;13;12;8;16;9
6;8;15;7;14;10;18;10;21;25;13;8;20;22;21;13;13;9;17
7;11;8;15;8;12;9;17;11;20;23;13;8;20;20;20;12;11;10
8;13;13;8;16;8;9;9;13;10;23;21;14;8;20;21;21;12;12
9;9;14;15;9;18;7;8;9;17;11;23;20;16;7;17;22;20;12
10;3;10;14;15;10;16;8;9;9;18;13;21;21;16;8;17;19;18
11;10;5;10;15;14;10;14;7;10;9;18;14;18;20;17;6;14;21
12;17;12;5;10;15;13;8;15;7;11;9;18;14;16;21;17;6;14
13;18;18;13;4;9;15;12;8;16;6;11;12;19;12;17;23;15;5
14;10;18;18;11;4;8;14;13;9;16;6;11;11;19;12;17;22;14
15;15;10;17;19;11;5;8;11;13;9;15;6;12;11;19;13;17;22
16;14;16;11;18;19;12;6;9;11;12;8;15;6;11;9;19;10;16
17;18;14;20;11;17;19;11;5;10;11;12;8;16;6;12;10;20;9
18;21;16;13;18;12;17;21;11;5;10;11;12;8;17;6;10;10;19
19;12;22;16;13;21;13;17;21;11;5;10;11;11;9;18;8;10;11
20;14;12;24;17;11;20;11;18;21;12;5;9;11;11;9;16;8;10
21;18;17;11;25;17;13;19;11;19;21;11;4;11;11;12;9;17;8
22;22;16;17;11;25;17;14;17;10;18;21;11;4;8;9;13;9;17
23;24;22;17;17;11;22;21;13;17;9;18;19;10;4;8;8;13;11
24;15;27;23;18;17;10;22;20;13;20;9;18;17;10;4;7;8;13
25;25;18;25;23;18;16;10;20;18;13;16;12;16;15;10;3;6;9
26;25;26;21;24;23;18;16;13;18;17;11;15;15;16;14;11;3;7
27;26;23;26;24;25;24;16;18;7;19;15;15;14;12;16;14;9;8
28;12;30;21;27;25;25;27;19;21;7;21;14;14;12;12;15;12;9
29;33;13;32;19;27;19;29;26;17;18;7;21;13;12;10;11;14;13
30;30;33;12;31;22;30;18;31;26;15;19;7;18;13;17;12;11;14
31;26;29;35;15;29;20;32;22;29;30;13;18;8;16;14;16;11;11
32;23;26;32;38;18;28;24;27;24;29;26;14;15;7;13;14;15;11
33;24;19;29;33;40;23;29;20;22;22;27;23;13;11;6;9;12;11
34;20;22;20;29;35;36;27;25;21;22;20;28;23;14;9;7;8;10
35;22;18;21;25;28;31;38;25;25;26;21;24;28;23;12;6;8;12
36;25;24;21;24;30;35;32;37;23;27;26;20;24;28;22;14;6;9
37;32;25;25;25;24;29;36;32;40;21;26;23;21;24;22;20;13;10
38;27;32;28;28;24;24;28;34;32;39;21;26;23;21;22;23;21;12
39;23;27;33;27;29;28;24;29;33;27;35;22;24;22;21;20;22;19
40;28;25;26;30;28;28;25;24;29;34;26;35;24;23;20;23;19;19
41;27;25;23;28;29;29;25;24;25;31;34;26;35;25;25;21;23;18
42;26;30;26;20;28;33;28;25;25;25;31;34;29;35;20;23;22;21
43;27;26;31;27;20;24;33;24;27;24;24;32;35;25;36;21;21;21
44;22;28;29;30;27;21;25;33;24;27;23;26;30;34;25;36;22;19
45;26;21;26;30;28;29;21;25;35;24;26;23;24;29;33;22;36;21
46;20;27;20;26;31;29;28;21;23;33;24;24;23;25;29;32;23;36
47;23;19;27;20;26;31;28;26;22;25;31;23;20;21;26;28;34;23
48;21;25;19;27;21;24;33;26;25;23;25;31;25;20;21;24;30;33
49;19;21;24;21;27;20;25;31;26;23;23;25;31;27;22;22;24;28
