"Popolazione per età, vista per singola area - Comune: 004137 - Montelupo Albese"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Montelupo Albese"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;4;4;6;3;7;6;5;5;4;6;7;10;6;8;3;6;2;2
1;2;4;3;4;3;8;6;5;5;4;6;7;8;6;8;4;5;2
2;5;3;4;4;5;3;5;5;4;5;4;6;5;8;6;6;3;4
3;5;5;3;4;3;6;2;5;5;3;5;5;7;6;7;6;6;3
4;5;5;5;3;4;3;5;2;5;4;5;4;5;9;6;7;6;4
5;4;5;5;5;3;4;2;6;2;5;3;5;4;5;10;5;7;5
6;5;4;5;4;5;3;3;3;6;3;6;4;4;4;3;8;5;7
7;1;5;4;5;4;5;4;4;3;5;4;8;5;4;6;3;8;5
8;2;1;5;5;4;4;6;3;4;3;4;4;7;5;3;7;3;8
9;5;2;1;5;5;4;4;6;3;4;3;5;4;7;5;2;7;3
10;7;5;2;1;5;5;3;4;7;4;4;3;6;5;7;5;2;7
11;5;8;5;2;1;5;5;3;4;7;4;4;3;6;5;5;5;2
12;3;5;8;5;2;1;5;4;4;3;7;5;5;3;5;4;4;5
13;2;3;5;7;6;2;1;6;4;5;3;7;5;5;4;5;4;4
14;3;2;3;5;7;7;2;2;6;5;5;3;6;5;4;4;5;4
15;7;5;2;3;5;7;7;2;1;6;5;5;3;6;5;4;2;5
16;5;7;5;2;3;5;7;6;2;1;6;5;5;3;6;5;4;2
17;4;5;7;4;2;3;5;9;6;2;1;6;5;5;3;6;4;4
18;2;4;5;8;4;4;5;5;7;6;1;2;6;5;5;3;6;4
19;4;2;3;5;8;4;4;7;5;7;6;1;1;6;5;5;3;6
20;2;4;3;5;5;7;5;5;7;5;7;5;1;1;7;5;4;3
21;7;2;3;5;5;5;7;6;3;6;5;8;5;1;2;8;6;4
22;5;7;2;3;3;6;5;9;5;2;6;6;8;5;1;2;6;5
23;2;8;9;2;3;2;5;6;9;6;3;5;4;9;5;1;3;6
24;7;2;6;9;2;3;2;4;5;9;6;2;5;6;11;5;1;4
