"Popolazione per età, vista per singola area - Comune: 004199 - Sale delle Langhe"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Sale delle Langhe"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;8;1;0;6;2;4;6;5;1;2;4;2;2;2;3;5;4;3
1;3;8;2;0;7;4;4;6;5;6;3;3;3;2;3;4;4;3
2;1;3;7;2;1;7;4;4;6;5;5;3;3;2;2;5;3;5
3;6;1;3;6;2;1;7;4;4;6;5;9;4;3;2;3;5;2
4;2;6;1;1;5;2;1;8;4;5;6;4;11;3;3;4;3;3
5;5;2;6;2;1;5;1;1;8;4;5;7;4;13;3;4;2;4
6;2;6;3;5;2;1;5;1;1;7;4;3;7;4;15;5;5;1
7;2;3;6;3;5;3;1;5;3;1;7;4;5;7;4;17;4;4
8;5;2;6;5;3;5;3;2;5;4;1;6;5;3;7;4;10;5
9;2;5;3;5;5;3;4;3;3;5;4;1;6;4;5;7;4;4
10;7;2;7;4;4;5;3;4;3;3;5;5;1;5;4;7;8;4
11;2;7;2;7;4;4;5;4;4;4;3;5;7;0;5;4;4;7
12;6;2;7;2;7;4;4;5;3;4;4;3;5;8;0;5;4;4
13;6;6;3;8;3;7;3;4;5;3;4;4;3;6;10;0;5;4
14;7;6;7;3;8;3;6;3;4;5;3;5;4;3;6;11;0;5
15;5;7;6;7;3;8;3;7;3;4;5;3;5;4;3;6;11;0
16;4;5;8;6;7;3;9;3;7;2;5;4;4;5;4;3;6;4
17;0;4;6;8;6;7;2;9;3;7;3;5;4;4;5;5;3;6
18;2;0;4;5;8;6;8;2;9;3;7;3;4;4;4;5;6;3
19;4;2;0;4;5;7;6;8;3;8;2;5;3;4;4;4;5;4
20;1;5;2;0;5;6;7;6;8;3;9;3;6;3;4;4;3;5
21;4;1;4;3;1;5;6;9;6;8;2;9;3;7;3;4;4;3
22;7;4;1;4;2;2;4;5;7;6;8;2;10;3;8;3;4;6
23;4;8;4;1;4;2;2;4;5;8;7;8;3;9;3;9;3;4
24;5;4;9;4;1;5;2;2;3;5;7;9;7;4;7;5;9;5
25;8;8;4;8;4;2;5;2;3;2;5;8;8;9;5;6;4;8
26;7;9;8;4;9;3;4;4;4;3;2;5;10;10;11;7;8;6
27;6;7;8;6;5;9;3;4;4;6;4;3;4;10;11;11;6;2
28;8;6;9;7;6;7;8;5;2;6;8;5;4;7;12;13;11;4
29;7;6;7;8;6;5;7;5;5;3;7;6;5;3;7;12;11;11
30;7;7;8;7;9;6;5;7;5;4;3;5;6;7;4;10;12;4
31;1;9;9;6;13;8;6;5;8;6;5;3;7;6;7;3;12;10
32;6;1;9;11;7;11;7;5;5;9;6;4;4;7;10;8;2;6
33;10;7;3;10;8;6;12;6;6;5;9;6;4;4;8;11;5;4
34;1;13;7;2;10;7;5;10;7;5;4;10;4;4;4;11;5;6
35;5;1;15;7;2;8;7;7;8;5;6;4;9;4;4;6;7;5
36;4;5;5;15;7;3;9;8;8;8;5;5;6;10;4;4;7;8
37;10;5;7;6;14;7;3;10;8;8;8;4;4;7;9;4;4;3
38;13;12;6;6;4;15;7;3;10;8;8;9;4;5;7;11;5;4
39;6;12;12;6;6;4;15;7;3;10;8;8;9;5;4;6;12;4
40;11;7;12;11;6;7;2;17;7;3;10;8;7;7;5;4;6;7
41;5;12;7;14;11;8;8;3;17;7;3;10;9;8;6;5;6;9
42;4;5;12;7;14;11;7;8;3;15;7;3;9;7;8;6;7;7
43;9;4;6;12;7;14;10;7;8;2;15;9;4;9;8;10;8;6
44;2;9;4;7;12;7;14;11;6;10;1;12;11;4;11;10;6;7
45;4;3;10;4;7;12;7;18;10;6;11;3;12;12;2;13;13;8
46;11;4;3;10;4;6;12;8;18;10;5;11;3;13;10;2;14;10
47;4;11;5;4;10;4;7;12;8;15;10;5;10;3;12;11;2;10
48;7;3;11;5;5;10;4;6;12;8;15;10;4;9;3;11;8;3
49;10;5;4;11;5;5;9;4;6;12;7;14;9;3;9;4;14;8
50;6;9;5;3;9;5;4;9;4;6;12;6;14;8;4;10;5;13
51;11;7;9;5;3;9;5;4;9;4;6;11;7;13;8;4;12;3
52;6;11;7;9;5;3;9;5;3;9;4;6;10;9;14;8;5;10
53;6;6;11;7;9;5;3;11;5;3;9;4;6;10;9;15;9;5
54;13;6;7;11;8;9;5;4;9;5;4;8;4;6;10;11;18;10
55;7;13;6;6;12;8;9;6;4;9;6;4;10;4;5;12;10;16
56;6;7;15;6;6;12;8;9;6;4;9;6;4;10;4;5;12;7
57;4;6;6;15;5;6;11;7;9;6;4;9;6;4;10;4;7;10
58;6;4;6;6;13;5;7;11;7;9;6;5;9;5;5;10;4;7
59;3;6;4;7;6;13;5;7;11;6;9;7;6;9;5;5;10;4
60;7;3;6;4;7;6;13;5;7;11;6;9;10;6;9;5;5;9
61;3;7;3;6;4;6;7;13;5;7;11;6;9;10;6;9;6;5
62;8;4;7;4;6;4;6;7;13;5;7;12;5;8;10;6;10;5
63;4;9;4;7;5;6;4;6;8;13;5;7;12;5;7;11;6;10
64;7;4;8;3;7;5;7;5;6;8;14;6;7;12;5;7;9;4
65;9;7;4;8;3;9;4;6;5;6;7;15;9;7;12;5;6;8
66;8;8;7;4;7;3;8;3;6;6;6;7;16;8;7;12;5;6
67;4;9;7;6;4;7;3;8;3;6;6;6;7;14;8;8;11;5
68;4;4;10;7;6;4;9;3;8;3;6;6;6;7;14;8;7;11
69;12;5;4;10;7;6;4;9;3;8;3;6;6;6;7;14;7;8
70;7;13;5;5;10;7;6;4;8;3;8;3;6;6;6;7;14;6
71;2;7;12;5;5;10;7;6;4;7;3;8;3;6;6;6;7;13
72;4;2;7;12;4;5;9;7;7;4;7;3;8;3;6;6;5;7
73;6;4;2;7;12;4;5;9;8;7;3;7;3;7;3;6;6;5
74;3;6;4;1;7;12;4;5;8;7;6;3;9;3;7;3;6;6
75;9;3;6;4;1;7;12;4;5;8;6;7;3;7;2;7;3;6
76;1;9;3;6;4;1;7;11;5;5;8;5;7;3;7;2;6;2
77;9;1;8;2;6;4;1;7;11;5;6;8;4;7;3;6;2;4
78;5;8;2;7;1;6;4;2;7;10;4;6;8;4;7;3;6;2
79;5;5;8;2;7;1;6;4;2;7;10;3;5;8;4;5;3;6
80;6;4;4;7;2;5;1;6;4;2;7;8;3;5;8;4;4;3
81;1;5;4;1;7;1;5;2;7;2;2;5;8;3;5;6;4;4
82;5;1;5;4;1;2;1;5;1;7;2;2;5;7;2;5;6;4
83;3;4;1;4;4;1;2;1;5;2;6;2;2;5;6;2;4;6
84;1;3;4;1;4;3;1;1;3;5;2;6;2;2;5;6;2;3
85;1;2;3;4;2;4;3;1;1;2;5;2;5;2;2;4;4;2
86;5;1;2;3;4;2;4;2;2;1;2;5;2;5;2;2;4;4
87;5;5;1;1;3;4;1;4;2;2;1;2;5;1;5;2;1;4
88;5;3;6;1;1;2;4;1;3;1;2;0;1;5;0;5;1;1
89;1;5;0;6;1;1;2;4;1;2;1;2;0;0;4;0;4;1
90;2;0;4;0;6;0;1;2;4;1;2;0;1;0;0;4;0;3
91;2;2;0;3;0;4;0;1;2;3;1;1;0;1;0;0;3;0
92;2;2;1;0;1;0;3;0;1;1;2;1;1;0;1;0;0;2
93;0;2;1;1;0;1;0;3;0;1;1;2;1;1;0;0;0;0
94;0;0;1;1;1;0;1;0;2;0;0;1;2;1;1;0;0;1
95;0;0;0;1;1;0;0;1;0;2;0;0;1;2;1;1;0;0
96;0;0;0;0;1;0;0;0;1;0;1;0;0;0;2;0;1;0
97;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0
98;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100 e oltre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Totale;490;503;528;518;520;513;511;527;529;526;528;523;543;540;552;595;574;509
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;3;1;0;5;0;4;2;3;0;2;4;1;1;0;0;2;1;1
1;2;3;2;0;6;0;4;2;3;2;3;3;2;1;1;1;2;1
2;0;3;3;1;0;6;0;4;2;3;2;3;3;1;1;3;1;2
3;2;0;3;3;1;0;6;0;4;2;3;3;4;3;1;2;1;0
4;1;2;0;1;2;1;0;7;0;5;2;3;3;3;3;2;2;0
5;1;1;2;1;1;2;0;0;7;0;5;3;3;3;3;2;1;3
6;0;1;2;2;1;1;2;0;0;6;0;3;3;3;3;3;2;1
7;1;1;1;2;2;1;1;2;2;0;6;0;5;3;3;2;3;2
8;3;1;3;1;2;2;1;1;2;3;0;5;1;3;3;3;2;3
9;2;3;2;3;1;2;2;1;2;2;3;0;5;1;5;3;3;1
10;6;2;3;2;2;1;2;2;1;2;2;4;0;4;1;6;3;3
11;2;6;2;3;2;2;1;2;2;2;2;2;6;0;4;1;3;2
12;2;2;6;2;3;2;2;1;1;2;2;2;2;7;0;4;1;3
13;6;2;3;6;3;3;1;2;1;1;2;2;2;3;9;0;4;1
14;4;6;3;3;6;3;3;1;2;1;1;3;2;2;3;10;0;4
15;2;4;6;3;3;6;3;3;1;2;1;2;3;3;2;3;9;0
16;4;2;5;6;3;3;6;3;3;1;2;1;2;3;3;2;3;3
17;0;4;3;5;6;3;2;6;3;3;2;2;1;2;3;3;2;3
18;1;0;4;2;5;6;4;2;6;3;3;2;1;1;2;3;2;2
19;2;1;0;4;2;5;6;4;3;6;2;2;2;1;1;2;3;2
20;0;2;1;0;4;3;5;6;4;3;6;3;3;2;1;1;2;3
21;0;0;2;2;1;4;3;7;6;4;2;6;3;4;1;1;1;1
22;4;0;0;2;1;1;3;3;5;6;4;2;6;3;5;1;1;1
23;3;5;0;0;2;1;1;3;3;5;7;4;2;5;3;6;1;1
24;2;3;5;0;0;2;1;1;3;3;4;8;3;2;5;2;5;1
25;3;4;3;5;0;1;2;1;1;2;3;4;7;4;3;4;3;3
26;5;4;4;3;5;0;2;2;1;1;2;3;5;8;4;4;4;4
27;4;5;4;4;3;5;0;2;2;1;2;2;2;5;9;4;3;0
28;5;4;5;3;4;4;5;0;0;2;3;3;3;5;5;10;4;2
29;3;3;5;5;2;3;4;4;0;1;2;2;3;2;5;6;8;4
30;4;3;4;5;5;2;3;4;4;0;1;3;3;4;2;7;4;4
31;1;6;5;2;9;4;3;3;5;4;0;1;4;3;4;1;8;4
32;3;1;5;5;2;8;4;3;3;5;4;0;1;4;6;4;1;4
33;3;4;1;5;3;1;8;3;2;3;5;4;0;1;4;6;3;2
34;0;4;4;0;5;2;2;5;3;3;2;6;3;0;1;5;2;3
35;2;0;5;4;0;3;2;3;4;3;3;2;6;3;0;2;2;3
36;1;2;3;4;4;1;4;2;5;4;3;3;2;7;3;0;3;3
37;8;1;4;4;4;4;1;5;2;5;4;3;3;3;6;3;0;0
38;8;9;2;3;2;5;4;1;5;2;5;5;3;4;3;7;3;0
39;3;7;9;2;3;2;5;5;1;6;2;5;5;3;4;3;7;3
40;9;4;7;9;2;3;0;5;5;1;6;2;4;3;3;4;3;4
41;2;9;4;9;9;3;3;0;5;5;1;6;3;4;3;3;4;6
42;2;2;9;4;9;9;3;3;0;4;5;1;6;3;5;3;5;4
43;2;2;3;9;4;9;7;3;3;0;4;6;2;6;4;5;3;4
44;1;2;2;3;9;4;9;8;2;5;0;3;8;2;6;6;3;4
45;0;1;2;2;3;9;4;10;7;2;6;1;3;8;2;8;7;4
46;5;0;1;2;2;2;9;5;10;7;1;6;1;3;7;2;9;4
47;3;5;1;2;2;2;3;9;4;9;8;1;6;1;3;8;2;7
48;5;3;5;1;2;2;2;3;9;4;9;8;1;5;1;3;6;3
49;6;3;3;5;1;2;2;2;3;9;3;8;7;1;5;2;4;6
50;5;6;3;3;4;1;2;2;2;3;9;3;8;6;1;5;3;3
51;7;6;6;3;3;4;1;2;2;2;3;8;3;6;6;1;6;1
52;2;7;6;6;3;3;4;1;2;2;2;2;8;4;7;6;2;4
53;4;1;7;6;6;3;3;4;1;2;2;2;2;8;4;8;6;2
54;9;4;2;7;6;6;3;3;4;1;3;2;2;2;8;6;10;5
55;4;9;4;2;7;6;6;4;3;4;2;3;4;2;2;10;6;10
56;4;4;10;4;2;7;6;6;4;3;4;2;3;4;2;2;10;4
57;1;4;3;10;3;2;7;6;6;4;3;4;2;2;4;2;4;9
58;1;1;4;3;9;3;2;7;6;6;4;3;4;2;3;4;2;4
59;2;1;1;5;3;10;3;2;7;5;6;4;4;4;2;3;4;2
60;5;2;1;1;5;3;9;3;2;7;5;6;5;4;4;2;3;3
61;2;5;2;1;1;4;3;9;3;2;7;5;6;5;4;4;3;3
62;4;3;5;3;1;1;4;3;9;3;2;7;4;6;5;4;4;2
63;1;4;3;5;3;1;1;4;3;9;3;2;7;4;5;6;4;4
64;3;1;4;2;5;3;2;1;4;3;10;4;2;7;4;5;5;3
65;4;3;1;4;2;7;2;1;1;4;3;11;4;2;7;4;5;5
66;4;3;3;1;4;2;6;2;1;2;4;3;12;4;2;7;4;5
67;2;5;2;3;1;4;2;6;2;0;2;4;3;10;4;3;7;4
68;1;2;5;2;3;1;6;2;6;2;0;2;4;3;10;4;3;7
69;7;1;2;5;2;3;1;6;2;6;2;0;2;4;3;10;4;3
70;3;8;1;3;5;2;3;1;6;2;6;2;0;2;4;3;10;4
71;1;3;7;1;3;5;2;3;1;6;2;6;2;0;2;4;3;9
72;3;1;3;7;1;3;4;2;3;1;6;2;6;2;0;2;3;3
73;3;3;1;3;7;1;3;4;3;3;1;6;2;5;2;0;2;3
74;1;3;3;0;3;7;1;3;3;3;3;1;7;2;5;2;0;2
75;3;1;3;3;0;3;7;1;3;3;2;4;1;5;2;5;2;0
76;0;3;1;3;3;0;3;6;2;3;3;1;4;1;5;2;5;1
77;5;0;3;1;3;3;0;3;6;2;3;3;1;4;1;5;2;3
78;4;5;1;2;1;3;3;1;3;5;2;3;4;1;4;1;5;2
79;2;4;5;1;2;1;3;3;1;3;5;1;2;4;1;3;1;5
80;1;2;3;4;1;2;1;3;3;1;3;3;1;2;4;1;2;1
81;0;0;2;0;4;0;2;1;3;1;1;2;3;1;3;2;1;2
82;2;0;0;2;0;2;0;2;1;3;1;1;2;2;0;3;2;1
83;0;2;0;0;2;0;2;0;2;1;2;1;1;2;1;0;2;2
84;0;0;2;0;0;1;0;1;0;2;1;2;1;1;2;1;0;2
85;1;0;0;2;1;0;1;0;1;0;2;1;2;1;1;1;1;0
86;2;1;0;0;2;1;0;1;1;1;0;2;1;2;1;1;1;1
87;0;2;1;0;0;2;0;0;1;1;1;0;2;1;2;1;0;1
88;3;1;3;1;0;0;2;0;0;0;1;0;0;2;0;2;1;0
89;1;3;0;3;1;0;0;2;0;0;0;1;0;0;2;0;1;1
90;1;0;3;0;3;0;0;0;2;0;0;0;1;0;0;2;0;0
91;2;1;0;3;0;3;0;0;0;2;0;0;0;1;0;0;1;0
92;0;2;0;0;1;0;3;0;0;0;2;0;0;0;1;0;0;1
93;0;0;1;0;0;1;0;3;0;0;0;2;0;0;0;0;0;0
94;0;0;0;1;0;0;1;0;2;0;0;0;2;0;0;0;0;0
95;0;0;0;0;1;0;0;1;0;2;0;0;0;2;0;0;0;0
96;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0
97;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0
98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100 e oltre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Totale;251;260;278;275;270;268;266;272;270;273;278;278;293;287;296;317;299;256
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Femmine
0;5;0;0;1;2;0;4;2;1;0;0;1;1;2;3;3;3;2
1;1;5;0;0;1;4;0;4;2;4;0;0;1;1;2;3;2;2
2;1;0;4;1;1;1;4;0;4;2;3;0;0;1;1;2;2;3
3;4;1;0;3;1;1;1;4;0;4;2;6;0;0;1;1;4;2
4;1;4;1;0;3;1;1;1;4;0;4;1;8;0;0;2;1;3
5;4;1;4;1;0;3;1;1;1;4;0;4;1;10;0;2;1;1
6;2;5;1;3;1;0;3;1;1;1;4;0;4;1;12;2;3;0
7;1;2;5;1;3;2;0;3;1;1;1;4;0;4;1;15;1;2
8;2;1;3;4;1;3;2;1;3;1;1;1;4;0;4;1;8;2
9;0;2;1;2;4;1;2;2;1;3;1;1;1;3;0;4;1;3
10;1;0;4;2;2;4;1;2;2;1;3;1;1;1;3;1;5;1
11;0;1;0;4;2;2;4;2;2;2;1;3;1;0;1;3;1;5
12;4;0;1;0;4;2;2;4;2;2;2;1;3;1;0;1;3;1
13;0;4;0;2;0;4;2;2;4;2;2;2;1;3;1;0;1;3
14;3;0;4;0;2;0;3;2;2;4;2;2;2;1;3;1;0;1
15;3;3;0;4;0;2;0;4;2;2;4;1;2;1;1;3;2;0
16;0;3;3;0;4;0;3;0;4;1;3;3;2;2;1;1;3;1
17;0;0;3;3;0;4;0;3;0;4;1;3;3;2;2;2;1;3
18;1;0;0;3;3;0;4;0;3;0;4;1;3;3;2;2;4;1
19;2;1;0;0;3;2;0;4;0;2;0;3;1;3;3;2;2;2
20;1;3;1;0;1;3;2;0;4;0;3;0;3;1;3;3;1;2
21;4;1;2;1;0;1;3;2;0;4;0;3;0;3;2;3;3;2
22;3;4;1;2;1;1;1;2;2;0;4;0;4;0;3;2;3;5
23;1;3;4;1;2;1;1;1;2;3;0;4;1;4;0;3;2;3
24;3;1;4;4;1;3;1;1;0;2;3;1;4;2;2;3;4;4
25;5;4;1;3;4;1;3;1;2;0;2;4;1;5;2;2;1;5
26;2;5;4;1;4;3;2;2;3;2;0;2;5;2;7;3;4;2
27;2;2;4;2;2;4;3;2;2;5;2;1;2;5;2;7;3;2
28;3;2;4;4;2;3;3;5;2;4;5;2;1;2;7;3;7;2
29;4;3;2;3;4;2;3;1;5;2;5;4;2;1;2;6;3;7
30;3;4;4;2;4;4;2;3;1;4;2;2;3;3;2;3;8;0
31;0;3;4;4;4;4;3;2;3;2;5;2;3;3;3;2;4;6
32;3;0;4;6;5;3;3;2;2;4;2;4;3;3;4;4;1;2
33;7;3;2;5;5;5;4;3;4;2;4;2;4;3;4;5;2;2
34;1;9;3;2;5;5;3;5;4;2;2;4;1;4;3;6;3;3
35;3;1;10;3;2;5;5;4;4;2;3;2;3;1;4;4;5;2
36;3;3;2;11;3;2;5;6;3;4;2;2;4;3;1;4;4;5
37;2;4;3;2;10;3;2;5;6;3;4;1;1;4;3;1;4;3
38;5;3;4;3;2;10;3;2;5;6;3;4;1;1;4;4;2;4
39;3;5;3;4;3;2;10;2;2;4;6;3;4;2;0;3;5;1
40;2;3;5;2;4;4;2;12;2;2;4;6;3;4;2;0;3;3
41;3;3;3;5;2;5;5;3;12;2;2;4;6;4;3;2;2;3
42;2;3;3;3;5;2;4;5;3;11;2;2;3;4;3;3;2;3
43;7;2;3;3;3;5;3;4;5;2;11;3;2;3;4;5;5;2
44;1;7;2;4;3;3;5;3;4;5;1;9;3;2;5;4;3;3
45;4;2;8;2;4;3;3;8;3;4;5;2;9;4;0;5;6;4
46;6;4;2;8;2;4;3;3;8;3;4;5;2;10;3;0;5;6
47;1;6;4;2;8;2;4;3;4;6;2;4;4;2;9;3;0;3
48;2;0;6;4;3;8;2;3;3;4;6;2;3;4;2;8;2;0
49;4;2;1;6;4;3;7;2;3;3;4;6;2;2;4;2;10;2
50;1;3;2;0;5;4;2;7;2;3;3;3;6;2;3;5;2;10
51;4;1;3;2;0;5;4;2;7;2;3;3;4;7;2;3;6;2
52;4;4;1;3;2;0;5;4;1;7;2;4;2;5;7;2;3;6
53;2;5;4;1;3;2;0;7;4;1;7;2;4;2;5;7;3;3
54;4;2;5;4;2;3;2;1;5;4;1;6;2;4;2;5;8;5
55;3;4;2;4;5;2;3;2;1;5;4;1;6;2;3;2;4;6
56;2;3;5;2;4;5;2;3;2;1;5;4;1;6;2;3;2;3
57;3;2;3;5;2;4;4;1;3;2;1;5;4;2;6;2;3;1
58;5;3;2;3;4;2;5;4;1;3;2;2;5;3;2;6;2;3
59;1;5;3;2;3;3;2;5;4;1;3;3;2;5;3;2;6;2
60;2;1;5;3;2;3;4;2;5;4;1;3;5;2;5;3;2;6
61;1;2;1;5;3;2;4;4;2;5;4;1;3;5;2;5;3;2
62;4;1;2;1;5;3;2;4;4;2;5;5;1;2;5;2;6;3
63;3;5;1;2;2;5;3;2;5;4;2;5;5;1;2;5;2;6
64;4;3;4;1;2;2;5;4;2;5;4;2;5;5;1;2;4;1
65;5;4;3;4;1;2;2;5;4;2;4;4;5;5;5;1;1;3
66;4;5;4;3;3;1;2;1;5;4;2;4;4;4;5;5;1;1
67;2;4;5;3;3;3;1;2;1;6;4;2;4;4;4;5;4;1
68;3;2;5;5;3;3;3;1;2;1;6;4;2;4;4;4;4;4
69;5;4;2;5;5;3;3;3;1;2;1;6;4;2;4;4;3;5
70;4;5;4;2;5;5;3;3;2;1;2;1;6;4;2;4;4;2
71;1;4;5;4;2;5;5;3;3;1;1;2;1;6;4;2;4;4
72;1;1;4;5;3;2;5;5;4;3;1;1;2;1;6;4;2;4
73;3;1;1;4;5;3;2;5;5;4;2;1;1;2;1;6;4;2
74;2;3;1;1;4;5;3;2;5;4;3;2;2;1;2;1;6;4
75;6;2;3;1;1;4;5;3;2;5;4;3;2;2;0;2;1;6
