"Popolazione per età, vista per singola area - Comune: 005051 - Cunico"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Cunico"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;3;5;4;6;5;7;5;4;3;7;3;6;1;2;2;1;5;4
1;4;3;5;3;6;6;6;5;4;3;6;2;6;1;2;2;1;3
2;1;4;3;6;3;6;7;6;4;3;4;7;2;6;1;2;2;1
3;7;1;6;3;6;5;7;6;6;6;3;5;8;1;7;1;2;2
4;3;7;2;4;4;6;5;6;7;5;6;3;5;7;2;8;2;2
5;1;1;7;2;4;6;6;6;6;8;5;6;3;4;8;2;7;2
6;5;1;1;7;3;4;7;6;6;7;8;5;6;3;4;6;1;7
7;3;5;1;0;8;2;4;7;5;9;7;9;5;5;3;3;7;1
8;4;2;6;1;0;8;2;4;9;6;9;7;7;5;7;3;3;7
9;5;4;2;6;2;1;8;2;4;8;5;9;6;7;5;3;3;4
10;2;5;4;2;6;2;1;8;3;8;8;5;7;5;8;5;4;3
11;1;1;5;4;2;6;2;1;9;1;7;8;4;6;6;8;5;5
12;2;1;1;5;5;3;6;2;2;9;1;7;7;4;6;6;8;6
13;2;1;1;1;5;4;3;6;2;2;9;1;5;6;4;8;5;7
14;6;2;1;1;1;5;4;3;7;2;2;9;1;5;6;5;8;6
15;3;6;2;1;1;1;5;4;3;8;2;2;9;1;5;6;6;8
16;2;3;6;2;2;1;1;5;5;3;8;3;1;8;1;5;5;6
17;6;2;4;6;2;2;1;1;7;3;3;8;3;1;8;1;5;6
18;4;7;3;4;6;3;2;1;2;6;3;3;7;4;1;9;1;5
19;5;4;7;3;6;5;3;5;1;0;7;3;3;6;4;3;10;1
20;4;6;4;10;2;5;4;4;5;1;1;6;3;2;7;4;4;9
21;5;6;6;3;10;3;5;5;4;3;1;1;6;3;2;8;5;3
22;0;5;11;6;3;10;3;5;5;3;3;1;1;6;3;2;6;4
23;1;0;6;11;5;3;11;4;5;5;1;5;1;2;7;4;3;6
24;3;1;0;10;11;7;5;10;4;3;3;1;5;1;2;6;4;2
25;7;2;3;1;7;11;8;5;10;4;4;3;1;5;2;1;5;4
26;7;6;2;4;3;6;12;9;5;7;5;4;3;1;4;1;1;5
27;5;7;6;2;5;2;6;10;8;5;6;6;3;1;1;4;1;2
28;6;7;8;8;1;5;4;4;14;8;5;6;6;3;1;1;4;1
29;10;6;7;9;9;2;6;4;4;13;11;9;6;5;3;0;1;2
30;10;9;6;6;7;10;2;5;5;7;10;11;7;6;4;3;4;1
31;7;9;9;11;3;9;12;3;5;5;6;9;11;6;8;3;3;3
32;9;8;9;8;11;5;10;12;4;6;6;5;7;8;9;9;3;2
33;6;8;6;6;9;15;6;9;11;2;4;6;5;8;9;6;9;3
34;6;7;9;4;7;9;13;4;9;10;1;2;5;5;10;8;5;8
35;4;5;6;10;6;6;8;13;3;9;10;1;3;5;6;10;8;5
36;5;2;7;4;10;7;6;8;14;4;9;10;1;3;4;7;12;8
37;5;8;2;7;7;10;6;8;6;14;2;9;7;0;4;4;5;11
38;6;5;6;1;7;11;9;7;8;6;13;2;9;8;0;2;3;5
39;4;6;5;4;1;7;10;6;8;9;6;13;3;9;9;0;4;4
40;8;6;4;5;4;2;8;10;6;9;9;6;11;3;10;8;0;5
41;8;7;5;4;5;4;3;9;11;7;8;9;6;10;5;9;7;0
42;3;8;7;5;2;5;3;3;11;10;7;9;9;6;9;5;9;8
43;1;3;8;7;5;3;6;3;4;9;10;6;7;9;6;9;6;9
44;6;1;3;8;10;5;4;6;4;4;8;10;6;7;9;6;11;6
45;3;6;2;3;10;11;5;4;6;4;4;8;10;5;7;10;6;11
46;6;3;6;2;3;7;10;5;5;6;4;2;6;11;5;7;10;7
47;5;7;3;6;4;4;7;10;5;3;6;4;2;6;11;5;7;10
48;6;5;7;3;7;4;5;5;10;6;3;7;4;2;6;11;5;6
49;7;8;7;8;3;5;5;5;7;11;6;3;7;4;2;5;11;6
50;8;6;8;7;10;4;5;4;5;7;11;5;3;7;4;3;5;9
51;8;9;6;8;6;10;5;4;4;6;7;11;5;3;7;4;3;5
52;5;8;8;5;8;5;9;5;4;4;6;7;11;5;3;7;5;3
53;10;6;8;8;5;8;6;10;4;4;6;7;7;9;5;3;6;5
54;10;10;6;9;8;5;8;6;10;4;4;6;7;7;9;5;3;5
55;5;10;10;5;9;7;6;8;5;9;4;4;6;7;7;9;6;2
56;7;6;10;9;5;9;7;6;8;6;8;4;4;6;7;7;9;6
57;5;6;6;10;9;5;8;7;6;8;6;8;4;4;5;7;7;12
58;5;5;6;6;11;10;4;8;6;6;8;6;7;4;4;5;7;7
59;8;5;5;6;6;11;12;4;8;6;6;8;5;7;3;4;5;7
60;7;9;5;5;6;6;12;12;4;8;6;6;7;5;6;3;4;4
61;11;7;9;5;5;6;6;12;13;3;8;5;6;7;5;6;3;4
62;11;11;7;9;5;5;7;6;12;13;3;6;6;6;7;5;6;3
63;3;11;12;7;9;5;5;5;6;12;12;3;7;5;6;7;5;6
64;7;3;10;11;6;9;5;5;5;6;12;13;3;7;5;5;6;5
65;5;8;3;9;12;6;9;5;5;5;7;11;13;3;8;5;5;6
66;7;4;8;3;9;11;6;7;7;5;5;8;10;12;3;9;5;6
67;7;6;4;8;3;9;11;6;5;7;5;5;9;10;13;3;9;5
68;9;7;6;4;7;3;8;11;6;5;7;5;5;9;10;13;3;9
69;10;9;7;6;5;7;3;10;11;6;5;8;6;5;9;11;11;3
70;2;9;9;7;6;2;7;3;10;11;6;5;9;6;5;9;11;11
71;8;2;9;9;7;6;4;7;3;10;11;6;5;9;6;5;7;11
72;9;8;2;7;7;7;6;2;7;3;9;11;6;5;8;6;5;8
73;9;9;8;2;7;5;6;7;2;8;3;9;11;5;5;8;6;3
74;6;8;8;8;3;7;6;6;7;1;6;3;9;11;5;5;8;5
75;7;6;8;6;8;3;7;5;6;7;1;6;2;9;11;5;5;8
76;7;8;4;8;6;8;3;8;5;6;7;1;6;2;7;12;5;5
77;14;6;8;4;10;5;6;3;7;7;5;7;1;6;2;6;12;5
78;6;15;6;8;3;10;6;6;3;7;7;5;7;1;6;1;5;11
79;4;6;15;4;8;3;9;6;6;2;7;7;4;7;1;5;1;5
80;2;4;6;13;4;8;4;9;6;7;2;6;7;4;7;1;5;1
81;6;2;4;6;12;4;6;4;7;5;8;2;5;7;4;6;1;5
82;4;6;2;4;6;12;3;6;4;7;5;6;2;5;7;4;6;1
83;1;4;5;2;3;6;9;3;6;5;7;4;5;1;5;6;4;6
84;2;1;4;5;3;4;5;8;2;5;5;6;4;5;1;4;4;3
85;0;2;3;4;4;2;4;5;6;2;4;5;6;4;5;1;3;4
86;6;0;1;3;4;3;1;4;5;6;2;4;5;6;4;5;1;2
87;4;6;0;0;4;5;4;1;4;6;6;2;3;4;6;3;3;2
88;3;3;2;0;0;4;5;2;0;4;4;5;2;3;4;5;2;4
89;5;2;3;2;0;0;4;2;2;0;4;2;4;2;3;3;4;2
90;1;5;2;3;2;0;0;4;1;3;0;3;2;1;2;2;2;4
91;0;1;4;1;3;1;0;0;3;2;2;0;3;2;1;2;2;3
92;4;0;1;4;1;2;0;0;0;2;3;1;0;3;2;0;2;2
93;5;4;0;1;4;1;1;0;0;0;2;3;1;0;2;1;0;0
94;1;3;3;0;1;5;1;1;0;0;0;2;2;0;0;2;2;0
95;0;1;2;3;0;0;3;1;1;0;0;0;0;2;0;0;2;2
96;0;0;1;2;2;0;0;3;1;1;0;0;0;0;2;0;0;2
97;0;0;0;1;3;0;0;0;3;1;2;0;0;0;0;1;0;0
98;0;0;0;0;1;3;0;0;0;2;0;3;0;0;0;0;1;0
99;0;0;0;0;0;1;2;0;0;0;2;0;3;0;0;0;0;1
100 e oltre;0;0;0;0;0;0;1;2;2;1;1;2;1;2;1;1;1;1
