"Popolazione per età, vista per singola area - Comune: 005077 - Montemagno"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Montemagno"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;7;15;6;8;7;10;12;4;10;4;6;6;7;8;10;5;9;8
1;3;4;16;9;7;11;10;12;4;10;4;4;6;6;10;11;5;8
2;10;3;6;14;11;8;9;11;12;5;11;4;4;8;8;8;9;5
3;7;11;3;8;15;13;9;9;11;13;5;12;5;4;8;8;7;9
4;7;7;10;3;8;12;12;9;9;12;13;5;12;4;4;7;9;8
5;9;7;8;10;3;7;12;12;9;8;10;13;5;12;5;5;6;9
6;8;8;7;8;9;2;8;11;13;9;8;10;13;6;12;5;6;7
7;4;8;9;6;8;10;3;7;12;11;9;8;9;13;6;10;4;6
8;11;4;8;8;8;9;10;3;7;12;10;9;8;8;13;6;10;6
9;14;12;5;8;10;9;8;10;3;7;12;12;8;8;9;13;5;9
10;8;13;12;5;8;10;6;8;11;4;7;12;11;7;8;8;14;5
11;12;7;13;13;4;9;9;6;9;9;4;7;13;10;7;7;9;14
12;7;11;8;14;13;4;9;10;7;9;8;4;6;13;10;8;7;10
13;6;6;12;8;14;13;5;10;11;7;8;8;3;6;13;10;8;7
14;8;6;6;13;6;14;11;5;10;10;6;9;8;6;6;13;9;8
15;7;9;7;4;13;6;14;10;7;9;8;6;10;8;6;6;13;9
16;5;7;8;9;3;14;5;14;9;7;9;8;6;10;8;7;6;13
17;8;6;7;8;9;3;13;5;15;10;7;9;10;6;11;8;6;5
18;8;9;7;6;9;8;4;15;7;14;10;7;8;11;6;11;8;6
19;9;8;9;9;7;6;8;3;16;6;14;11;6;8;9;6;11;10
20;14;10;14;9;9;5;7;9;4;14;7;13;11;7;8;9;6;11
21;9;15;14;14;11;10;6;8;6;5;16;6;13;9;8;8;8;6
22;3;9;15;15;16;12;9;7;7;5;4;14;7;13;11;9;9;9
23;13;3;12;15;16;15;9;8;7;8;4;7;15;6;14;10;9;10
24;19;10;5;13;15;17;15;11;8;8;8;6;8;15;7;13;9;9
25;13;19;12;7;13;16;19;15;14;8;7;8;8;9;16;7;12;10
26;9;14;19;9;10;12;15;18;11;14;8;9;6;9;7;17;7;14
27;15;12;13;17;11;11;14;16;18;11;12;8;8;6;10;7;17;6
28;21;14;16;13;16;12;13;16;16;18;12;15;6;8;7;10;6;16
29;10;21;13;11;14;15;9;12;14;13;15;12;12;8;8;7;11;6
30;15;12;20;12;13;15;14;14;10;14;14;15;11;10;9;6;5;12
31;20;13;12;18;12;19;15;15;13;10;15;14;16;11;11;9;5;8
32;11;20;13;17;19;11;17;16;14;13;9;13;15;16;16;12;8;7
33;18;12;17;15;12;19;10;19;14;14;14;9;14;14;15;12;11;9
34;17;18;14;18;15;13;19;9;22;14;14;13;9;14;13;16;9;11
35;20;11;18;16;20;17;12;18;10;20;16;12;15;10;14;13;14;9
