"Popolazione per età, vista per singola area - Comune: 005114 - Viale"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Viale"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1;2;2;2;2;1;6;0;3;4;1;2;0;3;0;2;3;1
1;2;0;2;2;2;2;0;5;0;3;4;1;2;0;3;0;3;3
2;0;2;0;3;3;1;2;0;5;0;3;3;1;2;0;3;0;3
3;1;0;2;0;4;2;2;2;0;5;0;3;3;1;2;0;3;0
4;3;1;0;2;1;4;2;1;2;0;5;1;2;3;1;2;0;3
5;2;3;1;0;2;1;3;2;2;3;0;7;1;2;3;1;2;0
6;3;2;3;1;2;1;1;3;2;2;3;0;7;1;2;2;1;2
7;5;2;2;4;1;2;1;1;3;2;3;2;0;7;1;3;1;1
8;2;5;2;2;4;1;2;0;1;3;2;2;2;0;6;1;3;1
9;1;2;7;3;2;4;1;3;0;2;4;1;2;2;0;4;1;3
10;2;0;2;7;4;2;5;2;3;0;2;2;1;2;2;0;3;1
11;0;2;0;5;5;3;3;2;1;2;0;2;2;1;2;2;0;3
12;3;0;2;0;5;5;3;4;3;1;2;0;2;2;1;2;2;0
13;2;3;0;2;1;4;5;4;3;3;2;2;0;2;2;1;2;2
14;2;2;3;0;2;1;3;5;4;3;3;2;1;0;2;2;1;2
15;1;2;2;3;1;2;0;3;4;3;4;3;2;1;0;2;2;1
16;1;1;2;2;2;1;3;0;3;4;3;4;3;1;1;0;2;2
17;2;1;1;2;2;2;1;3;0;3;4;3;3;3;1;1;0;2
18;1;2;1;2;2;3;2;1;3;0;3;4;2;2;3;1;1;0
19;3;1;2;2;2;2;2;1;1;1;1;2;5;2;3;3;1;2
20;4;3;1;2;3;2;2;1;1;1;1;1;2;5;2;3;3;1
21;2;4;3;1;1;3;3;1;1;1;1;2;1;2;4;2;3;3
22;3;2;3;2;1;1;1;3;1;1;1;0;1;1;2;5;2;3
23;1;2;0;2;3;1;2;1;3;1;2;1;0;1;1;2;5;2
24;2;1;3;2;4;4;2;1;1;2;1;2;1;0;1;1;1;4
25;1;2;1;4;2;4;6;3;1;1;2;1;3;1;1;2;2;0
26;2;1;2;1;3;2;4;5;3;1;1;2;1;3;2;1;3;2
27;2;2;1;2;2;3;2;6;4;3;2;2;2;2;2;2;1;3
28;4;2;3;0;2;2;1;4;6;4;3;3;2;2;4;2;2;1
29;6;5;2;5;0;2;2;2;6;6;4;2;4;1;2;4;2;2
30;5;5;6;1;6;0;1;3;2;3;6;3;2;4;1;1;4;2
31;1;5;6;6;5;6;1;1;4;2;4;7;3;2;4;1;1;4
32;3;2;4;8;6;4;5;1;1;4;2;4;7;3;1;3;0;1
33;2;2;3;3;7;5;4;6;2;2;4;2;4;7;5;1;3;0
34;5;0;3;4;3;6;6;4;5;2;3;5;2;5;6;5;2;3
35;4;4;0;3;6;2;7;6;4;5;2;3;3;2;5;6;6;2
36;2;4;5;0;5;6;2;5;4;4;5;2;2;4;2;4;5;6
37;5;2;4;7;0;6;6;3;5;3;2;4;1;2;4;2;4;5
38;4;7;2;4;9;1;6;6;2;5;3;2;4;1;2;4;2;4
39;4;4;5;2;6;9;1;6;5;2;5;2;2;4;1;2;4;2
40;6;4;5;4;3;6;8;0;4;4;3;4;4;2;4;1;2;4
41;2;5;3;5;3;3;7;8;1;7;4;4;3;4;3;4;1;2
42;0;2;6;4;6;4;3;5;8;1;7;4;4;4;4;3;3;1
43;5;0;2;6;4;4;6;3;5;5;2;6;4;5;3;3;4;4
44;2;5;0;4;6;4;4;5;3;5;4;1;6;4;5;4;3;4
45;2;2;6;0;3;5;4;4;5;2;5;5;0;7;5;5;5;3
46;2;2;2;6;0;3;5;3;4;5;2;5;5;0;7;5;3;5
47;0;2;2;4;6;1;3;6;4;4;5;2;5;4;0;7;4;2
48;5;0;1;3;5;6;1;3;6;5;4;5;2;5;4;1;7;4
49;0;5;0;1;3;4;7;1;3;6;5;4;4;2;5;4;1;8
50;2;1;5;0;1;3;4;7;1;2;6;6;4;4;2;5;4;1
51;6;3;1;4;0;1;3;5;7;1;2;6;7;4;5;2;6;4
52;6;6;3;0;4;0;1;2;3;6;1;1;6;6;4;5;2;6
53;3;6;6;2;0;4;0;2;2;3;5;1;1;5;6;4;5;3
54;2;3;6;6;3;0;4;0;3;2;3;4;0;1;6;6;4;5
55;6;2;4;6;6;3;0;4;0;2;3;3;4;0;3;6;6;4
56;2;5;2;5;5;6;3;0;4;0;3;2;3;4;0;3;6;6
57;3;2;5;2;5;5;6;3;0;4;1;3;2;2;4;0;3;6
58;1;3;2;5;3;5;5;6;3;0;4;1;3;3;2;3;0;3
59;3;1;3;2;6;3;4;6;6;3;0;4;0;3;3;2;3;1
60;2;3;1;3;2;6;3;6;7;5;3;0;4;1;3;2;3;3
61;3;2;3;1;3;3;6;3;6;7;5;2;0;3;1;3;2;3
62;3;2;2;3;2;3;3;7;3;6;8;6;2;0;4;0;3;2
63;2;3;2;2;3;2;3;3;7;3;6;8;6;1;0;4;0;3
64;5;2;3;2;2;3;2;3;3;7;2;6;8;6;1;0;3;0
65;10;5;2;3;2;2;3;1;3;3;7;3;7;8;6;1;0;3
66;3;11;4;3;3;2;2;3;1;3;3;7;3;7;8;6;2;1
67;5;3;13;4;2;3;1;2;3;1;3;3;7;3;7;8;6;2
68;2;5;3;13;4;2;3;1;2;3;1;3;3;6;3;5;8;6
69;2;2;4;3;13;4;2;3;1;2;3;1;3;3;7;1;5;8
70;7;2;2;4;3;13;4;2;3;1;1;4;1;3;3;6;1;5
71;4;7;2;2;4;3;13;3;2;3;1;1;4;1;3;3;6;1
72;6;4;7;2;2;4;2;12;2;2;2;1;1;4;1;3;3;6
73;3;6;3;7;2;2;4;2;13;2;2;2;1;1;4;1;3;3
74;4;3;5;3;7;2;2;4;2;12;2;2;2;1;1;4;1;3
75;5;3;2;5;3;7;2;2;3;2;12;2;2;2;1;1;4;0
76;5;5;3;2;5;3;7;2;2;3;2;11;2;2;2;1;1;4
77;2;5;5;3;2;4;3;6;2;2;3;2;10;2;2;2;1;1
78;2;1;5;4;3;1;4;2;6;2;2;3;3;10;2;2;2;1
79;3;1;1;5;4;3;1;4;2;5;2;1;3;3;9;1;2;2
80;4;3;1;1;4;4;3;1;4;2;5;2;1;3;3;8;1;2
81;3;3;3;1;1;4;3;3;0;4;2;5;2;1;3;2;7;1
