"Popolazione per età, vista per singola area - Comune: 006051 - Castelletto Monferrato"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Castelletto Monferrato"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;13;7;15;8;17;11;26;10;8;11;9;12;6;13;8;6;7;7
1;5;14;8;15;9;14;10;23;9;9;9;8;10;5;14;9;6;8
2;14;5;14;10;15;9;13;10;24;12;9;11;7;11;7;12;9;7
3;10;14;11;16;10;15;10;13;11;25;12;9;12;8;10;8;13;10
4;10;9;16;13;16;11;16;12;13;13;24;14;10;12;11;8;7;13
5;6;10;9;17;11;15;12;13;12;12;13;25;12;10;13;14;8;7
6;16;6;11;10;17;9;14;11;15;12;12;13;25;11;8;14;13;7
7;17;17;7;11;10;14;9;14;11;14;11;13;13;23;10;9;15;13
8;16;17;16;8;13;11;15;8;14;12;14;13;13;13;24;10;9;19
9;11;15;18;15;9;11;13;14;9;13;12;15;14;12;14;21;11;10
10;13;12;15;17;15;9;12;13;13;7;13;13;16;15;12;15;21;10
11;16;15;11;16;17;16;8;11;13;14;7;11;13;12;15;9;15;23
12;16;15;16;10;18;16;16;9;12;11;14;11;12;16;12;11;10;15
13;12;15;15;18;14;16;18;16;10;11;11;15;10;11;15;12;12;11
14;13;12;18;18;16;12;15;18;16;11;11;12;14;9;10;16;12;12
15;14;14;12;19;19;17;12;15;17;14;11;13;16;14;11;10;16;10
16;7;12;16;13;18;18;18;11;12;18;14;10;14;20;13;11;10;14
17;5;7;12;17;12;18;17;17;11;12;19;15;10;15;18;12;12;12
18;11;4;7;13;17;13;19;19;16;11;13;20;14;10;14;20;14;9
19;13;11;4;8;13;16;14;18;19;12;11;14;20;14;10;13;20;14
20;12;13;8;7;8;12;17;16;18;18;13;11;13;19;13;10;11;17
21;10;9;15;9;9;5;13;17;14;18;19;14;10;13;19;13;13;11
22;17;9;10;15;10;8;6;12;15;14;20;20;15;9;13;16;12;15
23;7;17;11;11;16;8;8;5;13;15;13;23;19;15;10;13;17;15
24;18;7;14;11;9;18;8;7;6;12;16;14;21;22;16;12;11;18
25;17;18;10;14;9;8;17;8;6;9;12;14;12;20;19;18;11;10
26;16;19;18;9;15;11;8;16;9;4;8;11;14;13;20;16;17;9
27;17;18;22;21;9;15;7;9;16;9;4;8;12;16;11;17;15;15
28;28;17;17;21;20;10;17;8;14;17;13;8;9;13;16;13;19;12
29;23;28;19;17;23;15;10;13;10;15;17;13;9;10;13;15;12;20
30;23;25;27;21;25;26;16;14;14;12;15;17;12;12;10;16;14;10
31;16;22;24;29;27;22;30;19;10;16;13;14;18;14;11;12;16;14
32;24;22;21;24;26;30;24;25;16;10;18;11;13;16;14;10;12;17
33;21;30;20;22;28;29;28;19;22;17;9;18;11;12;17;15;10;13
34;28;23;29;22;28;27;30;27;21;19;20;9;18;12;10;18;12;9
35;22;27;26;29;21;22;27;29;27;26;20;20;11;17;13;10;23;13
36;28;23;25;26;31;20;21;29;28;28;32;22;22;9;16;13;10;21
37;24;30;23;27;29;32;24;17;29;30;28;32;23;18;10;15;9;11
38;27;23;33;26;28;30;34;27;18;30;28;27;30;19;17;11;14;10
39;30;29;22;34;26;29;31;31;24;17;31;29;27;27;20;18;13;14
40;18;30;30;23;30;24;29;30;31;23;18;34;29;26;30;21;18;13
41;23;19;29;32;26;30;25;28;31;26;26;19;32;29;27;29;21;18
42;17;25;19;32;35;28;29;24;30;31;27;28;17;30;31;23;28;21
43;24;15;25;21;35;33;30;30;24;31;32;27;30;17;33;33;25;22
44;15;21;14;26;22;33;35;32;32;22;30;31;24;27;18;31;32;25
45;27;14;24;17;23;21;31;33;31;33;25;29;32;24;27;16;33;34
46;26;27;14;26;20;21;21;32;32;31;32;28;28;33;23;28;18;35
47;21;28;28;15;28;22;23;21;32;34;32;30;27;28;33;23;28;17
48;15;22;28;28;16;26;23;23;22;31;33;31;33;26;28;31;24;26
49;29;14;20;29;25;18;24;23;23;20;31;34;33;35;28;26;31;24
50;22;30;16;20;29;26;18;23;23;24;20;30;33;37;34;27;23;29
51;27;21;30;17;21;28;24;17;23;21;23;21;30;32;35;32;28;24
52;18;27;19;31;17;20;29;23;16;24;17;21;21;30;30;37;27;31
53;21;19;27;20;29;17;23;30;25;15;24;19;20;20;31;30;37;25
54;26;20;18;26;21;31;17;24;31;27;15;22;19;21;20;31;29;36
55;28;24;21;18;26;20;31;18;24;31;26;15;21;19;21;21;31;29
56;23;27;22;23;18;27;19;34;18;21;31;25;18;19;19;21;20;31
57;19;27;28;23;24;20;26;17;32;17;21;28;24;18;18;19;21;23
58;17;17;27;29;24;24;20;25;19;30;19;21;28;24;16;19;18;22
59;23;16;18;26;28;24;24;20;25;18;31;19;19;27;22;16;19;21
60;19;22;16;18;22;28;24;27;21;27;20;30;19;19;26;22;16;20
61;31;18;25;15;18;22;27;24;27;20;26;20;29;19;16;24;22;17
62;27;31;17;26;15;18;21;27;23;26;21;27;20;29;19;16;25;21
63;18;27;31;18;25;16;18;21;29;23;26;20;25;20;28;18;17;25
64;12;20;28;32;18;26;15;19;21;28;24;25;20;26;20;27;19;17
65;14;13;19;28;32;19;25;15;19;20;29;24;25;18;26;19;27;17
66;23;13;13;19;23;32;17;25;16;17;20;27;24;24;18;25;19;24
67;23;23;12;13;19;24;32;16;24;15;18;19;26;24;21;19;24;18
68;13;23;21;14;12;19;23;31;16;22;13;17;19;27;24;22;19;24
69;9;12;23;21;14;12;19;22;31;16;22;13;16;19;26;23;22;20
70;9;11;12;23;21;14;13;17;22;29;16;21;12;15;19;29;23;22
71;11;9;11;12;23;22;14;13;16;21;29;17;19;12;16;19;29;23
72;16;13;9;11;12;23;21;14;13;16;20;29;16;19;12;15;19;28
73;7;17;12;11;8;12;23;21;14;12;15;20;28;17;19;13;15;19
74;2;8;15;13;11;9;12;23;22;14;12;14;19;24;16;21;13;13
75;8;2;8;14;13;11;9;12;22;22;14;12;13;18;24;15;21;13
76;10;8;2;7;13;13;10;9;12;22;22;14;12;12;18;25;15;17
77;8;8;8;4;7;13;12;10;8;12;22;21;14;11;12;17;26;12
78;10;9;9;8;3;7;12;12;10;7;12;21;20;14;11;12;15;24
79;15;9;8;9;8;3;7;13;12;9;7;13;19;20;13;12;13;12
80;7;14;9;7;8;8;3;8;12;12;9;6;13;17;17;12;13;10
81;10;7;12;9;6;8;7;3;7;11;12;10;6;13;15;15;11;12
82;4;8;5;12;9;6;8;8;3;7;10;12;10;6;13;13;14;10
83;2;3;9;5;10;8;5;8;7;3;7;10;11;10;5;13;12;13
84;4;3;4;10;5;9;8;5;8;7;2;5;11;11;10;5;13;12
85;2;4;3;3;9;3;7;8;5;6;7;2;5;9;10;9;4;10
86;3;2;4;1;3;8;5;6;8;5;4;6;3;5;6;8;8;3
87;5;3;0;4;0;3;5;3;7;6;6;3;5;3;5;5;7;7
