"Popolazione per età, vista per singola area - Comune: 006110 - Morbello"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Morbello"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;3;1;5;0;4;4;1;1;1;1;0;4;3;2;3;1;2;1
1;0;3;1;5;0;3;4;1;1;1;2;0;4;3;2;3;1;1
2;4;0;2;1;5;0;2;3;1;1;1;2;0;3;3;2;3;0
3;3;4;0;2;1;4;0;2;3;1;1;0;1;1;2;3;2;2
4;3;4;3;0;3;1;3;0;2;2;1;1;0;1;1;2;3;2
5;2;3;2;3;0;3;1;3;0;2;2;1;1;0;1;1;2;3
6;2;2;2;2;3;2;3;1;3;0;2;2;2;2;0;1;1;2
7;2;3;2;2;3;3;2;3;2;3;0;2;2;2;2;1;1;1
8;1;2;3;2;2;2;3;2;3;2;3;1;2;2;1;1;1;1
9;0;3;2;2;2;2;2;4;2;3;2;3;1;2;2;2;1;1
10;2;0;2;2;2;3;2;2;4;0;3;3;4;1;2;2;2;1
11;1;1;0;2;2;1;3;2;3;4;0;3;4;3;2;1;2;2
12;3;1;1;0;2;2;2;3;2;3;4;0;3;4;3;3;1;2
13;1;4;2;1;0;1;2;2;3;2;3;3;2;3;4;3;3;1
14;3;1;4;1;1;0;1;2;0;3;3;5;3;2;2;2;3;3
15;2;3;1;4;1;1;0;1;1;0;3;4;5;2;1;2;2;3
16;4;2;3;1;3;1;3;0;1;1;0;3;4;4;2;1;2;3
17;2;4;3;3;1;2;2;3;0;1;1;2;3;4;3;2;1;2
18;0;4;4;2;3;1;2;2;3;0;1;1;2;3;4;2;5;1
19;5;0;3;3;2;3;1;2;1;4;0;1;1;1;3;4;2;5
20;2;5;0;3;3;2;3;1;3;2;4;1;1;2;1;3;7;3
21;1;2;7;0;3;3;3;3;1;3;3;4;1;1;1;1;7;6
22;4;1;2;7;0;4;3;2;3;1;3;3;4;1;0;4;1;6
23;2;3;1;1;6;0;4;3;2;4;1;3;3;3;1;0;7;1
24;7;2;4;1;1;6;0;4;3;5;3;2;3;3;3;5;4;8
25;5;8;2;4;1;2;7;0;4;5;5;3;2;4;5;4;5;4
26;6;6;8;2;4;1;4;6;0;5;6;5;3;2;4;6;6;3
27;5;6;9;8;2;3;4;4;5;0;3;7;5;3;2;5;8;7
28;3;6;6;8;8;3;3;4;4;4;0;3;5;4;2;2;5;6
29;2;3;7;6;7;8;3;3;5;4;4;0;3;6;6;1;2;5
30;8;2;6;8;7;7;8;3;3;5;3;4;0;3;6;7;1;1
31;7;6;3;4;8;7;7;8;4;3;4;3;4;0;3;7;7;1
32;7;9;7;2;3;5;5;7;7;4;5;3;2;3;0;3;6;7
33;5;8;7;7;3;3;3;5;5;7;6;5;3;3;3;2;4;5
34;2;5;8;10;7;5;5;3;5;5;7;5;4;3;2;3;3;4
35;5;3;2;8;11;5;5;5;2;5;6;6;6;3;3;2;3;3
36;5;5;3;1;10;11;5;6;5;2;5;5;5;4;2;3;2;3
37;10;7;6;3;2;9;11;5;4;6;2;6;6;5;4;2;3;3
38;3;10;6;5;3;2;8;12;5;2;7;5;6;6;5;4;1;2
39;4;3;11;6;5;4;2;8;13;5;2;5;6;6;5;5;3;1
40;6;5;3;11;7;5;4;2;11;10;5;3;5;2;6;4;5;2
41;5;4;5;5;10;6;5;4;2;10;10;5;4;3;2;5;4;5
42;7;4;4;4;5;9;8;6;5;3;10;10;5;5;3;3;6;5
43;4;6;5;4;4;6;10;7;6;5;5;11;12;6;4;3;2;6
44;2;3;6;5;4;5;6;11;6;8;4;6;11;11;6;3;3;2
45;2;3;4;6;5;3;6;6;10;5;8;4;8;12;11;7;5;6
46;8;2;3;4;6;4;3;5;7;10;5;8;4;7;11;9;8;5
47;3;8;3;3;3;6;6;3;7;6;10;6;7;5;7;10;9;8
48;6;3;8;2;3;3;6;7;4;8;5;11;6;7;4;5;10;8
49;7;6;3;8;2;2;3;6;5;4;6;4;9;6;7;4;5;11
50;12;7;6;2;7;4;2;3;6;5;4;6;3;10;4;8;5;5
51;2;12;6;6;2;7;4;2;4;7;5;3;6;3;10;7;8;6
52;6;1;12;6;7;2;8;4;3;5;7;6;3;6;3;10;6;8
53;11;6;1;12;6;7;2;8;6;4;5;6;6;3;8;3;10;6
54;6;11;6;1;11;5;7;3;8;6;5;5;6;5;6;9;4;10
55;6;6;11;7;1;11;5;7;3;8;5;5;5;6;5;6;9;4
56;5;6;7;10;7;1;11;5;7;3;8;5;5;5;7;5;5;9
57;6;5;6;6;11;6;1;11;5;6;3;8;6;4;5;6;5;5
58;9;6;6;6;6;10;5;1;11;5;6;4;8;8;3;4;6;6
