"Popolazione per età, vista per singola area - Comune: 007002 - Antey-Saint-André"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Antey-Saint-André"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;5;6;5;5;5;7;7;6;12;9;6;8;8;4;9;2;5;5
1;9;5;4;5;5;5;6;7;5;10;9;6;6;7;4;9;2;6
2;8;7;5;4;4;7;5;5;9;6;10;9;7;5;7;4;10;2
3;4;9;7;6;4;3;6;5;6;9;6;10;8;8;4;7;3;10
4;6;3;8;7;6;4;3;6;4;6;9;5;10;10;8;4;7;4
5;4;7;3;8;7;6;4;4;6;5;6;8;5;11;6;8;4;7
6;4;5;8;3;8;7;6;4;4;6;6;6;8;5;10;5;7;4
7;5;5;3;8;3;8;7;6;4;4;6;4;7;10;5;10;3;7
8;4;5;5;3;7;3;8;7;6;4;4;6;4;6;9;5;9;5
9;6;5;5;6;3;7;3;8;7;6;3;4;6;4;4;9;5;8
10;6;5;5;4;6;3;7;3;8;7;5;3;4;5;4;4;9;5
11;3;7;5;5;4;3;3;7;4;8;7;5;2;4;5;4;4;8
12;6;3;7;5;5;5;3;3;7;4;7;7;5;2;4;5;4;4
13;6;6;6;6;5;5;5;3;3;7;4;6;7;5;2;4;5;4
14;2;6;7;6;6;5;5;5;4;2;7;4;6;7;5;2;4;4
15;7;1;6;7;5;6;6;5;5;4;2;7;4;7;7;5;2;2
16;3;7;2;6;7;4;6;6;5;5;4;3;7;4;7;6;4;2
17;6;2;7;1;6;7;5;6;6;5;5;4;5;7;4;7;5;4
18;4;6;3;7;2;6;7;5;6;6;5;4;4;6;7;3;7;7
19;3;4;7;4;7;3;4;7;6;4;6;6;4;5;5;8;2;7
20;6;3;5;7;4;7;5;4;9;6;4;5;5;3;4;5;10;2
21;5;7;2;6;8;4;8;6;5;7;5;4;6;6;4;4;6;9
22;7;6;7;2;6;7;4;8;7;4;7;3;3;7;6;3;3;6
23;7;7;6;7;2;7;8;4;10;7;5;7;2;3;6;7;4;4
24;6;9;8;5;9;3;6;9;4;7;7;7;7;2;3;6;11;5
25;1;6;9;9;7;10;7;5;9;4;8;6;9;6;2;2;8;10
26;1;2;6;9;9;10;11;8;5;7;6;8;10;7;5;4;4;7
27;13;2;4;4;10;12;7;11;9;5;8;7;7;10;6;5;6;2
28;5;13;4;4;7;9;13;9;12;6;5;6;7;9;7;6;4;6
29;6;3;12;4;3;10;12;7;9;11;9;5;6;6;8;7;7;5
30;14;6;4;11;5;7;10;12;7;7;11;10;5;4;5;6;4;7
31;15;14;7;3;9;7;7;12;9;6;9;12;11;7;3;5;6;4
32;8;19;14;8;2;9;8;6;10;11;8;10;12;12;5;3;4;6
33;13;9;16;13;7;5;7;10;4;11;9;5;10;14;7;5;2;4
34;18;15;11;18;12;7;4;6;11;6;11;10;4;10;13;9;5;4
35;15;19;16;11;19;10;6;4;7;12;6;11;8;6;7;13;8;5
36;10;16;19;13;11;18;10;6;5;9;12;4;11;9;6;8;13;6
37;15;11;16;19;12;11;18;13;7;5;9;12;4;10;8;6;8;14
38;7;12;11;16;19;11;13;17;14;7;3;8;13;4;9;8;6;7
39;12;5;10;11;16;17;11;13;15;13;7;4;8;13;3;9;9;5
40;13;12;6;11;10;14;19;13;13;14;13;7;4;8;14;3;10;9
41;6;12;12;6;10;10;14;19;14;12;14;13;6;5;8;11;4;12
42;8;6;12;12;6;9;10;14;20;15;12;13;13;6;5;8;10;4
43;7;7;9;12;12;6;11;9;15;21;14;13;13;12;5;5;8;10
44;4;6;6;7;13;11;6;11;11;16;20;14;11;15;13;5;3;9
45;4;4;7;6;7;13;11;6;11;11;16;21;14;11;15;12;6;2
46;7;4;5;7;6;7;13;12;6;11;10;15;21;16;11;15;12;6
47;6;8;4;4;7;7;7;13;11;5;10;10;16;22;13;11;12;11
48;6;6;8;4;4;6;7;7;13;11;5;10;10;14;22;13;11;15
49;7;6;8;9;4;5;6;7;9;13;11;5;10;10;14;21;13;11
50;10;7;3;9;10;4;6;8;7;9;14;10;5;9;10;13;21;13
51;10;11;6;3;8;10;4;6;8;7;7;13;9;5;9;10;13;22
52;8;11;10;6;2;10;10;3;6;9;7;7;13;8;6;9;8;11
53;7;8;11;7;6;2;9;10;3;6;9;8;7;15;8;6;8;8
54;4;7;8;10;7;7;2;8;10;3;6;9;8;7;15;8;7;8
55;10;4;7;8;10;6;7;2;6;10;3;6;9;7;5;15;8;7
56;5;12;4;6;8;10;6;7;3;6;10;3;5;9;7;5;15;9
57;8;5;10;5;6;8;10;6;7;3;6;11;3;5;8;7;5;15
58;10;8;4;8;5;6;8;10;6;7;4;6;12;3;6;6;8;5
59;6;10;8;4;8;5;7;8;10;6;8;4;5;12;3;6;6;8
60;4;6;9;8;4;8;5;7;8;10;6;8;4;5;12;3;7;6
61;13;4;6;8;9;4;8;5;7;8;11;5;8;4;5;10;3;7
62;8;11;4;6;8;9;5;8;5;7;9;11;6;9;4;5;10;3
63;6;8;11;4;6;7;9;5;8;5;8;9;11;7;8;4;4;10
64;9;6;9;10;4;6;6;9;6;8;5;8;9;11;7;8;4;4
65;6;9;6;8;10;4;6;6;9;6;8;6;8;9;11;7;8;4
66;6;6;8;6;8;10;4;5;6;9;8;7;6;8;9;11;7;8
67;4;7;6;8;6;8;9;4;5;6;8;6;7;6;8;8;11;7
