"Popolazione per età, vista per singola area - Comune: 007032 - Gressoney-La-Trinité"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Gressoney-La-Trinité"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;0;4;4;4;5;5;5;3;8;2;2;3;3;3;3;2;3;2
1;4;0;5;4;4;4;5;5;4;7;2;3;3;2;2;3;3;3
2;2;4;0;5;3;5;4;5;5;4;7;1;3;3;2;2;3;3
3;4;2;4;1;5;3;6;3;5;5;4;6;2;3;3;2;2;3
4;5;4;2;4;1;5;3;5;3;4;5;5;6;2;3;3;2;2
5;4;5;4;2;4;0;4;2;5;4;4;3;3;6;2;3;3;2
6;3;4;4;3;2;4;0;3;3;5;5;5;2;3;6;2;3;3
7;1;3;4;3;3;3;4;0;3;0;6;4;4;2;4;5;2;4
8;2;1;3;4;3;3;3;4;1;3;0;5;3;4;2;4;5;3
9;2;2;1;3;4;3;4;3;4;1;3;0;5;3;5;2;4;5
10;0;2;2;1;3;4;3;4;3;4;1;2;0;5;4;5;2;4
11;3;0;2;2;1;3;5;3;4;3;4;1;2;0;5;4;5;2
12;3;2;0;2;2;1;3;5;3;3;3;5;1;2;0;5;4;5
13;2;3;2;0;2;2;1;3;5;3;3;3;6;1;2;0;5;4
14;3;1;3;1;0;2;2;1;3;5;3;4;3;5;1;2;0;5
15;6;3;1;3;1;0;2;2;1;2;5;3;4;3;5;1;1;0
16;2;5;3;1;3;1;0;2;2;1;2;5;3;4;3;4;1;2
17;5;2;5;3;1;3;1;0;2;3;1;2;5;3;4;3;5;1
18;1;5;3;5;3;1;3;1;1;2;3;1;2;5;3;3;3;4
19;5;1;5;3;5;3;1;3;1;3;2;3;1;2;5;3;3;3
20;1;5;2;5;3;5;3;1;4;1;4;2;3;2;2;5;3;3
21;8;1;5;1;5;3;5;3;1;5;1;3;2;4;3;3;5;3
22;1;8;2;5;1;5;3;6;2;1;5;1;3;2;4;3;3;5
23;7;1;8;1;4;1;5;3;6;6;1;5;1;3;2;4;3;4
24;2;6;1;8;1;3;1;4;3;6;7;2;8;1;3;2;4;2
25;0;2;6;1;8;1;3;1;5;4;6;7;2;8;1;3;3;4
26;9;0;4;5;1;9;3;3;1;6;4;4;8;2;4;2;3;3
27;3;12;0;6;5;1;8;3;3;1;6;4;4;9;3;3;2;3
28;8;3;13;2;6;4;3;9;3;4;1;6;4;5;8;4;3;2
29;1;10;3;13;3;7;4;3;9;4;5;1;6;2;5;9;3;3
30;5;1;8;3;14;2;7;4;3;7;3;5;1;6;2;7;6;3
31;5;5;1;10;4;14;2;6;3;3;8;2;4;1;6;2;6;7
32;0;5;5;1;11;5;13;2;5;4;2;7;2;4;1;6;2;5
33;10;0;5;6;2;11;5;12;2;6;3;2;8;2;3;1;6;3
34;5;10;1;5;7;1;11;5;12;2;9;3;2;8;3;3;1;5
35;7;5;10;1;6;7;2;10;4;11;2;6;4;2;8;3;4;1
36;6;7;5;11;1;6;6;2;11;3;10;2;4;4;2;7;3;4
37;4;6;7;4;11;1;7;5;2;9;2;10;2;5;5;2;7;3
38;4;4;6;8;4;12;0;6;6;3;9;3;10;2;6;4;2;7
39;1;1;4;5;8;6;11;0;6;5;3;9;3;10;2;6;4;2
40;2;1;3;4;5;8;6;7;0;6;5;3;9;3;9;2;6;4
41;3;1;2;6;4;5;8;7;7;0;7;5;2;8;3;8;2;7
42;4;2;2;2;4;4;5;8;8;7;2;7;6;2;8;3;9;2
43;4;4;5;2;2;4;4;5;6;8;7;1;5;6;2;6;3;9
44;8;4;5;6;3;1;4;4;5;6;8;6;0;5;5;2;6;3
45;3;8;4;5;5;4;2;2;6;7;6;8;6;0;5;5;3;7
