"Popolazione per età, vista per singola area - Comune: 007065 - Saint-Vincent"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Saint-Vincent"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;43;35;34;31;43;45;42;36;24;36;39;48;37;25;23;36;24;31
1;43;44;38;31;30;45;41;43;36;29;35;41;45;38;21;23;39;20
2;34;38;49;34;30;30;40;37;42;33;31;32;39;40;35;25;24;40
3;41;36;40;46;34;32;30;34;34;41;33;30;30;42;34;37;26;28
4;39;42;37;41;46;34;35;31;33;34;38;35;32;31;41;33;36;26
5;45;40;44;36;36;45;33;36;32;32;34;37;33;26;31;40;33;37
6;37;45;44;44;34;39;47;34;31;31;31;36;41;33;26;30;40;36
7;27;38;48;44;44;37;38;47;33;30;31;33;36;39;35;25;31;38
8;33;27;41;45;46;39;35;42;48;35;28;31;32;34;40;38;24;37
9;37;33;30;37;47;46;37;35;46;46;39;29;33;34;38;38;34;23
10;27;36;36;29;42;46;49;37;34;47;45;38;30;33;32;37;37;32
11;36;32;38;32;30;44;45;49;34;34;46;44;36;29;34;33;39;38
12;32;38;32;35;33;29;45;46;49;34;34;46;48;39;27;35;34;40
13;37;31;37;32;33;32;29;48;49;51;33;33;46;45;39;27;36;32
14;33;38;36;43;34;34;36;29;51;47;51;31;33;45;47;39;26;40
15;36;33;37;36;47;34;35;39;31;48;47;51;31;32;45;47;40;28
16;32;40;36;36;35;46;36;39;40;32;48;48;49;31;33;47;47;42
17;44;31;41;36;35;34;46;35;35;37;31;49;48;49;30;33;47;45
18;38;43;30;39;37;35;37;45;32;32;37;30;49;44;48;33;36;45
19;33;40;43;32;41;38;34;40;43;32;31;40;26;47;46;49;38;42
20;26;38;41;42;33;39;42;39;39;45;32;35;44;27;46;52;56;40
21;50;25;43;43;43;32;37;44;42;39;45;33;39;47;26;45;51;56
22;42;53;28;44;47;47;34;37;50;42;42;50;35;41;43;27;43;47
23;66;41;60;34;48;50;48;38;35;48;46;42;51;36;37;45;28;46
24;48;67;48;63;35;44;56;53;39;39;51;51;40;51;33;39;46;28
25;75;49;72;46;51;35;46;57;53;37;38;49;52;44;50;32;38;47
26;70;80;56;70;51;54;32;45;56;54;38;38;53;55;46;43;30;32
27;64;70;83;62;66;53;56;36;38;51;47;36;42;53;56;43;42;29
28;83;55;74;83;73;72;48;61;34;36;46;46;34;42;51;53;42;37
29;72;79;68;82;83;64;74;50;59;31;42;46;54;34;37;46;51;38
30;69;65;86;74;80;75;67;66;49;59;31;48;46;54;34;38;54;43
31;66;76;70;84;77;84;73;68;65;54;57;34;49;47;51;34;37;48
32;90;65;77;70;84;78;79;70;66;59;57;65;28;47;46;44;36;42
33;78;92;69;77;72;77;79;71;66;67;59;59;61;30;43;43;45;34
34;77;78;91;70;85;74;78;76;63;70;64;63;57;59;31;44;46;45
35;69;78;74;85;71;83;78;76;81;68;76;65;61;54;56;29;42;48
36;90;69;80;79;87;71;83;80;76;75;66;74;60;61;53;57;30;41
37;96;87;70;81;82;86;72;83;76;75;73;71;72;61;60;54;54;30
38;87;96;90;73;84;86;83;67;84;78;71;71;73;67;62;63;48;52
39;77;88;102;88;78;81;85;89;69;81;80;69;71;73;63;62;64;43
40;66;76;85;99;86;79;84;84;88;64;79;79;67;70;76;65;61;63
41;69;71;77;85;101;83;82;83;77;85;66;73;76;68;67;77;63;65
42;76;70;73;77;91;101;80;79;81;73;84;71;75;77;67;67;77;62
43;64;78;73;73;77;86;96;78;77;78;76;80;74;70;75;64;70;73
44;60;65;81;73;70;77;87;93;79;74;80;76;80;69;68;76;62;70
45;70;63;69;83;69;72;80;86;101;77;75;79;78;80;69;70;76;64
46;60;74;63;67;78;68;76;85;83;99;77;76;85;78;77;67;69;79
47;75;60;72;61;63;78;68;76;84;84;100;80;75;86;83;77;71;71
48;59;77;55;69;61;63;78;69;70;89;89;104;76;77;84;81;76;74
49;56;60;73;58;69;66;64;80;71;68;88;89;102;82;79;82;82;73
50;46;56;63;72;57;71;65;63;81;76;68;86;91;103;83;78;85;85
51;64;45;62;61;68;61;70;66;62;81;74;73;85;88;95;81;76;85
52;61;65;45;62;61;69;58;69;66;67;79;72;74;87;86;92;78;73
53;80;59;65;46;64;64;71;56;70;66;63;74;71;74;89;83;90;77
54;64;78;59;62;46;61;64;71;59;70;65;61;76;68;72;87;84;87
55;66;62;73;58;55;46;59;65;67;57;71;71;66;77;67;72;85;85
56;52;66;62;73;59;55;43;62;62;67;58;71;74;68;74;69;70;83
57;42;52;65;60;72;55;57;45;63;63;68;61;68;72;68;70;72;69
58;65;42;50;63;63;70;57;56;45;61;63;69;59;64;71;66;67;73
59;66;66;43;48;61;64;72;56;56;46;60;62;70;62;64;69;65;67
60;66;65;63;41;50;60;66;72;55;52;48;61;60;71;59;64;68;62
61;67;61;64;66;41;48;62;67;73;55;51;47;60;59;69;57;64;67
62;76;68;63;64;66;41;46;60;65;70;55;53;43;59;57;68;55;65
63;64;74;69;63;63;66;40;46;59;62;68;54;51;42;59;58;67;54
64;60;62;72;68;63;64;64;41;44;58;60;69;50;49;41;61;60;65
65;71;60;59;74;68;64;64;64;42;43;56;60;71;47;50;41;58;58
66;62;69;59;62;74;66;62;61;65;40;41;57;58;70;47;49;40;56
67;40;61;68;58;58;74;66;62;60;62;38;39;56;57;67;43;48;37
68;57;40;60;68;58;55;72;68;59;60;58;39;39;58;54;63;44;49
69;64;56;36;58;66;55;55;72;67;61;60;56;39;37;54;53;64;47
70;56;64;53;34;58;66;56;55;71;63;60;57;56;38;35;55;54;65
71;50;53;60;53;34;58;66;58;55;66;60;59;57;57;36;34;57;52
72;58;47;53;60;48;32;60;65;56;53;64;61;58;57;56;35;34;57
73;52;58;45;52;57;47;32;60;62;56;53;64;57;54;56;56;38;35
74;55;50;54;46;51;54;44;31;60;59;56;52;64;59;55;55;52;38
75;44;55;51;55;46;51;50;42;29;59;57;55;53;65;59;51;52;51
76;37;42;52;50;56;42;47;47;42;31;60;58;52;51;61;58;53;49
77;52;35;40;50;50;55;43;48;46;42;30;58;58;51;50;59;58;52
78;39;51;37;39;44;49;48;44;43;42;40;30;56;57;46;50;58;57
79;43;36;46;36;38;43;45;45;42;40;41;39;28;56;58;43;45;57
80;38;45;36;43;33;37;44;44;43;38;36;40;38;27;54;54;41;45
81;32;36;40;31;40;33;37;40;43;40;38;35;38;38;24;52;50;38
82;14;29;34;38;26;35;33;36;35;39;34;36;33;36;37;22;45;48
83;14;12;28;34;34;23;34;29;33;32;36;30;34;31;35;31;23;43
84;7;13;12;27;36;31;18;33;26;31;30;32;29;32;28;34;32;21
85;17;4;12;11;26;28;33;16;27;25;24;30;31;28;26;26;32;25
86;14;14;3;12;10;24;28;27;17;25;24;24;28;26;24;24;23;25
87;18;16;14;3;12;10;21;26;25;16;24;23;24;22;21;20;23;23
88;16;15;12;14;3;10;10;19;20;21;13;21;17;21;20;20;18;20
89;14;11;12;10;10;4;7;10;15;20;21;12;17;17;19;18;17;15
90;10;10;10;11;9;10;4;6;9;13;19;19;9;15;14;18;15;14
91;6;7;8;8;10;6;7;4;4;7;11;17;18;8;16;9;14;15
92;4;4;5;8;6;10;6;5;4;3;6;10;14;14;6;13;7;12
93;2;2;4;6;5;6;8;4;3;3;2;6;7;16;13;5;11;6
94;3;0;2;3;5;3;5;5;3;2;3;0;5;6;11;12;7;9
95;3;1;0;2;1;5;2;4;4;1;1;3;0;5;5;9;7;5
96;2;3;1;0;1;0;2;2;3;2;1;1;3;0;2;4;8;5
97;0;2;3;1;0;0;0;2;1;3;2;1;1;1;0;1;2;5
98;1;0;2;1;0;0;0;0;2;1;2;2;0;1;1;0;0;1
99;0;0;0;2;0;0;0;0;0;2;1;2;2;0;1;1;0;0
100 e oltre;0;0;0;0;2;0;0;0;0;0;2;2;3;3;3;3;3;2
Totale;4711;4707;4803;4801;4816;4803;4818;4830;4751;4692;4672;4728;4715;4680;4572;4520;4500;4454
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;23;22;21;18;17;31;22;15;13;19;19;22;11;12;15;19;9;17
1;15;26;23;19;18;18;27;24;13;14;20;18;20;11;8;17;21;9
2;15;12;29;21;18;17;17;26;24;12;15;17;15;17;12;10;17;21
3;18;18;13;28;22;18;17;15;23;23;12;13;18;18;15;12;10;16
4;19;19;17;13;28;21;18;16;14;22;21;14;17;18;19;15;13;10
5;26;21;21;18;12;27;20;21;17;13;22;20;13;13;19;18;14;13
6;20;26;24;21;15;14;28;22;21;16;12;25;22;14;12;17;17;16
7;17;20;24;24;22;14;14;29;21;20;16;12;24;22;15;11;16;16
8;16;17;23;23;23;21;15;18;30;22;18;16;13;22;23;16;11;21
9;21;15;18;22;24;22;19;15;18;29;23;18;18;14;23;22;17;13
10;16;19;17;17;23;24;26;19;14;19;29;21;18;17;14;22;21;16
11;16;19;20;16;17;23;24;26;17;14;19;28;22;18;17;14;24;20
12;21;17;19;19;16;16;25;24;26;19;14;18;32;22;16;18;14;25
13;14;19;18;20;19;15;18;27;26;26;18;13;18;29;22;16;19;14
14;23;15;22;20;21;20;16;18;26;25;26;16;14;19;30;22;15;21
15;22;22;15;22;21;20;20;17;18;25;25;26;15;15;19;30;23;16
16;18;24;22;15;21;21;20;22;16;19;25;26;25;15;15;21;30;24
17;23;18;25;22;15;22;21;19;20;15;19;25;27;26;14;16;23;30
18;20;23;18;24;21;15;24;22;18;17;15;18;27;26;26;16;16;22
19;18;21;22;19;25;23;15;25;22;16;17;17;16;27;26;27;19;20
20;12;20;21;19;19;25;24;18;25;20;15;18;17;14;27;29;30;22
21;27;11;22;21;18;19;23;24;21;26;18;16;19;22;14;26;28;30
22;25;28;13;23;23;22;21;25;25;20;26;18;17;22;21;14;25;29
23;40;27;31;17;23;26;25;22;22;23;20;25;20;16;23;21;13;27
24;28;37;27;34;19;21;28;27;21;23;26;20;23;21;17;24;20;13
25;30;30;38;25;29;17;24;27;26;21;23;27;19;24;19;18;24;21
26;34;32;34;39;27;31;17;21;27;28;24;23;31;20;24;21;16;19
27;38;35;34;37;36;30;34;18;17;25;25;24;25;33;22;22;22;17
28;45;33;36;32;44;38;28;35;17;16;25;25;21;25;31;20;21;18
29;44;43;36;41;33;36;40;29;34;14;18;28;28;20;19;24;20;20
30;34;40;46;40;42;28;36;37;29;35;15;21;27;28;20;20;25;17
31;28;38;45;47;43;47;28;39;37;29;32;17;25;27;24;18;23;22
32;48;24;37;49;49;43;46;28;37;32;33;37;12;23;25;19;20;24
33;41;48;29;38;52;47;45;43;26;35;31;32;38;14;22;21;18;19
34;39;44;50;30;41;47;48;44;37;32;34;31;30;37;16;20;22;22
35;38;40;40;47;32;37;45;46;42;37;35;35;29;27;36;14;20;23
36;49;36;40;42;49;31;37;48;44;39;39;30;34;31;24;34;11;18
37;44;48;36;43;45;46;33;35;44;44;39;41;29;31;30;25;32;11
38;42;45;48;37;46;45;43;30;33;46;41;38;42;27;33;33;22;29
39;40;43;48;47;41;45;45;47;32;30;46;41;37;42;25;33;34;22
40;39;39;41;46;46;41;47;44;47;31;30;46;37;33;42;27;34;33
41;38;42;41;40;47;45;42;45;41;46;33;30;45;38;33;47;25;36
42;36;37;45;42;42;49;43;38;43;38;46;34;29;44;35;33;47;26
43;29;36;39;44;41;41;44;43;37;42;37;45;34;28;45;34;35;43
44;27;28;38;37;42;42;41;42;44;35;41;37;43;31;30;45;34;32
45;35;28;30;41;36;44;40;37;47;44;34;41;41;42;31;32;44;35
46;26;37;26;30;39;36;46;44;37;47;45;33;44;42;39;31;31;45
47;42;27;36;23;29;39;34;45;42;37;47;46;35;46;43;37;33;30
48;30;43;26;33;24;30;40;35;42;46;39;48;43;34;44;42;37;33
49;31;31;43;28;33;29;31;41;38;43;46;38;47;43;37;43;42;37
50;22;30;32;43;28;35;30;30;42;39;44;44;42;46;43;37;45;45
51;38;22;35;32;40;31;35;28;29;40;38;45;44;39;42;41;38;44
52;26;38;22;36;32;39;28;36;28;34;40;36;45;44;40;40;41;36
53;32;26;38;22;35;35;40;26;37;28;33;36;34;46;46;38;40;40
54;32;30;27;35;22;34;34;40;28;38;27;32;36;32;43;45;39;40
55;30;31;27;27;30;21;32;34;39;27;37;32;36;36;29;43;42;40
56;28;30;30;28;27;29;19;33;34;39;28;36;34;36;35;31;41;42
57;23;27;28;29;27;25;31;20;34;35;38;30;34;33;36;32;33;42
58;36;23;25;28;29;27;26;30;20;34;34;38;29;31;32;33;33;33
59;32;36;24;25;27;30;28;25;31;21;33;33;36;30;32;29;32;32
60;29;31;35;24;26;26;31;27;24;30;22;32;32;36;30;31;28;30
61;28;24;31;35;24;25;26;33;29;25;31;20;33;33;34;29;31;27
62;33;29;24;31;35;24;23;26;32;28;24;31;20;33;33;32;28;31
63;29;32;30;24;30;33;23;23;27;30;29;24;30;19;32;34;35;27
64;28;29;32;29;23;31;33;23;22;27;29;29;21;28;19;35;34;34
65;31;28;27;32;29;24;31;33;24;21;25;29;29;19;29;19;32;34
66;34;29;28;28;32;27;23;29;32;22;19;24;28;28;18;29;18;30
