"Popolazione per età, vista per singola area - Comune: 008009 - Borghetto d'Arroscia"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Borghetto d'Arroscia"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;4;4;2;2;0;1;1;4;4;1;5;3;1;4;0;2;2;2
1;1;5;4;2;1;0;2;1;4;5;0;5;3;1;2;0;3;3
2;0;1;5;4;2;1;0;2;2;5;5;0;4;3;2;1;0;3
3;1;0;1;4;4;2;1;0;4;2;5;5;1;4;4;2;3;0
4;3;1;0;1;4;3;3;2;0;4;2;5;5;2;4;3;2;3
5;1;3;1;1;1;3;3;3;3;0;4;3;4;5;2;4;3;2
6;1;0;3;1;1;1;4;6;3;2;0;4;4;4;5;1;4;3
7;2;1;0;2;1;1;1;5;5;3;2;0;5;3;4;5;1;4
8;2;2;1;0;2;1;1;2;3;5;4;2;0;5;3;4;5;1
9;1;1;2;1;0;2;1;1;3;3;5;4;2;0;5;5;4;4
10;3;1;1;2;1;0;2;1;1;3;3;6;5;2;0;6;5;4
11;5;3;1;1;2;1;0;2;1;1;4;3;6;5;2;0;6;4
12;0;5;3;1;1;1;2;0;2;1;1;4;3;6;6;2;0;6
13;2;0;5;3;1;1;1;1;0;2;1;1;4;2;6;4;2;1
14;1;2;0;5;3;1;1;2;1;0;2;2;1;4;2;4;4;2
15;1;1;1;0;6;3;1;1;2;1;0;2;2;1;4;1;4;4
16;3;1;1;2;0;6;4;1;1;2;1;0;2;2;1;4;1;4
17;4;3;1;1;2;0;6;4;1;1;2;1;0;2;2;3;4;1
18;4;4;3;1;1;2;0;6;4;1;1;2;1;0;2;2;2;4
19;0;5;4;3;1;1;3;0;6;4;2;1;2;1;0;3;2;2
20;3;0;5;3;3;1;2;3;0;6;4;3;2;2;1;0;3;2
21;4;3;1;5;3;3;1;2;3;2;5;4;2;2;2;1;0;4
22;3;4;3;1;6;3;3;1;3;4;3;4;4;3;2;1;1;0
23;4;3;3;3;1;5;3;2;2;3;4;2;4;4;2;2;1;1
24;4;4;3;3;3;1;5;4;3;3;2;6;2;5;4;2;3;1
25;10;5;6;3;2;5;1;5;4;3;3;3;6;2;4;4;2;3
26;1;9;5;5;3;2;5;2;5;5;3;3;4;6;3;4;4;2
27;8;2;7;5;5;2;2;3;1;5;5;3;3;3;5;3;4;4
28;5;9;2;6;5;7;4;4;5;0;5;6;3;3;2;6;3;6
29;4;5;7;2;6;4;6;4;5;5;0;5;5;3;3;1;6;3
30;6;4;5;9;4;7;4;8;5;8;5;0;5;5;3;2;1;6
31;4;8;4;6;11;3;7;5;9;5;7;5;1;5;4;3;2;1
32;6;6;7;8;7;10;3;6;6;9;4;6;5;1;6;4;1;2
33;4;6;5;8;6;6;12;3;8;5;8;4;4;4;1;7;4;1
34;4;4;6;6;6;5;6;10;0;9;3;7;4;5;4;1;6;4
35;2;3;4;5;6;5;5;7;9;0;9;4;6;3;4;4;1;6
36;5;2;3;4;5;7;5;5;8;11;0;9;4;5;3;5;4;1
37;8;5;2;3;4;5;5;5;7;7;12;0;10;4;6;3;5;4
38;5;8;6;2;5;4;5;7;6;7;6;12;1;10;3;5;5;6
39;6;4;8;7;2;4;4;4;7;6;7;6;12;1;10;3;6;5
40;6;6;4;8;7;2;6;4;4;6;6;7;7;12;1;10;3;6
41;4;6;5;4;8;7;3;7;6;5;6;9;7;7;13;1;10;3
42;9;3;6;5;5;5;7;3;6;5;4;6;9;6;8;12;1;10
43;3;9;4;6;5;7;6;7;3;6;5;5;7;10;7;9;12;1
44;5;3;10;3;5;5;7;9;6;3;7;5;7;7;9;7;9;11
45;10;5;3;9;3;5;6;7;9;6;3;7;5;7;8;8;7;8
46;7;8;5;3;9;3;5;6;7;8;6;4;7;5;6;7;6;7
47;5;7;8;5;3;6;3;5;5;7;9;6;5;7;5;6;7;6
48;1;4;6;8;5;4;6;3;5;5;7;9;6;4;7;5;6;7
49;6;0;4;5;7;5;4;6;3;5;5;8;9;5;4;7;6;6
50;2;7;0;4;5;9;5;6;6;3;5;4;8;8;5;5;8;6
51;8;2;7;0;4;5;10;6;5;6;3;5;4;8;8;5;4;8
52;4;7;2;7;1;6;5;10;6;3;6;4;5;4;8;6;6;4
53;11;4;8;2;7;2;6;5;9;5;3;7;4;4;4;7;6;5
54;7;10;4;9;2;6;3;6;5;9;5;3;8;3;4;4;7;5
55;4;8;9;4;11;2;6;4;6;5;10;5;3;8;3;4;4;6
56;9;4;7;10;5;11;2;6;3;7;5;10;6;4;8;3;4;5
57;8;9;4;7;10;5;11;2;6;3;7;5;9;6;4;6;3;5
58;6;8;9;4;7;9;5;10;2;6;3;6;5;9;6;6;5;3
59;9;6;7;7;4;7;10;4;10;2;4;3;7;5;9;6;6;5
60;8;9;6;7;7;4;7;9;4;10;2;4;3;6;5;9;6;6
61;5;9;10;6;7;7;4;7;9;5;10;2;4;3;6;5;9;6
62;13;5;10;10;6;7;7;4;7;9;4;10;3;4;3;6;6;9
63;7;14;5;8;9;6;8;7;4;6;9;4;10;3;5;3;6;6
64;10;7;13;5;8;9;6;6;7;4;6;9;4;10;3;6;3;6
65;8;10;7;10;5;8;9;7;6;7;4;6;9;4;10;3;6;3
66;12;8;10;7;10;5;10;9;7;5;7;4;6;9;4;10;3;5
67;10;12;7;11;7;11;4;10;10;7;5;7;4;6;10;4;10;3
68;11;10;12;7;11;8;11;4;10;8;7;6;7;4;6;10;4;10
69;8;12;10;13;7;11;7;10;4;8;7;7;6;7;3;6;9;4
70;9;7;12;10;12;7;11;6;10;3;7;8;7;6;7;3;7;8
71;8;8;7;10;10;12;7;12;6;10;3;7;7;7;6;7;3;7
72;7;8;8;7;9;9;13;7;12;6;9;3;5;7;6;5;9;3
73;10;9;7;8;7;9;9;13;8;12;6;9;3;5;7;5;5;8
74;1;10;11;6;8;7;9;9;13;8;10;6;8;3;5;7;5;5
75;10;1;10;10;7;8;7;8;9;13;8;10;6;8;4;5;7;4
76;8;9;1;10;9;7;9;7;8;8;13;7;10;7;8;4;5;7
77;11;8;9;1;10;9;8;8;9;8;8;13;7;11;6;8;4;4
78;8;11;7;9;1;10;9;8;7;10;8;8;12;6;11;6;8;4
79;11;7;10;6;9;2;10;10;8;7;10;8;7;12;6;10;6;8
80;13;11;7;10;3;10;2;11;8;6;6;10;6;7;11;7;9;7
81;7;12;12;6;9;3;11;3;10;8;6;6;10;8;7;12;6;7
82;4;7;8;12;4;8;3;10;1;9;7;6;6;10;8;7;12;6
83;2;4;5;7;12;3;7;3;9;1;8;7;6;6;7;7;7;11
84;1;2;4;5;5;12;3;7;4;8;1;8;6;6;6;7;5;7
85;6;0;2;4;5;1;10;3;7;4;5;1;8;5;6;7;7;2
86;5;4;0;2;4;5;3;8;3;7;3;4;1;8;5;6;8;4
87;2;5;3;0;2;4;5;4;7;3;6;3;5;1;5;5;6;6
88;7;2;4;3;0;2;4;5;3;6;3;6;2;5;0;6;6;5
89;5;6;1;4;2;0;1;2;4;3;6;3;4;2;3;0;5;3
90;1;4;6;3;3;1;1;1;2;5;3;4;3;5;3;5;0;5
91;4;1;3;6;2;3;1;0;1;2;4;4;5;3;3;3;5;0
92;1;2;0;3;4;2;2;1;0;1;2;3;3;4;2;3;2;4
93;3;0;2;0;3;2;2;2;1;0;2;2;1;4;4;2;2;2
94;1;3;0;1;0;2;2;1;2;1;0;2;2;1;3;4;1;2
95;0;0;0;0;1;0;2;2;0;2;1;0;1;3;1;0;3;1
96;0;1;0;0;0;1;0;2;2;0;2;1;0;0;2;1;0;2
97;0;0;0;0;0;0;1;0;2;1;0;2;1;0;0;2;0;0
98;1;0;0;0;0;0;0;1;0;2;1;0;1;2;0;0;1;0
99;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1
100 e oltre;0;0;0;0;0;0;0;0;0;1;1;2;1;1;1;1;1;1
Totale;497;491;472;468;458;446;466;477;483;478;464;476;470;470;453;448;446;428
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;1;2;0;1;0;0;0;3;0;1;2;2;0;1;0;1;1;0
1;0;2;2;0;0;0;1;0;3;1;0;2;2;0;1;0;2;1
2;0;0;2;2;0;0;0;1;0;3;1;0;1;2;1;1;0;2
3;1;0;0;2;2;0;0;0;1;0;3;1;1;1;3;1;2;0
4;1;1;0;0;2;2;0;0;0;1;0;3;1;2;1;2;1;2
5;0;1;1;1;0;1;2;0;0;0;1;0;3;1;2;1;2;1
6;1;0;1;1;1;0;1;4;0;0;0;1;0;3;1;1;1;2
7;0;1;0;0;1;1;0;1;3;0;0;0;1;0;3;1;1;1
8;1;0;1;0;0;1;1;0;1;3;1;0;0;1;0;3;1;1
9;1;1;0;1;0;0;1;1;1;1;3;1;0;0;1;2;3;0
10;2;1;1;0;1;0;0;1;1;1;1;4;1;0;0;2;2;3
11;2;2;1;1;0;1;0;0;1;1;1;1;4;1;0;0;2;2
12;0;2;2;1;1;0;2;0;0;1;1;1;1;4;1;0;0;2
13;1;0;2;2;1;1;0;1;0;0;1;1;1;0;4;1;0;1
14;0;1;0;2;2;1;1;0;1;0;0;1;1;1;0;2;1;0
15;1;0;1;0;2;2;1;1;0;1;0;0;1;1;1;0;2;1
16;2;1;0;1;0;2;3;1;1;0;1;0;0;1;1;1;0;2
17;3;2;1;0;1;0;2;3;1;1;0;1;0;0;1;3;1;0
18;4;3;2;1;0;1;0;2;3;1;1;0;1;0;0;2;2;1
19;0;4;3;2;1;0;1;0;2;3;2;1;0;1;0;1;2;2
20;2;0;4;3;2;1;0;1;0;2;3;2;2;0;1;0;1;2
21;2;1;0;4;3;2;1;0;1;2;1;3;1;2;0;1;0;2
22;0;2;1;0;4;3;2;1;1;1;3;1;3;1;2;0;1;0
23;3;0;1;1;0;4;3;1;1;1;1;2;1;3;1;2;0;1
24;3;3;0;0;1;0;4;4;2;1;1;3;1;2;3;1;3;0
25;6;4;3;0;1;2;0;4;4;2;1;2;3;1;1;3;1;2
26;0;5;4;3;0;1;2;0;4;4;2;1;2;3;2;1;3;1
27;5;0;5;4;3;0;1;1;0;4;4;2;2;1;2;2;1;3
28;5;5;0;3;4;4;1;2;3;0;4;5;2;2;0;2;2;2
29;2;5;4;0;3;4;4;1;3;3;0;4;5;2;2;0;2;2
30;5;3;5;5;0;3;4;4;1;4;3;0;4;5;2;1;0;2
31;4;6;3;6;7;0;3;4;5;1;3;3;0;4;4;2;1;0
32;5;6;5;5;7;6;0;3;4;6;1;3;3;0;5;4;1;1
33;2;5;5;7;5;6;7;0;3;3;6;1;2;2;0;5;4;1
34;0;2;5;6;5;4;6;5;0;4;2;6;1;3;2;0;5;4
35;2;0;2;4;6;4;5;7;5;0;4;3;5;1;3;2;0;5
36;3;2;0;2;4;7;4;5;7;5;0;4;3;4;1;3;2;0
37;5;3;2;0;2;4;5;4;4;6;6;0;5;3;4;1;3;2
38;3;5;3;2;2;2;4;7;4;4;6;6;1;5;2;4;1;3
39;2;2;5;3;2;2;2;3;7;4;4;6;6;1;5;2;5;1
40;2;2;2;5;3;2;4;2;3;6;4;4;7;6;1;5;2;5
41;3;2;2;2;5;3;2;4;4;4;6;4;4;7;6;1;5;2
42;7;3;2;2;3;3;3;2;3;3;3;6;4;3;8;6;1;5
43;2;7;4;2;2;4;4;3;2;3;3;3;6;4;3;9;6;1
44;3;2;7;3;1;2;4;5;3;2;4;3;4;6;4;3;9;6
45;5;3;2;7;3;1;2;4;6;3;2;4;3;5;7;4;3;8
46;2;5;3;2;7;3;1;2;4;5;3;3;4;3;5;6;3;3
47;4;2;5;3;2;5;3;1;2;4;6;3;4;4;3;5;6;3
48;1;4;2;5;3;2;5;3;1;2;4;6;3;3;4;2;5;6
49;4;0;4;2;4;3;2;5;3;1;2;4;6;2;3;4;3;5
50;1;4;0;4;2;5;3;2;5;3;1;2;4;6;2;4;4;3
51;4;1;4;0;4;2;5;4;2;5;3;1;2;4;6;2;4;3
52;3;3;1;4;1;4;2;5;4;2;5;4;1;2;4;4;3;4
53;5;2;3;1;4;2;4;2;4;3;2;6;4;1;2;4;4;3
54;2;5;2;3;1;3;2;4;2;4;3;2;6;3;1;2;4;3
55;1;3;5;2;5;1;3;2;4;2;5;3;2;6;3;1;2;3
56;4;1;2;5;2;5;1;3;2;4;2;5;4;2;6;3;1;2
57;5;4;1;2;5;2;5;1;3;2;4;2;5;4;2;5;3;2
58;3;5;4;1;2;5;2;5;1;3;2;4;2;5;4;3;4;3
59;4;3;4;4;1;2;5;3;5;1;2;2;4;2;5;4;3;4
60;2;4;3;4;4;1;2;4;3;5;1;2;2;4;2;5;4;3
61;3;3;5;3;4;3;1;2;4;3;5;1;2;2;4;2;5;4
62;8;3;3;5;3;4;3;1;2;4;3;5;2;2;2;4;3;5
63;6;8;3;3;5;3;5;3;1;1;4;3;5;2;2;2;4;3
64;5;6;7;3;3;5;3;4;3;1;1;4;3;5;2;2;2;4
65;5;5;6;6;3;3;5;3;4;3;1;1;4;3;5;2;2;2
66;5;5;5;6;6;3;5;5;3;3;3;1;1;4;3;5;2;2
67;4;5;5;5;6;7;2;5;6;3;3;3;1;1;4;3;5;2
68;6;4;5;5;5;6;7;2;5;4;3;3;3;1;1;4;3;5
69;5;7;4;5;5;5;5;7;2;3;4;3;3;3;0;1;3;3
70;4;4;7;4;5;5;5;5;7;1;2;5;3;3;3;0;1;3
71;6;4;4;5;4;5;5;5;5;7;1;2;5;3;3;3;0;1
72;6;6;4;4;5;3;5;5;5;5;6;1;2;5;3;2;5;0
73;3;7;5;4;4;5;3;5;6;5;5;6;1;2;5;3;2;4
74;0;3;7;4;4;4;5;3;5;6;4;5;5;1;2;5;3;2
75;4;0;3;7;4;4;4;4;3;5;6;4;5;5;2;2;5;3
76;4;3;0;3;7;4;5;4;4;2;5;5;4;5;5;2;2;5
77;7;4;3;0;3;7;5;5;5;4;2;5;5;4;5;5;2;1
78;3;7;3;3;0;3;7;5;4;6;4;2;4;4;4;5;5;2
79;3;3;6;3;3;0;3;7;5;4;6;5;2;4;4;4;5;5
80;5;3;3;6;1;4;0;3;5;4;3;6;4;2;4;5;4;5
81;2;5;3;2;4;1;5;1;3;5;4;3;6;5;2;5;4;3
82;0;2;3;3;1;3;1;4;1;3;4;4;3;6;5;3;5;4
83;1;0;1;3;3;1;2;1;4;1;3;4;4;3;4;5;4;4
84;1;1;0;1;3;3;1;2;2;4;0;3;4;4;3;4;4;3
85;2;0;1;0;1;1;1;1;2;1;2;0;3;4;4;3;4;2
86;3;1;0;1;0;1;2;1;1;2;1;1;0;3;3;4;3;3
87;0;3;0;0;1;0;1;2;1;1;1;1;1;0;2;3;4;3
88;1;0;3;0;0;1;0;1;2;1;1;1;1;1;0;3;4;3
89;2;1;0;3;0;0;0;0;2;2;1;1;1;1;0;0;2;1
90;0;1;1;0;2;0;1;0;0;2;2;1;1;1;1;2;0;2
91;3;0;0;1;0;2;0;0;0;0;2;2;1;1;1;1;2;0
92;0;2;0;0;1;0;1;0;0;0;0;1;1;1;0;1;1;1
93;0;0;2;0;0;1;0;1;0;0;0;0;0;1;1;0;1;1
94;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;1;0;1
95;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0
96;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0
97;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0
98;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0
99;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1
100 e oltre;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1
Totale;254;254;241;238;237;230;238;241;249;242;235;244;243;242;236;241;245;229
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Femmine
0;3;2;2;1;0;1;1;1;4;0;3;1;1;3;0;1;1;2
1;1;3;2;2;1;0;1;1;1;4;0;3;1;1;1;0;1;2
2;0;1;3;2;2;1;0;1;2;2;4;0;3;1;1;0;0;1
3;0;0;1;2;2;2;1;0;3;2;2;4;0;3;1;1;1;0
4;2;0;0;1;2;1;3;2;0;3;2;2;4;0;3;1;1;1
5;1;2;0;0;1;2;1;3;3;0;3;3;1;4;0;3;1;1
6;0;0;2;0;0;1;3;2;3;2;0;3;4;1;4;0;3;1
7;2;0;0;2;0;0;1;4;2;3;2;0;4;3;1;4;0;3
8;1;2;0;0;2;0;0;2;2;2;3;2;0;4;3;1;4;0
9;0;0;2;0;0;2;0;0;2;2;2;3;2;0;4;3;1;4
10;1;0;0;2;0;0;2;0;0;2;2;2;4;2;0;4;3;1
11;3;1;0;0;2;0;0;2;0;0;3;2;2;4;2;0;4;2
12;0;3;1;0;0;1;0;0;2;0;0;3;2;2;5;2;0;4
13;1;0;3;1;0;0;1;0;0;2;0;0;3;2;2;3;2;0
14;1;1;0;3;1;0;0;2;0;0;2;1;0;3;2;2;3;2
15;0;1;0;0;4;1;0;0;2;0;0;2;1;0;3;1;2;3
16;1;0;1;1;0;4;1;0;0;2;0;0;2;1;0;3;1;2
17;1;1;0;1;1;0;4;1;0;0;2;0;0;2;1;0;3;1
18;0;1;1;0;1;1;0;4;1;0;0;2;0;0;2;0;0;3
19;0;1;1;1;0;1;2;0;4;1;0;0;2;0;0;2;0;0
