"Popolazione per età, vista per singola area - Comune: 008017 - Cervo"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Cervo"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;5;9;4;5;5;6;7;6;12;9;8;12;9;8;8;4;7;5
1;8;5;10;5;4;6;5;6;5;12;9;9;12;11;8;7;4;9
2;8;8;3;9;5;4;5;6;6;6;12;8;11;9;13;6;7;4
3;9;9;9;2;9;5;4;5;6;7;6;12;7;10;11;10;5;9
4;8;13;10;8;2;8;5;6;6;5;6;5;13;7;10;9;12;7
5;13;7;14;9;6;2;7;4;6;5;6;7;4;11;7;8;7;12
6;14;13;6;14;8;6;3;10;4;6;6;5;10;5;10;6;7;7
7;2;16;13;5;14;8;6;3;10;4;6;6;7;9;5;12;6;7
8;7;4;16;11;5;15;8;6;2;10;3;5;7;6;8;5;12;5
9;11;7;5;17;13;5;15;7;6;2;10;5;6;7;6;8;6;12
10;9;10;7;4;17;13;5;12;7;6;2;11;7;6;7;6;7;6
11;8;8;11;8;5;16;12;4;12;7;6;2;12;6;5;7;5;6
12;6;9;8;11;8;5;16;12;5;12;7;6;2;12;5;5;7;5
13;14;6;7;6;11;8;5;17;11;6;12;8;6;3;12;5;4;7
14;4;14;7;7;7;12;8;6;17;11;7;13;8;7;3;11;5;4
15;4;3;14;7;7;7;12;7;5;16;11;6;14;9;8;3;10;5
16;5;4;5;13;6;6;7;11;7;5;16;12;7;14;7;8;3;10
17;7;5;5;4;15;7;6;7;14;7;5;17;10;7;14;7;8;4
18;5;8;9;4;5;15;8;7;8;14;7;6;16;12;8;16;7;8
19;5;2;9;9;5;5;14;7;7;8;12;6;7;16;11;8;15;7
20;7;3;2;8;14;5;5;12;8;12;9;13;7;6;18;11;7;16
21;6;7;4;1;8;15;6;8;11;10;13;9;14;7;5;18;10;7
22;14;6;8;5;3;8;13;5;7;12;10;14;10;14;8;4;18;9
23;12;14;7;7;5;4;8;12;5;4;13;10;12;11;13;7;5;17
24;14;12;12;6;8;6;5;8;12;8;5;13;11;11;9;8;8;6
25;15;15;12;11;9;7;6;3;9;12;8;3;15;12;13;8;8;9
26;12;16;12;14;13;8;10;8;6;7;11;8;5;15;9;13;9;8
27;20;11;14;13;14;15;8;10;10;8;7;14;9;7;16;10;12;7
28;15;19;15;17;11;16;16;7;8;9;11;9;13;8;6;16;12;12
29;8;14;19;18;18;9;14;14;11;9;9;11;10;13;11;5;17;10
30;13;7;15;19;17;19;10;13;15;11;8;10;16;9;11;10;5;14
31;15;14;8;11;19;17;22;12;13;13;12;8;9;14;9;11;11;8
32;12;15;12;8;10;18;14;23;11;14;12;12;10;8;13;9;11;11
33;12;13;17;15;7;10;18;14;24;11;10;15;11;9;7;15;10;13
34;12;15;14;16;18;4;10;15;14;21;12;12;16;12;8;5;14;11
35;19;12;14;12;12;14;7;9;14;15;20;10;15;17;13;7;5;15
36;24;24;12;18;14;13;13;8;7;13;14;20;10;15;13;11;7;7
37;27;29;25;10;16;15;13;14;7;9;14;14;22;13;14;13;11;9
38;14;30;29;26;11;14;15;15;15;8;9;15;15;22;17;13;9;12
39;17;12;29;26;23;11;15;14;14;19;5;8;16;16;20;15;13;9
40;21;19;12;26;27;23;11;17;15;16;16;3;7;16;11;17;13;13
41;18;20;17;12;27;31;24;11;15;15;15;19;5;9;20;12;14;14
42;9;16;21;14;12;27;29;23;11;14;15;15;18;4;11;17;11;13
43;13;10;17;23;15;11;27;24;21;13;10;16;14;17;4;9;14;11
44;13;13;9;18;21;14;11;28;23;22;12;12;18;12;19;6;8;11
45;15;10;17;10;18;19;14;12;28;26;21;12;12;19;12;19;6;9
46;21;16;9;16;11;19;19;14;13;29;25;21;12;11;19;15;15;6
47;15;24;15;11;14;10;19;20;14;14;26;28;19;11;11;18;14;16
48;20;14;23;15;11;16;8;16;21;15;14;24;27;17;11;11;17;13
49;20;21;13;21;14;13;17;9;17;23;17;17;26;28;17;12;12;17
50;10;17;21;12;22;14;13;17;9;18;23;19;18;27;25;17;11;13
51;14;9;16;21;13;20;14;13;19;10;20;21;19;18;28;24;18;11
52;11;13;7;15;19;14;19;13;13;19;11;18;21;19;18;27;22;17
53;17;12;14;7;15;18;10;19;13;13;18;10;17;24;19;18;25;22
54;13;19;12;15;9;16;17;10;20;13;14;17;11;15;25;21;18;27
55;15;13;19;13;13;8;15;17;12;19;13;15;17;12;16;23;22;16
56;18;13;14;20;12;14;9;15;17;12;19;15;15;17;12;15;24;23
57;10;17;13;13;22;12;16;8;17;19;12;20;16;15;21;12;15;26
58;13;10;17;14;12;22;14;15;10;15;20;13;22;15;17;19;15;14
59;18;12;10;17;15;11;21;13;14;13;16;19;13;23;13;19;19;17
60;16;20;11;9;15;16;11;20;15;13;13;16;20;15;24;15;18;21
61;33;17;23;10;9;16;19;12;20;18;13;15;17;19;13;25;14;19
62;23;31;16;22;9;9;15;18;13;19;18;16;13;18;18;12;27;17
63;22;22;31;20;21;9;9;13;17;12;22;17;16;12;17;18;12;28
64;22;22;21;31;23;22;8;8;13;17;11;23;18;16;11;17;17;12
65;17;23;23;22;32;20;21;8;9;11;17;12;22;19;16;11;17;17
66;21;20;22;25;22;33;20;20;8;9;11;18;14;22;19;17;12;18
67;10;21;19;22;26;23;33;21;19;9;8;12;18;14;23;18;16;13
68;19;12;19;19;20;25;22;33;19;18;8;9;10;16;15;23;18;14
69;23;18;12;21;20;20;24;20;30;19;17;9;9;10;17;15;23;18
70;16;20;19;11;20;19;19;25;21;29;19;18;9;8;10;17;15;21
71;15;15;21;19;12;16;17;19;23;21;28;18;18;9;8;11;17;15
72;13;15;15;19;19;11;14;17;19;22;21;26;18;16;9;9;13;17
73;21;11;14;15;18;19;9;14;17;19;21;21;26;17;16;9;7;13
74;13;20;11;15;15;19;19;11;16;18;19;22;20;25;17;15;9;9
75;17;13;19;11;14;15;17;18;10;16;18;18;22;20;25;17;13;9
76;12;17;13;19;11;14;13;17;19;10;17;18;19;20;20;26;14;13
77;13;12;17;13;18;10;14;13;17;19;10;16;18;20;20;20;26;13
78;9;13;11;17;12;16;9;14;13;16;18;10;12;18;19;19;20;25
79;13;5;12;11;13;11;15;9;14;13;16;16;9;12;18;18;17;20
80;16;12;5;11;10;11;10;15;8;14;11;16;16;7;11;16;17;16
