"Popolazione per età, vista per singola area - Comune: 009055 - Sassello"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Sassello"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;9;5;8;15;9;9;3;6;11;10;7;13;13;11;4;9;5;8
1;7;8;5;7;18;9;10;3;5;14;9;7;14;13;9;5;11;5
2;15;6;8;8;7;18;8;11;4;6;13;9;6;15;13;8;7;11
3;14;16;3;9;10;7;16;8;11;4;7;13;10;7;15;12;7;7
4;7;13;16;3;12;8;9;14;9;11;5;7;14;10;6;13;12;8
5;14;5;13;16;3;12;7;11;15;10;12;5;8;15;9;6;13;12
6;9;15;8;14;16;3;13;7;12;15;11;12;5;9;14;9;7;12
7;24;11;17;10;13;16;3;13;7;13;16;10;11;5;8;13;10;7
8;10;26;11;17;10;13;16;4;14;7;13;15;11;12;6;8;13;10
9;12;10;29;12;17;9;13;18;7;14;7;12;14;11;12;5;9;15
10;7;12;10;27;12;19;10;12;17;8;15;7;11;14;10;12;5;8
11;8;7;11;9;28;12;16;11;14;15;7;14;7;12;14;10;11;5
12;5;8;8;11;11;27;12;15;12;14;17;5;16;7;11;13;10;11
13;9;5;8;9;11;11;29;12;16;12;15;16;5;15;7;13;14;9
14;9;8;4;8;11;12;9;26;14;15;13;15;17;7;16;8;11;14
15;6;11;8;5;8;11;12;10;25;13;16;13;15;18;7;16;8;10
16;10;6;12;9;3;8;12;12;10;25;14;14;14;15;18;7;16;8
17;11;10;5;10;9;4;8;11;12;10;25;15;14;14;15;19;7;16
18;10;12;10;7;9;9;5;8;13;13;10;23;15;14;14;14;18;8
19;11;10;12;10;7;11;9;5;9;12;14;10;24;14;14;14;15;18
20;8;12;10;11;10;7;11;9;6;10;13;13;12;24;15;14;18;17
21;11;11;14;10;14;10;7;14;10;6;10;12;13;12;26;14;16;13
22;10;12;11;15;9;13;12;7;12;9;6;12;13;15;12;26;15;17
23;16;11;13;11;12;8;15;13;6;16;10;6;12;14;14;9;26;13
24;18;14;9;11;17;14;9;17;14;8;20;10;6;14;15;14;12;26
25;19;14;18;11;11;15;16;12;16;15;10;19;10;6;12;15;16;12
26;18;19;18;19;11;10;18;14;13;15;16;11;20;9;8;16;18;16
27;15;18;22;24;18;14;11;16;15;13;14;14;12;19;9;6;16;14
28;20;16;18;19;24;18;14;11;15;15;13;12;14;12;20;9;6;18
29;17;21;19;17;19;22;18;17;10;16;17;12;13;14;10;17;10;9
30;23;19;22;22;15;21;24;20;16;10;17;15;11;16;15;11;17;10
31;23;23;21;22;22;21;19;24;20;16;11;17;17;12;19;13;13;18
32;25;23;26;23;21;24;24;19;24;18;16;11;15;18;16;17;17;10
33;23;23;24;23;27;20;27;22;19;24;20;16;12;15;13;16;17;18
34;25;25;23;26;21;24;26;27;22;20;25;20;16;12;14;12;15;16
35;30;27;26;22;25;27;23;24;25;22;20;23;22;14;12;14;12;15
36;29;30;34;28;26;28;27;24;28;23;25;19;24;22;17;12;14;11
37;32;31;35;29;31;28;33;26;25;27;22;26;19;23;25;16;11;17
38;35;32;31;31;32;31;24;32;25;23;27;21;24;22;20;26;14;9
39;19;36;32;33;36;30;28;25;33;22;22;30;23;24;21;18;27;14
40;22;19;41;36;32;36;28;28;22;31;24;20;30;23;24;21;21;26
41;19;22;18;39;38;31;37;27;23;21;31;21;22;28;22;22;23;24
42;24;19;22;17;44;37;34;34;26;26;23;29;19;26;26;22;23;22
43;21;20;23;25;19;43;37;34;35;28;26;23;30;19;23;26;24;22
44;25;21;22;19;27;19;41;34;35;32;27;24;23;30;20;23;26;25
45;23;26;21;20;21;27;19;43;35;32;32;26;24;26;27;17;23;28
46;20;24;32;21;28;24;29;18;42;35;33;33;26;22;27;29;19;27
47;35;24;24;25;23;23;24;28;20;40;36;35;33;28;20;27;30;18
48;19;41;24;22;27;23;23;23;29;21;40;35;35;33;28;21;28;30
49;14;19;41;22;23;28;24;23;22;25;21;39;37;35;35;25;20;27
50;25;14;18;43;23;25;27;22;25;25;26;20;38;38;35;38;23;24
51;19;28;16;16;45;23;26;26;22;26;27;29;20;38;36;33;37;26
52;20;19;27;16;18;41;23;27;27;22;26;25;30;20;37;36;36;37
53;16;21;18;26;14;17;39;22;25;26;22;24;24;29;20;37;34;33
54;26;17;23;22;28;14;17;37;21;25;25;23;23;24;29;19;37;35
55;34;28;22;29;24;28;14;16;35;19;25;24;22;25;24;29;20;38
56;19;34;36;24;30;26;28;16;19;37;19;25;25;23;25;24;29;22
57;13;18;34;30;23;30;27;28;19;21;37;20;23;25;25;30;23;29
58;21;13;19;34;36;27;32;23;28;18;21;37;22;24;26;26;31;23
59;26;25;13;20;38;34;26;29;24;27;20;18;38;22;22;29;24;31
60;31;29;24;15;17;39;34;25;27;23;28;17;19;38;22;23;30;25
61;30;32;28;24;14;19;39;34;26;25;24;27;19;20;36;22;23;32
62;24;30;39;26;20;17;21;38;34;28;25;25;27;18;19;33;23;22
63;23;28;33;39;32;22;17;21;36;32;27;24;28;28;19;19;31;23
64;34;22;29;35;43;32;23;16;22;35;31;28;24;27;28;18;20;31
65;28;34;21;29;34;42;32;24;18;21;35;30;26;24;25;28;18;20
66;32;30;36;22;31;37;41;32;24;18;21;35;30;25;24;24;27;16
67;25;32;28;38;21;32;33;40;29;24;19;21;35;30;26;24;24;26
68;30;23;31;30;39;21;32;30;39;30;26;20;21;35;31;26;24;24
69;37;30;28;32;32;40;21;33;31;38;30;26;15;21;34;32;24;24
70;30;35;30;25;32;27;38;20;32;31;38;29;25;15;19;34;31;25
71;27;30;37;29;25;29;25;38;24;30;33;35;30;26;14;21;35;31
72;26;26;28;38;29;23;29;25;35;23;35;32;34;28;25;16;20;36
73;23;26;28;30;35;30;23;28;26;35;21;34;33;32;27;25;18;20
74;32;22;28;27;32;37;29;22;26;24;35;19;33;32;31;28;25;18
75;24;32;24;29;31;34;37;27;22;25;24;35;19;31;30;29;26;23
76;24;24;30;22;31;29;34;35;27;22;23;22;35;19;30;27;27;23
77;26;23;25;30;21;31;29;34;32;27;22;21;19;34;18;28;24;26
78;20;25;24;25;29;20;28;27;33;32;29;22;21;20;33;19;24;25
79;18;19;22;26;23;30;17;25;23;29;31;24;21;19;16;34;16;23
80;17;16;21;20;21;21;29;15;24;24;28;28;22;17;17;17;31;15
81;18;16;15;20;21;20;24;27;15;20;24;28;29;23;17;16;15;30
82;15;17;16;13;20;21;20;23;27;14;17;21;28;26;21;18;14;15
83;13;14;17;15;18;20;18;19;21;26;14;17;21;27;22;22;18;11
84;6;12;11;13;14;17;19;20;19;21;24;13;14;22;25;19;22;18
85;11;6;10;13;16;12;12;17;19;13;18;22;14;14;17;25;17;22
86;15;7;4;9;13;17;12;10;15;17;13;19;21;13;15;17;19;18
87;14;13;9;4;8;13;18;12;9;14;15;11;15;19;13;15;14;17
88;9;11;9;7;4;7;8;14;11;10;14;14;10;15;17;12;13;11
89;11;6;8;8;6;6;7;7;10;9;7;11;12;9;15;16;13;11
90;5;8;6;6;5;7;5;6;7;8;9;7;7;11;7;12;11;11
91;6;6;5;6;8;4;5;5;6;6;5;6;6;6;8;5;10;8
92;4;5;6;5;5;6;4;3;5;5;5;2;6;5;3;7;4;7
93;3;3;2;6;4;4;5;4;3;5;4;5;2;5;3;3;5;4
94;2;3;3;1;7;4;4;3;5;3;2;1;2;2;5;2;3;3
95;5;1;2;0;1;4;3;2;2;1;2;3;1;1;1;4;2;2
96;2;3;0;0;0;1;4;1;1;2;1;1;2;1;0;1;3;0
97;2;2;3;0;0;0;1;2;1;1;2;1;1;1;1;0;1;3
98;1;2;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;0
99;0;1;0;0;1;0;0;0;1;2;1;1;0;1;1;0;0;0
100 e oltre;2;3;3;1;1;2;0;0;0;1;3;2;2;2;1;1;0;0
Totale;1769;1780;1850;1848;1930;1946;1941;1893;1893;1861;1887;1824;1826;1836;1783;1766;1755;1741
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;7;4;7;9;7;5;2;4;9;5;4;7;12;6;1;4;4;5
1;5;6;4;6;12;7;6;3;3;10;4;4;7;12;5;1;4;3
2;8;4;4;6;6;12;6;7;3;3;9;4;3;7;11;4;3;4
3;8;10;2;5;6;6;10;7;7;3;4;9;5;4;7;10;4;3
4;4;8;10;2;9;4;8;8;7;7;3;3;9;5;4;6;10;5
5;7;4;8;10;2;9;3;9;8;7;8;3;3;10;4;4;6;10
6;4;7;5;7;10;2;10;3;9;9;7;8;3;3;9;4;4;6
7;13;6;9;5;7;10;2;10;3;9;9;6;7;3;3;8;5;4
8;6;15;6;9;5;7;9;2;11;3;9;8;7;7;4;3;8;5
9;7;6;17;7;9;4;7;9;3;11;4;9;8;7;8;3;3;10
10;6;7;7;15;7;10;4;7;9;4;11;4;8;8;7;9;3;3
11;5;6;6;6;15;7;8;4;8;7;3;10;4;8;8;7;8;3
12;3;5;6;6;6;14;7;7;4;7;9;2;11;4;8;7;7;8
13;3;3;5;7;6;6;15;7;6;4;7;8;2;11;4;9;7;6
14;6;2;3;5;8;6;4;14;9;6;4;7;9;4;12;4;8;7
15;0;6;2;4;5;8;6;5;13;8;8;4;7;9;4;12;4;8
16;4;0;7;3;2;5;9;6;5;13;9;6;4;7;10;4;12;4
17;3;4;0;7;3;2;5;8;6;5;13;9;6;4;7;11;3;12
18;8;3;4;0;6;3;2;5;8;7;5;11;9;6;4;6;10;3
19;7;8;3;4;0;8;3;3;6;7;8;5;12;9;6;4;7;10
20;3;6;8;2;4;0;8;3;4;6;7;8;5;12;9;6;8;8
21;5;2;5;8;5;4;0;10;4;4;6;6;8;5;14;8;8;7
22;6;5;4;6;7;5;4;0;7;4;4;7;6;9;5;15;9;8
23;8;7;6;6;6;7;7;5;1;9;4;4;8;7;9;5;17;7
24;11;8;5;6;10;8;8;8;6;1;11;4;4;9;8;9;7;16
25;11;9;8;5;6;5;8;10;8;6;1;10;4;4;8;9;11;7
26;10;12;11;7;4;6;6;7;10;7;6;2;10;4;6;12;12;11
27;7;8;16;13;9;7;7;5;8;9;7;6;1;9;4;5;12;11
28;11;5;10;14;11;8;7;8;5;8;9;6;5;1;9;4;5;12
29;9;10;7;11;12;12;10;7;8;7;10;8;7;5;1;8;4;5
30;10;9;10;10;10;12;13;13;7;7;8;9;7;7;5;1;8;4
31;14;9;8;10;10;11;10;13;14;7;7;8;10;7;8;4;1;9
32;15;15;11;7;11;10;12;8;13;14;7;7;7;10;9;8;7;1
33;9;15;16;9;9;10;12;12;9;12;14;6;8;7;8;10;8;7
34;14;8;15;14;8;9;13;12;12;10;13;13;5;9;7;7;10;7
35;16;17;10;12;14;10;9;13;10;13;11;13;14;5;9;7;7;10
36;17;18;18;11;14;20;12;9;15;8;14;12;13;15;7;9;7;7
37;22;19;20;16;14;16;21;11;11;14;9;15;12;12;19;6;8;9
38;16;22;19;20;20;15;14;20;11;10;14;8;14;14;10;20;5;7
39;9;17;20;19;21;18;14;16;21;11;10;15;8;15;14;7;21;5
40;9;10;20;24;20;21;17;15;15;19;13;10;14;8;15;14;10;20
41;7;9;8;18;24;19;22;15;10;14;19;11;10;12;8;14;16;13
42;14;7;9;7;24;22;22;19;14;10;14;19;10;11;12;9;15;14
43;13;13;9;10;7;25;22;20;19;14;10;13;17;9;9;12;10;14
44;9;14;13;7;10;7;25;20;21;19;13;9;13;17;10;9;12;11
45;11;10;14;13;8;10;7;26;21;18;19;13;8;16;14;9;9;13
46;9;13;12;14;15;8;12;7;25;21;17;21;13;9;18;14;9;9
47;19;9;14;9;16;13;9;11;8;23;22;19;21;13;6;17;14;8
48;10;23;9;11;9;15;13;10;11;9;23;22;20;21;13;7;18;14
49;5;10;23;9;10;9;15;13;10;11;9;22;24;20;21;11;7;18
50;14;5;9;25;11;13;10;13;14;11;11;8;21;24;20;21;11;9
51;12;15;5;7;27;11;13;9;11;15;13;14;8;21;23;18;21;13
52;10;12;14;5;9;28;13;14;9;12;15;12;14;8;20;23;20;20
53;9;12;12;13;5;8;25;12;14;8;12;15;11;14;8;19;21;19
54;15;10;12;14;13;5;9;23;11;13;8;12;15;11;14;7;19;22
55;16;17;15;15;16;13;5;8;21;9;14;8;11;16;10;14;7;19
56;9;16;23;17;14;16;12;7;9;22;9;14;9;11;17;10;14;8
57;8;8;16;18;16;16;17;13;8;10;21;9;12;9;11;20;9;14
