"Popolazione per età, vista per singola area - Comune: 010011 - Casarza Ligure"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Casarza Ligure"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;48;50;67;59;72;66;70;62;67;57;60;50;53;65;50;59;58;38
1;49;52;58;63;59;72;67;73;60;66;60;58;54;54;68;53;56;51
2;49;50;53;57;62;53;70;64;79;62;67;55;56;55;53;66;56;56
3;41;48;49;54;57;64;56;71;67;83;60;73;56;57;60;51;64;57
4;37;45;47;48;52;59;63;58;75;63;81;64;71;59;57;60;50;65
5;46;44;48;46;54;52;60;64;60;73;67;78;64;68;62;55;59;50
6;33;44;46;49;47;60;54;63;67;63;73;66;73;64;67;60;53;58
7;50;34;44;46;50;46;61;55;64;64;61;71;66;72;64;68;59;58
8;48;51;35;43;42;50;45;62;55;65;67;57;72;67;73;64;69;57
9;50;53;53;36;46;48;57;51;62;58;65;68;57;73;65;80;61;73
10;51;52;51;53;40;47;46;53;50;60;56;65;68;56;75;66;78;59
11;46;55;57;51;59;41;49;49;48;51;61;54;68;62;60;70;68;81
12;56;49;56;59;52;59;43;51;43;50;56;57;55;70;62;60;72;71
13;52;59;51;58;59;56;58;47;53;40;56;58;60;52;69;63;60;72
14;41;50;60;52;60;62;58;59;46;47;41;55;53;62;53;71;60;63
15;44;43;54;60;52;59;64;59;60;44;49;39;52;52;63;55;68;63
16;69;46;45;55;60;53;61;65;61;59;44;49;40;50;48;65;51;67
17;49;71;49;46;57;64;54;62;70;61;57;43;51;41;51;52;62;51
18;54;53;71;48;43;63;61;50;62;68;62;56;44;48;42;51;52;58
19;57;58;55;73;47;48;66;65;51;61;68;61;56;44;47;46;50;53
20;55;58;59;54;77;51;51;69;64;51;65;68;64;55;40;47;47;44
21;59;58;60;62;56;80;50;58;67;67;50;65;67;65;58;38;40;55
22;62;62;64;58;62;57;80;49;57;67;70;50;63;62;65;63;40;37
23;61;63;64;67;58;61;61;76;48;55;68;74;53;62;67;65;63;46
24;98;64;66;63;62;59;63;62;75;52;56;65;78;48;61;71;66;60
25;90;97;65;68;67;70;56;64;63;75;57;61;70;76;45;63;70;69
26;96;89;106;73;72;72;74;55;63;61;80;55;65;71;80;49;61;65
