"Popolazione per età, vista per singola area - Comune: 010026 - Gorreto"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Gorreto"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;0;0;0;1;0;0;0;2;0;0;0;1;1;0;0;0;0;0
1;0;0;1;0;1;0;1;0;2;0;0;0;0;1;0;0;0;0
2;0;0;0;1;0;0;0;0;0;3;0;0;0;0;1;0;0;0
3;1;0;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0
4;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;1;1;0
5;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1
6;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1
7;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0;0;0
8;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0
9;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0
10;0;2;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1
11;0;0;2;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
12;1;0;0;2;0;1;0;0;0;1;0;0;0;0;1;0;0;0
13;0;1;0;0;2;0;1;0;0;0;1;0;0;0;0;1;0;0
14;0;1;1;0;0;2;0;1;0;0;0;1;0;0;0;0;1;0
15;0;0;1;2;0;0;2;0;1;0;0;0;1;0;0;0;0;1
16;1;0;0;1;2;0;1;1;0;1;0;0;0;1;0;0;0;0
17;0;1;0;0;1;2;0;1;1;0;0;0;0;0;1;0;0;0
18;1;0;2;0;0;1;2;0;1;1;0;0;0;0;0;1;0;0
19;1;1;0;3;0;0;1;1;0;1;1;0;0;0;0;0;1;0
20;0;1;1;0;3;0;0;1;1;0;2;2;0;0;0;0;0;1
21;1;1;2;2;0;3;0;0;1;1;0;2;2;0;0;0;0;0
22;2;1;2;2;2;0;2;0;0;1;0;0;2;0;0;0;0;0
23;0;2;1;2;2;1;0;1;1;0;1;0;0;2;0;0;0;0
24;1;0;2;1;1;1;1;0;0;1;0;2;0;0;1;0;0;0
25;1;0;1;2;1;1;0;1;0;0;1;0;1;0;0;1;0;0
26;1;1;1;0;1;1;2;0;1;0;0;1;0;1;0;0;1;0
27;0;0;2;1;2;2;1;0;0;1;0;0;1;0;1;0;0;0
28;2;1;1;2;1;1;3;0;0;0;1;1;0;1;0;0;0;0
29;1;2;2;3;2;1;2;3;1;0;0;1;0;0;1;0;0;0
30;0;1;2;3;3;2;1;1;0;1;0;0;1;0;0;1;0;0
31;3;1;2;2;4;2;2;1;1;0;1;0;0;1;0;0;1;0
32;2;4;1;1;2;2;2;1;2;1;1;1;0;0;1;0;0;1
33;1;2;6;1;2;2;1;1;1;0;0;0;1;0;0;1;0;0
34;4;3;2;4;2;0;1;0;1;1;0;1;0;1;0;0;1;0
35;0;2;3;3;4;1;2;1;0;1;1;0;1;0;1;0;0;1
36;1;1;1;4;3;1;1;2;1;0;0;2;0;1;0;1;0;0
37;0;3;1;2;3;5;1;0;2;1;0;0;2;0;1;0;1;0
38;1;0;4;1;4;3;4;1;0;2;1;0;0;2;0;1;0;1
39;2;0;1;4;2;3;2;4;2;0;2;1;0;0;2;0;1;0
40;0;2;0;1;4;2;3;2;5;2;0;2;1;0;0;2;0;0
41;0;0;2;0;1;4;2;3;3;4;2;0;1;1;0;0;2;0
42;1;0;0;2;1;2;4;1;3;3;3;2;0;1;1;0;0;3
43;0;1;0;0;2;0;2;3;1;3;2;3;2;0;3;1;0;0
44;2;0;1;1;0;2;0;0;3;0;3;2;3;2;0;3;1;0
45;1;2;0;1;1;0;2;0;0;3;0;3;2;3;2;0;3;1
46;1;1;4;0;1;0;2;2;0;0;3;0;3;2;3;2;0;3
47;0;1;1;4;3;1;1;1;2;1;0;3;0;3;2;3;2;0
48;2;0;1;1;4;1;1;1;1;2;1;0;2;1;3;2;3;2
49;3;2;0;3;1;4;1;1;1;1;2;1;0;2;0;3;2;3
50;0;3;2;0;3;1;3;1;1;1;1;2;1;0;2;0;3;2
51;2;0;4;2;0;2;1;3;1;1;1;1;1;1;0;2;0;3
52;1;3;0;5;2;0;3;1;3;1;1;1;1;1;1;0;2;0
53;1;1;4;1;4;2;0;2;1;3;1;1;1;1;1;1;0;2
54;3;1;1;4;0;2;2;0;1;2;4;1;2;1;1;2;1;0
55;0;3;2;1;3;0;2;2;0;1;1;2;0;2;1;1;1;1
56;0;0;3;2;1;3;0;2;2;0;1;1;2;0;2;1;1;1
57;0;0;0;3;2;1;3;1;2;2;0;1;1;2;1;2;1;1
58;1;0;0;1;4;0;1;3;1;3;2;0;2;1;2;1;2;1
59;2;1;2;0;1;3;0;1;2;0;3;2;0;2;1;2;1;2
60;3;2;1;2;0;1;3;0;1;2;0;4;2;0;2;1;2;1
61;3;2;2;1;2;0;1;3;0;0;2;0;4;2;0;2;1;3
62;4;3;2;2;1;2;0;0;3;0;0;1;0;5;2;0;2;1
63;0;4;3;3;2;1;2;0;0;3;0;0;1;0;5;2;0;2
64;3;0;5;3;3;2;1;1;1;0;3;0;0;1;0;5;2;0
65;3;3;0;5;3;3;2;1;1;1;0;3;0;0;1;0;5;2
66;4;2;4;0;6;3;3;2;1;2;1;0;3;0;0;1;0;5
67;8;3;2;4;0;6;3;3;2;1;2;1;0;2;0;0;1;0
68;1;8;3;2;4;0;4;3;2;2;1;2;1;0;2;0;0;1
69;1;1;8;3;2;4;0;2;3;2;2;1;3;1;0;2;0;0
70;3;1;1;9;3;2;4;0;3;3;2;2;1;3;1;0;2;0
71;2;3;1;1;11;3;2;4;0;3;3;2;2;1;2;1;0;2
72;7;2;3;1;1;11;3;2;3;0;3;3;2;2;1;2;1;0
73;4;7;2;3;1;1;9;3;2;3;0;3;3;2;2;1;2;1
74;9;5;7;2;3;0;0;7;3;3;3;0;2;3;2;2;1;2
75;2;9;5;7;2;2;0;0;7;3;3;3;1;2;3;2;2;1
76;6;2;9;4;8;2;2;1;0;7;3;3;3;1;2;3;2;1
77;6;6;2;9;4;6;3;2;1;0;7;3;3;2;1;2;3;2
78;1;6;6;2;7;4;6;3;2;1;0;7;3;3;2;1;2;3
