"Popolazione per età, vista per singola area - Comune: 010035 - Mignanego"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Mignanego"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;25;34;23;26;26;25;28;39;32;39;32;23;31;22;21;16;21;18
1;29;25;37;21;25;26;33;26;39;30;37;33;26;29;20;20;17;19
2;29;31;27;34;20;26;27;33;27;44;32;38;34;23;29;21;17;19
3;29;31;28;22;37;21;32;24;34;28;46;29;38;32;26;29;24;19
4;21;31;29;32;24;40;24;34;26;33;26;44;28;39;29;28;31;23
5;18;24;30;28;34;26;39;27;35;27;32;27;43;27;38;30;31;30
6;27;19;24;29;30;37;28;40;25;33;30;31;28;42;29;38;30;29
7;21;29;18;24;28;31;32;29;39;25;32;30;30;27;42;32;37;27
8;35;21;28;15;25;29;29;33;30;37;25;31;31;31;27;41;32;38
9;31;34;24;27;17;29;29;29;32;31;39;26;31;30;31;29;42;31
10;31;32;34;24;28;18;27;26;33;32;31;40;23;32;29;34;29;37
11;24;34;29;34;25;28;21;27;26;32;32;33;40;23;33;32;35;29
12;28;25;34;28;36;26;25;24;27;26;31;33;32;39;23;36;32;34
13;26;26;26;33;30;36;30;24;27;28;25;29;31;33;39;23;36;32
14;24;26;22;25;32;31;35;30;23;26;29;27;26;32;33;38;23;36
15;22;26;26;22;27;31;32;37;29;23;27;26;27;26;31;30;38;23
16;19;20;27;26;22;29;29;32;39;27;23;26;30;26;26;31;28;37
17;25;19;22;27;25;22;27;30;31;38;27;22;26;29;25;27;36;28
18;24;25;20;24;25;26;23;28;34;32;38;27;23;27;29;24;29;37
19;34;25;24;21;22;29;28;25;28;34;31;39;28;22;27;31;26;32
20;23;35;23;27;22;22;29;31;27;30;34;32;38;27;23;26;28;26
21;30;22;34;25;26;25;25;29;32;32;32;35;36;39;27;22;26;29
22;23;32;21;36;22;25;27;27;27;32;29;34;32;35;41;27;30;24
23;23;25;36;28;34;23;27;24;29;32;30;29;36;29;33;42;26;31
24;33;25;28;36;29;38;22;28;25;33;31;29;27;34;33;32;40;28
25;36;31;28;31;39;33;39;24;28;27;31;31;30;22;36;33;31;43
26;40;40;31;29;30;35;36;43;26;29;27;31;34;31;21;35;29;34
27;59;44;44;33;28;24;38;39;43;32;31;31;28;30;33;20;35;29
28;51;60;44;44;37;33;33;39;37;41;35;35;27;29;34;28;23;37
29;50;58;58;44;44;39;37;42;37;31;44;34;32;28;29;32;27;25
30;44;54;60;58;45;44;48;36;41;40;32;39;38;27;32;29;29;31
31;54;50;59;63;63;43;45;44;36;37;39;35;43;35;29;36;25;32
32;50;56;47;59;62;65;54;45;45;40;37;35;36;44;37;29;29;25
33;63;54;57;53;63;65;68;49;46;44;44;32;35;38;47;39;36;30
34;53;66;55;60;54;62;62;68;51;49;43;44;29;36;39;45;36;34
35;68;53;69;54;64;57;59;67;65;49;48;42;44;34;39;42;41;35
36;51;68;54;69;51;66;59;64;66;69;53;52;39;42;35;35;41;41
37;55;52;67;48;72;53;67;66;70;65;69;53;52;42;44;38;36;40
38;50;54;48;63;42;69;54;70;58;70;65;71;54;52;40;44;38;38
39;52;48;52;45;67;47;65;58;71;61;73;62;67;54;49;42;41;31
40;64;56;49;52;42;69;55;63;60;65;64;73;66;68;55;52;45;38
41;45;66;59;50;54;40;66;57;64;62;65;66;74;65;70;55;53;44
42;61;48;68;56;51;56;41;66;57;63;64;66;65;67;66;69;50;52
43;47;62;47;64;56;50;57;45;69;64;64;66;68;65;63;64;68;48
44;51;46;59;48;61;59;51;55;45;70;62;62;65;67;64;68;68;70
45;47;52;49;57;45;64;60;54;55;48;68;60;62;63;63;65;66;72
46;41;51;54;50;56;49;65;61;55;55;47;65;66;70;65;61;64;67
47;52;43;52;51;47;57;48;63;64;57;52;46;64;68;72;64;62;62
48;34;53;44;54;51;46;61;50;62;66;55;52;42;66;68;69;63;60
49;40;32;53;48;54;52;47;62;52;63;64;57;52;41;64;71;67;62
50;46;41;34;51;51;55;54;47;62;55;62;69;55;56;43;66;71;70
51;46;46;41;38;51;51;55;56;44;63;55;60;73;57;53;42;67;69
52;57;43;48;43;39;54;51;52;55;49;60;57;57;72;59;50;42;70
53;53;57;43;48;41;38;54;54;52;53;49;61;62;55;72;58;48;45
54;64;54;57;47;50;42;38;56;54;53;52;50;67;59;57;72;58;51
55;69;66;58;57;45;49;44;41;55;53;52;56;48;64;57;52;74;63
56;28;65;67;60;56;49;50;43;40;57;53;50;56;49;62;62;51;71
57;58;26;67;67;60;58;52;51;42;42;55;52;55;55;51;60;59;50
58;55;60;26;68;63;61;53;55;49;42;42;55;55;55;54;51;57;58
59;44;55;60;24;70;59;60;53;52;49;44;44;56;54;57;53;50;58
60;55;47;55;59;26;69;60;57;54;54;49;44;45;53;53;56;52;51
61;43;50;46;53;54;29;68;62;57;56;53;50;43;46;51;53;54;54
62;58;45;49;46;53;53;30;67;59;58;57;53;52;43;43;51;50;54
63;51;61;46;46;48;52;53;31;68;58;57;55;54;50;43;40;54;50
64;52;49;61;47;46;46;52;50;27;64;59;53;54;54;51;42;40;52
65;37;51;46;59;47;49;46;53;48;25;62;56;54;54;54;50;41;40
66;49;37;52;48;58;47;50;47;55;48;25;61;57;54;54;50;49;40
67;44;50;35;53;49;57;42;50;45;53;48;25;60;56;55;54;48;47
68;42;46;48;36;51;51;54;44;48;46;52;47;27;61;57;55;52;50
69;46;41;45;47;38;48;49;52;44;49;44;48;47;27;57;56;55;52
70;41;44;40;42;47;38;47;51;50;39;49;45;47;48;25;55;53;54
71;52;41;39;41;42;47;39;47;47;51;36;48;46;46;46;26;56;53
72;42;47;40;38;39;43;45;37;47;44;51;35;43;42;43;46;26;53
73;42;42;44;41;35;40;43;44;34;44;43;49;35;42;41;43;45;23
74;33;39;41;42;39;34;37;42;45;33;43;38;49;32;40;39;40;42
75;45;32;39;39;42;39;33;41;41;45;30;43;36;49;33;37;38;39
76;28;43;34;36;39;41;37;33;42;41;45;29;41;35;48;32;37;36
77;36;29;44;34;35;39;40;36;33;40;41;43;26;41;32;46;31;35
