"Popolazione per età, vista per singola area - Comune: 010039 - Montoggio"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Montoggio"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;18;11;17;16;13;18;19;13;16;18;12;14;13;9;9;13;9;11
1;12;15;10;16;16;13;16;19;12;17;20;14;15;12;11;11;14;7
2;10;14;16;13;17;17;14;15;20;11;15;20;15;13;12;9;11;14
3;19;10;13;15;12;16;18;13;14;20;10;13;16;15;14;10;8;14
4;13;20;14;15;18;13;17;17;13;14;21;11;11;17;16;11;10;6
5;15;14;19;14;16;22;13;18;20;14;13;21;10;11;16;14;12;9
6;10;16;17;18;14;14;22;11;17;21;12;14;22;10;14;14;13;12
7;10;11;16;16;17;13;15;21;13;18;21;12;14;22;12;14;13;11
8;16;10;11;16;13;15;14;17;20;13;17;21;13;14;24;9;15;13
9;22;17;9;11;17;15;18;14;18;19;13;17;20;13;14;24;10;15
10;13;22;20;9;12;16;17;19;17;18;20;14;17;21;14;12;20;10
11;15;14;23;20;9;14;18;18;18;15;18;20;14;16;20;16;12;20
12;6;14;12;23;20;9;13;21;19;17;14;18;22;13;17;19;14;12
13;12;6;14;13;23;21;11;13;21;17;17;14;16;22;14;17;19;14
14;9;13;6;15;14;23;22;13;13;19;17;16;15;16;21;14;16;21
15;13;9;13;7;14;12;23;22;14;12;18;16;19;14;17;20;14;15
16;15;13;9;12;8;14;11;22;24;12;12;17;13;19;15;17;20;14
17;15;15;13;9;12;9;14;11;24;25;11;12;17;14;20;15;16;20
18;11;16;14;13;9;14;9;14;12;23;26;11;12;17;14;20;15;16
19;13;11;16;14;12;9;14;8;15;14;23;28;14;12;21;15;19;17
20;19;13;11;16;16;11;11;14;8;16;14;23;30;15;12;21;13;18
21;13;19;14;10;16;16;12;11;16;8;16;14;23;27;16;12;22;15
22;14;13;20;13;11;16;17;14;10;17;11;16;15;24;27;15;14;20
23;14;15;14;20;15;14;15;19;15;11;17;11;16;19;26;29;15;17
24;23;16;16;14;19;18;14;16;18;15;13;17;12;16;19;27;30;16
25;16;26;18;17;12;17;16;12;15;13;15;12;15;13;17;20;22;27
26;26;16;27;16;17;13;18;13;13;15;13;13;14;17;14;18;22;20
27;28;27;21;30;18;20;13;19;13;16;13;12;15;14;16;10;21;26
28;28;30;32;19;29;18;24;18;19;15;11;16;15;15;16;16;8;20
29;41;27;32;30;20;32;19;24;20;21;18;12;18;14;14;12;14;10
30;37;41;30;33;32;23;29;19;27;22;21;20;11;18;14;15;13;13
31;30;42;36;29;32;30;25;22;19;23;22;21;20;9;20;13;9;12
32;27;33;35;34;30;29;29;22;24;22;21;21;22;22;9;19;12;12
33;36;27;35;38;32;35;27;26;26;24;20;24;20;23;23;10;15;10
34;30;36;32;34;36;32;35;28;22;25;26;20;22;21;24;22;9;15
35;49;31;34;33;33;35;36;31;26;23;26;23;19;25;21;24;21;9
36;39;44;35;40;32;31;42;31;35;27;23;29;23;20;25;21;21;23
37;28;38;41;35;37;35;32;38;27;33;27;24;26;21;22;26;21;19
38;30;29;37;39;34;35;39;34;41;26;30;29;25;25;23;21;26;21
39;30;31;30;36;39;36;41;42;37;40;26;30;28;27;26;22;20;26
40;32;33;32;30;35;41;38;46;39;38;41;24;33;26;28;27;24;20
41;25;30;32;34;33;35;42;36;46;42;39;43;26;35;24;26;27;27
42;33;23;29;32;34;34;39;47;35;46;40;37;41;27;32;24;26;26
43;30;33;26;28;34;33;36;40;46;33;44;40;38;42;27;32;21;28
44;27;33;35;23;31;35;33;37;42;47;33;45;42;37;43;27;31;22
45;22;24;35;35;23;31;34;35;37;41;48;32;44;40;35;43;32;30
46;19;24;27;34;36;24;35;36;38;36;39;47;36;45;41;35;43;32
47;28;20;25;29;30;35;31;35;33;36;33;38;49;34;45;40;38;42
48;24;27;20;23;30;31;39;32;35;33;35;33;39;51;36;46;42;39
49;20;22;25;22;23;31;32;36;37;33;32;36;33;38;48;37;42;42
50;26;20;22;23;23;23;35;34;40;37;33;31;37;33;41;47;33;41
51;26;26;22;21;24;25;23;35;35;38;38;32;32;38;32;38;51;35
52;19;26;25;22;20;26;28;24;33;34;35;38;32;37;38;34;42;53
53;35;18;26;25;24;21;28;30;25;34;33;35;40;28;37;36;32;42
54;29;36;19;29;27;24;21;28;33;25;35;31;34;40;30;36;35;36
55;24;27;35;20;27;26;21;21;30;33;27;31;33;36;40;29;32;34
56;28;25;27;34;24;29;29;21;21;29;31;25;32;30;37;39;28;33
57;24;29;27;27;33;24;30;30;21;20;29;31;26;31;31;37;38;28
58;18;25;31;26;28;33;24;33;31;23;20;28;34;28;33;31;35;42
59;23;18;24;31;27;27;35;25;34;29;20;20;29;32;27;34;30;37
60;29;23;17;24;36;29;29;33;23;35;28;17;23;30;34;27;34;30
61;33;29;24;16;22;34;29;28;34;22;35;30;17;23;30;29;25;35
62;29;32;29;24;17;21;33;28;26;35;19;34;27;20;24;31;32;26
63;37;29;32;28;24;17;22;33;27;26;35;18;35;26;20;24;30;31
64;21;37;30;29;26;24;17;23;33;28;25;32;20;36;26;20;24;30
65;18;21;37;31;28;26;24;16;23;33;26;28;31;23;35;26;19;23
66;31;18;20;37;28;28;26;23;15;22;32;26;28;33;23;33;24;23
67;22;31;17;22;35;27;28;27;24;15;21;32;27;26;33;22;32;24
68;27;23;29;17;21;33;28;29;28;24;16;21;34;27;25;32;23;33
69;33;29;22;29;16;19;33;26;28;29;24;16;19;31;26;24;31;24
70;19;31;28;22;28;17;19;34;25;29;27;23;15;20;32;26;22;30
71;32;20;30;26;20;27;18;19;33;26;25;27;23;16;20;32;26;23
72;32;32;20;27;27;19;27;16;18;31;24;23;26;23;16;19;32;25
73;27;31;32;21;25;26;20;25;16;17;28;22;23;23;23;15;18;32
74;22;25;31;32;17;26;22;21;24;16;19;29;22;21;22;23;15;19
75;29;22;24;28;30;18;25;23;19;23;16;20;29;22;21;20;23;15
76;24;28;21;24;26;30;18;25;22;19;24;16;16;29;21;21;18;22
77;21;22;27;21;25;27;33;18;24;22;17;24;17;14;30;22;23;19
78;19;20;20;27;21;25;27;31;17;24;21;17;25;18;14;30;21;23
79;16;18;20;20;25;20;24;25;33;16;22;21;15;23;16;13;30;21
80;15;16;17;17;22;22;18;23;22;28;16;21;21;12;22;16;14;24
81;18;15;16;17;18;22;22;16;21;22;28;15;19;21;12;23;17;12
82;7;16;13;16;13;17;20;22;14;21;20;25;13;19;21;11;20;16
83;11;7;17;13;16;11;15;15;18;16;21;18;28;14;18;20;9;18
84;9;9;7;15;13;16;10;13;14;17;12;20;16;25;13;16;18;9
85;4;7;9;7;10;11;15;10;13;14;15;12;20;15;23;12;17;16
86;7;3;7;7;5;8;9;15;8;12;14;14;13;14;14;21;13;15
87;5;6;2;4;7;5;8;6;16;8;12;13;14;12;10;11;19;12
88;9;4;6;2;4;6;4;7;5;14;7;11;13;12;12;6;12;18
89;8;7;3;2;2;4;4;4;7;4;9;8;11;10;10;11;6;8
90;10;4;7;2;2;2;3;3;6;9;5;7;7;10;8;11;9;5
91;4;8;5;7;0;1;2;3;2;6;6;4;6;6;7;7;10;9
92;5;4;6;4;7;3;1;1;3;2;4;6;3;7;4;6;7;10
93;2;4;1;4;4;4;3;1;1;3;1;2;6;2;6;3;9;5
94;0;1;3;1;4;4;4;5;1;1;0;1;2;4;2;2;3;7
95;0;0;1;2;1;5;0;5;5;1;1;1;0;1;3;2;2;4
96;0;0;0;0;3;0;4;0;3;4;1;0;1;0;2;3;1;2
97;1;0;0;0;0;0;0;4;0;2;3;0;0;1;0;1;3;1
98;0;0;0;0;0;0;0;0;1;0;2;3;0;0;1;0;1;3
99;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1
100 e oltre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Totale;1973;1976;2006;1994;1990;2015;2089;2089;2114;2112;2059;2046;2072;2062;2083;2037;2003;2013
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;7;7;8;14;2;11;12;9;6;13;9;6;6;5;4;7;4;6
1;6;4;5;7;13;2;9;12;8;8;15;11;7;6;6;5;7;2
2;7;7;4;7;7;12;3;8;12;6;8;15;11;6;6;4;6;7
3;8;7;8;4;6;7;13;3;8;11;5;7;11;10;5;6;4;7
4;4;9;11;9;5;6;7;12;4;8;11;6;5;10;11;5;6;3
5;6;4;9;11;9;9;6;8;15;5;7;11;6;5;9;10;5;5
6;5;6;6;9;11;7;9;5;8;15;4;8;12;6;7;8;9;5
7;6;4;6;5;8;10;6;8;6;9;15;4;8;12;6;7;8;7
8;11;6;4;6;5;6;10;8;8;6;8;16;4;9;14;5;8;7
9;11;12;6;5;7;5;6;10;8;7;6;8;15;4;9;14;6;8
10;8;10;13;6;5;7;6;7;10;8;8;6;8;16;4;8;12;6
11;8;8;11;13;6;5;7;6;7;9;8;9;6;8;15;5;8;12
12;4;7;6;11;14;6;4;8;7;6;8;7;10;6;9;15;4;8
13;5;4;7;7;11;15;7;4;8;7;6;8;7;10;6;9;15;4
14;2;6;4;8;7;12;15;7;4;7;7;6;8;7;9;6;7;16
15;5;2;6;5;8;5;12;15;8;4;7;6;7;8;7;9;7;6
16;9;5;2;5;5;8;3;11;15;6;4;7;5;7;9;7;9;7
17;10;9;5;2;7;5;8;3;11;16;6;4;7;5;8;9;7;9
18;7;11;8;5;2;8;6;8;5;10;16;6;4;7;6;8;9;7
19;7;7;11;8;5;2;9;6;9;6;10;18;8;4;10;6;8;11
20;11;7;8;11;8;5;2;9;7;9;6;11;18;9;4;10;6;8
21;8;11;8;7;10;8;5;2;10;7;9;6;12;18;11;4;11;8
22;6;8;12;7;6;10;9;7;2;9;8;9;7;11;18;10;5;10
23;4;6;8;12;8;7;9;9;8;3;10;9;8;10;12;19;9;8
24;16;4;6;8;12;10;8;9;9;8;5;8;10;8;9;14;18;8
25;11;17;6;8;6;12;9;6;10;7;8;3;8;10;8;9;12;17
26;8;10;17;5;8;7;12;8;8;9;6;6;4;9;10;8;12;12
27;14;9;13;19;7;8;7;12;8;11;6;5;7;6;10;7;9;12
28;13;12;10;11;18;7;9;9;11;9;6;7;7;5;9;9;6;8
29;18;13;14;10;10;20;7;10;9;10;11;7;10;7;4;5;6;6
30;22;19;17;14;13;13;17;7;12;11;9;13;8;10;8;5;6;5
31;17;23;15;16;11;11;14;14;7;13;12;9;13;6;12;8;3;5
32;10;20;19;14;18;12;11;14;14;10;14;11;10;14;7;12;7;5
33;15;10;20;22;15;19;12;12;15;15;9;16;10;10;12;7;8;5
34;16;15;13;20;20;16;20;13;11;15;15;9;16;10;11;12;7;7
35;25;17;15;14;22;20;20;17;11;9;14;15;8;17;10;11;11;7
36;23;24;19;18;14;19;23;16;20;11;9;16;15;9;17;10;10;13
37;12;23;21;19;17;15;20;21;13;18;11;9;15;14;11;17;10;8
38;15;14;23;20;20;16;17;21;23;13;17;12;9;16;15;9;17;11
39;15;17;14;23;20;21;19;20;21;23;12;15;11;11;16;14;9;15
40;16;16;19;13;22;20;21;22;18;21;24;11;17;10;12;16;14;10
41;11;14;15;20;14;22;20;20;23;18;22;25;12;18;10;11;17;16
42;21;10;13;16;20;14;24;21;19;23;17;21;23;12;17;11;10;17
43;15;20;10;13;18;19;16;25;21;19;21;17;20;24;12;16;11;11
44;14;15;20;8;15;20;19;16;26;22;19;22;19;19;24;13;18;11
45;14;14;17;20;9;15;19;19;15;26;23;18;23;18;18;24;16;19
46;6;16;17;18;22;9;15;20;21;17;24;22;22;24;18;18;24;18
47;17;6;17;17;17;22;12;15;17;21;16;22;22;21;24;17;22;23
48;9;17;7;16;16;18;23;12;16;16;20;16;23;24;22;26;17;22
49;8;8;14;7;17;17;19;20;15;14;17;20;15;22;22;23;23;17
50;13;8;9;12;7;17;20;21;22;16;13;17;21;15;25;22;22;21
51;13;13;8;8;13;9;17;20;21;20;16;13;17;23;15;23;23;23
52;10;13;13;9;7;15;13;18;18;21;18;16;15;19;23;15;27;26
53;19;10;12;12;10;8;16;13;18;19;20;18;17;12;19;21;13;28
54;14;19;11;15;13;9;8;15;16;17;19;19;17;18;12;18;20;14
55;14;12;19;12;15;12;7;8;17;14;18;16;20;18;18;12;18;19
56;11;15;12;18;15;17;13;7;8;18;12;16;16;17;19;18;11;19
57;13;13;17;12;18;15;17;15;7;7;18;12;16;17;18;19;18;11
58;12;13;14;16;12;18;15;20;15;8;8;17;14;17;17;18;18;18
59;10;12;13;15;16;12;19;16;21;15;6;8;17;13;16;18;17;17
60;20;10;11;12;18;15;13;18;14;22;15;3;10;18;14;16;18;18
61;17;18;10;10;12;16;15;13;19;13;21;16;3;9;18;12;16;19
62;13;17;18;10;10;11;16;15;13;20;11;21;15;5;10;18;14;17
63;18;13;17;17;10;10;12;16;14;13;20;10;22;14;7;10;17;13
64;8;18;13;14;15;10;10;12;15;15;13;17;12;22;15;7;10;17
65;7;8;18;13;14;15;10;9;12;15;13;15;16;13;21;15;7;10
66;15;7;7;18;13;15;14;10;9;12;15;13;15;17;13;19;13;10
67;12;16;7;8;16;12;15;14;11;10;11;15;14;13;17;12;18;13
68;12;13;16;7;8;15;13;15;15;12;10;11;15;14;12;17;13;18
69;15;14;12;17;7;7;14;12;16;16;12;10;11;13;12;10;16;14
70;5;13;13;13;16;7;7;15;13;16;14;11;9;12;14;13;10;15
71;15;5;12;12;12;15;7;7;15;13;12;13;11;10;13;14;13;11
72;17;15;5;12;12;11;15;7;7;15;11;10;12;11;10;12;14;12
73;9;16;14;6;11;11;11;13;7;7;14;11;10;12;11;9;11;14
74;14;8;16;16;4;11;8;12;12;7;8;15;11;9;12;11;9;12
75;11;14;7;15;15;5;11;8;11;12;7;9;16;11;9;10;11;9
76;9;10;13;8;14;15;5;11;7;11;12;8;7;16;10;9;8;12
77;7;9;10;13;8;15;15;4;11;8;9;13;8;5;16;12;9;7
78;10;7;8;10;12;8;15;13;4;12;7;8;14;8;5;16;12;11
79;6;9;8;8;8;11;8;14;13;4;11;7;7;13;7;5;15;12
80;6;6;8;7;8;7;9;7;12;11;4;11;7;7;12;7;5;11
81;6;7;6;8;7;8;6;8;6;12;11;4;10;7;7;12;7;4
82;2;4;5;6;7;7;7;7;8;6;10;9;1;10;7;6;9;7
83;2;2;4;5;5;5;6;4;5;10;6;9;11;2;10;7;5;8
84;3;3;2;3;5;5;4;5;4;4;7;6;7;10;1;8;7;5
85;1;3;2;2;2;4;5;4;2;5;3;7;6;7;9;1;9;5
86;2;0;3;1;0;1;3;6;3;2;5;3;7;4;6;9;1;8
87;1;2;0;0;1;0;1;1;5;3;2;4;3;6;4;3;7;1
88;2;1;1;0;0;1;0;0;1;4;3;2;4;3;5;3;3;6
89;2;2;1;0;0;0;0;0;0;2;4;3;2;2;3;5;3;2
90;3;0;2;1;0;0;0;0;0;1;2;3;2;2;1;4;4;2
91;3;2;0;2;0;0;0;0;0;0;1;1;2;1;2;1;2;4
92;1;3;2;0;2;0;0;0;0;0;0;1;1;3;0;2;1;3
93;0;0;1;2;0;0;0;0;0;0;0;0;1;1;3;0;3;1
94;0;0;0;1;2;0;0;0;0;0;0;0;0;1;1;1;0;2
95;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;1;0
96;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;1
97;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100 e oltre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Totale;949;953;967;979;978;987;1018;1019;1034;1052;1020;1010;1029;1033;1052;1029;1011;1015
