"Popolazione per età, vista per singola area - Comune: 010044 - Portofino"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Portofino"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;4;3;1;3;4;2;2;4;2;4;2;5;1;2;2;2;2;1
1;4;4;2;2;4;2;1;2;4;1;4;2;2;1;2;1;2;2
2;3;4;4;3;2;4;2;1;3;4;0;4;1;2;0;3;1;2
3;5;4;3;5;3;2;5;1;1;3;4;0;4;1;2;1;2;1
4;2;6;2;3;4;3;2;5;1;2;3;3;1;4;1;4;1;2
5;3;2;6;2;3;4;4;1;5;1;1;3;4;0;3;1;3;1
6;1;3;2;5;2;3;4;4;1;3;1;2;3;4;0;2;1;1
7;3;1;3;2;5;2;3;4;3;1;3;1;2;3;4;0;2;1
8;3;3;2;3;2;5;2;2;3;3;0;3;1;2;3;4;0;2
9;1;4;3;2;3;2;5;2;2;3;3;0;3;1;2;2;4;0
10;4;1;5;5;3;4;2;5;2;2;3;2;1;3;1;2;1;4
11;6;4;1;5;5;2;4;2;5;2;2;3;2;1;3;1;1;1
12;2;9;4;1;5;5;2;4;2;5;2;3;4;2;1;4;1;1
13;5;2;8;4;1;5;5;3;4;2;5;2;3;4;2;1;4;1
14;6;5;2;8;4;1;5;5;3;4;2;4;1;2;4;2;1;4
15;4;6;4;2;7;4;1;4;5;3;4;1;4;2;2;4;2;1
16;2;4;7;4;2;7;4;1;4;4;3;4;1;4;2;2;4;2
17;2;2;4;6;4;2;7;4;2;4;4;3;4;1;4;2;2;4
18;5;2;2;4;7;4;2;7;4;4;4;4;3;4;1;4;2;2
19;1;5;2;1;4;7;5;2;7;4;4;5;4;3;4;1;3;2
20;6;1;5;2;1;4;9;4;2;7;4;5;4;5;3;4;1;3
21;2;7;1;4;1;2;4;9;4;2;8;4;4;4;5;3;4;1
22;4;2;6;2;4;1;2;4;8;5;2;9;4;4;4;5;3;4
23;3;3;4;8;3;3;1;2;4;6;5;4;8;3;4;5;5;3
