"Popolazione per età, vista per singola area - Comune: 010048 - Rezzoaglio"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Rezzoaglio"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;5;3;3;3;9;5;8;8;5;5;6;4;7;3;5;5;3;2
1;2;5;3;2;3;9;5;9;5;3;5;6;5;7;3;5;5;3
2;2;2;5;5;2;3;9;5;8;5;3;5;6;5;7;3;4;5
3;6;3;2;5;5;2;3;10;5;8;4;2;5;5;4;5;3;4
4;3;6;3;2;5;6;2;3;10;6;9;4;2;5;5;4;5;5
5;4;3;6;3;2;4;6;2;3;8;6;7;4;2;5;5;4;6
6;2;3;3;7;3;2;4;6;2;2;8;6;6;4;2;4;5;4
7;7;2;3;3;7;3;2;4;6;3;2;8;6;6;4;2;5;5
8;2;7;2;3;3;6;3;2;4;6;3;2;8;6;6;4;2;6
9;7;2;7;2;3;3;5;3;2;4;6;3;2;9;6;6;5;2
10;5;7;2;7;2;2;3;5;3;2;3;5;3;2;9;6;6;5
11;1;5;7;2;7;1;2;3;5;3;2;3;5;3;2;9;6;6
12;7;1;5;6;2;7;1;2;3;4;2;2;3;5;3;2;9;6
13;5;6;2;5;6;2;7;1;3;3;4;2;2;3;5;3;2;9
14;7;5;6;1;5;7;1;7;1;3;3;4;2;3;3;5;3;2
15;8;7;4;7;1;5;7;1;6;1;3;3;4;2;3;3;5;2
16;7;8;9;4;7;1;5;7;1;6;1;3;3;4;2;3;3;5
17;4;7;7;7;6;7;1;5;6;2;6;1;4;3;4;2;3;3
18;7;4;6;9;7;6;6;1;5;6;2;6;1;4;3;4;2;3
19;9;8;4;7;9;6;7;6;1;6;6;2;6;1;5;3;4;2
20;12;10;8;3;7;9;6;6;6;1;6;7;3;7;1;5;3;4
21;9;12;10;8;2;7;9;6;6;6;1;7;6;4;6;0;5;3
22;11;9;13;10;8;3;6;9;6;7;6;2;7;7;5;6;1;5
23;10;10;8;13;9;7;3;7;9;7;7;6;4;7;8;5;6;1
24;12;9;8;6;14;9;8;3;7;8;6;6;7;7;6;8;5;6
25;9;10;9;7;8;15;9;9;3;6;8;7;7;7;6;6;9;5
26;9;9;10;10;8;9;14;9;10;3;7;8;7;7;7;6;6;10
27;15;7;9;10;9;10;8;14;10;10;5;6;7;8;5;8;4;5
28;8;15;6;9;10;10;9;8;14;8;10;2;7;7;8;5;8;4
29;7;8;15;8;9;11;9;8;8;13;9;10;2;6;6;8;5;8
30;11;7;9;14;9;8;11;13;8;9;12;8;11;2;6;5;8;5
31;10;11;7;11;14;12;9;11;13;6;9;12;9;10;2;5;5;8
32;17;11;11;9;11;13;11;10;10;14;7;10;11;9;9;2;5;5
33;11;19;11;12;8;11;10;9;9;11;13;6;11;12;9;9;1;5
34;11;11;17;11;13;8;11;11;8;9;12;13;7;12;12;8;9;1
35;16;10;10;16;11;12;9;13;11;9;9;11;14;7;10;12;7;10
36;11;17;9;9;15;12;11;12;13;11;8;9;10;14;7;12;11;8
37;12;12;19;9;10;15;12;14;11;12;11;9;9;10;14;8;11;11
38;10;14;13;19;8;10;18;11;13;11;13;12;9;10;10;14;7;11
39;13;10;14;14;18;10;10;18;10;14;12;13;12;8;10;10;15;7
40;12;13;10;14;12;18;13;10;17;9;13;11;13;13;6;10;11;14
41;22;12;14;11;14;12;17;12;10;16;9;12;10;13;13;6;10;11
42;9;22;13;17;13;13;12;17;11;9;16;8;12;12;14;13;6;11
43;15;9;23;13;16;15;13;12;17;11;9;17;8;12;12;12;13;6
44;15;15;9;23;15;16;16;11;10;18;12;11;17;9;12;11;12;13
45;10;15;17;9;22;14;15;18;12;8;18;11;11;17;10;13;11;12
46;10;9;15;17;10;23;15;17;18;12;8;18;11;12;17;11;14;12
47;9;9;9;15;16;10;23;15;16;18;12;8;18;11;12;18;11;14
48;11;9;9;8;14;16;10;21;15;17;19;13;8;18;11;10;18;12
49;15;10;9;9;9;15;15;10;20;14;16;19;14;8;17;12;9;17
50;14;15;10;10;10;9;15;13;11;21;13;16;19;14;8;17;12;8
51;19;15;15;10;10;10;11;16;15;12;21;12;15;17;14;8;17;13
52;22;20;16;15;10;10;11;11;16;16;11;19;13;16;15;14;9;19
53;19;22;19;15;15;11;10;13;11;15;15;12;18;13;15;13;13;9
54;21;18;21;18;14;16;12;11;13;11;15;16;12;18;14;15;14;13
55;19;21;20;20;17;14;16;12;11;13;11;16;17;12;18;14;15;15
56;16;20;21;21;21;17;14;19;12;9;11;11;15;15;12;18;13;15
57;19;16;19;21;21;21;15;14;20;12;9;12;11;15;15;12;19;13
58;17;22;16;19;22;21;19;18;14;21;12;9;12;11;16;15;12;16
59;23;17;22;15;20;22;21;20;17;14;19;13;9;10;11;17;15;12
60;18;23;19;24;15;20;23;24;21;16;14;19;16;9;10;12;20;15
61;20;19;23;19;23;15;20;24;21;20;16;15;19;17;9;10;14;19
62;25;17;20;22;19;22;15;18;25;22;20;16;16;19;17;8;12;12
63;28;26;17;22;22;18;21;15;18;24;22;21;15;16;20;16;7;13
64;22;28;26;17;24;21;18;21;15;18;24;22;22;14;17;20;16;7
65;29;21;26;26;17;23;22;16;21;15;19;23;20;22;15;17;20;16
66;23;28;20;25;26;17;22;21;16;20;14;18;21;23;22;15;18;20
67;12;23;28;22;23;27;17;23;21;16;21;14;20;19;22;21;15;17
68;37;12;20;28;23;23;25;16;21;22;16;20;15;20;19;22;20;15
69;32;37;12;19;27;24;23;24;16;20;22;16;22;15;19;19;22;21
70;24;31;37;12;19;28;23;25;24;16;20;20;16;21;15;20;19;21
71;20;24;28;38;11;16;29;20;25;24;18;19;20;16;21;15;20;19
72;24;20;24;27;37;12;15;28;18;25;24;18;18;20;14;22;15;19
73;27;24;21;24;26;37;12;14;26;19;25;23;18;18;20;14;21;15
74;24;27;23;21;22;27;35;12;14;27;19;24;23;18;18;19;14;19
75;26;24;27;21;21;22;27;35;11;13;26;19;21;23;16;16;18;14
76;21;27;23;26;20;21;22;25;34;11;13;25;19;20;22;17;16;17
77;22;21;27;22;25;19;19;22;25;30;11;13;24;17;19;22;16;16
78;13;19;22;26;18;24;19;18;19;23;28;10;14;21;17;18;22;14
79;24;13;17;20;26;19;25;17;16;17;22;25;10;14;20;18;18;22
80;20;23;12;16;21;25;17;24;17;14;16;21;25;10;14;21;18;18
81;13;20;20;11;15;20;24;16;20;13;14;15;22;24;10;14;19;18
82;11;11;19;20;9;14;20;23;16;18;10;15;14;22;22;11;13;18
83;12;9;11;18;18;8;11;17;20;13;18;10;13;14;18;18;11;12
84;6;10;9;9;16;19;9;9;16;19;11;17;9;11;14;17;19;10
85;11;5;10;6;8;18;19;8;7;15;18;10;17;8;11;15;17;19
