"Popolazione per età, vista per singola area - Comune: 010060 - Sori"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Sori"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;32;33;32;24;34;29;35;30;40;33;37;34;24;31;24;22;22;18
1;32;32;32;29;29;40;29;33;31;42;31;36;33;28;31;20;22;23
2;29;28;30;32;29;32;38;24;36;32;39;33;34;31;28;27;19;22
3;24;28;27;30;27;31;33;39;28;35;32;38;33;34;31;28;30;18
4;27;27;27;26;32;28;36;32;39;25;34;31;39;32;36;32;26;30
5;27;29;26;27;27;33;30;39;34;41;24;34;33;40;31;34;36;25
6;17;27;28;28;28;28;34;31;37;34;41;26;37;33;42;34;35;35
7;29;18;27;28;29;31;30;33;34;38;31;42;28;37;36;43;33;35
8;18;30;17;25;29;28;34;31;33;35;40;33;41;29;38;39;42;30
9;35;18;28;17;24;32;32;32;35;35;36;42;32;42;32;38;39;40
10;36;37;21;28;18;24;32;31;31;43;35;40;45;32;42;30;35;37
11;32;38;37;18;28;18;25;31;34;37;42;34;39;43;33;42;30;38
12;34;32;41;38;20;29;17;25;31;33;40;43;33;37;44;32;40;29
13;40;34;30;40;35;20;30;17;25;33;32;41;41;33;39;44;32;38
14;30;40;32;31;37;42;17;29;19;27;33;34;38;40;34;39;45;32
15;32;30;40;36;32;37;42;17;29;20;27;33;34;34;38;31;38;42
16;34;33;31;40;34;32;38;44;16;29;17;28;33;34;35;38;29;39
17;25;32;32;34;41;34;33;40;44;20;29;17;28;33;35;36;38;30
18;31;28;32;33;34;40;33;33;40;41;22;28;17;28;33;36;35;36
19;37;32;26;31;31;38;38;35;33;38;38;22;27;20;29;35;38;35
20;33;37;34;25;31;29;38;39;35;37;41;36;23;28;18;32;35;40
21;33;33;35;33;26;33;28;34;40;38;38;41;35;24;28;17;30;37
22;39;34;33;35;32;27;36;30;33;43;41;36;41;37;23;30;16;27
23;36;41;32;37;33;31;29;37;33;31;42;41;37;39;40;25;27;17
24;38;38;38;33;34;32;32;29;37;35;33;42;39;37;40;41;28;26
25;54;42;39;38;33;40;33;32;27;34;34;35;38;42;32;41;42;27
26;39;59;43;39;40;35;38;34;31;32;34;39;34;38;40;31;36;40
27;44;44;66;43;38;39;34;37;40;34;31;33;36;36;37;38;33;38
28;41;51;52;66;45;39;39;34;37;42;34;33;33;29;29;38;37;39
29;54;44;52;52;70;49;41;38;34;38;41;37;39;33;32;29;35;35
30;49;58;49;53;55;70;52;38;41;35;37;40;35;35;36;33;29;33
31;60;51;65;47;60;53;70;51;39;37;36;42;37;31;32;31;34;30
32;69;57;56;56;51;64;56;64;46;44;34;36;45;37;28;30;28;30
33;60;68;58;52;59;54;63;53;60;47;48;38;35;41;40;29;28;27
34;56;61;68;53;53;67;58;62;59;59;56;48;39;39;40;39;29;28
35;60;63;63;71;58;64;68;60;61;62;58;56;49;39;44;35;40;27
36;78;56;63;60;73;64;62;61;60;62;64;53;59;48;41;43;36;40
37;59;80;52;60;56;74;68;62;63;61;62;62;52;59;46;42;43;36
38;70;58;84;56;66;55;69;68;61;64;60;61;62;49;58;47;39;41
39;54;72;59;85;56;65;59;67;79;62;59;62;59;59;49;58;51;35
40;74;57;70;59;85;59;60;61;68;84;62;56;63;63;59;49;54;51
41;65;71;54;72;58;87;60;65;63;67;85;66;53;59;61;59;51;48
42;57;64;69;55;73;58;87;54;62;67;66;79;63;53;60;60;57;51
43;59;57;60;67;53;75;57;86;57;69;66;70;76;61;53;59;57;57
44;59;59;53;64;67;57;78;59;86;59;69;65;65;78;64;54;60;57
45;59;62;57;54;65;67;60;82;60;87;59;69;65;66;80;65;52;60
46;46;56;60;61;52;64;66;58;78;63;83;58;68;64;66;86;63;50
47;70;49;57;59;62;54;63;67;57;80;66;83;61;69;62;69;84;62
48;53;69;47;64;59;61;54;63;67;60;81;62;84;59;67;65;71;75
49;73;53;69;46;64;60;63;52;62;70;59;83;63;85;58;66;65;72
50;52;76;52;71;47;66;63;61;54;62;69;57;84;66;84;58;67;63
51;67;55;77;53;71;48;65;61;63;53;61;65;57;83;65;84;61;65
52;61;68;57;72;51;71;52;62;62;61;52;61;64;58;81;65;84;59
53;75;61;70;58;77;50;68;48;62;66;64;52;60;65;56;82;66;85
54;84;72;60;73;59;79;52;67;48;61;66;63;53;57;65;58;83;61
55;66;87;76;65;74;59;76;51;66;46;58;69;63;55;58;65;57;86
56;50;67;86;77;62;75;59;78;51;68;45;57;68;60;56;57;63;59
57;49;54;65;87;81;62;77;59;78;53;69;44;56;66;63;54;60;64
58;59;49;55;65;87;82;64;77;58;75;52;68;43;57;66;62;53;58
59;62;59;47;55;68;88;81;64;78;59;74;52;65;46;58;66;62;55
60;68;61;59;47;51;68;90;78;66;80;58;77;52;65;46;55;64;60
61;55;69;57;56;48;53;66;86;76;67;80;57;77;52;62;46;57;63
62;57;55;68;55;58;51;53;65;88;77;66;76;59;74;53;65;45;59
63;70;58;57;71;54;62;48;53;65;87;72;64;73;58;77;54;65;43
64;46;69;56;57;71;55;61;47;53;65;87;69;62;72;57;75;53;66
65;50;42;67;56;57;70;53;59;48;49;63;83;68;60;69;57;73;54
66;59;52;40;66;55;57;71;52;61;47;50;64;81;64;59;69;58;77
67;57;60;50;40;66;56;59;69;51;59;47;52;63;83;66;57;69;57
68;62;60;61;48;39;65;56;59;70;49;60;47;51;64;82;65;57;69
69;69;63;60;59;47;40;65;57;56;70;48;57;45;47;64;83;67;58
70;54;67;62;60;57;47;42;64;54;57;69;48;55;44;44;64;83;69
71;52;53;69;65;60;57;48;40;63;54;57;69;50;53;44;39;65;79
72;59;52;51;66;61;61;57;48;40;60;53;55;64;49;52;43;37;64
73;52;56;51;49;62;59;61;55;50;39;59;51;53;62;48;52;43;36
74;44;49;56;48;49;63;61;57;52;50;40;54;50;53;60;46;52;39
75;55;43;44;53;47;49;60;59;57;54;48;39;51;46;54;58;44;51
76;48;54;40;45;51;44;50;54;58;56;54;47;39;51;45;53;55;42
