"Popolazione per età, vista per singola area - Comune: 012012 - Besnate"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Besnate"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;37;44;48;45;53;53;54;42;57;54;55;48;60;49;44;38;39;35
1;53;37;47;50;49;54;56;60;40;58;58;54;48;56;47;49;39;39
2;32;52;38;52;49;51;55;54;63;45;55;57;52;50;56;47;52;38
3;49;33;55;40;53;50;58;52;51;62;46;57;58;52;53;53;51;49
4;41;51;36;56;43;55;53;61;50;56;63;45;60;56;56;54;55;54
5;42;41;49;37;58;42;58;55;62;54;55;62;44;56;54;57;54;55
6;47;43;43;48;38;57;44;58;53;62;54;52;59;46;55;52;56;46
7;46;48;45;44;49;39;62;47;57;55;63;52;52;53;45;55;48;56
8;34;44;48;44;45;49;39;64;46;61;55;63;49;53;53;49;56;48
9;46;34;43;46;44;42;48;39;65;46;57;55;64;49;52;56;46;54
10;38;47;37;43;47;44;43;49;42;64;48;55;60;61;48;50;59;45
11;49;38;51;42;44;49;45;45;48;43;65;49;53;62;61;46;50;61
12;40;51;40;52;43;44;51;43;47;51;43;64;52;55;60;62;46;52
13;38;40;49;42;54;48;46;51;41;46;51;42;61;52;54;61;62;48
14;35;40;42;49;42;55;46;47;50;42;46;50;42;62;52;52;58;63
15;46;33;41;42;51;43;53;44;47;48;43;44;50;44;64;52;53;56
16;51;47;33;42;46;50;42;52;44;47;52;40;44;51;44;64;53;53
17;38;53;46;33;41;48;52;42;52;43;47;51;37;44;51;41;61;55
18;53;39;53;47;36;42;49;54;44;51;44;46;52;38;43;52;41;64
19;43;55;39;53;48;34;42;52;50;40;52;47;50;51;37;48;52;45
20;44;44;55;41;52;50;34;42;54;50;40;52;46;51;51;35;50;53
21;41;45;45;55;43;54;51;40;42;56;49;39;51;44;50;51;36;50
22;48;37;46;43;55;45;55;49;38;41;58;51;40;51;45;50;47;39
23;60;49;37;48;42;55;40;56;52;44;43;58;50;39;48;51;50;51
24;63;61;50;36;50;49;52;40;55;59;44;46;61;49;43;47;50;55
25;65;62;67;57;34;51;47;51;41;56;61;42;47;58;48;49;46;45
26;82;70;59;71;59;38;52;46;52;42;56;61;45;50;59;50;44;48
27;67;85;75;58;71;56;44;54;52;52;43;56;61;47;48;62;46;49
28;76;69;90;73;66;70;60;47;58;56;54;38;50;62;63;45;55;49
29;80;74;78;93;85;60;76;66;53;47;64;62;38;47;61;56;40;59
30;67;86;77;77;91;87;61;71;69;58;51;69;62;44;44;58;59;41
31;81;67;90;79;84;95;95;65;80;76;60;53;70;53;42;42;59;65
32;75;85;69;89;80;85;99;98;64;82;80;64;57;71;56;41;44;59
33;92;78;90;72;98;77;93;104;91;66;77;77;61;60;72;58;43;53
34;75;94;78;93;83;94;87;90;101;99;73;75;71;62;62;72;61;45
35;74;73;96;77;96;85;92;86;92;98;102;75;71;72;64;55;64;64
36;89;75;81;95;78;95;88;90;89;99;96;109;75;77;68;63;61;64
37;98;86;74;77;98;76;92;89;91;95;92;93;109;73;78;66;60;61
38;85;97;86;74;83;99;84;90;89;91;100;92;91;105;76;78;65;56
39;71;90;102;91;81;85;99;80;90;86;92;100;91;88;104;83;77;63
40;92;73;94;111;94;82;88;96;84;93;86;88;102;90;89;104;80;75
41;74;96;75;96;113;96;81;88;97;81;93;84;87;96;89;88;102;80
42;61;70;94;81;97;114;100;83;88;94;78;90;82;88;94;93;87;100
43;74;60;73;96;82;98;116;104;85;87;90;85;90;86;92;90;97;88
44;64;76;57;73;94;81;101;119;104;86;91;93;86;91;86;86;90;101
45;65;65;77;61;73;89;77;103;115;101;88;88;93;88;90;86;84;92
46;60;67;66;74;63;75;86;78;104;111;102;88;88;94;91;89;86;87
47;72;63;71;68;75;60;76;85;77;98;108;100;92;85;97;92;96;89
48;71;71;63;72;68;79;62;75;87;80;97;107;99;89;82;99;92;94
49;51;73;72;62;72;70;77;65;74;86;80;97;104;99;90;82;97;91
50;57;51;76;73;60;74;69;77;61;73;85;79;92;106;93;91;83;100
51;69;56;51;77;72;60;72;69;75;60;77;86;77;93;103;94;93;86
52;79;71;54;50;76;73;61;69;71;78;62;78;84;75;93;99;96;90
53;70;80;70;55;50;77;72;62;69;71;80;62;78;84;75;92;100;100
54;78;67;80;70;54;55;72;78;60;68;71;80;61;80;84;72;91;97
55;70;77;67;76;69;58;55;71;82;59;68;74;81;61;79;83;74;88
56;52;70;75;69;76;71;56;55;71;83;58;69;76;82;60;78;84;74
57;58;52;70;76;69;76;70;56;55;73;78;59;68;75;82;60;76;84
58;49;61;50;69;74;68;74;73;55;55;74;80;62;67;77;81;56;79
59;73;51;58;52;65;75;66;71;72;54;54;74;79;62;64;76;81;57
60;66;71;49;54;49;67;78;67;73;74;57;54;73;80;62;67;76;79
