"Popolazione per età, vista per singola area - Comune: 012052 - Clivio"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Clivio"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;21;20;18;23;23;15;21;12;19;15;15;15;16;9;15;13;10;12
1;14;20;22;19;22;18;15;19;12;21;18;18;15;13;8;13;13;10
2;14;13;18;21;20;23;18;15;19;12;20;18;16;15;15;8;11;11
3;26;13;20;17;20;20;23;17;15;19;12;21;16;16;16;14;8;11
4;22;26;13;21;19;19;19;23;16;15;17;14;20;16;12;17;12;10
5;29;23;27;15;17;18;18;19;23;17;15;20;14;21;18;12;17;13
6;16;29;23;28;15;19;20;17;18;24;17;16;20;13;22;19;10;18
7;24;17;30;23;28;14;20;21;17;18;22;17;13;18;13;22;17;10
8;13;25;18;30;19;29;13;18;21;17;19;23;19;14;19;13;17;15
9;25;12;24;15;27;21;29;13;17;21;19;18;22;18;14;16;11;18
10;20;28;12;25;14;28;22;29;16;14;22;19;16;22;17;14;16;12
11;24;20;29;13;26;14;26;21;29;16;14;24;18;16;22;17;14;18
12;15;22;22;29;13;27;15;26;22;29;17;14;25;19;17;22;15;14
13;18;14;22;24;29;13;24;13;25;20;30;16;16;23;19;17;22;15
14;14;19;16;22;23;27;12;23;14;25;19;32;17;18;23;19;17;20
15;16;14;16;15;22;23;28;11;24;13;26;18;29;17;18;20;18;18
16;12;16;15;18;15;23;23;28;12;24;13;25;18;29;17;16;20;19
17;22;13;16;14;18;14;23;20;28;12;24;13;21;18;28;17;11;21
18;18;22;13;17;14;19;15;23;20;28;14;26;13;20;17;28;19;14
19;22;19;22;11;19;16;19;12;23;17;28;14;24;14;20;17;29;22
20;17;22;18;23;11;18;16;19;13;23;17;27;15;23;15;20;16;29
21;16;18;20;21;21;14;20;16;17;13;23;19;26;16;26;14;20;15
22;25;17;19;21;18;21;17;18;16;14;13;24;18;29;17;25;12;19
23;16;23;19;18;20;16;21;19;14;14;15;16;28;16;29;17;25;13
24;33;17;24;18;18;19;18;22;17;13;15;20;17;28;14;25;15;19
25;29;34;18;26;19;22;17;20;23;19;15;18;20;17;27;17;20;14
26;37;33;36;21;24;20;22;19;19;22;17;18;18;15;15;29;18;24
27;19;37;33;36;18;31;20;25;19;17;22;17;18;17;19;16;32;22
28;46;21;40;30;34;19;30;18;23;20;17;21;17;19;18;20;15;30
29;31;44;25;34;28;33;17;29;18;20;21;20;23;18;18;18;19;16
30;32;32;47;27;33;30;28;19;29;17;21;20;22;19;21;19;18;19
31;37;33;32;43;30;34;28;28;20;27;21;23;28;17;25;19;15;17
32;42;35;32;31;45;26;35;27;28;19;29;25;27;27;17;25;16;19
33;41;40;35;33;29;41;21;28;27;31;18;28;23;27;23;20;26;15
34;30;44;43;33;32;21;38;19;28;29;29;17;28;21;25;27;18;24
35;30;31;45;48;34;28;25;39;23;27;29;29;17;24;20;26;27;19
36;40;26;31;44;42;38;28;24;43;26;29;33;32;15;24;23;23;24
37;50;40;27;28;45;41;40;20;23;42;27;32;29;30;18;27;24;22
38;33;49;39;29;29;47;43;35;21;22;40;30;32;31;25;18;24;24
39;31;31;49;40;27;29;46;43;36;20;21;43;30;32;32;23;19;24
40;29;30;32;48;40;25;26;44;44;36;27;20;45;27;34;29;21;20
41;26;30;32;34;48;38;25;24;46;43;33;30;20;43;24;34;28;22
42;24;27;32;32;34;45;38;24;25;44;43;34;26;19;43;24;34;27
43;28;24;27;30;32;34;44;38;28;26;41;43;34;29;21;39;22;30
44;28;29;25;29;27;32;35;41;39;26;27;42;43;38;26;20;40;21
45;22;28;27;24;27;27;34;34;48;39;27;26;41;41;34;26;23;38
46;27;22;27;27;24;29;24;34;36;48;40;27;23;44;41;31;25;26
47;17;27;21;25;25;24;29;21;34;35;47;39;29;23;43;40;32;26
48;24;18;27;23;25;25;24;27;25;33;34;46;38;29;25;42;38;31
49;22;24;19;28;23;25;24;25;28;24;33;35;46;39;31;24;42;39
50;27;22;23;20;29;24;25;25;23;29;23;35;33;48;40;31;25;41
51;34;29;23;24;20;25;26;26;24;24;29;26;33;31;48;39;28;24
52;20;33;30;22;25;20;25;26;27;24;24;30;28;35;32;44;37;30
53;28;20;32;29;23;23;18;26;26;27;24;25;28;27;34;32;47;34
54;28;28;20;34;29;22;23;17;25;26;27;25;26;27;25;33;34;44
55;30;30;28;20;36;29;24;23;17;25;25;28;26;24;27;26;32;32
56;24;30;31;28;19;34;28;24;24;15;24;25;29;25;24;25;27;29
57;24;24;29;31;30;18;34;29;26;25;15;25;25;28;26;22;25;27
58;12;23;24;29;28;30;18;33;29;26;25;15;24;25;27;26;22;26
59;32;12;24;24;29;27;30;19;31;30;25;25;16;24;25;27;24;22
60;23;32;12;24;25;29;28;30;20;29;30;24;26;17;25;26;27;23
61;23;24;32;12;23;26;30;27;26;19;28;27;24;25;17;24;25;27
62;23;23;23;33;12;23;26;31;27;27;19;28;24;25;27;17;26;24
63;22;23;23;23;33;12;22;26;31;29;27;19;30;23;26;26;17;26
64;26;20;24;23;23;32;12;20;26;30;29;26;18;29;22;24;26;18
65;23;26;19;24;23;23;32;11;20;26;30;28;24;19;28;23;23;26
66;26;23;25;18;24;23;25;30;11;21;26;30;27;24;19;28;22;21
67;21;26;22;24;18;24;23;24;31;11;20;26;31;27;25;20;28;21
68;19;22;25;20;25;18;25;23;24;30;11;20;25;30;27;24;19;28
69;21;19;21;24;19;25;18;25;24;24;28;10;20;26;30;27;24;19
70;17;21;20;21;23;19;25;19;23;24;25;27;10;20;24;30;23;25
71;24;14;21;21;20;22;19;24;21;22;24;25;26;10;19;24;29;22
72;11;24;14;21;21;19;22;20;23;20;19;24;24;24;10;19;23;29
73;16;10;20;13;19;20;19;21;20;23;19;18;24;24;24;10;19;22
74;14;16;9;21;11;18;19;18;21;20;23;19;18;22;26;24;10;18
75;19;13;15;11;22;11;18;18;17;21;17;23;19;18;22;25;24;10
76;8;18;10;15;11;22;13;17;18;17;20;16;19;19;17;22;25;24
77;14;7;15;10;15;10;22;11;15;17;16;20;16;19;20;15;22;25
78;9;12;7;14;10;15;9;22;11;16;16;16;19;17;19;19;15;22
79;7;10;13;5;14;9;15;8;21;12;15;14;16;19;17;17;19;15
80;5;6;8;13;6;14;8;15;8;19;11;15;14;15;19;16;17;18
81;10;5;6;6;11;5;13;8;13;8;16;10;15;13;15;18;16;18
82;2;11;3;7;5;9;4;13;6;14;8;14;10;14;12;15;16;15
83;6;3;10;3;6;4;7;6;12;5;13;8;14;11;14;11;15;13
84;5;6;3;8;2;8;4;6;4;10;4;10;8;13;10;13;10;14
85;4;5;5;2;7;3;5;4;6;3;9;4;9;7;10;10;13;10
86;4;4;5;5;2;7;3;5;4;6;3;9;3;8;7;7;9;13
87;9;2;3;4;2;2;6;3;4;4;7;2;7;3;6;7;4;10
88;7;8;2;3;4;2;1;5;2;2;4;6;2;6;2;6;5;4
89;1;7;5;2;2;3;2;0;5;2;2;4;5;2;5;2;6;5
90;3;1;3;5;2;2;3;2;0;3;0;1;4;5;2;5;2;6
91;4;2;1;3;5;0;1;0;1;0;2;0;0;3;5;2;5;2
92;3;3;2;1;2;5;0;1;0;1;0;1;0;0;3;4;2;4
93;2;3;1;2;1;2;3;0;0;0;1;0;0;0;0;3;1;1
94;1;1;1;0;2;1;2;3;0;0;0;0;0;0;0;0;1;1
95;0;1;1;1;0;0;1;1;3;0;0;0;0;0;0;0;0;1
96;0;0;0;1;1;0;0;1;1;2;0;0;0;0;0;0;0;0
97;0;0;0;0;1;0;0;0;1;1;2;0;0;0;0;0;0;0
98;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0
99;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0
100 e oltre;0;0;0;0;0;0;0;1;1;1;1;0;0;2;2;1;0;0
Totale;1958;1973;1990;2008;1985;1972;1973;1926;1953;1936;1938;1988;1982;1955;1964;1940;1883;1878
