"Popolazione per età, vista per singola area - Comune: 012088 - Leggiuno"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Leggiuno"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;19;25;28;30;38;38;24;41;32;36;28;30;41;30;24;36;29;26
1;27;19;24;28;29;33;37;26;40;33;31;34;31;47;27;23;34;32
2;21;26;20;32;34;28;33;40;27;43;31;36;34;34;44;31;23;35
3;23;19;30;24;33;35;33;32;35;27;42;29;35;35;30;45;29;22
4;34;23;23;34;23;30;35;30;33;36;26;42;29;37;32;31;46;29
5;27;33;24;25;35;24;34;34;32;34;35;27;37;31;37;37;29;44
6;19;28;36;26;28;34;27;34;34;32;37;36;29;37;31;37;35;28
7;21;16;28;36;25;32;35;29;33;34;32;37;38;31;39;28;38;31
8;37;23;19;28;39;25;29;36;30;32;35;34;38;40;30;43;28;37
9;29;36;23;22;31;39;30;30;36;31;33;36;36;41;37;32;42;31
10;26;35;38;29;26;30;41;32;30;38;30;36;36;38;39;38;29;42
11;29;26;34;36;30;29;32;42;31;30;36;32;39;38;40;38;41;29
12;33;31;26;36;35;30;32;28;46;34;29;34;34;39;38;42;36;39
13;25;34;30;30;35;37;30;33;28;49;34;28;29;34;37;38;39;33
14;18;25;35;29;30;39;41;31;36;27;47;35;27;29;34;33;38;39
15;22;18;25;33;31;30;39;42;32;34;27;47;37;26;27;34;33;40
16;27;22;18;27;34;33;29;38;41;33;34;29;45;37;26;30;34;34
17;12;27;23;20;27;35;35;30;40;39;33;35;31;47;35;25;31;35
18;22;11;28;24;21;28;33;35;27;40;40;32;38;32;50;33;24;31
19;25;21;14;25;25;20;32;31;34;26;40;39;36;40;30;48;31;26
20;16;26;22;16;27;23;21;33;30;34;28;39;38;31;40;31;46;31
21;25;18;29;20;17;27;24;24;33;30;31;28;42;37;31;35;31;45
22;20;26;18;28;22;17;27;26;24;33;32;33;30;40;40;29;36;31
23;33;21;26;19;34;27;19;27;25;25;33;31;30;29;42;38;32;38
24;32;37;21;29;19;32;31;19;28;27;26;35;32;31;30;40;40;31
25;31;31;41;25;32;22;34;28;19;32;25;27;38;35;33;32;39;38
26;38;30;36;42;30;37;25;36;28;21;28;28;30;39;35;36;37;43
27;36;36;31;34;53;35;34;32;40;31;24;34;29;30;35;38;39;33
28;37;38;40;42;38;56;37;30;37;36;31;27;38;30;27;36;41;42
29;58;31;37;43;49;49;60;40;36;35;34;35;30;36;30;35;38;38
30;55;60;38;43;55;51;53;66;41;40;31;39;39;27;35;34;35;40
31;37;54;64;39;53;65;55;55;62;42;40;36;42;45;26;39;31;35
32;45;40;61;69;46;45;58;61;53;62;38;44;36;46;39;28;38;34
33;49;45;43;72;71;47;48;58;56;55;53;38;43;40;43;41;26;38
34;56;53;46;51;70;75;49;57;61;59;55;54;34;42;35;50;40;25
35;54;55;57;53;52;66;73;50;51;58;60;57;54;31;44;35;43;39
36;50;55;59;67;53;53;66;75;56;51;57;61;64;60;31;42;32;42
37;54;51;56;57;67;57;57;62;71;57;57;62;66;68;58;35;39;33
38;60;55;58;58;64;72;60;60;64;75;57;60;62;65;69;53;38;38
39;37;60;56;61;61;65;71;61;57;68;75;62;62;66;66;65;53;40
40;50;41;61;62;64;61;64;74;61;63;69;77;65;62;64;69;65;52
41;46;50;40;62;69;62;59;63;74;64;62;68;74;66;61;64;68;66
42;52;41;49;45;62;67;66;60;67;80;62;64;73;71;62;64;64;67
43;40;52;42;52;45;61;67;65;62;68;76;68;65;74;73;59;61;65
44;37;40;54;51;59;45;67;70;64;62;73;72;69;67;76;76;59;63
45;41;37;45;62;55;60;47;70;67;65;62;75;73;69;70;74;71;59
46;30;39;38;43;57;59;60;48;72;64;66;61;75;75;69;66;71;68
47;35;32;41;38;44;55;61;61;46;71;66;63;61;75;76;69;67;72
48;27;38;32;42;38;45;54;60;62;45;72;66;64;61;73;77;68;66
49;35;26;38;34;41;39;49;54;59;61;42;73;67;64;62;72;77;68
