"Popolazione per età, vista per singola area - Comune: 013025 - Blessagno"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Blessagno"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;2;3;1;3;2;3;0;6;0;4;3;1;2;0;0;0;1;3
1;3;2;3;2;3;2;3;0;7;1;3;3;1;2;1;0;0;1
2;2;3;2;3;2;1;2;3;0;6;1;3;2;1;2;0;0;2
3;3;2;3;2;4;2;1;2;4;0;7;1;2;2;1;3;0;1
4;2;3;2;3;2;3;1;1;3;3;0;6;1;2;0;1;3;1
5;3;2;3;2;3;2;3;1;2;4;3;0;7;1;3;2;1;4
6;2;3;2;3;2;3;3;3;1;1;4;3;0;6;2;2;2;1
7;2;2;3;2;3;3;0;3;3;3;2;4;3;0;6;2;2;2
8;2;2;2;3;2;5;2;0;3;4;3;0;4;3;0;7;2;3
9;0;2;2;2;4;2;5;2;0;2;3;3;0;4;4;0;6;1
10;6;0;2;2;2;4;2;5;4;2;1;3;3;0;4;5;0;6
11;5;6;0;2;2;2;4;2;5;3;2;1;3;3;0;4;5;0
12;1;6;4;0;2;2;2;4;2;5;3;2;1;3;4;1;4;5
13;1;1;6;4;0;2;2;2;4;2;4;3;2;1;3;4;1;4
14;0;1;1;6;4;0;2;2;2;4;2;4;3;2;1;3;4;2
15;5;0;1;1;6;4;0;2;2;2;4;2;4;3;2;1;3;3
16;2;5;0;1;1;5;4;0;2;2;2;4;3;4;3;2;1;3
17;3;2;6;0;1;1;5;4;0;3;2;2;4;3;4;4;2;1
18;5;3;2;6;1;1;1;5;4;0;3;2;2;3;2;4;4;2
19;2;5;4;2;7;1;1;1;5;6;0;3;2;3;4;2;4;4
20;4;2;4;4;2;6;1;1;0;4;6;0;3;2;3;4;2;4
21;4;4;2;4;4;2;4;0;1;0;6;5;0;3;2;2;4;2
22;3;4;4;2;4;5;3;4;1;1;2;5;5;0;3;2;2;4
23;3;3;4;5;2;5;5;3;3;1;1;1;3;5;0;3;2;2
24;2;4;2;4;2;2;4;4;4;3;1;1;2;3;7;0;3;2
25;4;2;5;3;4;2;2;3;4;4;4;1;1;3;1;5;0;3
26;2;4;2;4;3;3;3;2;3;4;3;4;1;2;3;1;4;0
27;3;3;6;2;3;1;3;3;2;3;4;3;3;1;2;3;2;4
28;1;4;4;6;4;5;1;3;4;2;2;4;3;2;1;1;3;2
29;2;1;5;5;5;2;4;4;4;3;2;2;3;5;0;1;1;5
30;5;2;1;6;5;7;1;3;4;4;3;1;2;3;5;0;1;2
31;3;3;2;2;7;5;7;1;3;4;4;3;1;1;3;5;0;1
32;12;3;2;1;6;10;6;6;1;3;7;4;3;1;1;3;5;0
33;2;12;4;3;2;5;8;4;7;2;3;5;4;3;2;0;4;4
34;2;2;12;5;4;2;5;8;4;3;3;3;5;4;2;4;0;4
35;5;2;2;10;5;5;1;3;8;4;4;3;2;5;3;2;3;1
36;1;5;3;4;8;5;6;2;2;8;4;4;4;1;4;4;2;3
