"Popolazione per età, vista per singola area - Comune: 013029 - Brenna"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Brenna"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;29;11;7;18;14;17;23;16;21;24;18;16;24;25;21;12;15;14
1;10;29;11;8;18;14;17;23;15;24;26;19;15;27;24;23;15;16
2;12;10;28;12;8;18;14;17;23;17;25;26;18;16;26;26;25;17
3;15;12;10;29;13;9;18;14;15;23;16;24;27;20;17;26;26;23
4;8;14;12;10;31;15;10;18;15;17;23;17;25;27;20;19;27;24
5;13;8;14;12;10;31;15;11;19;17;19;23;17;25;27;18;19;29
6;11;13;9;14;13;11;30;15;11;18;18;20;25;17;27;29;19;19
7;17;10;14;10;15;13;11;31;15;12;18;19;19;26;17;24;28;19
8;22;17;10;15;10;17;12;13;31;14;13;19;20;18;26;17;26;28
9;23;21;18;10;15;10;16;13;14;31;14;13;18;20;18;25;18;26
10;19;23;21;18;11;15;11;16;13;14;31;15;15;18;20;17;25;19
11;18;19;23;22;18;13;15;12;16;13;14;31;15;15;18;20;17;25
12;21;18;20;23;25;18;11;14;12;16;12;14;31;15;15;18;21;17
13;19;21;18;20;23;25;18;11;15;12;16;12;15;31;14;16;18;20
14;20;19;21;18;20;23;25;18;11;15;12;15;12;16;31;15;16;18
15;22;19;20;21;18;20;24;25;18;11;14;12;16;13;16;31;16;15
16;26;22;19;20;21;18;20;24;25;17;11;14;12;15;13;15;33;16
17;27;26;21;18;20;19;18;20;24;26;17;12;14;12;15;13;15;33
18;28;27;26;21;18;19;19;18;19;23;25;18;12;14;12;15;13;14
19;25;29;31;28;21;19;19;19;18;20;23;25;18;12;14;12;15;13
20;27;25;30;31;29;23;18;20;19;20;20;23;24;17;11;15;12;15
21;31;27;25;31;27;27;22;18;20;20;19;20;24;24;17;11;16;12
22;28;31;27;23;31;27;28;22;17;22;20;20;20;24;23;17;11;14
23;26;28;31;28;25;29;28;27;22;17;23;20;21;22;24;23;17;12
24;32;26;28;32;29;27;29;29;25;21;18;22;20;21;21;23;24;20
25;24;33;28;26;35;28;26;31;26;26;22;18;20;21;19;21;22;25
26;26;23;37;28;27;35;30;26;30;25;27;25;19;21;23;21;21;18
27;22;30;25;42;28;25;32;30;28;28;25;28;27;17;21;24;24;23
28;22;22;31;28;39;28;23;30;27;26;30;28;27;26;18;25;21;25
