"Popolazione per età, vista per singola area - Comune: 013234 - Valsolda"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Valsolda"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;15;11;9;15;19;11;9;19;18;15;16;16;9;12;10;6;6;9
1;14;15;9;11;15;17;12;9;20;19;15;14;16;10;12;10;7;8
2;12;14;15;9;11;14;16;12;8;19;21;13;13;15;6;14;13;7
3;15;11;14;14;8;10;15;17;10;11;19;20;12;13;15;8;14;13
4;14;14;11;16;14;12;10;15;19;11;11;18;22;12;13;16;10;13
5;16;15;15;11;16;14;12;10;15;20;12;10;18;21;11;13;15;12
6;14;16;13;15;11;14;13;12;10;15;20;11;10;19;20;11;12;15
7;14;15;16;13;15;12;14;14;12;10;15;19;11;9;17;20;11;12
8;15;14;15;16;13;16;12;14;14;11;10;14;20;12;10;19;20;13
9;10;13;14;14;15;14;17;11;14;14;11;11;15;20;11;10;17;16
10;24;9;14;13;15;14;14;17;11;14;14;12;11;14;20;12;11;18
11;17;23;8;14;13;15;14;14;16;11;13;14;11;13;13;21;10;8
12;11;16;22;9;14;13;15;14;15;16;10;12;12;11;11;13;21;10
13;13;11;15;22;9;13;12;15;15;15;16;10;13;12;10;11;12;18
14;14;13;11;15;22;9;13;13;15;15;15;16;9;12;12;10;11;12
15;17;14;13;9;15;22;8;13;16;13;15;13;17;9;11;12;9;11
16;12;17;12;13;9;15;21;10;13;16;13;16;11;14;10;10;11;9
17;14;12;17;12;13;8;12;22;10;13;15;12;14;11;13;11;11;11
18;15;15;13;17;12;11;9;12;23;10;14;15;12;15;10;13;10;11
19;12;15;17;14;16;13;11;9;12;22;10;13;14;12;15;10;13;10
20;20;12;14;13;12;15;13;11;8;12;23;10;14;13;10;15;13;14
21;23;20;13;13;14;12;14;14;11;10;13;23;10;14;13;11;14;13
22;23;24;20;13;13;14;12;13;12;12;12;12;23;9;15;15;11;14
23;15;25;22;19;14;15;17;12;14;13;14;11;14;20;7;10;15;12
24;19;14;27;22;18;13;15;16;11;13;15;11;12;13;19;5;9;15
25;24;17;14;26;21;17;13;15;16;14;13;14;9;11;13;18;3;11
26;30;24;20;16;22;30;23;14;15;17;15;13;17;13;10;13;22;3
27;22;32;21;21;18;25;36;22;15;20;19;16;14;17;13;11;14;20
28;21;23;29;19;19;18;28;37;24;15;21;17;18;13;19;15;13;14
29;24;19;21;30;19;25;16;26;34;21;14;21;16;19;14;18;18;11
30;30;22;23;21;31;21;25;14;27;33;20;13;22;17;21;12;16;19
31;25;29;20;27;25;28;22;21;14;25;30;18;14;23;16;19;15;19
32;33;25;27;18;24;25;30;21;19;14;21;25;18;17;22;15;21;15
33;25;30;26;24;21;22;23;26;18;20;14;20;25;16;15;18;14;21
34;27;26;28;26;27;20;20;23;27;19;18;14;18;25;14;16;19;14
35;24;30;25;28;24;29;20;24;21;28;20;17;12;18;23;16;15;20
36;35;24;29;27;26;22;27;21;23;23;30;20;18;12;16;27;15;12
37;29;33;27;28;23;27;24;25;21;23;23;28;20;17;13;17;26;16
38;34;31;31;25;28;21;27;25;25;21;26;21;32;20;18;12;17;25
39;15;33;31;28;24;30;20;27;25;27;18;25;19;38;19;20;13;18
40;25;16;34;27;26;23;30;20;27;25;28;19;25;19;38;20;21;10
41;27;24;15;33;29;27;19;29;21;27;28;30;22;27;19;33;21;25
42;25;24;24;14;31;31;29;20;27;21;26;24;31;22;28;19;32;21
43;16;25;20;24;14;33;31;27;20;28;21;28;22;28;19;26;22;28
44;24;16;24;20;24;17;32;30;25;20;26;23;25;22;27;19;25;21
45;18;25;16;23;19;25;18;29;28;26;19;26;24;26;22;26;22;27
46;22;19;24;16;21;19;24;19;28;26;25;19;26;21;23;22;26;22
