"Popolazione per età, vista per singola area - Comune: 015055 - Casarile"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Casarile"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;64;54;56;51;47;30;27;42;43;41;53;40;52;46;43;26;46;35
1;58;60;55;57;51;47;36;25;45;36;43;53;37;48;40;47;25;44
2;50;58;53;50;49;51;50;34;29;51;38;45;53;34;54;44;45;22
3;50;52;52;57;46;46;55;46;34;28;50;42;50;57;39;60;45;44
4;45;48;51;49;60;44;55;54;47;36;27;55;39;45;58;37;58;45
5;36;48;52;50;46;62;45;56;51;46;39;29;55;38;46;59;37;54
6;53;33;47;53;46;43;63;40;57;48;46;38;27;53;37;47;58;37
7;43;54;34;47;51;44;47;51;40;56;52;50;40;28;49;36;47;57
8;47;41;50;35;45;54;41;47;50;42;52;54;48;38;29;48;36;47
9;42;43;38;49;35;44;53;46;46;52;37;54;52;48;37;28;43;37
10;36;40;42;39;51;34;45;51;49;46;53;37;55;50;48;37;28;49
11;43;37;43;43;32;53;32;44;50;46;47;54;36;59;48;50;36;27
12;28;40;38;43;42;32;53;32;44;51;46;48;51;34;58;50;51;35
13;42;26;39;39;44;41;33;51;31;44;50;47;51;51;37;58;53;50
14;35;40;27;37;40;45;40;33;52;30;44;51;46;50;56;36;58;52
15;34;36;40;25;38;40;44;37;35;51;31;44;51;41;49;52;36;58
16;36;32;34;41;24;38;40;45;39;35;51;32;43;53;40;50;51;37
17;30;35;32;32;39;23;40;38;43;39;33;50;34;45;51;40;50;50
18;25;32;35;34;31;39;20;42;38;43;42;32;51;35;42;49;39;52
19;37;24;28;36;32;30;40;18;38;38;44;44;36;48;33;40;50;41
20;35;40;24;27;36;32;30;39;25;35;38;43;39;36;51;34;40;48
21;40;35;40;26;28;36;36;30;40;31;38;38;44;41;35;50;36;39
22;37;44;32;37;26;26;28;40;32;35;33;39;39;44;43;34;53;38
23;40;37;39;33;35;26;28;32;41;35;39;34;43;40;44;47;36;47
24;39;42;36;40;36;36;23;28;32;40;35;41;34;38;40;42;42;37
25;37;41;41;33;40;36;40;30;29;33;43;34;38;35;35;38;43;42
26;53;39;47;44;32;40;38;36;34;36;35;45;43;35;39;36;39;46
27;52;66;43;45;45;32;44;42;37;47;38;38;48;46;38;40;42;43
28;64;57;68;38;52;45;47;47;57;43;43;41;41;52;44;39;41;42
29;71;63;58;69;41;55;50;46;48;62;48;43;39;43;58;43;38;43
30;77;78;56;61;64;47;63;49;49;49;59;52;46;42;41;52;41;35
31;66;74;76;66;65;65;49;64;52;52;49;57;49;47;39;44;56;38
