"Popolazione per età, vista per singola area - Comune: 016085 - Costa Valle Imagna"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Costa Valle Imagna"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;3;8;4;7;2;2;4;4;2;4;0;1;1;5;1;4;3;4
1;1;3;8;3;7;2;2;4;4;2;4;0;1;1;5;1;4;3
2;4;1;3;8;4;7;3;2;4;4;2;5;0;1;1;5;1;4
3;3;4;1;3;9;4;7;3;2;4;5;2;5;0;1;1;5;0
4;8;3;4;1;3;9;4;7;3;3;4;5;2;5;0;1;1;5
5;3;8;3;4;1;3;9;4;7;3;3;5;5;2;5;0;1;0
6;6;3;7;3;4;1;3;9;4;8;3;3;5;5;2;5;0;1
7;12;6;3;7;3;4;1;3;9;4;8;3;3;5;5;2;5;0
8;4;12;6;2;8;3;4;1;3;9;4;8;3;3;5;4;2;5
9;6;4;12;6;2;8;5;3;1;3;9;4;8;3;3;5;4;2
10;2;6;4;12;6;2;8;5;3;1;3;9;4;8;3;3;5;4
11;2;2;6;4;12;6;2;8;5;3;1;3;9;4;8;3;3;5
12;6;2;2;5;4;12;6;2;8;5;3;1;3;9;4;8;3;3
13;5;6;2;2;5;4;12;6;2;8;5;3;1;3;9;4;8;3
14;3;5;6;2;2;5;4;12;6;2;8;5;3;1;3;9;4;8
15;4;3;5;6;2;2;5;4;12;6;3;8;5;3;1;3;9;4
16;7;4;4;5;6;2;2;6;4;12;6;3;8;5;4;1;3;9
17;5;7;4;3;5;6;2;2;6;4;12;6;3;7;5;5;1;3
18;8;5;7;6;3;5;6;2;2;6;4;12;6;3;7;5;5;1
19;10;8;5;7;6;3;5;6;2;2;6;4;12;6;3;7;5;5
20;4;13;8;5;7;6;3;5;6;2;2;6;4;13;6;3;7;5
21;2;4;11;8;5;7;5;3;5;6;3;2;6;4;13;5;3;6
22;4;2;3;12;8;5;9;5;3;5;6;3;2;5;4;12;5;3
23;7;6;2;3;12;6;5;8;5;4;5;6;3;2;5;4;12;5
24;2;6;5;2;4;12;6;5;8;5;4;5;6;3;2;5;4;12
25;11;2;6;5;2;4;11;6;4;8;5;4;5;4;3;2;6;4
26;9;11;4;6;6;2;5;10;6;5;9;5;4;5;5;3;2;6
27;14;9;10;4;7;6;2;4;8;6;6;8;6;4;6;5;3;2
28;10;15;13;9;4;7;6;2;4;8;5;6;7;6;4;6;5;3
29;12;9;15;13;8;2;7;6;2;4;10;5;7;5;6;5;6;5
30;9;12;11;17;13;6;3;7;6;2;4;10;5;7;7;6;5;6
31;10;9;11;11;14;13;6;3;7;5;2;4;9;6;7;8;6;5
32;12;9;8;11;8;14;13;5;3;6;4;2;4;9;6;7;9;5
33;10;12;11;9;12;11;14;11;5;3;6;5;2;4;9;5;7;6
34;11;10;14;11;8;12;11;13;10;6;2;6;5;2;4;9;6;7
35;8;8;10;13;11;8;13;9;11;10;4;3;7;5;2;4;9;6
36;12;8;8;11;13;11;8;13;9;11;9;4;3;7;4;2;4;9
37;5;12;7;8;11;13;11;8;13;10;11;10;4;3;7;4;2;4
38;10;5;12;8;8;11;13;11;9;11;11;11;10;6;2;7;3;2
39;14;10;5;11;6;8;11;12;11;9;11;12;10;11;6;2;7;3
40;8;14;10;5;9;6;10;12;12;11;9;11;11;10;11;6;2;6
41;7;8;14;10;5;9;6;9;11;12;11;9;11;11;10;11;6;2
42;11;7;9;14;11;5;10;6;9;11;13;11;9;12;12;9;11;6
43;6;13;7;10;14;11;7;10;7;9;10;12;11;9;11;11;10;11
44;4;6;13;7;10;13;11;7;10;7;9;9;11;11;9;11;11;10
45;9;5;6;12;7;10;15;11;7;10;7;10;9;11;11;10;11;11
46;9;11;5;6;11;7;10;15;11;7;10;7;10;9;11;11;10;11
47;7;9;11;5;6;11;8;9;15;11;7;10;6;10;10;11;11;9
48;12;7;9;10;5;6;11;8;9;15;11;7;10;6;10;11;11;11
49;4;12;7;9;10;5;7;11;8;9;15;11;8;10;6;9;11;11
