"Popolazione per età, vista per singola area - Comune: 016090 - Cusio"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Cusio"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1;1;2;4;1;2;1;1;1;0;0;0;1;1;0;0;0;1
1;1;1;1;2;4;1;2;1;1;1;0;0;0;1;2;0;0;0
2;1;1;1;1;2;4;1;2;1;1;1;0;0;0;1;2;0;0
3;1;1;1;1;1;2;4;1;2;1;1;1;0;0;1;1;2;0
4;2;1;1;1;1;1;2;4;1;2;1;1;1;0;0;1;1;2
5;1;2;0;1;1;1;1;2;4;1;2;1;1;1;0;0;1;1
6;3;1;2;0;1;1;1;1;2;4;1;2;1;1;1;0;0;1
7;0;3;1;2;0;1;1;1;1;2;4;1;2;1;1;1;0;0
8;3;0;2;1;3;0;1;1;1;1;2;4;1;2;1;1;1;0
9;4;3;0;2;1;2;0;1;1;1;1;2;4;1;2;1;1;1
10;3;4;2;0;2;1;2;0;1;1;1;1;2;4;1;2;1;1
11;2;3;4;2;0;2;1;2;0;1;1;2;1;2;4;1;2;1
12;5;2;3;4;2;0;2;1;2;0;1;1;2;1;2;4;1;2
13;4;5;2;3;4;2;0;2;1;2;0;1;1;2;1;2;4;1
14;0;4;5;1;3;4;2;0;2;1;2;0;1;1;2;1;2;4
15;1;0;4;5;1;3;4;2;0;2;1;2;0;1;1;2;1;2
16;3;1;0;4;5;1;3;4;2;0;2;1;2;0;1;1;2;1
17;1;3;1;0;4;5;1;3;4;2;0;2;1;2;0;1;1;2
18;3;1;3;1;0;4;5;1;3;4;2;0;2;1;3;0;1;1
19;4;2;1;3;1;0;4;5;1;3;4;2;0;2;1;3;0;1
20;2;4;2;0;3;1;0;4;6;1;3;4;2;0;2;1;3;0
21;2;2;5;2;0;3;1;0;4;6;1;3;4;2;0;2;1;3
22;4;2;2;5;2;0;3;1;0;4;6;1;3;4;1;0;2;1
23;2;4;2;2;5;3;0;3;1;0;4;6;1;3;4;1;0;2
24;4;1;3;2;2;5;3;0;3;1;0;4;6;1;3;4;1;0
25;2;4;1;3;2;2;5;3;0;3;1;0;4;6;0;3;4;1
26;4;2;3;1;3;2;2;5;3;0;3;1;0;4;5;0;3;4
27;0;4;2;2;1;3;2;2;5;2;0;3;1;0;3;5;0;3
28;3;0;4;2;1;1;3;2;2;4;1;0;4;1;0;3;4;0
29;3;3;0;4;2;1;1;3;1;2;3;1;0;4;1;0;3;3
30;5;3;2;0;3;0;1;1;3;1;1;4;1;0;4;1;0;3
