"Popolazione per età, vista per singola area - Comune: 016119 - Grone"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Grone"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;5;10;20;9;14;8;7;14;22;6;6;19;13;8;8;8;15;6
1;7;5;10;19;10;14;8;8;13;20;6;5;19;14;8;8;8;14
2;5;7;5;9;20;10;12;9;10;11;19;5;5;18;12;9;7;8
3;12;6;7;5;9;18;8;12;9;10;10;19;5;5;17;12;9;6
4;5;11;6;5;5;8;16;8;11;9;10;9;19;5;7;15;11;8
5;7;5;9;6;5;5;7;16;9;11;7;10;11;18;5;7;16;13
6;5;8;5;10;7;5;4;7;19;9;11;8;8;9;19;6;6;17
7;9;5;8;5;11;8;4;4;7;20;9;12;7;8;8;19;4;6
8;6;10;5;9;5;10;8;4;4;7;20;8;14;5;8;7;19;5
9;8;6;10;5;10;7;11;8;6;4;7;18;8;13;5;8;8;19
10;5;8;6;10;5;10;7;11;8;6;4;7;17;6;12;5;7;8
11;5;5;8;10;11;5;9;7;13;9;6;4;7;16;6;12;6;7
12;7;6;5;8;10;11;5;10;8;13;9;6;4;7;16;6;12;9
13;8;9;6;5;8;9;13;5;11;8;13;7;7;7;7;17;6;12
14;5;8;9;8;5;8;10;12;8;10;8;14;7;7;7;6;18;7
15;6;6;8;9;8;4;9;10;14;8;10;9;14;7;7;7;6;18
16;5;6;6;9;9;6;4;10;9;13;9;9;9;14;7;7;6;7
17;9;5;6;9;10;9;5;4;10;10;13;8;9;9;13;6;8;6
18;5;10;5;7;10;10;9;5;4;9;12;12;8;8;7;11;6;8
19;9;6;9;3;7;7;10;11;5;5;10;12;11;10;8;7;11;6
20;7;8;6;9;3;6;7;11;12;5;5;10;12;11;11;8;9;12
21;2;8;7;5;9;5;7;12;13;11;5;5;9;11;11;11;9;10
22;10;2;9;8;7;9;7;7;14;14;11;4;3;9;12;10;10;10
23;8;9;6;11;11;7;11;9;7;14;18;11;3;4;8;11;10;9
24;10;9;7;2;13;11;9;11;11;7;14;16;10;3;5;7;10;11
25;13;11;8;8;2;13;12;10;12;11;8;12;16;10;3;6;7;12
26;9;15;11;11;7;5;11;13;11;12;11;10;13;12;9;4;6;7
27;13;9;14;13;12;8;5;11;13;12;11;11;9;15;16;10;5;5
28;18;10;13;17;13;11;4;7;11;13;11;13;11;9;15;14;9;5
29;10;19;9;17;18;17;13;5;8;10;14;10;12;11;10;17;12;9
30;16;11;21;12;21;18;17;12;8;9;12;13;10;10;11;12;16;10
31;12;17;13;22;15;20;17;15;13;8;10;11;13;9;15;9;14;15
32;12;12;14;18;20;17;20;18;15;14;7;10;10;11;9;14;8;14
33;15;14;10;16;18;18;20;20;20;13;11;7;8;9;10;8;13;8
34;12;14;14;11;19;17;20;18;23;19;12;9;8;8;10;10;9;11
35;3;15;14;14;11;17;14;21;21;22;20;12;9;9;8;8;10;11
36;13;3;15;15;13;12;16;15;22;21;23;20;13;9;9;8;6;10
37;13;15;2;15;15;11;12;18;14;22;21;22;21;12;9;7;10;7
38;13;13;15;4;17;15;12;12;19;17;22;20;24;21;11;11;9;8
39;3;13;14;17;6;16;15;15;11;18;18;20;20;19;21;14;11;10
40;7;5;13;12;19;6;19;15;16;13;18;17;20;20;17;19;12;11
41;8;7;5;12;12;15;6;19;15;16;13;16;18;22;21;16;19;14
42;8;10;7;6;12;12;15;8;20;16;14;13;15;17;22;19;16;19
43;17;10;11;10;6;12;12;15;6;19;16;13;13;15;16;22;20;14
44;5;19;10;13;11;5;13;13;14;5;20;16;12;14;18;16;22;19
45;12;7;18;12;12;10;4;13;11;14;3;20;16;12;18;15;17;19
46;9;12;6;15;11;11;10;4;13;11;13;4;21;17;12;18;14;18
47;8;9;12;6;15;10;11;10;3;13;12;14;3;19;17;11;17;15
48;12;8;11;12;8;14;10;11;10;3;13;12;14;3;18;17;12;15
49;11;11;8;10;12;8;15;9;11;11;4;12;12;15;3;18;17;11
50;15;11;11;8;10;12;6;16;9;11;11;3;12;12;15;3;19;17
51;10;15;12;12;10;10;11;6;17;11;12;11;3;11;13;17;4;19
52;11;10;15;12;13;10;11;12;6;17;11;11;11;4;11;13;17;5
53;6;11;10;18;12;14;10;10;12;6;17;10;11;12;5;12;14;16
54;10;6;10;10;18;13;13;10;10;11;6;16;10;12;12;5;12;14
55;11;8;5;13;12;18;15;12;10;10;12;6;15;10;12;12;4;12
56;9;11;8;5;13;11;19;15;12;10;9;12;6;15;10;12;11;4
57;12;9;11;11;5;13;12;19;15;13;9;8;12;6;15;10;13;11
58;9;11;9;11;11;6;13;12;17;15;13;8;9;12;6;16;10;13
59;12;10;10;9;11;12;6;13;11;17;15;13;8;10;12;5;15;10
60;11;11;10;10;9;13;11;6;13;11;17;15;13;9;11;12;5;15
61;11;13;11;10;10;9;13;11;6;13;11;17;16;13;8;11;12;5
62;14;11;12;11;11;10;9;13;11;6;13;11;17;15;13;9;11;12
63;8;14;11;12;11;10;11;9;13;11;5;12;11;17;14;13;9;10
64;10;8;14;11;13;11;10;11;9;12;11;5;12;11;15;12;12;9
65;8;10;7;14;11;13;11;10;10;9;12;11;5;13;11;15;13;12
66;11;8;9;7;15;11;15;11;8;10;9;12;12;5;13;10;15;14
67;8;11;8;9;7;15;10;13;11;7;10;8;11;12;5;13;10;15
68;9;7;11;8;8;6;14;10;12;10;8;10;8;11;12;4;13;10
69;4;9;6;11;8;8;6;12;10;10;9;8;10;8;11;11;4;13
70;5;4;9;6;11;8;6;6;12;10;11;9;8;10;8;10;10;4
71;8;5;4;9;6;10;8;7;6;12;10;12;9;8;10;8;11;10
72;6;8;5;4;9;6;10;7;6;6;12;10;12;7;8;10;8;11
73;7;6;7;5;4;9;5;10;7;5;6;12;10;11;6;7;9;8
74;5;7;6;6;5;4;8;6;10;7;3;6;12;10;11;6;6;9
75;3;5;7;6;6;5;4;8;6;9;7;3;5;11;10;11;6;6
76;4;4;5;7;5;6;5;4;8;6;9;7;3;5;10;8;11;6
77;5;4;4;6;7;5;6;5;3;7;6;9;7;3;5;10;8;11
78;4;5;4;4;5;5;5;6;5;3;6;6;9;6;3;5;10;8
79;5;4;5;4;4;5;5;5;6;3;2;6;6;9;6;3;5;10
80;6;5;4;5;3;4;4;5;5;6;3;2;6;5;9;5;3;5
81;4;5;5;4;5;3;3;4;4;5;5;3;1;6;4;9;5;3
82;4;4;6;4;4;5;2;3;4;4;5;5;3;1;5;4;9;5
83;1;4;4;4;4;4;4;2;2;2;4;5;5;3;1;5;4;8
84;3;1;4;4;4;4;4;4;2;2;2;3;5;4;3;1;4;3
85;2;3;1;4;4;4;4;4;4;2;2;2;3;5;4;3;1;4
86;0;3;3;1;3;4;4;2;3;4;2;2;2;3;4;4;2;1
87;0;0;2;3;1;3;2;4;2;3;3;2;2;2;2;2;3;2
88;2;0;0;1;3;1;3;2;3;2;1;3;2;1;2;2;2;3
89;0;2;0;0;1;2;1;3;2;3;2;1;3;2;1;2;2;2
90;2;0;1;0;0;1;2;1;3;2;3;2;1;2;2;1;2;2
91;3;1;0;1;0;0;1;1;1;3;2;2;2;1;2;2;1;2
92;3;3;1;0;1;0;0;1;1;1;1;1;0;2;0;1;1;1
93;0;3;2;0;0;0;0;0;0;1;0;1;1;0;2;0;1;1
94;1;0;2;1;0;0;0;0;0;0;1;0;1;1;0;1;0;1
95;1;1;0;1;1;0;0;0;0;0;0;1;0;2;1;0;1;0
96;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;2
97;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
98;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
99;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
100 e oltre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Totale;725;759;767;815;862;852;853;884;925;919;917;906;911;898;905;889;896;903
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;3;6;7;3;10;3;4;8;12;5;2;11;9;4;5;5;10;4
1;3;3;6;7;3;10;4;4;7;12;5;1;11;10;4;5;5;9
2;3;3;3;5;7;4;8;5;4;7;12;4;1;10;7;4;4;5
3;5;4;3;3;5;7;3;8;5;4;7;11;4;1;9;7;4;4
4;2;4;4;2;3;5;5;3;7;5;4;7;11;4;1;7;6;2
5;3;2;2;4;2;3;4;5;3;7;3;4;7;10;4;2;7;6
6;0;3;2;2;4;2;3;4;5;3;7;4;4;5;10;5;1;9
7;8;0;3;2;3;4;1;3;4;5;3;8;3;4;5;10;3;1
8;5;9;0;4;2;2;4;1;3;4;5;3;10;2;4;4;10;3
9;5;5;9;0;5;3;2;4;3;3;4;5;3;9;2;4;4;10
10;3;5;5;9;0;5;3;2;4;3;3;4;5;3;8;2;3;4
11;2;3;5;9;9;0;5;3;4;4;3;3;4;6;3;8;3;3
12;3;2;3;5;9;9;0;5;4;4;4;3;3;4;6;3;8;4
13;4;4;2;3;5;8;9;0;6;4;4;4;4;5;4;6;3;8
14;1;4;4;4;3;5;9;8;2;6;4;5;4;4;5;3;6;4
15;4;1;4;4;4;2;6;9;10;2;6;5;5;4;4;5;3;6
16;4;4;1;4;4;2;2;7;8;10;3;5;5;5;4;4;4;4
17;6;4;4;3;5;4;1;2;7;9;10;2;5;5;4;4;4;4
18;4;6;4;5;3;5;4;1;2;6;11;9;2;4;3;4;4;4
19;6;4;5;3;5;2;5;4;1;3;6;10;9;3;4;3;4;4
20;1;5;4;5;2;4;2;6;4;1;3;6;10;9;3;4;5;4
21;0;1;3;3;5;4;5;5;7;5;1;3;5;9;9;3;5;5
22;3;0;2;4;4;5;6;5;5;7;5;0;2;5;10;8;2;6
23;3;2;1;5;7;4;5;8;5;5;9;5;0;2;5;9;8;2
24;5;3;2;0;7;7;6;5;8;5;5;8;5;0;2;5;8;8
25;5;7;4;2;0;7;7;6;5;8;6;5;8;5;0;2;5;10
26;7;7;8;5;2;0;4;9;7;5;8;6;5;7;5;0;2;5
27;6;7;6;10;7;2;0;5;8;8;5;8;6;5;9;5;0;2
28;10;5;7;7;10;6;0;1;4;8;8;5;8;6;6;9;5;0
29;6;11;4;10;7;11;6;0;3;4;8;8;5;8;6;7;8;5
30;8;7;11;5;13;7;9;5;2;4;5;8;8;4;7;8;8;6
31;5;9;8;12;7;13;8;8;5;2;6;5;8;7;6;6;8;7
32;10;6;7;10;11;7;13;8;8;6;2;6;4;7;6;5;5;8
33;9;12;5;7;10;10;7;14;10;8;6;3;4;4;6;5;5;4
34;5;8;11;6;7;10;13;6;14;9;7;5;3;4;5;6;6;4
35;2;6;8;10;6;6;7;15;7;14;10;7;5;4;4;5;5;6
36;5;1;6;9;10;7;6;8;16;7;15;9;8;5;4;5;4;5
37;6;6;1;6;9;8;7;6;7;15;7;14;9;8;5;2;5;5
38;8;6;6;2;7;9;9;7;6;7;15;8;15;8;7;5;4;3
