"Popolazione per età, vista per singola area - Comune: 016127 - Locatello"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Locatello"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;7;7;20;11;11;7;12;13;11;5;15;13;2;5;8;9;5;11
1;6;9;7;20;10;10;6;13;12;13;6;10;15;2;5;8;9;6
2;11;5;9;6;19;6;13;6;11;11;13;3;11;15;4;5;7;9
3;8;8;5;10;10;17;8;11;6;11;11;13;4;12;13;7;5;8
4;8;7;7;5;10;10;18;9;12;6;12;12;11;5;13;13;6;4
5;6;6;7;6;7;12;8;18;10;12;5;11;13;10;6;12;10;5
6;8;5;6;10;6;5;13;7;19;10;11;5;12;14;10;6;13;10
7;13;8;5;6;10;7;7;15;5;20;9;13;5;13;15;8;6;10
8;5;12;8;5;6;11;7;7;14;8;20;9;13;6;13;15;8;6
9;7;4;12;8;5;7;11;8;8;14;9;20;9;15;6;13;12;7
10;15;7;4;12;8;4;7;11;9;8;14;8;19;9;14;6;12;9
11;12;15;7;4;12;10;4;8;9;10;8;14;9;20;8;12;6;11
12;10;12;15;8;3;12;11;4;8;9;10;9;14;9;19;8;11;6
13;7;8;12;17;8;3;13;11;4;9;9;10;9;13;10;19;7;11
14;5;7;7;11;16;8;3;13;10;5;9;9;10;9;11;10;18;7
15;9;6;8;8;10;17;7;5;11;10;5;9;8;10;9;11;10;18
16;10;9;6;10;7;11;15;8;8;14;10;5;9;7;9;8;9;10
17;8;9;9;8;11;9;10;17;8;7;15;11;5;9;7;9;7;10
18;4;8;9;13;7;11;7;13;18;8;7;15;11;4;8;5;9;8
19;10;3;8;9;14;8;11;8;13;18;8;7;13;10;4;7;6;8
20;5;10;3;8;13;13;8;10;8;14;16;8;7;15;10;5;8;5
21;17;6;11;4;10;12;15;10;11;7;14;18;8;6;16;10;5;8
22;11;17;8;13;4;10;12;15;10;14;7;13;18;8;6;16;10;6
23;12;12;18;6;11;4;10;12;15;9;15;6;10;16;9;6;16;10
24;7;13;13;20;7;10;5;10;10;13;9;14;6;10;14;9;3;15
25;16;6;15;12;21;6;11;4;10;8;14;10;13;4;10;14;8;7
26;14;20;7;14;12;14;5;11;3;11;8;12;12;13;3;10;12;8
27;7;14;20;8;16;7;15;5;8;3;10;7;11;13;13;4;9;11
28;7;9;11;17;8;15;6;15;2;9;3;7;6;10;11;14;7;11
29;12;9;9;16;20;7;12;10;16;1;11;5;9;6;10;9;13;8
30;7;14;12;9;15;21;10;11;9;15;5;11;6;7;6;10;8;13
31;9;6;14;10;9;14;20;10;10;11;15;5;10;7;10;8;10;5
32;9;4;8;13;12;12;14;21;13;9;10;15;5;10;7;10;8;11
33;12;4;9;9;12;12;13;13;19;13;10;8;13;5;8;7;10;8
34;12;10;6;12;12;11;8;10;12;16;9;9;9;13;5;8;9;11
35;7;10;12;8;15;12;12;10;8;11;14;7;8;8;13;5;9;9
36;12;10;13;14;11;15;13;11;11;9;12;11;7;8;7;14;6;9
37;10;10;11;15;15;7;16;9;15;10;9;12;13;8;9;8;14;6
38;13;10;10;11;13;14;7;13;10;16;11;10;12;14;10;9;10;12
39;11;13;9;10;10;12;17;8;11;7;15;11;10;14;14;10;9;10
40;15;12;15;9;10;10;11;16;11;12;6;13;14;12;14;14;8;9
41;10;15;12;14;9;10;10;12;15;11;12;5;8;15;12;14;14;7
42;11;7;15;12;17;10;10;10;13;16;9;12;7;10;16;12;14;13
43;8;11;7;14;13;16;9;10;11;14;16;9;12;7;12;14;12;13
44;5;10;12;7;14;13;15;10;10;10;14;17;9;13;8;11;12;15
45;15;5;9;14;9;14;13;15;11;13;10;13;16;9;13;8;11;11
46;16;16;5;8;16;9;14;13;15;12;13;12;12;17;9;14;8;8
47;12;16;15;3;8;17;9;14;13;17;11;12;10;13;15;8;17;6
48;6;13;16;15;7;8;18;10;15;16;17;12;12;11;13;14;8;16
49;10;6;13;14;15;7;7;19;8;15;14;16;12;11;11;13;14;9
50;14;10;6;10;14;16;6;7;17;8;15;14;15;11;12;12;12;14
51;15;15;10;5;10;14;17;6;7;16;8;15;14;16;11;11;11;12
52;14;15;15;9;7;10;14;17;6;7;15;9;14;13;14;9;12;13
53;7;14;16;15;9;7;11;13;19;6;6;16;9;14;15;14;9;14
54;8;8;15;16;15;9;5;11;13;19;6;6;17;9;14;15;14;9
55;11;8;7;15;16;15;10;6;10;13;18;6;6;17;9;15;15;14
56;7;12;8;7;15;16;13;11;8;10;12;17;6;6;13;9;15;14
57;9;7;12;8;7;15;14;13;11;9;10;12;17;6;6;13;9;15
58;6;11;7;12;10;7;15;14;13;13;9;10;12;17;5;6;11;9
59;5;5;11;7;12;9;7;14;15;13;12;8;10;13;17;5;6;12
60;4;5;5;11;7;12;9;7;14;15;13;12;8;11;13;18;5;5
61;9;4;5;5;13;7;12;9;7;14;14;13;12;9;11;13;16;4
62;5;10;4;5;7;13;7;12;9;7;14;14;13;13;9;11;13;17
63;3;5;10;4;5;7;11;7;12;9;7;14;14;13;13;10;11;13
64;9;3;5;9;4;5;7;11;7;11;9;6;14;14;14;13;9;12
65;7;10;4;5;8;3;5;7;11;7;12;10;7;13;14;14;12;8
66;5;7;10;4;5;8;2;5;7;11;7;12;10;7;13;14;14;12
67;4;5;6;11;4;5;7;2;5;7;10;7;12;9;5;14;14;14
68;3;5;5;6;11;4;5;6;3;5;8;9;7;12;10;5;14;14
69;2;3;5;5;5;9;4;5;6;3;4;8;9;7;12;10;5;14
70;2;2;4;7;5;5;9;5;5;6;3;4;8;9;7;12;10;5
71;9;2;1;4;6;4;5;9;5;5;6;3;4;6;9;6;12;10
72;12;9;2;1;4;6;5;4;9;5;6;6;2;4;6;10;6;12
73;4;12;8;2;3;2;6;5;4;9;5;6;6;2;4;7;10;6
74;3;3;12;8;2;1;2;4;5;3;8;5;6;6;2;5;7;10
75;8;4;3;12;8;2;1;2;3;5;3;8;5;6;5;2;4;7
76;5;7;3;3;12;8;2;2;2;3;5;3;8;5;5;5;2;4
77;5;6;7;3;2;11;8;2;2;2;2;5;3;8;4;5;5;3
78;8;5;7;7;3;2;11;7;2;2;2;1;5;3;6;4;5;5
79;10;8;4;6;5;3;2;11;7;2;2;2;1;6;3;6;4;5
