"Popolazione per età, vista per singola area - Comune: 016128 - Lovere"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Lovere"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;50;55;36;41;39;43;39;45;25;46;38;40;30;40;29;37;26;28
1;43;46;52;39;42;38;42;38;44;26;47;35;39;29;38;29;39;24
2;39;42;47;52;38;46;37;43;37;46;30;46;33;41;25;39;28;38
3;53;38;41;44;50;39;46;39;43;35;48;31;45;32;37;27;37;25
4;36;52;36;41;39;45;39;50;41;42;35;47;31;50;33;37;26;36
5;36;35;55;38;41;39;44;39;52;38;44;38;46;33;50;33;35;25
6;38;40;31;60;40;39;44;48;40;48;37;46;39;47;33;53;36;36
7;33;38;39;32;61;39;41;46;50;41;52;41;42;38;49;32;48;40
8;40;31;38;39;33;59;37;43;45;49;38;52;41;43;37;51;27;48
9;36;40;30;38;38;30;59;38;47;46;48;37;53;38;43;38;49;28
10;50;36;43;32;37;36;33;59;42;46;44;49;37;51;38;43;37;49
11;38;48;38;44;33;36;37;30;59;39;48;45;51;37;52;42;46;42
12;32;39;48;39;41;32;37;41;32;57;39;47;46;49;40;52;42;48
13;37;33;40;45;41;39;34;39;38;34;59;36;44;46;50;43;50;45
14;41;37;38;41;42;41;40;39;38;38;36;58;37;47;47;54;42;55
15;39;39;39;38;39;44;38;49;37;37;39;38;56;38;43;45;52;47
16;49;41;36;39;38;39;47;40;50;38;37;40;38;56;39;42;47;53
17;51;46;41;39;39;36;36;52;41;50;40;37;37;41;58;42;43;48
18;41;54;48;37;42;41;34;41;51;40;50;41;37;39;37;59;43;42
19;39;48;56;50;36;42;43;37;42;55;43;50;41;33;38;38;59;43
20;31;39;45;58;52;38;48;43;40;41;55;48;52;43;33;42;41;59
21;32;29;40;42;53;56;39;48;44;40;43;54;50;51;42;35;43;44
22;53;32;33;39;43;57;58;44;52;45;45;45;54;42;52;43;35;48
23;50;60;35;27;46;39;65;64;45;49;47;45;47;58;40;53;44;35
24;44;50;59;38;26;41;40;62;57;47;52;43;44;46;53;44;56;42
25;69;47;52;64;41;26;47;47;60;61;50;53;47;46;42;53;38;56
26;76;62;54;59;64;42;29;50;48;61;61;52;51;43;43;41;51;36
27;67;75;65;56;58;52;45;25;50;46;57;67;48;49;48;45;41;48
28;83;70;78;57;57;59;54;45;28;42;51;51;64;46;47;46;40;40
29;86;82;77;82;62;53;60;63;41;24;48;57;53;58;43;52;43;39
30;83;91;81;71;81;57;57;63;68;38;36;51;56;52;58;45;52;43
31;79;83;92;78;64;78;56;61;64;65;40;35;50;52;53;57;41;49
32;69;79;83;88;80;61;75;56;54;56;58;43;38;45;46;52;52;41
33;78;73;75;81;89;75;60;70;57;45;48;62;45;32;52;46;52;48
34;85;73;78;73;82;90;73;61;63;56;45;52;59;44;32;52;43;58
35;98;80;69;78;74;79;90;71;60;62;58;49;54;65;38;34;51;43
36;74;99;77;70;80;70;79;88;68;57;63;60;52;57;60;42;40;54
37;77;74;104;85;76;82;70;84;90;69;58;63;61;49;55;58;39;40
38;80;77;70;95;80;77;79;83;77;89;73;60;60;64;59;56;54;36
39;70;72;84;63;94;76;78;74;77;77;86;75;60;58;62;62;58;54
40;76;72;74;86;65;92;80;76;74;78;81;89;77;60;61;62;57;58
41;83;75;71;74;82;67;89;84;76;75;80;78;96;80;55;58;66;56
