"Popolazione per età, vista per singola area - Comune: 016157 - Palosco"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Palosco"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;61;61;61;72;54;73;79;69;79;69;48;71;62;59;54;46;54;39
1;43;61;62;63;72;56;79;78;71;78;66;48;70;64;55;50;51;47
2;62;49;60;64;59;71;58;77;82;74;82;64;49;68;61;59;51;50
3;61;61;57;62;62;61;77;59;75;83;72;84;65;50;66;59;64;54
4;62;62;63;57;65;64;69;76;63;78;85;70;87;68;51;65;56;60
5;46;63;63;61;55;65;71;66;76;60;78;82;67;84;63;51;66;56
6;52;48;64;66;64;54;71;71;66;80;63;79;78;70;82;64;50;66
7;53;52;48;62;65;65;52;70;72;66;82;63;76;79;70;84;64;53
8;56;53;53;49;63;66;67;52;68;73;66;82;65;72;76;68;82;69
9;55;58;54;56;51;65;66;66;51;63;72;65;85;65;74;78;68;75
10;57;56;59;57;57;53;70;65;66;51;60;74;62;89;64;72;77;66
11;47;58;56;63;56;57;55;69;65;66;53;60;74;63;82;60;72;78
12;56;49;60;60;69;59;56;50;69;66;66;51;59;72;63;79;57;66
13;52;56;50;63;64;70;61;59;48;71;65;68;49;59;69;63;81;58
14;47;53;59;50;63;63;71;60;60;50;70;65;70;53;59;69;61;81
15;58;47;54;59;50;63;63;72;58;62;50;70;66;71;51;60;70;61
16;47;59;48;53;59;50;63;64;71;57;64;48;69;66;68;50;58;71
17;52;47;61;49;55;58;45;62;66;72;61;65;48;67;66;66;50;59
18;65;50;48;63;48;54;59;47;62;67;68;58;63;50;67;65;66;47
19;66;66;58;52;62;50;59;61;49;67;68;70;59;64;49;66;65;66
20;68;65;70;60;53;63;53;58;62;50;71;67;69;59;64;48;68;66
21;69;67;71;75;61;52;68;58;56;61;50;69;68;70;57;63;50;65
22;65;76;72;72;74;58;55;67;55;59;60;50;70;69;68;55;59;48
23;66;66;78;74;69;76;60;59;73;57;58;61;51;66;66;69;53;60
24;69;67;72;84;73;69;77;66;59;73;60;57;58;50;68;66;72;52
25;69;69;73;79;80;74;64;78;67;65;75;65;59;59;51;62;64;68
26;95;72;79;80;74;83;75;62;80;65;69;77;65;59;61;56;62;59
27;101;98;72;80;79;72;87;80;68;78;61;73;72;67;56;60;56;61
28;82;104;107;77;79;86;82;87;79;70;75;60;69;74;68;65;55;55
29;81;83;115;109;79;79;86;85;84;86;79;69;59;68;71;63;65;63
30;94;82;84;128;113;81;93;85;90;84;85;78;68;65;61;68;61;50
31;79;98;87;93;128;118;89;94;86;84;87;87;69;65;59;62;67;65
32;98;78;101;91;94;125;120;91;91;86;81;84;84;69;69;55;65;74
33;85;100;81;100;88;92;125;116;92;89;80;83;86;88;71;66;51;65
34;92;87;101;84;98;90;97;121;120;92;85;83;83;79;82;66;66;49
35;104;89;88;107;89;105;97;100;113;118;93;85;78;85;78;82;68;67
36;91;106;91;87;104;90;106;99;103;117;118;91;84;85;86;80;77;64
37;94;89;104;91;89;106;89;104;98;104;118;121;95;79;84;86;86;81
38;71;98;91;103;89;95;106;95;107;99;103;117;116;98;81;86;85;80
39;74;72;99;95;103;88;95;108;97;102;94;102;121;112;98;84;88;83
40;82;72;67;98;96;102;89;97;107;95;104;95;105;123;111;98;81;85
41;81;80;72;69;100;100;96;90;97;108;98;105;94;101;119;115;98;84
42;71;80;85;73;70;95;99;97;89;96;110;97;106;90;98;120;111;92
43;83;70;83;87;75;71;97;99;99;89;92;109;97;105;88;97;118;109
44;63;84;69;84;88;77;71;97;104;98;90;88;108;97;105;87;98;115
45;48;66;84;70;83;87;77;71;99;101;97;91;88;108;97;104;86;98
46;71;48;66;82;72;83;88;77;70;99;99;95;93;87;106;94;100;86
47;61;71;50;64;84;72;83;92;77;68;100;99;96;96;85;106;92;97
48;58;62;72;50;64;84;74;84;88;77;69;99;96;92;95;84;105;87
49;80;58;62;73;49;65;87;74;85;84;78;71;97;94;92;91;84;103
50;58;80;59;64;73;50;63;87;75;83;84;78;71;96;94;91;92;88
51;57;58;82;59;64;74;51;63;89;74;82;83;76;70;96;92;91;92
52;53;55;57;80;58;64;71;52;63;90;73;83;82;76;70;98;90;90
