"Popolazione per età, vista per singola area - Comune: 016197 - Selvino"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Selvino"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;21;27;21;25;19;18;17;12;18;12;21;12;16;14;12;11;13;10
1;23;21;27;21;25;20;19;18;12;19;13;22;12;16;14;13;13;13
2;30;22;22;28;21;25;18;19;18;12;17;13;21;13;16;15;12;12
3;20;29;21;22;28;19;25;20;19;18;12;17;13;22;13;17;15;11
4;21;19;29;21;20;29;19;26;21;19;18;12;16;13;22;12;18;15
5;25;22;20;28;20;21;29;18;25;21;19;18;13;16;13;25;13;17
6;20;25;23;21;28;22;20;29;18;25;21;20;17;14;16;13;24;13
7;26;20;26;24;20;28;21;20;29;17;25;21;19;17;14;16;13;24
8;26;21;20;24;24;20;27;21;22;30;17;25;21;19;17;14;15;13
9;14;26;21;22;23;23;21;27;22;22;30;17;25;21;19;17;14;16
10;17;13;26;21;22;23;23;19;27;22;21;30;17;25;21;20;17;14
11;8;16;14;25;21;23;23;22;20;27;22;21;30;17;25;22;21;18
12;18;8;16;14;25;21;23;23;23;20;27;22;21;31;16;25;23;21
13;18;18;8;16;14;24;23;23;24;23;20;26;22;21;29;17;26;23
14;21;18;18;8;16;14;24;23;22;24;22;20;26;22;22;29;17;28
15;14;21;18;17;8;16;14;24;25;22;24;24;20;26;22;24;28;18
16;13;17;22;17;16;8;16;14;24;25;20;24;24;20;25;22;24;28
17;16;13;17;20;18;15;8;16;14;24;26;21;24;24;20;25;22;24
18;29;15;12;14;20;17;15;8;17;14;25;26;21;24;23;19;25;22
19;21;29;15;13;13;20;18;15;8;17;14;25;25;21;25;24;19;25
20;19;21;29;15;13;15;21;18;16;8;18;14;25;26;21;25;24;20
21;24;19;22;27;14;13;14;21;18;16;8;17;13;24;26;22;25;24
22;26;24;19;23;29;11;13;13;22;18;15;8;17;14;24;25;21;24
23;32;26;23;18;22;27;12;14;13;21;18;14;8;17;16;25;24;22
24;28;34;27;25;16;22;25;11;13;11;20;18;16;8;18;17;25;21
25;31;27;36;31;25;16;22;22;12;12;11;21;17;16;9;17;16;25
26;40;30;28;38;29;23;16;23;21;12;13;11;23;17;17;10;15;15
27;32;37;30;30;39;28;25;18;22;20;13;13;11;23;17;17;10;15
28;38;32;37;29;29;35;28;23;19;20;20;14;13;9;20;16;20;10
29;46;40;38;35;30;29;32;25;24;18;21;18;17;12;9;18;16;18
30;33;42;41;38;33;25;30;29;24;23;19;21;17;17;13;11;17;18
31;46;30;42;35;38;30;29;31;29;24;18;21;20;19;16;12;12;17
32;33;41;32;41;30;37;29;27;32;27;24;19;19;19;18;16;14;11
33;37;33;38;37;38;31;38;28;27;34;26;25;17;17;18;20;15;12
34;43;37;35;35;36;37;30;35;28;24;34;26;25;18;16;19;20;15
35;29;46;39;36;36;38;35;35;32;28;24;32;27;25;18;18;19;21
36;42;30;47;38;33;38;39;37;35;34;26;23;31;27;25;17;18;20
37;24;44;33;48;35;34;37;37;38;34;35;27;26;29;27;28;19;20
38;29;24;43;32;47;38;36;38;36;37;33;34;26;26;28;26;29;18
39;26;30;25;40;33;47;38;36;36;33;35;33;33;26;25;27;29;30
40;30;27;29;26;39;34;45;35;37;39;33;37;33;32;26;26;28;25
41;35;27;26;29;27;38;34;45;38;37;37;33;38;34;35;28;26;27
42;28;34;25;27;29;27;41;31;46;38;34;37;33;39;36;35;28;27
43;25;27;36;24;27;30;26;40;31;43;39;36;37;32;37;38;34;32
44;35;25;29;34;26;26;29;26;42;31;44;40;38;36;33;37;39;35
45;31;35;26;28;35;26;29;28;27;44;32;43;40;36;37;36;41;39
46;21;28;35;27;27;35;26;29;29;27;47;32;43;40;37;38;33;42
47;26;21;28;35;27;27;32;27;31;29;28;48;31;43;41;38;36;29
48;19;27;22;28;35;27;27;31;28;33;28;27;48;30;44;42;38;38
49;26;19;27;21;28;36;27;28;31;28;33;28;27;45;31;44;42;39
50;18;26;20;27;18;28;37;28;28;30;28;33;28;27;46;31;44;42
51;33;18;25;19;29;16;28;37;28;28;30;29;32;28;27;47;31;45
52;25;34;18;25;18;29;16;28;37;28;29;30;29;32;29;26;47;31
53;28;25;32;18;25;19;29;16;28;36;28;27;32;29;33;29;31;46
54;27;27;25;32;20;25;19;29;15;28;34;30;27;36;29;33;28;34
55;27;26;28;26;33;20;24;19;29;14;29;33;28;27;36;29;32;29
56;29;27;27;28;29;32;20;22;19;26;16;30;33;27;29;35;30;31
57;28;29;24;28;29;30;34;19;24;19;26;16;31;33;27;29;36;30
58;22;27;29;23;28;30;30;35;19;24;17;25;16;32;32;29;29;35
59;24;22;27;31;23;26;30;33;35;20;24;18;25;16;32;32;27;31
60;21;23;22;26;31;23;26;29;33;36;19;24;19;27;19;32;32;28
61;23;22;23;22;24;32;25;26;29;33;36;19;22;19;29;20;32;31
62;16;23;21;23;23;24;31;21;26;27;32;36;19;22;24;29;20;29
63;22;16;22;21;23;24;24;30;21;27;26;28;36;19;22;23;29;19
64;22;24;16;23;21;23;25;25;30;21;27;26;27;37;20;24;22;30
65;21;22;25;16;23;21;23;25;26;30;22;28;27;26;37;20;23;21
66;21;22;23;25;17;22;18;21;23;27;28;20;28;27;29;36;21;23
67;23;22;22;24;24;17;22;17;21;24;27;30;21;28;26;29;36;20
68;17;23;24;22;25;23;17;21;17;21;23;25;30;21;27;26;29;37
69;22;17;23;20;19;24;23;14;21;17;21;23;25;29;21;28;26;29
70;19;22;16;24;19;18;22;22;14;21;17;20;23;25;28;20;28;25
71;13;19;23;16;27;18;19;22;23;14;20;16;21;23;25;29;20;27
72;20;15;19;22;14;25;18;19;21;23;14;19;16;21;22;25;28;22
73;16;17;14;18;22;13;24;18;20;20;22;13;19;16;20;22;26;26
74;21;16;16;13;17;21;13;23;18;20;20;22;13;18;18;19;23;25
75;14;19;16;15;14;16;21;14;20;16;18;19;21;13;18;17;18;22
76;11;14;20;16;12;14;15;18;13;20;16;18;18;21;12;18;16;16
77;17;11;14;20;16;11;14;15;18;12;18;15;19;17;22;12;18;16
78;5;16;10;14;19;15;11;13;15;17;11;17;15;15;16;20;12;16
79;11;5;17;9;14;16;14;13;13;15;15;9;16;14;15;15;19;12
80;9;11;5;12;11;14;15;13;12;12;15;15;9;17;14;18;15;18
81;13;9;10;5;11;10;14;12;11;11;12;12;15;9;17;13;17;15
82;2;12;9;10;5;11;9;13;11;9;11;12;12;15;9;18;13;16
