"Popolazione per età, vista per singola area - Comune: 016201 - Songavazzo"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Songavazzo"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;8;8;11;9;5;7;6;10;7;9;6;3;4;2;6;4;2;4
1;4;8;8;12;9;4;7;6;9;8;9;6;4;3;1;6;3;4
2;5;3;7;7;11;7;4;7;6;10;7;9;6;5;3;1;6;4
3;8;5;3;8;7;11;7;8;7;6;11;7;9;6;4;2;1;6
4;7;8;5;4;7;7;11;7;8;7;8;11;7;10;4;4;2;1
5;7;8;7;6;4;6;7;11;8;8;7;8;12;7;8;4;4;3
6;2;7;8;8;6;4;7;9;12;8;8;8;8;12;7;9;4;5
7;8;2;7;8;10;6;4;7;9;11;8;8;8;8;12;7;8;4
8;7;9;2;9;8;10;8;4;7;9;11;8;8;8;8;12;7;8
9;1;7;7;3;9;7;10;8;4;7;10;11;8;8;7;7;12;7
10;7;2;7;7;3;9;8;10;8;5;7;10;13;7;6;8;8;12
11;3;7;2;7;9;1;10;8;10;8;6;8;10;13;7;5;8;8
12;9;3;7;2;8;9;1;10;8;10;9;7;8;11;13;7;5;8
13;3;9;3;7;2;8;10;1;10;8;10;8;7;8;10;13;7;5
14;5;4;9;3;9;2;9;10;1;10;8;8;8;7;8;10;13;7
15;3;5;4;9;4;9;2;9;10;1;10;9;8;9;5;8;10;13
16;1;3;5;4;9;4;9;2;9;10;1;9;11;8;9;5;7;10
17;2;1;3;5;4;9;4;9;2;9;10;1;9;12;9;8;4;6
18;5;3;1;3;5;3;9;4;7;4;8;10;1;9;11;9;7;4
19;5;6;4;1;4;5;3;9;4;9;4;10;10;1;9;11;9;7
20;6;7;7;5;1;4;5;3;9;5;9;4;9;10;1;9;11;10
21;6;5;7;7;3;3;4;5;4;9;5;9;4;9;10;1;9;12
22;7;6;6;7;7;3;3;4;5;3;10;5;9;4;8;11;1;10
23;7;7;6;8;4;6;3;3;3;5;3;9;6;9;4;9;10;1
24;9;8;7;6;9;5;6;4;4;3;5;6;9;6;9;4;8;10
25;9;10;6;10;7;9;6;7;4;5;3;5;7;9;8;10;3;10
26;8;8;11;6;9;8;8;6;6;4;4;5;5;6;10;6;10;3
27;12;8;9;10;7;8;8;8;7;7;5;3;6;5;5;7;2;11
28;12;14;8;10;12;8;9;8;9;4;8;6;5;4;5;4;7;5
29;10;11;15;9;11;12;8;9;10;9;4;9;6;4;4;5;3;6
30;13;10;11;16;12;10;11;9;9;8;9;4;11;5;4;6;5;3
31;12;13;10;9;17;12;10;14;9;9;8;11;5;11;6;4;5;4
32;8;12;12;8;8;15;15;10;12;9;9;8;10;5;11;6;3;5
33;8;8;10;13;6;9;17;16;10;12;9;9;9;9;6;11;6;2
34;14;9;9;14;11;8;9;15;15;9;10;7;9;9;7;6;10;6
35;6;11;10;10;14;9;10;9;14;14;9;9;7;9;10;6;6;10
36;8;7;13;13;10;14;11;10;10;15;15;10;9;6;9;11;6;6
37;12;8;6;14;13;11;13;11;11;9;14;15;12;8;6;11;10;7
38;4;12;9;7;14;16;10;14;10;10;9;15;14;12;9;6;12;10
39;9;6;14;9;7;15;16;12;15;10;10;10;16;13;11;8;6;13
40;7;10;7;18;9;8;14;16;12;15;14;11;11;15;12;11;8;8
41;13;7;9;7;18;7;12;14;16;14;16;15;11;11;14;11;11;8
42;14;12;6;9;7;18;8;13;14;18;14;15;15;8;10;15;11;10
43;8;14;13;7;11;5;17;8;13;13;18;16;15;14;9;10;16;11
44;5;8;15;13;7;11;5;17;8;13;13;18;16;14;14;9;11;17
45;12;5;8;13;12;7;11;4;12;8;13;15;18;17;15;14;8;13
46;8;11;5;8;13;12;7;12;3;11;9;13;15;17;18;15;15;8
47;3;9;11;5;7;13;12;7;12;3;11;8;14;14;17;21;14;16
48;9;3;10;11;5;7;13;12;8;11;3;12;9;14;13;17;20;14
49;6;9;3;10;13;5;7;14;12;7;11;3;13;9;12;12;17;20
50;8;6;9;3;10;13;5;7;13;12;7;10;4;14;10;13;11;17
51;15;8;6;9;3;11;12;5;7;14;12;7;10;4;14;10;14;11
52;11;15;8;6;8;3;11;12;5;7;14;12;7;10;3;14;10;15
53;11;12;16;8;6;8;3;10;12;5;7;14;12;8;10;3;14;11
54;10;10;13;15;8;6;9;3;10;12;5;7;14;12;7;10;3;14
55;12;11;9;12;16;9;7;9;3;10;13;6;8;14;12;7;10;3
56;5;11;10;10;13;17;9;6;9;3;10;12;6;8;12;11;7;10
57;9;5;11;10;11;13;16;9;6;10;3;10;12;6;8;13;11;7
58;8;9;5;12;10;10;11;16;9;6;10;3;10;12;6;8;13;11
59;5;8;9;5;12;10;8;11;15;10;6;9;3;11;11;6;8;12
60;7;6;7;9;5;12;10;8;11;15;10;6;9;2;10;12;7;8
61;6;7;6;7;8;5;11;10;8;11;15;10;6;9;5;10;11;7
62;12;6;7;6;9;8;5;11;10;9;11;16;10;7;9;6;10;11
63;5;12;8;7;5;9;8;4;11;9;9;11;16;10;7;11;6;10
64;5;6;12;8;7;5;9;7;3;11;9;9;13;17;10;7;12;6
65;5;6;6;13;7;7;4;8;6;3;10;9;9;13;17;12;7;12
66;8;5;7;6;14;7;7;4;7;6;3;10;8;9;13;16;13;10
67;6;8;5;7;6;14;7;7;4;6;6;3;10;8;9;16;16;12
68;4;6;8;4;7;6;13;7;8;4;6;6;3;11;9;8;15;15
69;14;4;6;9;4;7;7;13;7;6;4;6;6;3;11;8;7;15
70;6;14;4;6;9;4;7;5;13;7;6;4;6;6;3;11;7;8
71;6;6;10;4;6;9;4;7;5;13;7;7;4;6;6;3;11;7
72;9;6;6;10;5;6;9;4;8;5;13;6;7;4;6;6;4;11
73;8;9;6;6;10;4;5;9;4;6;5;13;5;7;4;6;6;4
74;9;8;9;6;5;10;3;5;9;4;6;5;13;5;7;5;6;6
75;2;8;8;9;6;4;10;3;4;9;3;6;5;13;5;7;5;6
76;4;3;8;8;9;5;4;10;3;4;8;3;6;5;12;5;7;5
77;5;4;3;7;8;9;3;4;8;3;4;8;3;6;5;12;5;7
78;3;5;4;3;6;8;9;3;4;8;1;4;7;3;6;5;11;5
79;6;3;5;4;3;6;8;9;2;4;8;1;5;7;3;7;5;11
80;5;6;3;4;3;3;6;8;8;3;4;8;1;4;7;3;7;5
81;5;4;6;2;4;3;3;6;7;8;3;3;7;1;4;6;3;7
82;4;5;4;5;1;3;4;3;6;7;7;3;3;7;1;4;6;3
83;0;3;5;3;5;1;3;4;3;5;7;6;3;3;5;1;4;5
84;3;0;3;4;4;5;1;3;2;3;5;7;5;3;2;5;1;4
85;0;2;0;2;4;3;5;1;3;2;3;5;7;5;3;2;4;1
86;3;0;1;0;1;4;3;4;1;3;2;3;4;7;5;2;2;4
87;1;2;0;1;0;1;4;3;4;1;3;0;3;3;7;4;2;2
88;4;1;0;0;1;0;1;4;3;4;0;3;0;4;3;7;2;2
89;0;4;1;0;0;1;0;1;3;1;1;0;3;0;4;1;5;2
90;1;0;3;1;0;0;0;0;1;2;1;1;0;4;0;4;1;5
91;0;1;0;2;1;0;0;0;0;0;2;1;0;0;3;0;3;1
92;1;0;1;0;2;1;0;0;0;0;0;2;1;0;0;3;0;3
93;0;1;0;0;0;2;1;0;0;0;0;0;3;1;0;0;3;0
94;0;0;0;0;0;0;2;1;0;0;0;0;0;3;1;0;0;3
95;0;0;0;0;0;0;0;2;1;0;0;0;0;0;3;1;0;0
96;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;1;0
97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100 e oltre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Totale;616;632;641;667;679;678;691;709;698;701;707;719;741;735;722;730;708;731
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;5;6;6;7;2;4;2;8;6;4;5;2;3;2;1;3;2;3
1;1;5;6;6;6;1;4;2;8;6;4;5;3;2;1;1;2;2
2;1;1;5;5;5;4;1;4;2;9;5;4;5;4;2;1;1;2
3;5;1;1;6;6;5;4;3;4;2;9;5;4;5;3;1;1;1
4;4;5;1;1;5;6;5;4;3;4;3;9;5;5;4;3;1;1
5;4;4;5;1;1;4;6;5;4;3;4;3;9;5;3;4;3;2
6;1;4;4;4;1;1;4;8;5;4;3;5;3;9;5;3;4;4
7;2;1;4;4;5;1;1;4;8;5;4;3;5;3;9;5;2;4
8;0;4;1;6;4;5;1;1;4;8;5;4;3;5;3;9;5;2
9;0;0;2;2;6;4;5;1;1;4;9;4;4;3;4;2;9;5
10;5;0;0;2;2;6;5;5;1;2;4;9;6;4;2;5;3;9
11;2;5;0;0;2;0;7;5;5;2;3;4;9;6;4;1;5;3
12;5;2;5;0;0;2;0;7;5;5;3;4;4;10;6;4;1;5
13;3;5;2;5;0;0;2;0;7;5;5;2;4;4;9;6;4;1
14;2;4;5;2;5;0;1;2;0;7;5;5;2;4;4;9;6;4
15;2;2;4;5;2;5;0;1;2;0;7;6;5;2;2;4;9;6
16;1;2;2;4;5;2;5;0;1;2;0;6;8;5;2;2;4;9
17;2;1;2;2;4;5;2;5;0;1;2;0;6;9;5;2;1;4
18;3;3;1;2;2;3;5;2;5;2;1;2;0;6;8;5;1;1
19;4;3;3;0;3;2;3;5;2;6;2;1;2;0;6;8;4;1
20;3;6;3;3;0;2;2;3;5;2;6;2;1;2;0;6;8;4
21;3;3;6;3;2;2;2;2;3;5;2;6;2;1;2;0;6;8
22;3;3;3;6;3;2;2;2;2;3;5;2;6;2;1;2;0;7
23;3;3;3;3;3;3;2;2;2;2;3;5;3;6;2;2;2;0
24;5;3;3;3;4;3;3;2;2;2;2;4;5;3;7;2;2;2
25;5;5;3;4;2;4;3;4;2;3;2;2;5;5;3;7;1;4
26;5;4;5;4;4;3;4;3;3;2;3;2;2;4;6;3;7;1
27;6;5;5;5;5;4;3;5;3;4;2;3;3;2;2;5;2;8
28;5;6;5;6;5;5;5;3;5;1;4;3;3;2;2;2;5;4
29;6;5;7;5;8;5;7;5;5;5;1;4;4;2;2;2;2;5
30;4;6;5;7;5;6;7;7;5;4;3;1;4;3;3;3;2;2
31;5;4;5;4;7;5;6;7;7;5;4;4;2;5;3;3;2;1
32;6;5;4;4;4;7;7;6;7;6;5;4;4;2;5;3;3;2
33;4;6;5;5;4;5;9;7;5;6;7;5;4;3;2;4;3;2
34;5;4;8;6;4;4;5;7;6;4;5;7;5;4;3;2;3;3
35;4;3;4;7;7;3;4;5;7;5;4;5;7;5;5;3;2;3
36;4;5;5;6;7;7;3;4;4;8;6;5;5;6;5;5;4;2
37;9;4;4;6;6;6;6;3;4;3;8;6;6;5;6;6;4;5
38;2;10;5;5;6;8;5;6;2;3;3;9;6;6;4;6;7;4
39;4;3;12;5;5;7;8;7;7;2;3;3;10;5;6;3;6;8
40;4;5;4;14;5;5;7;8;7;7;4;3;4;9;5;6;2;6
41;4;4;4;4;13;4;8;7;9;10;8;5;3;4;7;5;6;2
42;9;4;3;4;4;13;4;8;7;10;10;8;6;2;3;7;5;5
43;4;9;4;3;6;3;12;4;8;6;10;10;8;5;3;3;8;5
44;3;4;10;5;3;6;3;12;4;9;6;10;10;7;5;3;4;9
45;6;3;4;8;4;3;6;2;7;4;9;7;11;11;8;5;2;5
