"Popolazione per età, vista per singola area - Comune: 016224 - Valbrembo"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Valbrembo"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;54;30;48;25;35;31;27;29;42;37;41;31;38;53;45;35;42;35
1;47;59;32;49;27;32;28;27;30;43;40;42;33;42;55;45;38;43
2;45;49;61;31;52;28;37;28;27;33;44;45;45;36;42;57;43;39
3;51;42;47;60;34;50;28;39;32;29;38;40;50;44;42;39;62;46
4;28;50;41;45;62;34;47;30;44;33;29;41;39;52;45;39;39;63
5;36;26;47;37;46;58;34;46;32;45;37;29;42;42;50;42;39;37
6;45;36;25;45;41;43;56;35;45;32;48;37;32;43;40;49;41;40
7;31;46;35;23;45;41;43;59;33;48;33;45;39;34;46;38;52;42
8;31;32;43;33;23;41;40;41;58;33;49;34;47;42;32;48;38;49
9;40;30;32;42;36;22;42;40;40;60;34;50;38;48;43;33;51;38
10;49;40;30;32;42;34;23;44;40;40;61;31;50;38;50;41;31;47
11;50;47;38;30;32;40;33;23;47;42;42;64;30;54;39;51;40;31
12;32;51;45;38;30;32;40;33;30;45;44;42;66;32;51;37;50;41
13;53;32;51;45;40;29;31;42;32;29;47;46;43;66;31;48;36;49
14;46;51;31;48;43;38;27;33;45;32;32;48;46;43;66;33;47;35
15;43;47;51;35;45;41;38;27;33;45;31;31;50;47;41;62;33;46
16;37;42;46;51;35;46;40;37;30;33;47;31;31;48;48;40;61;34
17;46;35;42;44;51;35;49;41;39;30;35;49;31;33;48;47;40;61
18;43;49;35;39;43;52;34;48;42;40;33;35;48;32;36;47;44;42
19;49;41;51;34;40;45;51;35;47;43;39;35;35;47;32;34;50;45
20;32;46;39;49;33;41;45;49;35;49;45;37;33;36;49;32;34;51
21;45;33;45;38;48;36;40;39;54;36;48;43;40;33;39;44;34;34
22;43;46;32;45;38;48;32;38;41;54;39;49;43;38;35;38;44;34
23;45;47;46;30;46;38;47;32;43;38;54;41;47;45;36;34;40;43
24;38;49;42;48;29;44;44;44;33;38;41;52;43;51;43;41;39;41
