"Popolazione per età, vista per singola area - Comune: 016242 - Villongo"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Villongo"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;88;84;75;89;81;78;93;94;101;97;88;96;67;72;69;68;62;75
1;84;88;89;77;94;81;76;100;98;106;96;88;95;69;66;68;65;63
2;73;84;94;86;79;97;92;81;95;104;101;95;83;96;68;64;75;66
3;72;71;84;98;88;79;102;89;83;86;107;92;90;82;94;72;63;78
4;69;77;78;83;95;90;78;110;87;86;87;109;97;97;84;92;74;67
5;66;72;79;84;85;95;89;77;111;91;88;89;113;100;101;87;94;76
6;72;71;73;80;84;84;92;86;77;113;90;88;89;113;104;104;89;98
7;58;72;70;71;84;82;86;91;87;80;112;93;91;88;118;97;105;89
8;76;62;73;74;74;85;85;84;90;88;81;112;94;91;89;115;96;105
9;68;79;63;72;76;75;84;84;85;90;90;80;110;93;95;90;118;99
10;81;68;80;62;73;77;79;84;82;89;89;91;80;109;91;95;92;119
11;56;78;65;80;63;77;80;80;84;83;94;97;90;86;108;92;95;95
12;80;56;80;67;81;64;78;76;86;83;82;93;92;92;85;107;83;94
13;53;82;58;81;67;81;63;80;76;89;85;86;93;91;90;90;112;87
14;61;56;84;54;81;69;81;66;82;78;87;86;82;94;91;95;95;104
15;58;61;55;82;57;83;70;82;65;87;77;90;81;84;99;93;95;93
16;62;59;63;58;84;60;83;75;81;66;87;83;89;81;87;100;97;92
17;63;62;61;67;60;85;60;87;78;87;67;92;84;87;79;91;100;90
18;74;66;60;65;68;66;90;64;89;80;94;73;93;87;93;84;92;98
19;69;74;61;64;66;66;68;92;65;97;78;94;72;91;90;89;85;87
20;80;72;75;62;65;66;72;72;99;71;99;78;93;71;94;87;88;84
21;74;77;70;84;67;62;71;73;80;94;73;102;75;93;72;91;84;85
22;83;71;79;76;85;73;64;74;78;79;100;75;100;71;90;72;95;89
23;92;86;74;81;75;87;77;72;73;79;82;109;72;98;70;86;72;86
24;81;100;94;77;86;73;88;76;70;70;82;84;115;70;98;72;85;79
25;91;76;103;93;89;86;77;86;72;72;73;83;90;111;75;91;68;90
26;120;85;88;108;89;91;87;99;93;77;81;73;80;92;106;73;93;75
27;101;122;91;99;107;95;96;86;95;98;78;79;76;77;92;104;83;90
28;113;106;124;94;99;107;89;104;82;103;98;74;78;74;74;89;105;88
29;115;119;108;131;95;103;108;90;102;98;103;105;69;78;73;74;90;106
30;117;121;126;106;123;99;109;116;84;111;93;104;103;67;78;76;72;86
31;114;119;128;128;104;127;108;115;112;93;109;92;102;109;65;77;80;74
32;123;119;120;134;129;105;127;100;113;116;98;106;91;108;114;69;76;91
33;138;127;116;124;136;137;112;128;101;117;119;103;108;91;116;110;72;79
34;137;134;136;114;121;132;138;112;134;108;119;119;110;116;89;108;109;72
35;142;137;133;134;108;115;133;140;112;140;112;120;115;112;110;93;112;105
36;133;140;142;132;130;107;118;134;141;114;142;114;128;111;112;116;96;112
37;132;134;148;149;130;126;112;129;137;142;119;138;118;138;115;104;121;98
38;121;134;144;153;149;135;129;114;131;135;144;118;136;119;142;111;107;119
39;96;118;133;144;158;152;132;128;119;137;133;148;118;137;120;143;113;106
40;98;101;119;137;147;153;156;140;130;125;136;133;146;115;137;120;145;117
41;97;98;108;114;136;141;156;154;147;127;123;136;133;148;114;137;123;144
42;119;99;102;108;122;139;143;154;151;149;128;124;140;135;147;113;142;120
43;81;122;100;102;112;121;137;148;152;153;149;134;116;138;140;144;111;144
44;91;84;123;103;101;111;120;140;148;148;152;148;137;118;142;144;146;112
45;78;88;91;123;103;98;112;123;142;151;150;154;149;137;121;147;146;149
46;101;77;90;94;120;105;100;112;122;144;153;148;152;148;129;125;149;144
47;85;97;83;87;97;115;108;100;110;122;140;152;154;149;150;126;122;146
48;98;86;98;85;87;99;112;104;103;111;125;144;146;152;145;151;126;123
49;71;91;88;100;89;87;101;109;103;103;110;126;144;144;148;146;150;125
50;86;73;92;88;104;90;85;100;110;102;100;110;126;138;146;145;146;138
51;98;85;74;89;91;104;92;85;102;112;101;98;113;124;139;144;146;143
52;80;98;84;70;92;90;103;92;90;106;111;102;98;111;123;139;145;139
53;108;78;98;84;71;91;96;101;94;92;105;110;103;100;107;124;142;147
54;81;109;81;97;85;69;90;98;103;95;89;103;113;101;101;106;126;142
55;104;82;109;80;99;88;66;87;96;103;96;89;101;111;103;99;107;123
56;70;107;80;112;81;96;89;66;87;93;106;98;92;97;109;102;102;108
57;71;72;105;81;113;78;95;87;65;89;93;105;97;94;97;110;101;102
58;50;68;71;104;80;108;82;94;87;65;86;93;107;91;97;97;105;101
59;64;50;63;73;102;79;107;80;93;90;65;83;95;108;88;97;100;104
60;81;62;49;61;75;99;80;105;79;92;91;62;83;93;103;87;97;99
61;67;79;61;49;61;71;97;80;106;79;93;85;60;85;97;100;88;93
62;72;67;78;57;50;61;70;96;83;107;78;92;84;60;86;96;99;86
63;63;74;66;77;55;50;60;70;98;86;107;78;92;83;60;85;93;94
64;60;66;72;65;77;53;52;60;70;95;85;105;79;92;83;58;86;90
65;53;60;67;71;65;75;56;49;59;69;95;86;101;76;91;83;59;87
66;60;56;60;66;71;65;70;55;49;58;69;90;86;98;75;90;80;60
67;50;60;55;61;65;70;65;73;55;48;58;69;83;85;96;74;88;81
68;43;48;59;53;60;62;70;65;75;53;49;56;66;85;81;94;71;91
69;52;43;48;55;52;63;61;71;65;73;53;50;56;64;83;82;98;72
70;46;51;41;49;56;51;62;62;69;64;71;51;49;56;62;84;80;97
71;57;45;52;40;46;57;51;62;62;66;64;71;50;48;55;60;84;81
72;27;54;44;50;39;47;56;50;63;63;64;64;71;49;46;55;57;86
73;32;25;50;42;49;39;46;57;49;59;61;60;65;69;48;47;55;54
74;28;32;23;51;42;47;41;45;56;48;58;60;58;63;67;50;47;55
75;37;28;35;22;50;43;46;42;45;57;48;54;61;52;61;64;50;46
76;34;33;29;34;22;49;43;47;38;42;55;49;54;60;48;62;63;49
77;29;32;33;28;31;20;48;43;41;37;43;55;48;56;56;48;62;62
78;38;27;30;31;26;30;20;48;44;40;35;40;51;45;54;55;48;61
79;21;39;26;30;30;23;31;21;46;42;38;35;36;50;43;54;51;48
80;27;17;38;23;31;28;25;31;22;41;40;39;34;35;47;41;52;53
81;16;24;14;35;19;29;29;26;30;22;38;36;35;33;36;46;39;50
82;14;17;22;13;32;15;26;22;25;26;17;34;34;34;27;34;45;36
83;9;14;18;22;12;28;16;21;19;18;24;17;32;32;30;28;33;42
84;12;9;11;15;21;13;26;16;20;18;17;23;16;29;31;30;26;29
85;12;8;6;10;14;20;14;22;16;18;16;14;20;16;26;29;25;24
86;11;14;8;4;10;13;18;13;22;16;15;12;13;18;16;26;28;20
87;10;11;13;7;4;9;13;16;13;21;15;12;9;13;15;12;24;23
88;10;8;9;13;6;4;9;11;16;12;17;12;10;9;12;13;10;22
89;10;9;9;4;11;6;3;7;7;13;10;14;11;7;9;12;10;8
90;3;8;8;7;4;8;6;3;4;6;12;8;11;9;6;9;10;7
91;6;3;5;8;5;2;8;3;3;3;4;11;6;7;10;4;9;8
92;3;4;2;4;7;4;3;6;3;3;2;2;9;6;6;7;3;8
93;2;3;4;1;5;5;3;2;6;1;3;2;0;8;5;5;5;4
94;0;2;2;4;1;5;4;3;2;5;0;2;2;0;6;6;4;3
95;0;0;2;2;2;1;3;2;1;1;4;0;1;2;0;3;4;3
96;3;0;0;1;2;1;2;1;2;1;1;4;0;1;2;0;2;3
