"Popolazione per età, vista per singola area - Comune: 017051 - Cevo"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Cevo"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;4;2;9;5;5;6;5;3;7;6;3;5;11;4;4;8;2;7
1;7;4;1;10;4;5;5;5;3;7;6;3;5;11;4;3;8;2
2;5;7;3;1;8;4;5;5;4;3;7;6;2;5;10;5;4;8
3;7;5;7;3;1;8;4;5;5;4;3;7;6;2;4;9;4;4
4;3;7;5;7;4;3;8;4;5;5;4;3;7;6;2;2;9;4
5;6;4;7;5;6;4;3;8;4;5;5;4;3;7;6;1;3;9
6;6;6;4;7;5;6;3;3;10;4;5;4;4;3;7;6;1;3
7;5;6;5;4;7;4;6;4;3;10;4;6;4;3;3;7;6;1
8;10;5;7;6;4;7;4;7;4;3;9;4;6;4;3;3;7;6
9;11;10;5;7;6;4;7;5;7;4;3;9;4;6;4;3;3;7
10;8;11;10;5;8;6;4;6;5;7;4;3;9;4;6;4;5;3
11;11;8;12;10;5;8;6;4;6;5;7;4;3;9;5;6;4;5
12;7;11;8;12;10;5;8;5;4;6;5;7;4;3;9;4;6;4
13;5;7;10;8;12;10;3;8;5;4;6;5;7;4;3;9;4;6
14;13;5;7;10;8;12;10;3;8;5;3;6;5;7;4;3;9;5
15;11;13;5;7;10;8;12;10;3;8;5;3;6;5;7;4;3;9
16;14;11;13;5;7;10;8;12;10;3;8;5;3;6;5;7;4;4
17;3;15;11;13;5;7;10;8;11;10;3;7;5;3;6;6;7;4
18;10;3;15;11;13;5;5;9;8;10;10;3;7;5;3;8;5;7
19;14;10;2;15;11;13;4;6;9;8;11;9;3;7;5;3;6;5
20;16;14;11;3;14;11;13;4;6;10;8;11;9;3;7;4;3;5
21;13;16;13;12;1;14;11;13;4;6;10;8;12;8;3;7;4;3
22;9;13;16;12;12;1;11;11;13;4;6;10;8;13;7;4;7;4
23;14;9;13;16;11;13;1;11;11;12;4;7;10;7;12;7;4;7
24;9;14;8;14;16;11;11;2;11;10;14;4;9;11;7;12;6;4
25;5;9;15;10;12;16;11;11;2;11;9;13;4;8;11;7;10;6
26;20;8;9;15;10;11;18;12;11;2;11;8;14;4;9;11;7;10
27;19;19;6;9;13;9;11;16;12;11;2;11;7;14;4;9;11;7
28;17;18;17;6;13;11;8;10;16;10;11;2;11;7;14;3;8;10
29;14;16;20;16;8;13;9;9;11;14;9;11;2;11;6;14;2;8
30;8;15;14;22;13;7;12;11;10;11;13;9;11;2;13;6;13;2
31;13;9;16;15;22;14;6;13;11;11;12;13;8;11;2;14;5;13
32;14;11;9;14;12;19;13;6;12;9;9;10;13;9;12;2;13;5
33;14;13;12;8;14;12;17;13;6;12;8;9;10;13;9;12;3;13
