"Popolazione per età, vista per singola area - Comune: 017109 - Moniga del Garda"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Moniga del Garda"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;11;16;15;24;18;31;22;25;28;23;33;30;25;24;21;20;23;14
1;14;10;15;15;23;24;31;19;24;27;28;33;23;23;16;22;22;27
2;15;14;15;15;15;24;26;32;19;28;29;27;30;24;24;15;19;20
3;16;17;16;20;19;17;26;24;31;19;25;27;29;29;24;20;18;19
4;12;15;17;18;20;19;21;26;23;31;19;25;28;24;29;27;20;17
5;9;13;15;17;18;20;17;23;26;21;32;20;23;24;24;28;25;20
6;16;11;13;14;20;18;18;18;22;24;20;32;21;21;24;24;30;25
7;19;16;10;13;15;18;18;20;18;23;23;19;29;21;24;23;24;31
8;19;20;19;9;11;14;17;18;21;18;24;28;22;26;22;26;23;25
9;16;18;19;20;10;16;15;17;18;20;17;23;28;20;24;20;27;26
10;10;16;19;20;20;12;14;15;18;19;19;16;23;27;19;24;19;27
11;19;11;18;17;22;21;13;15;17;20;17;17;16;19;28;18;23;19
12;15;18;12;19;19;23;22;13;16;23;21;17;17;13;20;26;21;24
13;18;17;18;8;18;20;24;22;12;19;21;20;14;19;18;20;26;21
14;17;17;16;16;8;19;21;25;20;14;16;21;21;13;19;19;19;25
15;14;19;19;15;17;10;17;23;25;20;14;16;20;21;14;23;21;16
16;15;13;17;19;15;17;12;16;24;21;21;13;15;21;21;13;22;19
17;19;16;13;15;23;16;16;13;15;22;24;21;15;13;21;21;13;21
18;14;19;18;14;15;28;16;18;14;15;22;25;20;15;13;22;22;15
19;26;14;22;19;19;15;31;19;17;15;16;22;24;22;15;13;22;22
20;18;27;16;21;18;19;15;32;22;19;15;16;23;23;23;15;13;23
21;21;21;28;15;28;16;21;15;30;19;21;17;16;22;22;22;17;14
22;24;22;27;30;16;27;16;22;19;32;17;21;17;16;22;25;25;16
23;28;23;25;33;37;19;24;21;22;20;32;20;21;15;13;25;25;30
24;21;26;23;25;29;39;18;26;23;23;24;32;20;21;16;15;24;28
25;14;23;30;23;25;30;41;23;27;23;22;23;33;18;23;15;14;26
26;21;15;27;35;23;27;32;37;26;27;21;25;21;30;20;24;16;15
27;30;23;18;30;36;28;29;33;37;33;29;24;27;22;29;24;21;18
28;24;32;29;21;34;44;31;27;36;37;38;31;30;30;23;32;26;21
29;22;26;36;33;22;42;48;26;35;36;36;36;35;34;34;24;32;26
30;22;25;26;36;34;25;42;49;31;37;40;41;33;31;35;33;20;34
