"Popolazione per età, vista per singola area - Comune: 017128 - Ossimo"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Ossimo"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;21;10;14;11;9;15;9;11;7;6;10;16;10;12;11;10;7;9
1;4;20;9;14;10;10;15;8;11;6;6;11;16;11;11;11;10;7
2;14;5;22;8;14;9;9;16;9;11;7;6;11;17;11;12;10;9
3;11;14;4;21;8;14;9;9;17;9;11;7;6;11;18;11;11;8
4;14;11;14;5;21;9;13;9;9;16;8;12;8;6;10;18;12;13
5;4;14;13;14;5;23;8;14;8;9;16;8;12;8;5;11;18;10
6;15;4;14;12;13;7;24;8;14;8;9;16;7;11;7;5;11;19
7;13;15;6;14;12;13;7;24;8;14;7;9;17;7;11;7;7;11
8;10;12;15;6;12;11;13;7;22;8;14;7;9;17;8;11;8;8
9;16;9;13;16;6;12;10;13;7;22;8;15;8;9;17;8;12;7
10;17;16;10;16;17;5;11;10;12;7;23;8;15;8;9;17;8;13
11;13;15;17;9;14;16;5;10;11;13;6;23;7;15;8;9;18;8
12;12;12;17;16;9;15;16;6;10;11;13;7;23;8;15;8;10;18
13;16;13;13;17;16;10;15;17;6;10;11;13;8;23;8;15;9;9
14;11;15;13;13;16;17;10;15;17;5;10;11;14;7;23;9;15;9
15;12;13;17;11;13;17;16;10;14;17;5;11;11;14;6;23;9;15
16;9;13;12;17;11;13;17;16;10;15;17;4;12;11;14;6;24;9
17;10;9;13;12;17;11;13;17;16;11;15;18;4;11;12;14;6;24
18;18;10;9;14;12;19;11;13;17;15;11;13;16;4;11;11;13;6
19;17;17;12;9;12;10;19;11;13;17;15;12;13;16;4;11;11;13
20;15;16;17;11;9;13;10;19;11;12;17;16;12;13;16;4;13;11
21;18;14;17;17;11;9;12;10;20;12;14;17;17;12;14;15;4;13
22;19;20;14;15;17;11;9;12;11;20;12;15;17;17;12;13;15;4
23;22;19;19;12;16;18;12;9;13;13;21;12;17;18;16;13;13;14
24;21;23;21;19;13;17;18;14;9;12;13;19;13;17;18;18;13;14
25;18;19;24;20;21;13;15;19;11;9;11;14;19;14;17;18;20;14
26;18;17;19;22;22;24;15;16;19;13;8;11;14;19;14;15;17;17
27;21;17;16;18;23;21;23;18;19;18;14;8;11;13;17;12;18;18
28;30;22;17;17;18;20;23;24;16;20;16;17;10;8;12;18;11;22
29;28;31;24;18;17;21;19;23;23;16;20;19;20;10;8;12;16;12
30;35;28;32;25;19;19;21;22;25;22;17;20;17;17;9;6;11;15
31;20;36;27;30;23;23;18;20;24;25;27;18;20;19;17;10;9;10
32;23;20;34;26;34;25;20;17;18;20;22;27;19;20;18;18;9;9
33;25;26;19;38;26;33;30;20;18;21;21;21;28;19;18;20;15;8
34;25;30;25;16;38;25;34;29;21;16;20;20;22;26;18;17;20;14
35;27;25;32;22;14;37;25;30;26;21;16;20;21;21;26;18;17;22
36;30;26;25;32;25;13;37;24;31;28;22;17;20;22;22;28;16;19
37;31;30;25;25;34;26;12;36;25;28;27;23;18;20;22;20;28;14
38;26;28;29;28;25;33;27;12;34;24;28;27;25;17;19;20;18;28
39;27;26;28;29;28;27;33;23;15;33;24;28;27;22;16;18;17;22
40;20;26;27;29;28;27;27;33;24;15;35;23;27;26;23;19;19;16
41;26;19;29;26;29;28;27;24;32;25;15;35;23;28;27;22;19;18
42;22;25;21;29;28;29;28;29;26;33;25;13;36;24;27;27;21;19
43;19;22;26;21;28;31;30;28;30;26;30;26;14;36;24;26;29;23
44;17;17;22;24;21;28;32;28;27;26;27;27;25;15;38;23;26;28
45;18;17;18;23;24;23;28;32;29;27;24;28;23;25;16;37;25;26
46;22;18;20;17;22;26;24;26;34;29;24;24;25;24;25;17;35;23
47;19;20;18;21;18;24;26;24;26;35;28;23;23;25;26;25;17;36
48;16;18;21;17;21;19;24;27;25;26;35;28;25;21;24;26;25;17
