"Popolazione per età, vista per singola area - Comune: 017160 - Remedello"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Remedello"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;29;33;30;35;32;31;30;44;48;34;35;31;31;41;39;29;22;36
1;18;33;35;31;35;31;35;35;45;47;32;34;35;29;42;36;33;26
2;25;18;35;32;33;34;30;38;33;47;48;34;33;32;31;41;40;30
3;36;26;18;37;33;37;39;31;38;34;42;47;31;34;32;31;41;40
4;37;36;25;19;38;29;39;40;31;41;35;40;49;31;40;29;34;41
5;29;38;38;29;21;39;29;40;42;32;42;32;37;46;33;39;34;33
6;32;29;39;38;28;21;36;30;40;41;31;44;33;41;49;31;40;36
7;31;32;31;38;40;28;27;36;30;34;43;28;44;35;45;48;34;39
8;39;30;31;30;33;39;30;27;36;28;33;42;27;41;37;41;50;35
9;34;41;31;32;33;34;40;31;25;34;27;31;42;28;41;34;41;51
10;36;36;43;31;34;32;35;42;33;25;34;27;29;43;29;40;35;40
11;24;36;37;42;33;36;34;37;43;31;27;32;27;31;40;30;41;35
12;31;22;37;35;42;34;38;33;36;42;31;25;31;29;35;37;31;41
13;38;36;22;37;34;42;36;37;32;35;40;30;25;34;32;38;39;29
14;26;39;37;22;39;38;40;33;37;32;32;41;30;27;34;31;39;43
15;21;29;40;36;22;43;38;41;36;38;33;32;42;32;26;31;31;37
16;34;21;33;41;36;22;45;38;41;38;37;33;32;41;30;25;36;30
17;48;35;24;32;42;39;24;48;38;42;38;37;33;31;42;28;25;36
18;32;46;37;27;33;40;38;27;47;38;43;37;37;32;32;39;30;27
19;35;31;48;36;28;37;39;38;29;47;38;44;36;35;35;32;40;31
20;33;35;31;47;35;29;39;41;42;28;48;39;41;35;37;32;32;42
21;30;32;37;30;47;35;25;42;43;40;28;48;41;42;32;36;34;31
22;34;31;37;33;28;47;33;31;44;45;40;29;50;41;39;32;35;33
23;36;37;30;37;33;29;48;33;32;41;45;40;31;48;42;43;34;38
24;47;40;34;32;37;39;30;53;34;37;41;50;41;32;48;43;40;34
25;38;46;40;38;39;35;43;38;54;35;36;38;53;38;34;45;46;42
26;44;41;49;36;35;36;38;49;40;56;40;34;40;47;30;34;45;50
27;45;43;51;58;42;35;41;41;47;42;57;39;28;41;48;31;34;42
28;41;46;49;56;62;42;41;44;41;47;46;56;33;27;40;50;32;35
29;53;45;50;50;59;61;42;44;42;41;49;45;55;31;30;37;47;35
30;63;52;54;48;54;55;61;43;47;41;43;50;46;54;34;31;37;44
31;56;64;56;57;58;54;56;56;43;43;38;42;50;45;53;35;30;37
32;53;60;64;55;62;59;51;58;58;39;46;38;45;52;44;54;41;33
33;40;57;65;65;57;61;55;49;50;55;41;47;41;43;55;40;57;38
34;45;43;55;58;62;56;60;58;48;48;52;37;49;41;47;54;42;51
35;52;47;44;53;61;54;61;60;58;47;46;48;35;48;39;48;51;40
36;61;49;52;39;52;63;55;61;59;56;49;46;45;35;49;38;47;48
37;36;64;55;55;48;57;65;53;60;53;54;47;46;45;36;46;38;45
38;41;36;67;55;55;48;62;64;56;60;51;52;46;45;48;34;47;42
39;41;40;41;67;57;56;54;62;63;56;61;52;50;46;46;47;42;45
40;54;39;40;40;65;59;58;54;56;65;57;62;55;49;46;45;47;42
41;46;54;40;42;40;60;60;59;52;56;64;54;61;51;55;44;45;46
42;56;44;57;42;38;39;60;56;58;49;54;60;54;60;57;51;47;46
43;44;56;46;59;42;40;42;62;57;54;52;54;61;53;62;55;52;47
44;38;40;56;44;59;42;42;41;61;53;55;52;50;60;51;64;54;51
45;53;40;41;54;42;62;43;41;43;61;50;55;53;51;62;50;62;52
46;32;53;41;45;55;43;61;44;41;40;61;50;55;53;51;56;52;60
