"Popolazione per età, vista per singola area - Comune: 018062 - Ferrera Erbognone"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Ferrera Erbognone"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;12;8;13;8;4;9;7;9;7;4;6;11;9;7;11;10;9;4
1;8;13;8;13;8;5;7;7;9;7;4;6;10;8;8;9;9;9
2;4;8;11;11;14;10;6;7;9;10;7;4;6;10;9;9;7;9
3;10;3;6;12;11;15;9;6;7;8;10;8;3;6;11;10;9;8
4;6;10;3;7;11;13;14;7;6;11;7;11;8;3;6;11;9;9
5;10;5;10;3;9;12;14;14;7;6;11;10;8;10;5;6;12;8
6;12;11;5;9;3;8;14;14;14;7;5;13;11;9;9;5;6;12
7;5;12;10;5;10;4;9;14;16;12;6;5;13;10;9;10;6;7
8;10;3;14;12;5;9;5;9;15;15;14;6;5;12;8;8;11;5
9;6;8;4;14;13;7;10;5;9;12;14;14;7;5;12;8;6;11
10;9;5;8;5;14;13;6;10;4;10;12;14;14;8;5;12;9;8
11;11;9;6;8;6;12;10;4;10;4;7;12;15;13;9;5;11;8
12;14;12;10;8;8;5;12;10;4;10;4;8;12;14;15;9;5;10
13;9;15;12;10;8;8;5;11;10;4;11;4;10;12;15;14;9;5
14;9;9;18;11;10;8;8;5;10;10;5;11;3;10;13;17;14;10
15;14;9;9;18;13;11;7;7;5;10;10;6;11;3;9;11;16;13
16;10;14;8;7;18;14;11;7;7;7;11;11;6;12;5;10;10;15
17;6;11;14;7;7;18;13;10;7;7;7;11;11;6;12;4;10;10
18;14;5;10;14;8;9;17;13;11;7;6;7;12;11;6;13;5;11
19;12;14;7;10;15;8;11;16;12;12;8;6;6;13;12;11;12;5
20;9;12;15;7;10;16;13;12;16;12;12;7;6;5;14;12;8;13
21;8;10;11;16;7;11;17;14;12;19;13;12;7;6;10;16;12;6
22;9;8;8;10;15;7;14;16;17;11;19;12;10;8;7;10;16;11
23;13;12;9;8;12;14;7;14;17;19;12;19;12;9;9;8;9;12
24;10;13;12;13;9;12;11;9;14;18;20;12;23;14;11;9;10;10
25;15;13;14;12;12;10;16;12;8;11;18;22;11;22;15;13;9;8
26;17;13;11;15;10;11;10;18;11;10;11;18;21;12;23;12;13;8
27;9;18;13;11;17;7;12;10;21;10;12;14;18;22;13;19;13;13
28;13;9;15;16;11;17;8;12;10;21;11;11;14;21;24;13;17;15
29;16;15;9;16;17;12;19;11;14;13;23;12;12;15;20;21;11;16
30;17;15;14;8;17;19;20;20;11;15;14;23;14;12;9;19;20;11
31;14;17;17;12;10;16;20;20;21;13;18;18;26;16;14;11;18;17
32;18;12;17;23;12;9;12;16;22;20;12;22;18;23;16;14;8;19
33;13;20;13;15;17;8;10;12;17;23;17;14;22;19;22;13;16;9
34;17;13;21;16;15;19;7;15;14;16;20;19;11;20;18;20;8;16
35;23;18;15;28;17;13;18;10;15;14;15;20;16;11;20;16;16;10
36;18;23;18;21;23;15;14;16;13;15;14;16;19;16;12;23;13;18
37;24;19;23;17;23;20;14;10;17;12;18;13;14;17;16;13;18;13
38;15;23;20;24;17;24;18;14;10;15;13;18;15;15;19;19;13;17
39;21;15;22;21;24;13;22;19;17;12;16;12;21;16;14;22;15;13
40;14;21;16;24;20;23;14;22;19;17;13;17;12;18;20;13;19;18
41;14;15;22;15;25;21;24;12;19;19;19;12;17;10;20;20;14;18
42;17;15;16;23;15;25;17;25;14;17;17;18;11;18;12;21;20;13
43;16;14;17;17;24;16;23;15;27;13;18;18;19;11;18;16;17;20
44;19;16;14;19;17;25;16;24;15;25;13;17;17;19;11;16;15;16
45;10;17;15;15;17;16;23;16;23;15;24;15;19;18;21;11;16;15
46;21;11;18;14;15;19;16;20;17;23;16;30;15;19;19;20;12;15
47;10;23;11;19;14;18;17;15;20;17;24;16;30;17;20;18;18;12
48;16;10;23;11;19;14;18;17;15;20;17;24;19;30;17;18;17;18
49;10;17;11;22;11;20;16;17;17;17;20;17;24;19;31;16;15;18
50;12;10;18;11;21;9;21;16;17;18;17;21;16;23;19;30;12;15
51;18;10;11;19;10;22;9;20;17;17;17;18;23;15;23;20;27;12
52;15;18;10;8;17;9;21;9;19;17;16;19;17;23;16;25;21;27
53;18;15;17;10;8;17;11;23;9;20;16;15;20;16;21;18;22;19
54;15;18;14;17;10;8;17;10;21;9;20;13;15;20;14;25;16;22
55;8;15;18;14;18;10;9;18;12;21;9;21;14;15;19;14;25;17
56;8;8;15;19;14;16;10;11;18;11;20;10;20;13;16;18;13;28
57;10;7;8;16;19;15;16;10;11;18;11;20;9;18;12;17;17;12
58;18;10;7;8;16;19;16;16;10;11;17;12;19;9;17;12;17;16
59;16;18;11;7;6;16;18;15;16;10;11;18;11;19;10;17;12;17
60;5;16;18;11;7;6;16;17;15;16;10;11;18;11;20;12;16;14
61;21;5;16;15;11;7;6;15;17;16;15;10;10;18;12;20;12;16
62;12;21;5;16;14;13;7;6;15;16;16;15;11;10;19;12;19;12
