"Popolazione per età, vista per singola area - Comune: 018111 - Pietra de' Giorgi"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Pietra de' Giorgi"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;5;4;2;8;4;7;6;13;7;4;3;5;4;6;4;9;4;5
1;9;5;4;2;7;4;7;7;12;8;4;4;4;2;7;4;8;5
2;8;8;5;5;3;9;5;7;6;12;9;4;4;5;4;7;4;8
3;7;8;9;5;7;4;10;6;8;6;12;8;5;6;4;4;6;4
4;6;6;7;8;6;7;4;9;5;9;6;14;7;5;6;4;6;7
5;3;6;6;7;9;5;7;4;8;5;9;7;12;9;5;6;4;6
6;5;4;8;6;6;9;5;5;5;11;5;11;7;12;9;5;6;3
7;4;5;3;6;6;6;10;6;5;5;10;5;9;7;11;8;5;6
8;7;2;5;4;5;5;9;10;6;5;5;11;5;8;7;10;8;4
9;5;7;2;5;2;6;7;10;10;7;5;5;8;5;8;6;8;6
10;6;5;8;3;5;1;7;7;10;9;7;5;4;8;5;8;7;8
11;9;6;5;7;3;5;1;6;7;13;10;7;5;4;8;5;9;7
12;4;9;6;4;8;5;5;2;6;7;11;9;7;5;4;7;6;9
13;8;4;9;6;4;9;7;6;2;5;7;10;9;6;5;4;7;5
14;7;8;3;9;8;3;10;7;6;4;6;7;8;9;6;5;3;7
15;0;7;8;4;10;8;4;12;7;6;4;7;5;7;9;6;5;2
16;3;1;6;8;7;9;10;6;12;5;6;5;7;5;7;9;7;5
17;5;3;3;6;7;9;9;10;6;13;7;6;4;5;5;7;9;7
18;4;5;4;3;6;8;8;9;9;6;13;7;6;4;5;5;7;9
19;2;4;4;4;3;6;9;9;9;8;6;15;8;6;4;5;5;6
20;6;2;4;4;5;2;9;9;9;8;8;6;16;9;6;3;5;6
21;11;5;2;4;4;7;1;7;8;9;8;8;6;15;9;6;2;6
22;12;9;5;2;5;4;6;1;7;11;9;8;8;6;16;10;7;3
23;5;12;9;5;2;5;5;9;2;7;11;10;11;7;6;15;8;6
24;8;4;12;9;5;2;7;6;9;3;8;11;12;11;7;5;19;7
25;15;9;4;10;8;7;4;7;7;11;2;8;12;10;9;6;5;15
26;10;14;8;3;13;6;7;4;7;8;10;3;7;12;10;9;6;5
27;11;11;16;9;3;16;6;7;3;7;8;11;3;6;12;7;11;6
28;11;11;13;14;11;4;15;7;7;3;6;9;8;3;7;11;7;8
29;13;9;11;14;16;12;3;16;8;7;3;6;9;7;6;8;10;7
30;10;16;8;12;12;17;10;4;16;8;6;6;7;12;9;6;9;11
31;10;10;17;12;17;14;19;9;4;15;8;8;8;8;11;5;6;9
32;12;12;13;17;13;18;14;17;7;4;14;8;8;8;7;10;9;6
33;13;14;13;11;21;12;19;16;16;6;4;12;7;8;6;8;9;10
