"Popolazione per età, vista per singola area - Comune: 018169 - Valle Salimbene"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Valle Salimbene"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;9;11;16;8;11;9;16;11;11;11;10;12;12;3;9;7;8;10
1;10;11;9;16;9;13;6;19;12;12;10;8;11;8;3;10;7;9
2;4;12;10;12;13;6;14;6;17;12;12;10;9;9;11;8;11;7
3;12;6;13;11;12;13;5;10;6;16;13;12;9;9;8;10;11;15
4;10;13;5;13;11;14;13;7;10;7;17;13;13;9;9;8;8;12
5;20;9;13;6;13;10;13;14;8;11;9;15;12;12;11;10;8;6
6;6;18;9;12;6;10;12;12;13;8;13;8;17;11;11;12;11;8
7;11;7;19;11;14;7;9;11;12;14;8;9;8;16;10;11;11;9
8;13;12;8;19;11;17;9;8;10;13;18;9;7;8;14;10;9;11
9;10;13;13;8;20;10;17;8;10;10;14;18;9;8;8;14;12;8
10;14;9;13;13;9;21;11;15;8;12;10;13;19;9;8;8;14;12
11;11;14;8;13;13;8;21;12;15;7;15;10;14;16;9;8;8;14
12;19;13;15;10;13;13;10;20;12;15;8;16;11;14;15;7;8;8
13;13;20;11;15;12;13;14;10;20;12;15;8;14;11;15;13;5;7
14;9;13;22;11;15;12;15;13;10;19;12;14;7;14;11;15;13;7
15;15;9;14;21;10;16;13;14;13;10;20;11;14;6;15;11;14;12
16;18;16;10;13;21;9;17;13;14;13;10;20;12;14;4;14;10;14
17;9;18;16;10;14;22;9;16;13;15;14;10;20;11;16;2;16;10
18;10;10;19;16;10;13;23;9;16;13;16;15;9;22;11;16;3;16
19;15;12;11;19;18;10;15;24;8;16;13;15;14;9;22;10;15;7
20;16;14;13;12;17;21;10;15;23;8;17;12;16;15;10;22;10;15
21;16;15;15;13;13;17;23;11;14;23;8;18;12;16;15;11;22;10
22;17;14;13;15;14;12;17;22;10;14;23;7;18;11;17;14;10;25
23;15;15;13;13;16;14;13;16;22;11;13;22;8;15;13;18;15;8
24;24;15;14;15;13;15;13;12;19;22;11;15;22;6;13;13;18;14
25;11;24;13;15;17;14;17;12;11;20;20;11;13;20;9;15;13;17
26;24;10;24;14;14;17;11;18;13;11;21;20;11;12;19;8;18;13
27;12;19;5;23;12;12;16;12;17;14;13;19;18;11;17;13;8;19
28;22;11;19;4;25;11;13;17;16;16;16;15;20;16;12;15;16;10
29;11;20;13;20;1;20;11;14;15;16;15;16;13;16;18;13;15;17
30;25;9;17;11;21;3;15;11;15;12;17;14;15;17;14;23;11;15
31;21;28;10;16;13;21;5;17;13;14;11;17;12;16;16;13;26;10
