"Popolazione per età, vista per singola area - Comune: 019053 - Isola Dovarese"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Isola Dovarese"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;10;13;11;11;16;11;11;19;11;8;10;7;6;7;5;10;2;3
1;8;11;14;11;9;16;12;11;17;11;9;9;7;5;6;6;11;3
2;11;8;12;14;11;11;16;12;11;18;11;9;8;7;5;6;5;10
3;9;10;8;11;13;12;10;17;13;12;18;10;9;8;7;8;6;5
4;4;11;10;9;11;15;11;8;17;13;11;19;9;9;8;7;8;6
5;7;4;12;10;9;11;15;10;7;15;13;12;18;8;9;8;7;8
6;8;7;4;10;9;9;11;15;9;7;14;14;12;18;8;10;9;8
7;9;8;7;4;10;10;8;10;13;9;7;14;13;12;17;8;10;9
8;8;9;8;7;4;10;10;8;10;12;9;7;13;13;12;17;8;11
9;11;8;9;8;7;5;10;10;8;10;12;8;6;13;14;11;17;8
10;8;11;8;7;8;7;4;9;8;9;10;12;8;6;12;13;11;18
11;6;8;11;8;7;10;7;3;9;8;9;12;13;7;6;14;13;11
12;10;5;10;11;8;7;10;7;3;10;8;9;12;13;7;6;15;13
13;6;10;4;10;12;8;7;9;7;4;10;8;10;12;12;7;6;14
14;4;5;11;5;10;12;8;7;8;8;4;9;7;8;12;12;7;6
15;8;4;5;11;5;11;12;8;7;9;8;4;8;7;8;11;12;7
16;14;10;5;6;11;5;10;12;8;7;9;8;4;8;7;8;11;13
17;11;14;10;5;6;11;5;10;12;8;7;9;8;4;8;7;8;11
18;5;11;14;14;6;6;11;4;10;13;8;7;8;8;4;8;7;9
19;11;6;10;14;13;6;6;10;4;10;13;8;8;8;7;4;9;6
20;4;10;6;10;15;11;5;6;11;6;10;14;8;8;8;7;4;8
21;14;4;10;7;10;15;14;5;8;11;6;9;15;8;8;8;7;4
22;9;15;4;11;6;10;15;13;5;7;11;7;8;15;8;8;8;8
23;10;12;14;4;14;4;11;15;13;5;7;8;7;10;15;8;8;8
24;11;11;11;13;5;14;6;11;15;12;6;7;9;7;9;14;10;9
25;12;12;10;11;12;6;13;7;12;13;10;7;6;8;7;10;15;10
26;11;13;13;9;12;12;6;12;8;12;13;10;5;6;7;7;12;14
27;21;13;17;14;5;12;10;5;12;8;12;14;13;8;6;8;6;13
28;15;22;15;17;10;5;7;10;6;11;8;14;12;12;8;8;9;7
29;26;14;21;12;16;13;8;8;9;6;11;9;13;12;10;9;9;8
30;21;25;15;17;13;19;16;9;8;9;9;11;8;14;12;9;10;9
31;24;22;29;15;20;13;16;15;12;8;10;8;11;8;12;14;11;8
32;23;24;27;23;17;18;15;15;12;13;9;11;9;10;8;12;13;11
33;18;23;21;24;19;16;20;14;13;13;14;8;10;7;10;9;10;13
34;27;18;22;24;19;17;15;19;14;16;14;15;7;8;7;7;8;14
35;25;27;17;23;23;20;17;13;16;16;14;15;15;8;8;8;7;6
36;11;21;28;20;21;24;20;16;14;16;16;13;14;14;8;10;8;9
37;18;13;22;27;20;23;23;21;18;14;18;14;12;14;14;7;9;7
38;21;19;13;25;27;19;22;21;23;19;13;19;12;11;13;14;8;12
39;19;21;21;14;24;28;20;21;22;23;19;13;18;12;12;13;16;9
40;10;19;21;19;13;28;30;20;20;22;22;19;16;18;11;12;13;16
41;15;10;20;22;19;15;28;29;19;20;23;22;19;18;16;11;14;14
42;19;15;10;22;21;22;16;27;28;20;20;23;21;19;17;17;12;13
43;9;20;13;10;22;23;20;17;27;30;20;20;22;20;18;15;17;14
44;15;7;20;13;12;22;22;16;16;27;31;21;19;21;20;19;15;18
45;7;15;7;21;14;11;21;20;15;14;28;30;21;19;20;20;20;16
46;16;8;18;7;20;15;11;21;20;17;15;28;31;21;21;19;20;20
47;14;17;9;19;8;19;15;12;21;20;18;16;27;27;20;21;19;19
48;22;14;17;9;20;7;19;15;13;22;20;19;14;28;26;18;20;20
49;12;20;15;15;10;18;8;20;13;11;23;19;19;14;28;26;18;21
50;9;14;20;15;15;8;18;9;20;13;11;23;17;19;14;28;25;21
51;18;10;14;20;14;15;8;18;9;19;13;11;23;17;19;13;28;23
52;15;18;11;14;20;14;14;8;15;9;19;13;10;22;17;19;13;28
53;20;16;18;10;14;20;15;14;8;15;9;19;13;10;22;17;19;13
54;14;20;15;19;10;14;20;15;14;8;15;9;20;13;10;22;17;20
55;22;15;20;15;19;10;14;20;15;14;8;15;9;21;14;10;22;17
56;11;22;17;20;15;18;10;14;20;13;14;8;14;9;21;14;10;23
57;26;11;23;17;21;14;18;10;15;20;13;16;8;14;9;21;14;10
58;17;25;13;21;17;20;14;16;11;13;20;13;16;8;14;9;21;15
59;15;17;26;12;21;17;20;14;17;11;14;20;13;16;8;14;9;23
60;21;14;17;24;12;20;17;20;14;17;11;14;20;13;15;7;14;9
61;19;21;14;17;23;12;19;16;21;14;17;11;13;20;13;15;7;14
62;14;17;25;15;15;22;12;19;16;21;14;16;11;13;21;13;15;8
63;32;15;19;25;15;15;23;12;20;16;21;15;16;11;13;21;15;14
64;19;32;14;19;25;15;15;23;11;20;16;21;15;17;12;13;21;14
65;15;18;31;14;18;26;15;16;23;11;20;18;21;14;17;12;13;21
66;18;15;18;31;14;19;27;16;16;23;12;20;18;20;14;17;12;13
67;16;18;16;18;31;14;19;26;15;16;24;12;20;18;19;14;18;10
68;22;16;18;14;18;29;14;16;26;15;15;24;12;19;18;19;14;18
69;12;23;16;20;14;17;29;14;16;24;17;14;24;12;19;18;19;14
70;13;11;24;17;20;14;17;29;14;16;24;16;14;24;12;19;18;19
71;13;14;10;23;17;18;14;17;28;15;16;25;16;13;23;12;19;17
72;13;13;15;11;20;18;16;14;17;26;16;16;24;16;13;23;12;18
73;19;12;13;15;12;19;17;17;14;15;25;15;15;23;15;13;23;11
74;16;18;12;14;15;11;19;16;16;14;15;25;15;14;23;14;13;23
75;15;16;18;12;13;14;11;19;15;13;14;16;24;15;13;23;16;12
76;11;13;15;20;12;13;14;11;17;15;13;13;17;24;14;13;23;12
77;8;10;13;15;20;11;14;13;12;17;14;12;13;17;20;13;13;23
78;13;10;10;13;12;19;8;13;10;13;17;14;13;14;14;18;11;14
79;11;14;10;10;13;11;19;6;12;10;12;17;14;13;13;14;18;11
80;13;11;14;9;12;13;11;17;6;12;11;12;15;12;13;13;14;15
81;12;12;10;8;7;11;12;12;17;9;12;10;12;14;14;14;15;14
82;10;13;9;9;9;7;11;12;12;16;9;11;10;14;16;13;13;14
83;2;8;13;8;8;9;5;11;11;12;17;9;10;10;12;13;10;11
84;9;1;8;11;10;7;11;7;10;12;12;14;7;10;9;11;13;9
85;2;6;1;6;10;8;6;8;6;10;11;13;12;6;10;9;11;10
86;6;2;6;1;6;11;8;6;5;7;8;11;13;11;6;8;9;8
87;6;6;2;6;2;4;9;7;7;6;6;7;9;12;9;5;8;9
88;7;6;6;1;8;2;6;8;5;5;2;7;7;9;9;9;5;7
89;9;6;5;4;1;8;1;3;9;5;4;2;7;5;6;8;7;5
90;7;5;7;7;3;1;7;1;3;7;4;4;2;6;6;6;9;7
91;1;5;5;7;7;3;1;5;1;3;8;6;3;2;5;6;7;9
92;5;2;4;4;4;7;3;1;5;1;2;8;5;3;2;3;6;6
93;1;5;1;4;4;2;5;2;1;3;1;2;8;4;3;2;3;5
94;3;1;5;1;2;4;4;6;2;0;3;1;1;6;3;3;1;3
95;3;1;1;4;1;2;4;2;2;3;0;3;1;0;2;5;2;1
96;0;3;0;0;4;0;1;1;1;2;2;0;3;1;0;1;5;2
97;0;0;3;0;0;3;0;1;0;0;2;1;0;3;1;0;0;2
98;0;0;0;3;0;0;2;0;1;0;0;0;1;0;1;1;0;0
99;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;1;1;0
100 e oltre;0;0;0;0;0;1;1;0;2;2;2;1;0;0;0;0;0;0
Totale;1230;1238;1274;1266;1257;1262;1261;1234;1218;1223;1235;1241;1212;1194;1157;1158;1169;1162
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;6;5;5;5;8;6;6;8;5;6;5;6;5;4;2;8;0;1
1;5;6;5;4;3;8;8;6;8;5;6;4;6;4;4;2;8;1
2;8;5;7;5;4;5;8;8;6;7;5;6;4;6;4;4;1;8
3;5;7;4;7;5;5;5;8;9;7;7;4;6;4;6;6;4;1
4;1;5;8;5;7;7;4;3;8;9;6;7;3;6;4;6;6;4
5;6;1;4;8;5;7;7;3;2;8;9;7;7;3;6;4;6;6
6;5;6;1;4;7;6;7;7;4;2;8;10;7;7;3;7;4;7
7;3;4;6;1;4;8;5;7;6;4;2;8;9;7;7;3;7;4
8;4;3;4;5;1;4;9;5;7;5;4;2;8;9;7;7;3;8
9;6;4;3;4;5;2;4;9;5;7;5;4;2;8;10;7;7;3
10;5;6;4;3;4;5;1;4;7;5;7;5;4;2;8;10;7;7
11;4;5;6;4;3;6;5;1;4;7;5;8;5;4;2;10;9;7
12;2;4;5;6;4;3;6;5;1;4;7;6;8;5;4;2;11;9
13;5;2;3;5;6;4;3;6;5;1;4;7;7;8;5;4;2;10
14;1;4;2;4;5;6;4;3;6;6;1;3;6;5;8;5;4;2
15;2;1;4;3;4;6;6;4;3;6;6;1;3;6;5;8;5;3
16;8;2;2;4;3;4;6;6;4;3;6;6;1;3;6;5;8;6
17;4;8;2;2;4;3;4;6;6;4;3;6;6;1;3;6;5;8
18;3;4;8;2;2;4;3;4;6;6;4;3;5;6;1;3;6;6
