"Popolazione per età, vista per singola area - Comune: 019059 - Montodine"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Montodine"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;22;25;22;17;22;20;35;19;39;31;32;27;21;22;28;13;14;18
1;16;22;25;23;17;24;20;35;19;38;32;32;23;18;20;29;14;15
2;23;15;23;24;24;21;24;19;37;19;36;32;30;25;18;19;26;16
3;21;22;12;22;23;27;20;25;20;36;20;36;34;26;24;20;19;26
4;19;21;22;12;23;23;32;23;25;20;37;18;34;34;25;24;20;20
5;9;19;22;24;15;25;21;33;20;25;21;35;18;35;34;23;21;20
6;18;6;19;24;27;18;26;21;33;19;23;20;35;19;33;33;23;20
7;18;18;6;19;23;26;20;26;24;33;18;20;22;35;19;33;32;23
8;13;18;16;7;22;22;27;25;26;25;32;19;19;21;34;19;31;31
9;21;13;17;17;7;25;23;26;24;25;24;32;19;19;18;33;19;32
10;23;20;13;17;17;8;26;24;27;23;25;22;32;18;19;19;33;19
11;16;21;20;12;19;17;8;25;22;25;23;25;20;31;18;19;21;32
12;27;16;21;20;14;20;17;9;24;22;24;24;24;20;31;18;20;20
13;20;27;16;21;20;13;20;18;9;24;24;24;21;24;22;31;18;20
14;14;21;27;15;23;23;14;20;18;8;25;25;23;20;25;22;33;17
15;23;15;20;27;15;23;24;16;20;18;9;24;23;24;20;25;20;31
16;18;25;15;20;27;15;22;24;17;20;18;9;22;23;24;21;26;20
17;25;20;25;15;26;27;16;22;23;18;21;18;7;20;23;23;20;26
18;30;25;20;24;19;26;28;18;23;26;18;20;21;7;21;22;23;19
19;23;30;25;20;24;20;26;31;17;26;24;17;21;21;7;21;23;24
20;20;20;30;27;20;25;18;24;29;18;26;25;17;23;20;7;22;27
21;30;20;20;30;28;20;25;22;24;31;19;26;23;17;22;20;8;23
22;26;28;20;23;30;28;20;25;24;24;30;19;26;24;16;22;20;13
23;37;27;27;19;25;33;29;23;24;24;23;30;19;26;23;16;22;20
24;28;37;26;29;18;27;37;30;27;25;26;24;29;19;28;23;16;24
25;29;30;38;28;29;23;28;43;29;27;31;24;25;29;19;29;23;19
26;38;28;36;38;30;33;30;30;43;31;27;28;25;27;28;20;25;28
27;29;41;32;35;33;31;35;30;31;44;32;26;29;26;27;28;23;24
28;34;28;42;36;37;37;35;40;34;28;47;33;27;30;26;28;28;23
29;36;33;34;45;36;43;39;39;42;33;30;42;36;25;33;27;28;28
30;32;34;36;38;50;34;42;49;40;43;29;33;47;37;25;33;27;26
31;35;30;34;42;36;58;34;44;49;41;43;27;34;46;36;28;32;25
32;41;31;35;38;43;40;58;35;40;49;37;43;32;32;42;34;27;31
33;32;39;32;37;36;42;42;60;38;39;45;35;41;29;31;42;32;31
34;36;33;37;31;38;38;41;44;56;38;40;44;33;37;30;34;39;33
35;46;32;32;40;31;40;41;40;46;52;38;38;44;34;38;34;33;38
36;36;46;34;29;39;31;41;44;43;46;52;41;34;41;31;40;31;33
37;28;35;46;33;29;42;31;40;44;46;49;51;37;33;40;31;41;27
38;42;25;35;45;37;30;44;32;38;47;46;50;51;36;33;38;27;39
39;33;42;25;40;46;41;31;44;32;38;47;43;45;51;37;35;40;25
40;37;34;43;28;40;52;42;34;45;37;38;50;40;45;51;36;33;40
41;29;36;37;42;34;40;50;44;33;47;37;37;51;40;45;50;34;34
42;34;31;38;37;42;31;42;51;43;35;45;37;35;51;41;42;51;34
43;40;34;31;39;38;45;30;40;50;45;34;46;36;34;49;39;42;51
44;28;40;34;29;42;38;48;32;39;51;41;34;46;35;33;47;39;43
45;33;29;41;33;29;43;41;49;32;41;52;43;33;48;34;31;49;39
46;35;35;29;39;33;29;41;44;48;34;38;51;41;33;48;34;32;48
47;29;34;35;28;40;31;30;41;44;48;35;39;51;41;34;49;31;32
48;28;29;33;37;29;41;34;32;43;44;51;34;40;49;40;34;48;31
49;32;28;29;32;36;31;40;35;32;44;44;50;34;41;48;40;34;46
50;31;31;29;30;32;36;32;40;37;33;44;43;51;33;42;48;42;31
51;31;31;31;29;30;33;38;34;41;37;33;46;42;52;33;39;48;41
52;38;32;31;33;28;30;34;40;35;41;37;35;45;41;53;33;38;47
53;35;38;31;32;32;28;29;37;40;32;41;38;34;43;40;49;34;40
54;27;34;38;32;32;33;28;29;38;39;31;41;37;34;45;39;48;36
55;30;27;35;40;32;33;33;30;31;35;38;33;42;37;37;43;37;48
56;24;30;27;38;40;31;35;34;30;31;34;40;32;44;37;38;41;38
57;27;24;30;27;41;38;32;34;35;30;33;34;37;31;45;38;38;40
58;20;27;23;31;29;41;38;33;34;37;30;33;33;38;31;43;39;35
59;29;19;27;23;31;29;43;37;34;35;36;29;33;33;38;32;43;39
60;33;29;19;27;23;31;30;41;37;34;35;33;29;33;33;39;32;44
61;23;33;27;19;27;23;30;31;42;35;33;35;32;28;32;34;40;32
62;29;23;33;28;19;26;22;30;30;41;34;33;35;31;28;28;36;40
63;25;29;24;33;27;16;27;22;31;30;41;33;34;35;29;28;28;36
64;29;26;28;24;33;29;16;27;22;31;30;40;32;35;34;29;28;28
65;26;29;25;28;22;35;26;16;24;22;31;30;39;32;33;34;30;28
66;24;26;29;23;27;23;36;27;17;23;22;29;31;40;33;31;33;31
67;18;23;25;30;22;30;21;35;28;17;21;21;28;30;40;33;31;32
68;24;18;21;23;30;21;29;21;34;28;18;21;21;27;30;40;33;30
69;14;22;18;20;23;29;21;28;23;36;28;20;21;20;26;29;37;33
70;34;14;22;18;20;23;29;21;26;23;34;27;18;21;19;26;29;37
71;16;33;14;22;17;20;25;26;21;26;23;34;27;18;21;19;26;28
72;22;15;31;13;20;16;20;24;24;21;23;23;35;27;18;20;19;26
73;18;19;15;28;12;20;15;20;24;24;22;23;23;34;26;18;22;19
74;17;18;19;15;28;12;19;14;20;24;24;23;21;23;34;24;18;22
75;15;17;18;19;15;27;12;17;13;19;25;23;21;20;23;34;24;18
76;25;14;17;18;18;14;28;13;16;14;19;24;23;20;20;22;33;23
77;16;24;14;16;17;17;11;27;11;16;14;19;23;22;19;20;22;32
78;16;14;24;14;15;17;14;11;25;8;16;13;18;23;20;19;18;23
79;13;14;15;22;14;12;16;13;11;23;8;16;13;17;22;19;19;18
80;21;13;11;14;22;13;12;16;13;10;21;8;15;13;15;22;19;19
81;12;17;13;10;14;22;13;12;15;13;10;19;8;13;12;14;21;18
82;11;11;14;13;10;14;20;13;10;15;12;8;17;6;12;9;15;19
83;2;11;11;11;10;9;14;15;13;11;15;12;8;16;6;10;8;14
84;5;2;9;11;10;10;8;13;15;11;10;13;11;8;13;4;7;8
85;9;3;2;9;11;9;9;10;11;15;11;8;11;10;8;13;4;7
86;4;9;2;1;8;9;8;9;9;8;15;10;7;8;9;8;11;3
87;5;3;9;1;1;8;6;8;9;7;6;9;9;7;8;6;8;10
88;6;4;3;9;1;1;7;6;8;9;7;5;6;9;7;8;5;7
89;6;5;4;3;6;1;1;7;5;8;9;7;5;5;7;6;8;5
90;3;5;5;4;3;6;1;1;6;5;7;8;5;5;5;5;6;7
91;3;3;4;4;3;3;4;0;1;4;5;4;6;3;4;4;5;5
92;2;4;3;2;3;2;2;2;0;1;2;4;3;6;2;4;4;5
93;0;2;4;3;1;3;1;2;2;0;1;1;3;3;7;0;2;3
94;0;0;1;4;3;0;3;0;1;2;0;1;1;2;3;2;0;1
95;1;0;0;1;3;3;1;2;0;1;1;0;1;1;1;3;1;0
96;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;0;3;1
97;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;0;3
98;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
99;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
100 e oltre;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0
Totale;2212;2193;2222;2262;2306;2387;2448;2529;2563;2597;2610;2594;2558;2539;2532;2505;2487;2495
