"Popolazione per età, vista per singola area - Comune: 019100 - Spinadesco"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Spinadesco"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;17;15;16;13;12;14;10;10;15;10;15;17;6;10;8;5;7;7
1;16;17;15;13;13;13;18;13;13;13;8;12;15;6;12;5;4;7
2;21;18;18;15;16;13;12;17;12;15;12;9;11;13;7;12;5;4
3;14;19;19;19;15;15;13;13;18;13;18;12;10;11;13;5;12;4
4;21;14;17;15;18;14;11;14;13;17;13;18;13;10;11;11;5;12
5;26;19;14;16;15;17;11;12;13;11;20;12;18;17;10;11;11;5
6;15;28;19;12;15;13;15;12;12;11;10;19;12;15;17;9;13;11
7;14;15;26;19;15;15;13;18;14;13;12;11;19;11;13;15;9;12
8;16;14;16;24;20;15;16;13;18;14;14;12;11;17;11;13;14;10
9;18;17;13;15;25;20;13;15;13;16;15;15;12;11;17;13;15;14
10;19;18;15;14;13;27;18;11;15;13;15;13;14;11;10;17;14;16
11;13;20;17;14;14;17;26;17;11;15;13;16;13;13;11;12;17;17
12;8;12;19;17;14;14;17;25;16;10;15;13;15;15;17;11;12;18
13;10;8;12;19;18;17;15;16;24;16;9;15;13;16;15;17;11;12
14;12;10;8;10;21;18;18;15;16;24;14;9;15;14;17;14;18;11
15;9;12;12;8;9;21;16;18;15;15;23;15;10;16;15;17;12;16
16;9;9;13;12;10;11;19;15;15;15;15;22;17;9;17;15;18;13
17;5;9;9;13;12;10;11;20;16;14;15;15;22;18;10;17;14;18
18;14;5;9;9;12;12;10;11;20;17;15;16;15;22;19;11;18;13
19;17;14;5;8;9;14;13;10;14;20;19;14;15;13;22;21;13;19
20;10;16;12;7;9;9;14;14;10;14;21;18;16;15;15;22;23;10
21;9;11;16;12;7;8;10;15;12;11;15;21;18;14;13;15;23;21
22;17;10;13;16;13;7;8;11;16;12;11;17;20;16;14;12;19;24
23;15;20;10;12;18;13;7;13;13;16;12;13;19;18;18;13;14;20
24;14;15;19;10;11;21;14;6;13;10;19;12;13;17;20;17;15;10
25;23;14;13;21;12;11;23;17;7;13;9;19;11;15;17;22;20;14
26;30;24;16;14;24;9;15;26;21;8;14;9;16;11;15;17;19;18
27;28;29;28;19;15;21;9;13;28;20;8;16;10;16;10;13;15;19
28;29;28;36;29;18;19;20;11;16;22;20;8;17;10;15;9;12;12
29;28;26;30;35;27;21;23;22;12;19;21;18;10;16;9;12;9;10
30;15;28;32;30;34;29;20;20;20;14;21;19;18;10;14;11;13;9
31;26;16;35;32;32;36;24;23;23;21;15;19;18;20;11;15;9;15
32;37;24;15;32;34;29;33;22;23;21;20;15;19;13;18;10;14;11
33;35;36;22;12;36;33;28;27;20;24;22;22;16;15;13;20;10;13
34;28;37;36;17;10;31;31;29;30;20;22;23;23;16;13;12;18;11
35;38;30;37;37;18;12;28;30;28;33;18;22;23;20;14;13;13;16
36;29;37;31;39;40;22;10;28;27;27;30;17;21;23;19;12;14;12
37;26;29;39;32;37;36;23;11;28;27;29;27;15;20;24;18;12;14
38;29;27;28;35;33;38;31;27;13;30;24;30;24;15;21;22;17;11
39;30;31;29;27;35;31;39;35;29;12;26;24;26;26;15;20;20;16
40;29;30;29;29;27;41;33;41;35;29;13;24;25;25;26;16;17;20
41;24;28;26;28;31;24;41;30;38;34;29;14;25;26;24;29;17;15
42;18;23;28;26;30;30;23;41;30;35;34;27;15;25;28;24;32;16
43;23;18;23;27;28;32;29;23;42;28;30;34;27;15;29;29;22;33
44;18;23;16;23;27;33;30;31;24;41;29;33;31;27;17;28;28;23
45;13;20;24;12;25;26;33;31;31;24;41;28;31;33;27;17;29;26
46;33;15;16;26;14;26;28;32;30;32;24;42;26;31;32;25;15;26
47;21;33;14;19;24;13;28;28;29;27;31;24;41;27;27;29;25;15
48;19;21;33;18;21;25;11;28;27;28;27;33;24;40;27;29;28;25
49;19;21;20;33;16;21;23;11;26;28;28;27;28;23;41;26;28;28
50;20;19;21;19;33;18;18;23;12;27;28;29;27;29;25;41;29;28
51;17;19;18;21;21;32;18;20;23;12;28;27;28;27;27;24;41;30
52;17;16;20;19;18;21;31;16;17;24;12;28;27;27;26;25;24;40
53;29;18;16;18;19;18;24;32;18;16;24;12;26;28;28;26;26;24
54;21;29;19;16;18;19;18;25;31;19;16;25;13;27;27;28;26;26
55;20;21;28;18;15;18;16;21;24;32;19;16;27;13;27;26;28;26
56;15;24;22;28;18;15;18;16;20;24;31;20;15;25;12;27;26;28
57;17;17;23;23;27;18;15;17;14;20;24;31;20;16;23;12;26;26
58;19;21;17;23;21;27;15;17;16;13;18;24;31;21;15;24;13;25
59;20;19;21;17;21;19;26;16;18;15;13;18;24;31;21;15;24;14
60;21;23;22;21;17;21;18;26;14;18;16;13;17;24;31;21;15;23
61;21;21;23;20;22;17;20;19;24;15;18;16;10;16;24;29;21;15
62;21;23;23;24;22;21;17;19;19;21;15;17;16;10;14;24;30;21
