"Popolazione per età, vista per singola area - Comune: 019101 - Spineda"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Spineda"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;3;3;8;5;2;3;2;7;6;10;3;3;3;4;9;4;2;5
1;3;6;3;7;5;3;2;3;7;6;10;2;3;3;4;9;4;3
2;3;4;6;3;7;4;3;4;4;7;5;9;3;3;3;5;8;4
3;4;3;3;6;3;7;6;3;4;4;6;5;8;3;3;4;5;8
4;2;4;3;4;6;4;7;6;3;3;4;6;5;8;3;3;4;5
5;6;2;3;3;4;5;4;7;4;3;3;5;6;5;8;3;3;3
6;4;6;2;4;3;4;5;4;7;4;4;3;5;6;5;9;3;3
7;4;5;6;2;6;4;4;5;4;7;3;4;3;5;6;5;9;3
8;4;5;3;6;2;4;5;4;5;4;7;3;3;3;6;6;5;9
9;5;4;6;3;6;2;4;5;4;5;4;8;3;5;4;6;7;5
10;2;7;4;6;4;6;3;4;5;4;5;4;8;2;5;4;6;7
11;5;3;6;4;6;4;7;3;4;5;4;5;4;8;2;5;3;6
12;2;5;2;6;4;4;4;7;4;4;6;4;5;4;7;2;5;3
13;2;3;4;2;6;4;4;5;6;4;4;6;4;5;4;7;2;5
14;6;2;2;4;2;5;4;6;5;6;5;4;5;4;6;4;9;2
15;4;9;4;2;4;2;5;5;6;5;5;5;4;4;4;6;4;9
16;6;4;9;4;2;3;2;5;5;5;5;5;4;4;4;4;6;4
17;5;6;5;9;4;2;3;2;5;5;5;5;5;3;4;4;4;6
18;6;7;7;5;9;4;2;4;2;5;5;5;5;5;3;4;4;4
19;8;6;7;7;6;8;6;3;4;2;6;5;5;5;5;3;4;4
20;4;8;6;7;7;6;9;5;2;4;2;6;5;5;4;5;3;4
21;8;5;8;7;9;6;5;11;5;3;4;2;7;5;5;3;5;4
22;4;8;7;8;8;6;6;6;11;5;3;4;2;6;5;4;3;5
23;10;5;10;7;9;9;7;6;6;10;4;3;3;1;6;4;5;3
24;6;9;7;10;8;6;9;7;6;6;8;4;3;4;2;8;4;5
25;5;6;8;6;13;9;7;8;6;7;7;8;4;4;4;2;8;4
26;8;7;7;8;4;9;7;9;9;7;7;6;8;4;4;3;3;8
27;13;10;7;7;8;4;9;6;9;7;7;7;6;8;4;4;4;3
28;16;14;10;7;7;8;6;9;5;13;6;7;9;5;7;5;5;4
29;9;14;14;7;8;7;10;6;8;6;16;5;8;8;5;7;5;6
30;11;9;17;12;8;7;9;11;5;11;6;12;4;8;9;6;7;5
31;8;15;9;14;12;8;8;8;10;6;12;6;10;4;8;8;5;7
32;8;10;15;8;14;11;7;8;8;11;7;12;6;10;7;10;9;5
33;5;9;10;14;8;13;11;8;9;7;12;7;9;7;9;8;8;8
34;9;5;8;9;14;8;14;9;9;7;9;11;7;8;7;9;9;7
35;8;13;7;8;11;13;7;15;10;11;7;8;11;7;9;9;11;10
36;9;9;13;6;7;9;13;8;15;10;12;7;7;11;6;9;7;10
37;9;12;7;13;7;8;9;15;10;14;9;12;5;6;10;6;9;6
38;7;8;9;7;12;8;8;9;15;10;11;9;10;5;7;10;6;9
39;9;7;6;9;7;8;7;8;11;15;8;11;9;12;6;7;10;6
40;6;9;7;6;9;6;8;5;8;11;14;7;12;7;12;6;7;8
41;6;7;10;7;6;9;7;8;5;9;13;15;7;13;7;12;5;7
42;9;6;8;11;8;7;9;7;7;7;8;13;15;7;13;7;12;5
43;8;12;6;8;12;8;7;9;7;7;6;9;14;15;8;13;7;12
44;8;8;12;7;9;11;7;9;8;7;7;5;9;14;15;8;13;8
45;7;10;8;12;6;8;11;7;10;8;6;7;5;9;11;15;8;11
46;9;7;10;8;12;6;9;11;6;10;8;8;7;6;8;11;15;8
47;7;8;7;8;9;13;6;8;11;6;10;8;8;7;9;7;10;15
48;9;7;8;7;8;9;13;6;9;10;5;10;8;7;7;9;8;10
49;9;9;7;8;7;8;9;13;5;9;10;5;10;8;6;7;9;8
50;16;9;9;7;8;7;10;9;13;5;8;10;6;10;8;6;7;7
51;7;16;8;9;6;8;7;10;9;13;6;8;10;6;10;7;4;7
52;5;7;17;8;9;6;8;7;10;9;13;6;8;10;6;9;7;3
53;9;5;7;17;8;9;7;8;7;9;9;13;6;8;9;6;9;8
54;11;9;5;7;17;8;9;7;8;7;9;9;13;6;8;10;6;9
55;14;12;8;5;7;17;8;9;7;10;7;9;9;13;6;8;10;6
56;7;13;12;6;5;7;16;8;9;6;10;7;10;10;13;5;8;11
57;6;7;13;12;6;4;7;16;8;9;6;10;7;10;10;12;6;8
58;12;6;7;13;12;6;4;7;16;8;9;6;10;7;10;9;12;7
59;9;13;6;6;13;12;6;4;7;16;8;9;6;10;7;8;8;12
60;5;9;13;6;6;13;12;6;4;7;16;8;9;7;10;7;8;8
61;9;7;10;11;5;6;13;12;6;3;7;16;8;9;6;10;7;8
62;2;9;6;9;11;5;6;13;12;6;3;7;16;8;10;6;10;7
63;5;2;9;6;9;11;5;6;13;13;6;3;7;16;8;10;7;10
64;13;7;2;7;6;9;10;5;5;14;13;6;3;7;16;8;10;7
65;5;11;7;2;10;6;9;10;5;6;14;13;6;3;7;16;8;9
66;12;5;11;7;2;7;6;9;9;5;6;13;12;6;4;6;16;8
67;2;12;5;11;7;2;7;6;9;9;5;6;13;11;6;4;7;17
68;9;2;12;5;11;6;2;8;6;9;9;5;5;13;11;6;4;7
69;9;9;2;12;5;11;6;2;8;6;9;9;5;5;13;11;8;4
70;12;10;9;2;12;5;10;6;2;8;5;9;9;5;5;13;11;8
71;11;11;9;9;2;9;5;10;5;2;8;5;9;9;4;5;13;11
72;7;11;11;8;7;2;9;5;10;6;2;8;5;9;9;4;5;13
73;6;7;11;12;8;7;2;9;5;10;6;2;8;5;9;9;4;5
74;7;6;7;11;11;8;7;2;9;5;10;6;2;9;4;9;9;4
75;7;7;6;7;11;11;8;8;2;8;5;10;6;2;9;4;9;8
76;8;6;5;6;7;11;11;8;7;2;9;5;10;6;2;9;4;9
77;7;8;6;6;5;7;11;11;8;7;2;9;5;10;6;2;8;4
78;10;8;4;5;7;5;7;11;10;6;8;2;9;5;10;5;2;7
79;7;12;8;5;6;4;5;7;11;10;6;8;2;9;5;9;5;2
80;10;7;10;7;5;5;4;5;7;11;9;6;7;2;8;5;9;5
81;6;10;7;10;7;5;5;6;3;7;11;9;6;7;2;8;5;9
82;7;5;9;7;10;5;5;5;4;3;7;10;9;6;7;2;7;5
83;1;6;4;9;6;7;5;4;5;4;2;6;10;8;6;5;2;7
84;1;1;4;4;9;5;6;5;4;4;4;2;6;9;7;7;5;2
85;1;1;1;4;4;9;5;6;5;2;4;4;2;5;9;7;5;4
86;7;1;1;1;3;5;7;6;6;5;2;4;4;2;4;9;6;5
87;2;6;1;0;1;2;4;6;6;5;5;2;4;4;1;3;8;6
88;4;2;5;1;0;1;2;3;6;3;4;4;2;2;4;1;3;7
89;4;4;3;5;1;0;0;2;3;6;4;3;4;2;2;3;1;1
90;0;4;4;3;3;1;0;0;1;3;6;3;2;3;2;0;2;2
91;1;0;4;3;2;2;1;0;0;1;2;6;2;2;2;2;0;2
92;0;1;0;4;3;2;1;1;0;0;1;1;3;2;1;2;1;0
93;0;0;1;0;4;3;1;0;1;0;0;1;1;2;2;1;2;1
94;1;0;0;1;0;4;3;1;0;0;0;0;1;0;2;2;1;2
95;1;0;0;0;0;0;3;2;0;0;0;0;0;1;0;3;2;2
