"Popolazione per età, vista per singola area - Comune: 019103 - Stagno Lombardo"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Stagno Lombardo"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;5;11;7;8;3;11;10;16;22;16;15;12;6;15;14;7;10;10
1;14;6;11;5;9;5;10;10;16;23;15;18;13;4;17;12;8;14
2;14;16;6;11;6;12;7;10;9;16;22;14;18;12;7;16;13;9
3;9;14;16;6;14;6;13;9;11;11;17;22;13;17;12;9;16;14
4;14;11;13;18;6;15;6;12;9;12;11;18;24;14;16;13;10;18
5;9;14;10;14;22;7;13;6;12;11;12;12;19;25;18;15;14;10
6;16;9;14;11;13;26;7;15;9;12;11;12;13;19;24;16;15;12
7;11;16;8;13;11;14;24;7;14;9;13;10;13;12;19;22;16;17
8;15;11;16;8;13;13;12;24;7;17;10;13;11;13;10;20;21;12
9;12;14;10;16;7;13;13;11;23;8;19;11;14;10;12;12;21;19
10;6;12;13;13;15;7;12;12;10;23;7;19;10;14;10;11;12;20
11;21;6;14;14;13;15;8;13;12;11;25;7;18;10;15;11;11;11
12;14;21;6;15;14;12;15;9;15;13;11;25;6;16;10;16;12;11
13;14;15;22;8;14;15;12;13;9;13;13;11;25;7;17;12;15;12
14;9;14;15;22;9;15;15;13;16;8;14;12;10;25;9;19;11;15
15;10;8;15;16;21;9;13;14;12;17;8;15;12;9;24;9;18;11
16;7;12;8;15;16;23;8;13;13;12;16;6;16;13;9;25;9;18
17;13;7;12;8;15;15;23;8;13;13;12;16;4;15;13;9;24;8
18;16;11;6;14;8;14;15;24;8;13;13;12;15;4;15;16;10;25
19;11;16;12;10;14;8;15;16;23;6;13;14;12;17;5;14;16;11
20;15;11;16;13;10;11;11;16;14;24;6;14;13;12;17;5;13;15
21;9;15;10;16;14;10;10;11;19;14;27;6;13;13;12;15;5;14
22;23;10;15;11;17;13;10;11;12;21;17;27;6;13;12;12;13;7
23;19;24;10;15;11;17;12;10;13;11;20;15;27;6;13;12;13;15
24;11;19;23;9;14;12;18;14;10;14;11;20;16;27;7;14;12;13
25;15;12;18;23;9;14;10;18;16;10;14;12;18;15;28;7;16;12
26;17;13;15;19;25;9;14;11;17;17;13;14;12;16;13;28;9;13
27;15;17;13;12;21;24;8;12;13;17;18;17;14;15;15;14;26;9
28;21;15;18;15;19;21;21;9;16;13;21;18;16;16;15;12;16;26
29;14;24;14;19;16;17;22;22;12;18;17;23;17;12;15;14;13;20
30;13;12;23;15;18;15;16;19;17;13;23;19;24;17;15;14;14;10
31;20;11;15;28;22;18;18;16;22;17;16;24;14;22;18;13;13;14
32;25;18;14;15;26;22;24;19;19;22;14;16;23;12;22;18;11;12
33;16;26;20;13;16;23;19;23;18;18;20;12;13;24;16;19;17;14
34;24;17;25;17;13;19;23;23;24;16;16;24;12;13;21;19;19;19
35;21;26;17;24;17;15;17;24;24;22;15;19;24;11;12;20;15;17
36;26;20;27;17;24;19;16;21;23;26;24;16;20;22;14;13;20;13
37;27;27;20;24;16;25;19;18;21;24;28;24;16;21;20;15;14;19
38;24;28;25;20;23;18;29;20;17;20;26;29;24;14;17;21;14;12
39;17;25;28;24;18;22;19;33;19;21;22;27;30;24;14;12;23;14
40;24;14;25;26;21;19;22;20;32;20;23;23;29;30;24;17;12;21
41;31;21;14;26;24;22;20;24;21;34;22;24;24;27;30;25;17;12
42;17;35;24;16;27;23;24;19;24;20;33;20;23;23;27;31;24;17
43;26;18;34;25;16;29;22;26;16;23;21;33;22;24;23;29;29;24
44;19;26;19;34;26;14;32;23;26;18;24;21;34;20;24;26;30;29
45;15;18;25;17;36;26;13;32;25;25;19;24;21;29;21;23;26;30
46;20;15;19;25;17;36;26;13;33;24;24;18;26;20;29;22;22;23
47;19;18;15;19;27;17;36;26;12;33;26;23;18;26;19;28;20;23
48;15;19;18;14;16;26;16;36;27;13;35;26;25;18;27;20;27;21
49;24;14;20;20;15;16;27;17;36;26;14;35;24;26;18;27;20;24
50;21;24;14;20;19;15;15;26;17;35;27;16;35;27;27;16;27;22
51;23;22;24;15;20;19;15;15;26;18;33;27;16;36;26;27;17;28
52;23;23;22;25;15;20;19;17;15;25;18;35;28;15;39;25;26;18
53;24;23;23;22;26;15;20;19;18;15;25;18;37;29;14;39;27;25
54;23;24;23;24;22;24;17;23;19;17;16;25;18;35;28;14;38;25
55;19;21;24;22;24;22;24;16;23;19;17;16;25;19;35;28;14;35
56;5;20;21;24;23;24;22;24;17;23;19;15;16;25;19;35;28;13
57;20;4;21;21;24;23;24;21;25;19;23;19;15;16;25;20;33;29
58;11;20;4;21;21;23;26;24;21;25;20;24;19;14;16;26;20;33
59;12;11;20;4;20;23;23;28;25;20;26;20;24;20;12;16;26;21
60;23;13;12;20;6;20;24;23;27;25;21;25;19;23;20;13;15;25
61;16;23;13;12;20;6;20;24;23;27;26;21;26;18;23;19;14;15
62;23;16;23;13;11;20;6;20;24;21;27;24;21;25;18;23;19;14
63;22;26;17;23;12;11;19;6;20;22;21;27;23;21;25;19;23;19
64;17;21;24;17;23;11;12;20;6;19;21;21;27;23;20;25;17;23
65;25;17;21;23;16;23;11;11;20;6;19;19;21;28;23;23;26;17
66;18;25;18;21;23;16;23;11;11;20;5;18;19;21;26;24;20;24
67;19;15;25;16;21;22;16;23;11;11;20;5;18;21;21;25;24;21
68;17;19;15;24;16;20;22;16;22;12;12;19;5;19;21;19;24;26
69;16;17;18;16;24;16;20;21;15;22;12;10;19;5;17;21;19;23
70;15;16;17;18;13;23;17;20;19;16;21;12;10;18;6;16;22;17
71;20;13;16;17;17;15;26;16;19;19;16;20;11;10;19;6;16;21
72;9;19;13;14;15;16;13;24;17;18;17;16;20;11;9;18;6;15
73;15;6;19;13;14;15;17;13;24;17;18;16;16;20;11;9;17;6
74;12;15;6;19;13;14;14;17;13;20;17;18;16;16;20;9;9;17
75;16;11;16;6;18;13;13;14;16;11;21;17;17;16;14;18;8;11
76;12;18;11;15;6;17;14;14;13;16;11;21;17;17;14;13;17;9
77;15;11;19;10;13;7;17;14;14;13;17;11;21;16;18;14;12;17
78;9;14;11;19;9;13;7;16;13;14;15;17;11;20;16;16;12;13
79;19;8;12;11;16;11;11;7;14;12;14;15;18;11;19;15;18;12
80;19;17;9;12;10;15;11;11;10;12;12;14;14;18;9;18;16;19
81;18;18;16;8;11;10;19;10;11;10;13;11;12;14;17;8;16;16
82;7;16;15;15;7;10;10;18;9;11;6;9;10;10;11;14;8;17
83;3;7;14;15;15;8;8;10;15;8;9;6;8;10;11;10;13;8
84;6;3;5;13;13;15;9;8;4;15;9;10;7;8;10;10;7;12
85;7;7;4;4;13;12;14;9;6;4;13;5;11;6;9;9;9;5
86;9;8;7;4;4;13;12;10;8;7;4;13;5;11;6;6;7;11
87;5;9;8;7;3;3;14;12;10;7;6;6;13;3;8;6;7;7
88;2;6;8;8;5;2;3;12;11;11;7;6;6;12;3;6;6;5
89;7;0;6;8;8;4;3;2;9;11;9;9;5;6;9;4;5;7
90;5;4;0;5;8;3;2;4;2;11;9;9;6;5;6;8;5;4
91;4;4;3;0;4;8;1;1;3;4;10;7;7;2;8;4;5;5
92;4;2;5;3;0;3;5;1;2;2;4;7;6;6;1;9;5;5
93;7;4;2;3;2;2;2;5;0;2;2;4;7;5;4;1;6;5
94;7;7;1;2;3;2;2;0;5;0;1;0;3;9;4;4;0;6
95;2;6;6;0;1;3;2;2;0;4;0;0;0;3;7;3;5;0
96;0;2;3;6;0;1;2;1;1;0;5;0;0;0;2;7;3;5
97;0;0;2;3;5;0;1;2;1;0;1;3;0;0;0;2;2;4
98;0;0;0;2;1;4;0;1;1;1;0;0;2;0;0;1;0;2
99;0;0;0;0;2;0;1;1;0;1;1;0;0;2;0;0;0;0
100 e oltre;0;0;0;0;0;3;3;1;1;0;1;0;0;0;0;0;0;0
Totale;1453;1447;1449;1459;1452;1465;1476;1505;1517;1536;1583;1588;1580;1564;1560;1550;1524;1526
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;3;6;4;1;2;5;3;10;13;8;12;6;4;7;6;5;6;4
1;10;3;7;4;2;4;5;2;11;13;7;15;7;4;8;6;5;10
2;7;10;3;7;5;3;5;4;2;11;12;7;15;7;4;6;7;5
3;5;7;10;3;10;5;2;6;5;3;11;12;6;15;7;4;5;6
4;9;7;7;12;3;11;5;2;6;5;3;12;12;6;15;7;5;7
5;5;8;6;7;14;4;9;5;3;7;5;4;12;14;8;12;8;5
6;8;5;8;7;6;14;4;10;5;3;6;5;5;13;14;7;12;7
7;7;7;6;7;7;6;13;4;9;5;3;6;5;4;13;13;7;14
8;9;8;7;6;6;7;6;13;4;12;6;3;7;5;2;14;12;4
9;8;8;9;7;5;7;7;5;14;4;13;6;3;7;5;2;15;10
10;6;8;7;9;7;5;7;6;4;14;3;13;5;3;7;4;2;14
11;12;6;9;8;9;7;6;8;6;5;15;3;12;5;4;8;4;2
12;9;12;6;9;8;8;7;5;8;7;5;15;3;10;5;5;9;4
