"Popolazione per età, vista per singola area - Comune: 020016 - Castellucchio"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Castellucchio"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;43;39;34;40;44;36;54;42;48;50;45;52;49;39;48;48;41;38
1;38;43;41;32;43;46;33;51;38;48;48;43;51;46;36;52;48;44
2;47;37;42;44;33;41;47;35;55;41;55;46;43;49;46;41;52;48
3;40;48;41;38;45;35;43;46;33;57;42;51;46;46;48;46;38;54
4;42;36;45;50;39;43;39;37;48;34;60;43;53;47;47;49;47;41
5;46;47;34;45;50;40;47;39;38;44;32;59;41;49;46;48;47;48
6;27;44;48;35;49;53;41;47;39;41;43;32;57;43;45;47;45;49
7;48;27;45;46;36;47;51;40;46;39;44;44;33;55;41;45;47;45
8;36;48;26;46;46;38;44;52;39;46;40;42;44;28;55;42;51;47
9;41;35;51;27;48;49;41;46;54;40;50;40;42;44;29;57;44;51
10;29;42;34;52;30;46;49;42;46;58;39;49;40;37;42;29;55;43
11;37;28;46;33;53;29;45;51;41;47;59;41;49;41;38;43;30;57
12;42;38;28;49;35;47;28;47;54;42;46;59;41;48;40;38;43;31
13;42;42;36;28;51;35;51;28;51;53;44;49;59;37;47;43;41;46
14;31;41;42;38;28;46;39;50;29;51;55;45;50;56;38;46;42;38
15;35;33;43;41;41;30;44;40;55;33;51;56;46;50;53;37;47;43
16;42;33;33;45;40;43;36;43;40;51;33;53;54;47;52;55;37;49
17;42;41;36;32;51;40;42;33;43;40;52;34;53;53;42;52;54;37
18;39;41;42;36;31;49;40;42;33;43;43;52;35;51;52;42;51;52
19;44;40;43;46;39;34;50;40;41;36;46;43;52;35;53;53;41;51
20;37;44;42;41;48;38;38;51;43;42;37;46;42;48;33;51;52;44
21;39;38;49;49;41;51;40;42;51;45;43;41;46;42;46;36;53;54
22;63;43;37;51;50;41;48;41;41;50;51;46;40;44;42;49;35;54
23;68;71;42;38;50;46;43;52;44;43;54;52;44;42;43;45;49;39
24;70;63;75;40;40;51;50;45;57;49;46;57;55;40;46;47;42;50
25;80;77;60;73;39;42;51;51;49;55;50;53;61;63;41;41;47;44
26;70;84;77;62;74;48;44;55;51;49;57;50;50;70;61;43;41;43
27;85;68;82;73;58;76;47;47;54;54;53;55;55;53;66;65;45;44
28;80;85;69;89;71;61;75;56;47;64;58;53;57;56;51;64;62;49
29;86;72;78;66;88;78;69;75;56;48;68;48;55;60;50;60;65;59
